"ParBreakers_RANKTHISWEEK_2007","ParBreakers_RANKLASTWEEK_2007","ParBreakers_PLAYERNAME_2007","ParBreakers_ROUNDS_2007","ParBreakers_Pct_2007","ParBreakers_BIRDIESEAGLES_2007","ParBreakers_HOLES_2007","stat_name","year"
1,1,"Tiger Woods",63,23.43,253,1080,"ParBreakers",2007
2,2,"Freddie Jacobson",70,22.46,283,1260,"ParBreakers",2007
3,3,"Jonathan Byrd",73,22.07,290,1314,"ParBreakers",2007
4,4,"Mark Calcavecchia",93,21.92,367,1674,"ParBreakers",2007
5,5,"Jesper Parnevik",88,21.84,346,1584,"ParBreakers",2007
6,6,"Adam Scott",69,21.81,267,1224,"ParBreakers",2007
7,7,"Charles Warren",101,21.73,395,1818,"ParBreakers",2007
8,8,"Justin Rose",63,21.66,230,1062,"ParBreakers",2007
9,9,"Lucas Glover",98,21.48,375,1746,"ParBreakers",2007
10,10,"Phil Mickelson",73,21.44,274,1278,"ParBreakers",2007
11,11,"Kevin Na",84,21.36,323,1512,"ParBreakers",2007
12,12,"Steve Allan",63,21.25,241,1134,"ParBreakers",2007
13,13,"JB Holmes",71,21.13,270,1278,"ParBreakers",2007
13,13,"Joe Ogilvie",102,21.13,388,1836,"ParBreakers",2007
15,15,"Bubba Watson",80,21.04,303,1440,"ParBreakers",2007
16,16,"Geoff Ogilvy",84,21.01,295,1404,"ParBreakers",2007
17,17,"Robert Garrigus",95,20.99,359,1710,"ParBreakers",2007
18,18,"Brendon de Jonge",76,20.98,287,1368,"ParBreakers",2007
18,18,"Ernie Els",59,20.98,219,1044,"ParBreakers",2007
20,20,"Jeff Overton",60,20.93,226,1080,"ParBreakers",2007
21,21,"Anthony Kim",93,20.91,350,1674,"ParBreakers",2007
22,22,"Charley Hoffman",97,20.85,364,1746,"ParBreakers",2007
23,23,"John Daly",59,20.81,221,1062,"ParBreakers",2007
24,24,"Rich Beem",89,20.79,333,1602,"ParBreakers",2007
25,25,"Vaughn Taylor",91,20.76,340,1638,"ParBreakers",2007
26,26,"Rory Sabbatini",81,20.75,295,1422,"ParBreakers",2007
27,27,"Vijay Singh",102,20.72,373,1800,"ParBreakers",2007
28,28,"Jay Williamson",50,20.67,186,900,"ParBreakers",2007
29,29,"Carl Pettersson",111,20.66,409,1980,"ParBreakers",2007
30,30,"Daniel Chopra",106,20.65,394,1908,"ParBreakers",2007
31,31,"Ryuji Imada",104,20.62,386,1872,"ParBreakers",2007
32,32,"Sean OHair",98,20.58,363,1764,"ParBreakers",2007
33,33,"Sergio Garcia",68,20.54,244,1188,"ParBreakers",2007
34,34,"Bob Heintz",85,20.52,314,1530,"ParBreakers",2007
