"GreensinRegulationPercentage_RANKTHISWEEK_2014","GreensinRegulationPercentage_RANKLASTWEEK_2014","GreensinRegulationPercentage_PLAYERNAME_2014","GreensinRegulationPercentage_ROUNDS_2014","GreensinRegulationPercentage_Pct_2014","GreensinRegulationPercentage_GREENSHIT_2014","GreensinRegulationPercentage_HOLES_2014","GreensinRegulationPercentage_RELATIVEPAR_2014","stat_name","year"
1,1,"Chad Campbell",57,72.43,691,954,-0.2,"GreensinRegulationPercentage",2014
2,2,"Justin Hicks",103,71.44,1273,1782,-0.23,"GreensinRegulationPercentage",2014
3,3,"Graham DeLaet",80,70.68,1005,1422,-0.26,"GreensinRegulationPercentage",2014
4,4,"Billy Horschel",92,70.43,1141,1620,-0.26,"GreensinRegulationPercentage",2014
5,5,"JJ Henry",91,69.6,1090,1566,-0.2,"GreensinRegulationPercentage",2014
6,6,"Rory McIlroy",66,69.44,800,1152,-0.36,"GreensinRegulationPercentage",2014
7,7,"Jhonattan Vegas",77,69.11,933,1350,-0.23,"GreensinRegulationPercentage",2014
8,8,"Henrik Stenson",56,69.03,671,972,-0.28,"GreensinRegulationPercentage",2014
9,9,"Kevin Stadler",90,68.91,1104,1602,-0.26,"GreensinRegulationPercentage",2014
10,10,"Adam Scott",68,68.79,842,1224,-0.32,"GreensinRegulationPercentage",2014
11,11,"Hudson Swafford",75,68.78,879,1278,-0.23,"GreensinRegulationPercentage",2014
12,12,"Jim Furyk",84,68.75,990,1440,-0.24,"GreensinRegulationPercentage",2014
13,13,"David Toms",64,68.73,767,1116,-0.25,"GreensinRegulationPercentage",2014
14,14,"Sergio Garcia",61,68.68,717,1044,-0.28,"GreensinRegulationPercentage",2014
15,15,"Bill Haas",107,68.62,1297,1890,-0.26,"GreensinRegulationPercentage",2014
16,16,"Bo Van Pelt",83,68.61,1025,1494,-0.24,"GreensinRegulationPercentage",2014
17,17,"Harris English",95,68.36,1132,1656,-0.28,"GreensinRegulationPercentage",2014
18,18,"Andrew Svoboda",77,68.11,944,1386,-0.24,"GreensinRegulationPercentage",2014
19,19,"John Merrick",87,68.07,1017,1494,-0.24,"GreensinRegulationPercentage",2014
20,20,"Boo Weekley",73,68.06,882,1296,-0.19,"GreensinRegulationPercentage",2014
21,21,"Dustin Johnson",58,68.03,698,1026,-0.32,"GreensinRegulationPercentage",2014
22,22,"Russell Knox",92,68,1126,1656,-0.24,"GreensinRegulationPercentage",2014
23,23,"Ryan Moore",86,67.99,1028,1512,-0.28,"GreensinRegulationPercentage",2014
24,24,"Bubba Watson",76,67.96,893,1314,-0.32,"GreensinRegulationPercentage",2014
25,25,"John Senden",99,67.85,1209,1782,-0.26,"GreensinRegulationPercentage",2014
26,26,"Charles Howell III",106,67.66,1291,1908,-0.27,"GreensinRegulationPercentage",2014
27,27,"Robert Allenby",83,67.63,986,1458,-0.2,"GreensinRegulationPercentage",2014
28,28,"Kevin Chappell",100,67.59,1168,1728,-0.28,"GreensinRegulationPercentage",2014
