"TotalHoleOuts_RANKTHISWEEK_2013","TotalHoleOuts_RANKLASTWEEK_2013","TotalHoleOuts_PLAYERNAME_2013","TotalHoleOuts_ROUNDS_2013","TotalHoleOuts_HOLEOUTS_2013","stat_name","year"
1,1,"Brian Davis",91,20,"TotalHoleOuts",2013
2,2,"Brian Gay",79,18,"TotalHoleOuts",2013
2,2,"John Huh",88,18,"TotalHoleOuts",2013
4,4,"Scott Piercy",78,17,"TotalHoleOuts",2013
5,5,"Brendon de Jonge",110,16,"TotalHoleOuts",2013
5,5,"Jason Kokrak",78,16,"TotalHoleOuts",2013
7,7,"Troy Matteson",68,15,"TotalHoleOuts",2013
7,7,"John Merrick",79,15,"TotalHoleOuts",2013
7,7,"Patrick Reed",83,15,"TotalHoleOuts",2013
7,7,"Jordan Spieth",82,15,"TotalHoleOuts",2013
7,7,"Daniel Summerhays",83,15,"TotalHoleOuts",2013
12,12,"Stuart Appleby",88,14,"TotalHoleOuts",2013
12,12,"Sangmoon Bae",83,14,"TotalHoleOuts",2013
12,12,"Jason Bohn",70,14,"TotalHoleOuts",2013
12,12,"Angel Cabrera",73,14,"TotalHoleOuts",2013
12,12,"Brad Fritsch",81,14,"TotalHoleOuts",2013
12,12,"James Hahn",78,14,"TotalHoleOuts",2013
12,12,"Chris Kirk",89,14,"TotalHoleOuts",2013
12,12,"Justin Leonard",86,14,"TotalHoleOuts",2013
12,12,"David Lynn",70,14,"TotalHoleOuts",2013
12,12,"Bryce Molder",82,14,"TotalHoleOuts",2013
12,12,"DA Points",87,14,"TotalHoleOuts",2013
12,12,"Chris Stroud",88,14,"TotalHoleOuts",2013
24,24,"Zach Johnson",84,13,"TotalHoleOuts",2013
24,24,"Ben Kohles",75,13,"TotalHoleOuts",2013
24,24,"William McGirt",75,13,"TotalHoleOuts",2013
24,24,"George McNeill",68,13,"TotalHoleOuts",2013
24,24,"Dicky Pride",71,13,"TotalHoleOuts",2013
24,24,"Webb Simpson",92,13,"TotalHoleOuts",2013
24,24,"Kevin Stadler",83,13,"TotalHoleOuts",2013
24,24,"Charlie Wi",75,13,"TotalHoleOuts",2013
32,32,"Greg Chalmers",77,12,"TotalHoleOuts",2013
32,32,"Ken Duke",87,12,"TotalHoleOuts",2013
32,32,"Martin Flores",83,12,"TotalHoleOuts",2013
32,32,"Tommy Gainey",84,12,"TotalHoleOuts",2013
32,32,"Brian Harman",89,12,"TotalHoleOuts",2013
32,32,"Russell Henley",80,12,"TotalHoleOuts",2013
32,32,"Jerry Kelly",75,12,"TotalHoleOuts",2013
32,32,"Martin Laird",68,12,"TotalHoleOuts",2013
32,32,"Sean OHair",56,12,"TotalHoleOuts",2013
32,32,"Chez Reavie",72,12,"TotalHoleOuts",2013
32,32,"Rory Sabbatini",86,12,"TotalHoleOuts",2013
32,32,"Nicholas Thompson",99,12,"TotalHoleOuts",2013
32,32,"Gary Woodland",94,12,"TotalHoleOuts",2013
45,45,"Aaron Baddeley",68,11,"TotalHoleOuts",2013
45,45,"Jonas Blixt",76,11,"TotalHoleOuts",2013
45,45,"Steven Bowditch",67,11,"TotalHoleOuts",2013
45,45,"Keegan Bradley",88,11,"TotalHoleOuts",2013
45,45,"Scott Brown",65,11,"TotalHoleOuts",2013
45,45,"Chad Campbell",78,11,"TotalHoleOuts",2013
45,45,"Roberto Castro",97,11,"TotalHoleOuts",2013
45,45,"James Driscoll",76,11,"TotalHoleOuts",2013
45,45,"Morgan Hoffmann",64,11,"TotalHoleOuts",2013
45,45,"Billy Horschel",96,11,"TotalHoleOuts",2013
45,45,"David Lingmerth",68,11,"TotalHoleOuts",2013
45,45,"Hunter Mahan",91,11,"TotalHoleOuts",2013
45,45,"Cameron Tringale",80,11,"TotalHoleOuts",2013
45,45,"Lee Williams",62,11,"TotalHoleOuts",2013
59,59,"Erik Compton",74,10,"TotalHoleOuts",2013
59,59,"Rickie Fowler",75,10,"TotalHoleOuts",2013
59,59,"Scott Gardiner",61,10,"TotalHoleOuts",2013
59,59,"Luke Guthrie",82,10,"TotalHoleOuts",2013
59,59,"Bill Haas",85,10,"TotalHoleOuts",2013
59,59,"Charley Hoffman",84,10,"TotalHoleOuts",2013
59,59,"Charles Howell III",87,10,"TotalHoleOuts",2013
59,59,"Colt Knost",69,10,"TotalHoleOuts",2013
59,59,"Doug LaBelle II",72,10,"TotalHoleOuts",2013
59,59,"Ryan Moore",72,10,"TotalHoleOuts",2013
59,59,"Pat Perez",69,10,"TotalHoleOuts",2013
59,59,"Ted Potter Jr",65,10,"TotalHoleOuts",2013
59,59,"John Rollins",77,10,"TotalHoleOuts",2013
59,59,"Andres Romero",63,10,"TotalHoleOuts",2013
59,59,"Brendan Steele",86,10,"TotalHoleOuts",2013
59,59,"Shawn Stefani",63,10,"TotalHoleOuts",2013
59,59,"Michael Thompson",66,10,"TotalHoleOuts",2013
59,59,"Mark Wilson",56,10,"TotalHoleOuts",2013
77,77,"Justin Bolli",59,9,"TotalHoleOuts",2013
77,77,"Bud Cauley",67,9,"TotalHoleOuts",2013
77,77,"Kevin Chappell",80,9,"TotalHoleOuts",2013
77,77,"KJ Choi",85,9,"TotalHoleOuts",2013
77,77,"Graham DeLaet",94,9,"TotalHoleOuts",2013
77,77,"Luke Donald",60,9,"TotalHoleOuts",2013
77,77,"Jason Dufner",78,9,"TotalHoleOuts",2013
77,77,"Ernie Els",63,9,"TotalHoleOuts",2013
77,77,"Bobby Gates",49,9,"TotalHoleOuts",2013
77,77,"David Hearn",88,9,"TotalHoleOuts",2013
77,77,"Trevor Immelman",73,9,"TotalHoleOuts",2013
77,77,"Matt Jones",83,9,"TotalHoleOuts",2013
77,77,"Richard Lee",81,9,"TotalHoleOuts",2013
77,77,"Carl Pettersson",82,9,"TotalHoleOuts",2013
77,77,"Brandt Snedeker",79,9,"TotalHoleOuts",2013
77,77,"Darron Stiles",51,9,"TotalHoleOuts",2013
77,77,"Kevin Streelman",86,9,"TotalHoleOuts",2013
77,77,"Steve Stricker",51,9,"TotalHoleOuts",2013
77,77,"Brian Stuard",78,9,"TotalHoleOuts",2013
77,77,"Nick Watney",88,9,"TotalHoleOuts",2013
77,77,"Boo Weekley",100,9,"TotalHoleOuts",2013
98,98,"Michael Bradley",56,8,"TotalHoleOuts",2013
98,98,"Will Claxton",67,8,"TotalHoleOuts",2013
98,98,"Ben Crane",62,8,"TotalHoleOuts",2013
98,98,"Bob Estes",66,8,"TotalHoleOuts",2013
98,98,"Lucas Glover",65,8,"TotalHoleOuts",2013
