"OverallPuttingAverage_RANKTHISWEEK_2006","OverallPuttingAverage_RANKLASTWEEK_2006","OverallPuttingAverage_PLAYERNAME_2006","OverallPuttingAverage_ROUNDS_2006","OverallPuttingAverage_AVG_2006","OverallPuttingAverage_OFPUTTS_2006","OverallPuttingAverage_OFHOLES_2006","stat_name","year"
138,138,"Mathias Gronberg",92,1.633,2616,1602,"OverallPuttingAverage",2006
140,140,"Craig Barlow",77,1.634,2147,1314,"OverallPuttingAverage",2006
140,140,"Charles Warren",93,1.634,2647,1620,"OverallPuttingAverage",2006
142,142,"Tjaart van der Walt",60,1.635,1677,1026,"OverallPuttingAverage",2006
143,143,"Tim Herron",82,1.636,2385,1458,"OverallPuttingAverage",2006
143,143,"Jason Schultz",77,1.636,2209,1350,"OverallPuttingAverage",2006
145,145,"Alex Cejka",93,1.637,2681,1638,"OverallPuttingAverage",2006
145,145,"Bob May",65,1.637,1827,1116,"OverallPuttingAverage",2006
145,145,"Duffy Waldorf",96,1.637,2711,1656,"OverallPuttingAverage",2006
148,148,"Chad Campbell",91,1.639,2567,1566,"OverallPuttingAverage",2006
148,148,"KJ Choi",93,1.639,2715,1656,"OverallPuttingAverage",2006
148,148,"Ben Curtis",86,1.639,2537,1548,"OverallPuttingAverage",2006
148,148,"Jason Gore",86,1.639,2478,1512,"OverallPuttingAverage",2006
148,148,"Kevin Sutherland",100,1.639,2832,1728,"OverallPuttingAverage",2006
153,153,"Peter Lonard",77,1.64,2243,1368,"OverallPuttingAverage",2006
153,153,"Troy Matteson",101,1.64,2982,1818,"OverallPuttingAverage",2006
153,153,"Shaun Micheel",96,1.64,2746,1674,"OverallPuttingAverage",2006
156,156,"Scott Gutschewski",53,1.641,1506,918,"OverallPuttingAverage",2006
157,157,"Sean OHair",100,1.642,2897,1764,"OverallPuttingAverage",2006
157,157,"Arron Oberholser",82,1.642,2335,1422,"OverallPuttingAverage",2006
157,157,"Bubba Watson",83,1.642,2335,1422,"OverallPuttingAverage",2006
160,160,"Heath Slocum",96,1.643,2751,1674,"OverallPuttingAverage",2006
161,161,"Brandt Jobe",91,1.644,2604,1584,"OverallPuttingAverage",2006
162,162,"Rich Beem",85,1.645,2457,1494,"OverallPuttingAverage",2006
163,163,"Briny Baird",81,1.646,2282,1386,"OverallPuttingAverage",2006
163,163,"Greg Owen",79,1.646,2282,1386,"OverallPuttingAverage",2006
163,163,"Ron Whittaker",81,1.646,2341,1422,"OverallPuttingAverage",2006
166,166,"Hunter Mahan",98,1.647,2906,1764,"OverallPuttingAverage",2006
166,166,"Jon Mills",68,1.647,1957,1188,"OverallPuttingAverage",2006
168,168,"Jeff Brehaut",100,1.648,2848,1728,"OverallPuttingAverage",2006
168,168,"Ted Purdy",103,1.648,2996,1818,"OverallPuttingAverage",2006
170,170,"David Branshaw",98,1.649,2908,1764,"OverallPuttingAverage",2006
170,170,"JJ Henry",96,1.649,2761,1674,"OverallPuttingAverage",2006
172,172,"Wes Short Jr",96,1.65,2792,1692,"OverallPuttingAverage",2006
173,173,"Paul Stankowski",70,1.651,2080,1260,"OverallPuttingAverage",2006
174,174,"JB Holmes",81,1.653,2291,1386,"OverallPuttingAverage",2006
174,174,"Charles Howell III",96,1.653,2767,1674,"OverallPuttingAverage",2006
176,176,"Sergio Garcia",59,1.655,1638,990,"OverallPuttingAverage",2006
177,177,"Joe Durant",101,1.656,3011,1818,"OverallPuttingAverage",2006
178,178,"Chris Couch",75,1.657,2237,1350,"OverallPuttingAverage",2006
179,179,"John Senden",96,1.658,2775,1674,"OverallPuttingAverage",2006
180,180,"Steve Elkington",52,1.66,1524,918,"OverallPuttingAverage",2006
181,181,"Carlos Franco",86,1.661,2571,1548,"OverallPuttingAverage",2006
182,182,"Will Ma Kenzie",91,1.665,2637,1584,"OverallPuttingAverage",2006
183,183,"Jonathan Kaye",95,1.666,2759,1656,"OverallPuttingAverage",2006
184,184,"Michael Connell",51,1.667,1440,864,"OverallPuttingAverage",2006
184,184,"Joey Sindelar",90,1.667,2700,1620,"OverallPuttingAverage",2006
186,186,"Fred Couples",52,1.668,1501,900,"OverallPuttingAverage",2006
187,187,"Bart Bryant",87,1.67,2585,1548,"OverallPuttingAverage",2006
188,188,"Tom Lehman",70,1.671,1805,1080,"OverallPuttingAverage",2006
189,189,"Thomas Levet",53,1.672,1535,918,"OverallPuttingAverage",2006
190,190,"Jeff Gove",91,1.673,2620,1566,"OverallPuttingAverage",2006
190,190,"Nicholas Thompson",96,1.673,2801,1674,"OverallPuttingAverage",2006
192,192,"Mathew Goggin",72,1.675,2111,1260,"OverallPuttingAverage",2006
192,192,"Matt Hansen",68,1.675,1990,1188,"OverallPuttingAverage",2006
194,194,"Kenny Perry",73,1.677,2174,1296,"OverallPuttingAverage",2006
194,194,"Chris Smith",67,1.677,2022,1206,"OverallPuttingAverage",2006
194,194,"Roger Tambellini",64,1.677,1841,1098,"OverallPuttingAverage",2006
