"TenthTeeLateScoringAverage_RANKTHISWEEK_2010","TenthTeeLateScoringAverage_RANKLASTWEEK_2010","TenthTeeLateScoringAverage_PLAYERNAME_2010","TenthTeeLateScoringAverage_ROUNDS_2010","TenthTeeLateScoringAverage_AVG_2010","TenthTeeLateScoringAverage_TOTALSTROKES_2010","TenthTeeLateScoringAverage_TOTAL10THTEELATERNDS_2010","stat_name","year"
1,1,"Joe Durant",67,68.63,1098,16,"TenthTeeLateScoringAverage",2010
2,2,"Phil Mickelson",76,68.67,206,3,"TenthTeeLateScoringAverage",2010
3,3,"Charley Hoffman",85,68.85,895,13,"TenthTeeLateScoringAverage",2010
4,4,"Retief Goosen",75,68.86,482,7,"TenthTeeLateScoringAverage",2010
5,5,"JP Hayes",79,68.88,551,8,"TenthTeeLateScoringAverage",2010
6,6,"Nick Watney",91,68.9,689,10,"TenthTeeLateScoringAverage",2010
7,7,"Paul Casey",64,69,483,7,"TenthTeeLateScoringAverage",2010
8,8,"George McNeill",79,69.09,760,11,"TenthTeeLateScoringAverage",2010
8,8,"Bo Van Pelt",104,69.09,760,11,"TenthTeeLateScoringAverage",2010
10,10,"Charles Howell III",103,69.27,1039,15,"TenthTeeLateScoringAverage",2010
11,11,"Brendon de Jonge",114,69.28,1247,18,"TenthTeeLateScoringAverage",2010
12,12,"Jason Day",82,69.38,902,13,"TenthTeeLateScoringAverage",2010
12,12,"Kenny Perry",69,69.38,555,8,"TenthTeeLateScoringAverage",2010
14,14,"Brandt Snedeker",89,69.43,972,14,"TenthTeeLateScoringAverage",2010
15,15,"Robert Allenby",76,69.44,625,9,"TenthTeeLateScoringAverage",2010
16,16,"Chris Couch",66,69.53,1182,17,"TenthTeeLateScoringAverage",2010
17,17,"Bill Haas",87,69.56,1113,16,"TenthTeeLateScoringAverage",2010
18,18,"Jason Bohn",84,69.57,974,14,"TenthTeeLateScoringAverage",2010
19,19,"Michael Connell",89,69.63,1114,16,"TenthTeeLateScoringAverage",2010
19,19,"Marc Leishman",87,69.63,557,8,"TenthTeeLateScoringAverage",2010
21,21,"Ben Crane",85,69.71,976,14,"TenthTeeLateScoringAverage",2010
22,22,"Blake Adams",84,69.72,1255,18,"TenthTeeLateScoringAverage",2010
23,23,"John Rollins",81,69.73,1046,15,"TenthTeeLateScoringAverage",2010
