"3PuttAvoidance1520_RANKTHISWEEK_2012","3PuttAvoidance1520_RANKLASTWEEK_2012","3PuttAvoidance1520_PLAYERNAME_2012","3PuttAvoidance1520_ROUNDS_2012","3PuttAvoidance1520_Pct_2012","3PuttAvoidance1520_TOTAL3PUTTS_2012","3PuttAvoidance1520_ATTEMPTS_2012","3PuttAvoidance1520_2PUTTORBETTERPct_2012","stat_name","year"
1,1,"Michael Bradley",63,0,NA,94,100,"3PuttAvoidance1520",2012
1,1,"Keegan Bradley",90,0,NA,138,100,"3PuttAvoidance1520",2012
1,1,"KJ Choi",71,0,NA,113,100,"3PuttAvoidance1520",2012
1,1,"Ben Curtis",62,0,NA,111,100,"3PuttAvoidance1520",2012
1,1,"Luke Donald",63,0,NA,99,100,"3PuttAvoidance1520",2012
1,1,"Harrison Frazar",56,0,NA,96,100,"3PuttAvoidance1520",2012
1,1,"Jim Furyk",85,0,NA,133,100,"3PuttAvoidance1520",2012
1,1,"Bill Haas",79,0,NA,116,100,"3PuttAvoidance1520",2012
1,1,"Padraig Harrington",67,0,NA,82,100,"3PuttAvoidance1520",2012
1,1,"Zach Johnson",95,0,NA,138,100,"3PuttAvoidance1520",2012
1,1,"Dustin Johnson",70,0,NA,93,100,"3PuttAvoidance1520",2012
1,1,"Matt Jones",53,0,NA,77,100,"3PuttAvoidance1520",2012
1,1,"Robert Karlsson",54,0,NA,84,100,"3PuttAvoidance1520",2012
1,1,"Troy Kelly",68,0,NA,100,100,"3PuttAvoidance1520",2012
1,1,"Kevin Kisner",69,0,NA,103,100,"3PuttAvoidance1520",2012
1,1,"Russell Knox",72,0,NA,114,100,"3PuttAvoidance1520",2012
1,1,"Richard Lee",71,0,NA,107,100,"3PuttAvoidance1520",2012
1,1,"Justin Leonard",79,0,NA,124,100,"3PuttAvoidance1520",2012
1,1,"Spencer Levin",81,0,NA,110,100,"3PuttAvoidance1520",2012
1,1,"Edward Loar",59,0,NA,71,100,"3PuttAvoidance1520",2012
1,1,"Davis Love III",64,0,NA,91,100,"3PuttAvoidance1520",2012
1,1,"Jeff Maggert",83,0,NA,147,100,"3PuttAvoidance1520",2012
1,1,"Graeme McDowell",55,0,NA,79,100,"3PuttAvoidance1520",2012
1,1,"George McNeill",85,0,NA,119,100,"3PuttAvoidance1520",2012
1,1,"Rocco Mediate",70,0,NA,117,100,"3PuttAvoidance1520",2012
1,1,"Garth Mulroy",59,0,NA,93,100,"3PuttAvoidance1520",2012
1,1,"Louis Oosthuizen",65,0,NA,109,100,"3PuttAvoidance1520",2012
1,1,"Ryan Palmer",81,0,NA,135,100,"3PuttAvoidance1520",2012
1,1,"Brendan Steele",77,0,NA,133,100,"3PuttAvoidance1520",2012
1,1,"Henrik Stenson",51,0,NA,85,100,"3PuttAvoidance1520",2012
1,1,"Steve Stricker",73,0,NA,96,100,"3PuttAvoidance1520",2012
1,1,"David Toms",60,0,NA,73,100,"3PuttAvoidance1520",2012
1,1,"Bo Van Pelt",84,0,NA,148,100,"3PuttAvoidance1520",2012
1,1,"Johnson Wagner",88,0,NA,139,100,"3PuttAvoidance1520",2012
1,1,"Lee Westwood",60,0,NA,75,100,"3PuttAvoidance1520",2012
36,36,"Brian Harman",101,0.64,1,157,99.3,"3PuttAvoidance1520",2012
36,36,"Nick Watney",97,0.64,1,156,99.3,"3PuttAvoidance1520",2012
38,38,"Will Claxton",99,0.65,1,153,99.3,"3PuttAvoidance1520",2012
38,38,"Harris English",98,0.65,1,153,99.3,"3PuttAvoidance1520",2012
40,40,"Carl Pettersson",92,0.66,1,152,99.3,"3PuttAvoidance1520",2012
41,41,"Roberto Castro",92,0.67,1,150,99.3,"3PuttAvoidance1520",2012
42,42,"Kyle Stanley",86,0.68,1,146,99.3,"3PuttAvoidance1520",2012
43,43,"Brian Gay",91,0.7,1,143,99.3,"3PuttAvoidance1520",2012
44,44,"Tim Herron",88,0.71,1,141,99.2,"3PuttAvoidance1520",2012
44,44,"Webb Simpson",77,0.71,1,141,99.2,"3PuttAvoidance1520",2012
46,46,"Brian Davis",91,0.74,1,135,99.2,"3PuttAvoidance1520",2012
47,47,"Chris Stroud",86,0.75,1,133,99.2,"3PuttAvoidance1520",2012
48,48,"Colt Knost",79,0.78,1,129,99.2,"3PuttAvoidance1520",2012
49,49,"John Rollins",81,0.79,1,127,99.2,"3PuttAvoidance1520",2012
50,50,"Nick OHern",78,0.81,1,124,99.1,"3PuttAvoidance1520",2012
51,51,"Jason Bohn",81,0.82,1,122,99.1,"3PuttAvoidance1520",2012
