"ScramblingfromOtherLocations_RANKTHISWEEK_2014","ScramblingfromOtherLocations_RANKLASTWEEK_2014","ScramblingfromOtherLocations_PLAYERNAME_2014","ScramblingfromOtherLocations_ROUNDS_2014","ScramblingfromOtherLocations_Pct_2014","ScramblingfromOtherLocations_SUCCESSES_2014","ScramblingfromOtherLocations_ATTEMPTS_2014","stat_name","year"
1,1,"Sergio Garcia",61,74.19,46,62,"ScramblingfromOtherLocations",2014
2,2,"Jim Furyk",84,71.43,70,98,"ScramblingfromOtherLocations",2014
3,3,"Brian Gay",81,70.47,105,149,"ScramblingfromOtherLocations",2014
4,4,"Kevin Na",94,70.32,109,155,"ScramblingfromOtherLocations",2014
5,5,"Tim Wilkinson",86,70.29,123,175,"ScramblingfromOtherLocations",2014
6,6,"David Toms",64,69.92,86,123,"ScramblingfromOtherLocations",2014
7,7,"Ted Potter Jr",68,68.47,76,111,"ScramblingfromOtherLocations",2014
8,8,"Ricky Barnes",92,68.06,130,191,"ScramblingfromOtherLocations",2014
9,9,"Justin Rose",70,67.37,64,95,"ScramblingfromOtherLocations",2014
10,10,"Shawn Stefani",60,66.67,68,102,"ScramblingfromOtherLocations",2014
11,11,"Keegan Bradley",89,66.42,89,134,"ScramblingfromOtherLocations",2014
12,12,"Luke Guthrie",85,66.29,116,175,"ScramblingfromOtherLocations",2014
13,13,"Freddie Jacobson",91,66.27,112,169,"ScramblingfromOtherLocations",2014
14,14,"YE Yang",79,66.21,96,145,"ScramblingfromOtherLocations",2014
15,15,"Gary Woodland",93,65.6,82,125,"ScramblingfromOtherLocations",2014
16,16,"Charl Schwartzel",64,65.56,59,90,"ScramblingfromOtherLocations",2014
17,17,"Jordan Spieth",102,65.47,91,139,"ScramblingfromOtherLocations",2014
18,18,"Ernie Els",85,65.38,85,130,"ScramblingfromOtherLocations",2014
19,19,"Hideki Matsuyama",82,64.81,70,108,"ScramblingfromOtherLocations",2014
20,20,"JB Holmes",86,64.6,104,161,"ScramblingfromOtherLocations",2014
21,21,"Cameron Tringale",111,64.52,120,186,"ScramblingfromOtherLocations",2014
22,22,"Robert Streb",75,64.35,74,115,"ScramblingfromOtherLocations",2014
23,23,"Ryan Moore",86,64.29,72,112,"ScramblingfromOtherLocations",2014
24,24,"Jerry Kelly",80,64.24,97,151,"ScramblingfromOtherLocations",2014
25,25,"Brice Garnett",92,64,112,175,"ScramblingfromOtherLocations",2014
25,25,"Patrick Reed",92,64,96,150,"ScramblingfromOtherLocations",2014
27,27,"David Hearn",97,63.89,115,180,"ScramblingfromOtherLocations",2014
28,28,"Billy Hurley III",86,63.83,90,141,"ScramblingfromOtherLocations",2014
29,29,"Chris Kirk",105,63.78,118,185,"ScramblingfromOtherLocations",2014
30,30,"Brian Davis",93,63.64,119,187,"ScramblingfromOtherLocations",2014
