"ScoringAverage_RANKTHISWEEK_2016","ScoringAverage_RANKLASTWEEK_2016","ScoringAverage_PLAYERNAME_2016","ScoringAverage_ROUNDS_2016","ScoringAverage_AVG_2016","ScoringAverage_TOTALSTROKES_2016","ScoringAverage_TOTALADJUSTMENT_2016","ScoringAverage_TOTALROUNDS_2016","stat_name","year"
1,2,"Phil Mickelson",37,69.661,2381,NA,34,"ScoringAverage",2016
2,1,"Adam Scott",39,69.727,2510,0.185,36,"ScoringAverage",2016
3,3,"Rickie Fowler",42,69.815,2717,5.771,39,"ScoringAverage",2016
4,6,"Rory McIlroy",37,69.863,2105,NA,30,"ScoringAverage",2016
5,4,"Jordan Spieth",34,69.93,2099,NA,30,"ScoringAverage",2016
6,5,"Hideki Matsuyama",40,69.955,2590,NA,37,"ScoringAverage",2016
7,10,"Justin Rose",35,69.977,2250,NA,32,"ScoringAverage",2016
8,7,"Dustin Johnson",37,70.02,2243,NA,32,"ScoringAverage",2016
9,9,"Jason Day",36,70.106,2035,NA,29,"ScoringAverage",2016
10,8,"Charles Howell III",63,70.162,4400,20.19,63,"ScoringAverage",2016
11,12,"Branden Grace",31,70.177,1974,NA,28,"ScoringAverage",2016
12,11,"Patton Kizzire",57,70.204,3721,NA,53,"ScoringAverage",2016
13,14,"Bubba Watson",30,70.301,1893,5.133,27,"ScoringAverage",2016
14,16,"Matt Kuchar",46,70.314,2955,NA,42,"ScoringAverage",2016
15,18,"Kevin Na",52,70.35,3435,12.164,49,"ScoringAverage",2016
16,13,"Jamie Lovemark",57,70.385,3999,12.936,57,"ScoringAverage",2016
17,19,"William McGirt",54,70.394,3789,12.284,54,"ScoringAverage",2016
18,20,"Charl Schwartzel",29,70.403,1835,NA,26,"ScoringAverage",2016
19,21,"Marc Leishman",41,70.424,2657,19.13,38,"ScoringAverage",2016
20,15,"Paul Casey",39,70.439,2544,NA,36,"ScoringAverage",2016
21,22,"Brandt Snedeker",47,70.445,3021,8.138,43,"ScoringAverage",2016
22,23,"Jimmy Walker",43,70.447,2824,NA,40,"ScoringAverage",2016
23,24,"Russell Knox",48,70.448,3159,11.158,45,"ScoringAverage",2016
24,25,"Sergio Garcia",28,70.451,1766,NA,25,"ScoringAverage",2016
25,17,"Henrik Stenson",30,70.467,2117,NA,30,"ScoringAverage",2016
26,27,"Ryan Palmer",46,70.488,3241,1.447,46,"ScoringAverage",2016
27,30,"Jason Dufner",53,70.499,3518,6.936,50,"ScoringAverage",2016
28,35,"Lucas Glover",53,70.543,3723,15.805,53,"ScoringAverage",2016
29,29,"Kevin Kisner",49,70.587,3232,15.001,46,"ScoringAverage",2016
30,26,"Bill Haas",42,70.597,2686,NA,38,"ScoringAverage",2016
31,28,"Jason Bohn",37,70.631,2599,14.359,37,"ScoringAverage",2016
32,36,"Billy Horschel",45,70.634,2987,NA,42,"ScoringAverage",2016
33,37,"Chez Reavie",56,70.646,3936,20.194,56,"ScoringAverage",2016
34,39,"Daniel Berger",52,70.654,3461,1.032,49,"ScoringAverage",2016
34,38,"Charley Hoffman",49,70.654,3268,NA,46,"ScoringAverage",2016
36,40,"Gary Woodland",45,70.681,3179,1.653,45,"ScoringAverage",2016
37,34,"Sean OHair",45,70.684,3169,11.759,45,"ScoringAverage",2016
38,33,"Kevin Chappell",49,70.693,3451,12.951,49,"ScoringAverage",2016
39,42,"Brooks Koepka",39,70.698,2406,NA,34,"ScoringAverage",2016
40,31,"JB Holmes",39,70.703,2558,NA,36,"ScoringAverage",2016
41,44,"Steve Stricker",25,70.718,1758,9.948,25,"ScoringAverage",2016
42,49,"Brendan Steele",48,70.726,3387,7.851,48,"ScoringAverage",2016
43,43,"Patrick Reed",53,70.733,3459,6.901,49,"ScoringAverage",2016
44,47,"Smylie Kaufman",57,70.741,3802,17.998,54,"ScoringAverage",2016
45,54,"Daniel Summerhays",55,70.753,3878,13.422,55,"ScoringAverage",2016
46,32,"Graham DeLaet",50,70.777,3541,NA,50,"ScoringAverage",2016
47,52,"Russell Henley",42,70.784,2962,10.93,42,"ScoringAverage",2016
48,53,"Aaron Baddeley",51,70.788,3595,15.196,51,"ScoringAverage",2016
49,55,"Freddie Jacobson",54,70.792,3811,11.752,54,"ScoringAverage",2016
50,71,"Roberto Castro",55,70.798,3869,24.889,55,"ScoringAverage",2016
51,45,"Luke List",51,70.8,3608,2.818,51,"ScoringAverage",2016
52,46,"Alex Cejka",47,70.82,3294,34.549,47,"ScoringAverage",2016
53,48,"Si Woo Kim",63,70.834,4456,6.515,63,"ScoringAverage",2016
54,66,"Francesco Molinari",36,70.835,2554,NA,36,"ScoringAverage",2016
55,58,"KJ Choi",47,70.839,3325,4.418,47,"ScoringAverage",2016
