"25FinalRoundPerformance_RANKTHISWEEK_2009","25FinalRoundPerformance_RANKLASTWEEK_2009","25FinalRoundPerformance_PLAYERNAME_2009","25FinalRoundPerformance_EVENTS_2009","25FinalRoundPerformance_PctTIMESIMPROVED_2009","25FinalRoundPerformance_OFTIMESIMPROVED_2009","stat_name","year"
1,1,"Matt Kuchar",24,100,6,"25FinalRoundPerformance",2009
1,1,"Ian Poulter",17,100,3,"25FinalRoundPerformance",2009
1,1,"Tiger Woods",17,100,1,"25FinalRoundPerformance",2009
4,4,"Ben Crane",27,90,9,"25FinalRoundPerformance",2009
5,5,"Jonathan Byrd",25,88.9,8,"25FinalRoundPerformance",2009
5,5,"Ben Curtis",18,88.9,8,"25FinalRoundPerformance",2009
5,5,"Sergio Garcia",17,88.9,8,"25FinalRoundPerformance",2009
8,8,"Tim Clark",23,87.5,7,"25FinalRoundPerformance",2009
8,8,"Mathew Goggin",26,87.5,7,"25FinalRoundPerformance",2009
8,8,"Tim Herron",27,87.5,7,"25FinalRoundPerformance",2009
8,8,"Ryan Moore",27,87.5,7,"25FinalRoundPerformance",2009
8,8,"Justin Rose",22,87.5,7,"25FinalRoundPerformance",2009
13,13,"Stephen Ames",23,85.7,6,"25FinalRoundPerformance",2009
13,13,"KJ Choi",22,85.7,6,"25FinalRoundPerformance",2009
13,13,"Kevin Stadler",20,85.7,6,"25FinalRoundPerformance",2009
13,13,"Dean Wilson",29,85.7,6,"25FinalRoundPerformance",2009
17,17,"Cliff Kresge",28,83.3,5,"25FinalRoundPerformance",2009
17,17,"Mark Wilson",28,83.3,10,"25FinalRoundPerformance",2009
19,19,"Jeff Klauk",29,81.8,9,"25FinalRoundPerformance",2009
19,19,"Kevin Sutherland",27,81.8,9,"25FinalRoundPerformance",2009
19,19,"Jay Williamson",22,81.8,9,"25FinalRoundPerformance",2009
22,22,"Ricky Barnes",23,80,8,"25FinalRoundPerformance",2009
22,22,"Jeff Quinney",26,80,8,"25FinalRoundPerformance",2009
22,22,"Camilo Villegas",21,80,8,"25FinalRoundPerformance",2009
25,25,"Luke Donald",21,77.8,7,"25FinalRoundPerformance",2009
25,25,"Ernie Els",19,77.8,7,"25FinalRoundPerformance",2009
25,25,"Todd Hamilton",29,77.8,7,"25FinalRoundPerformance",2009
28,28,"Ken Duke",29,76.9,10,"25FinalRoundPerformance",2009
28,28,"Charles Howell III",29,76.9,10,"25FinalRoundPerformance",2009
30,30,"Robert Allenby",21,75,6,"25FinalRoundPerformance",2009
30,30,"Brendon de Jonge",29,75,9,"25FinalRoundPerformance",2009
30,30,"Dustin Johnson",25,75,6,"25FinalRoundPerformance",2009
30,30,"Davis Love III",27,75,9,"25FinalRoundPerformance",2009
30,30,"Steve Marino",29,75,6,"25FinalRoundPerformance",2009
30,30,"George McNeill",26,75,6,"25FinalRoundPerformance",2009
30,30,"Rod Pampling",23,75,3,"25FinalRoundPerformance",2009
30,30,"Rory Sabbatini",25,75,6,"25FinalRoundPerformance",2009
30,30,"Adam Scott",19,75,3,"25FinalRoundPerformance",2009
39,39,"Tim Petrovic",31,72.7,8,"25FinalRoundPerformance",2009
39,39,"Nicholas Thompson",31,72.7,8,"25FinalRoundPerformance",2009
41,41,"Aaron Baddeley",23,71.4,5,"25FinalRoundPerformance",2009
41,41,"Jason Day",18,71.4,5,"25FinalRoundPerformance",2009
41,41,"JJ Henry",28,71.4,10,"25FinalRoundPerformance",2009
41,41,"Marc Leishman",28,71.4,5,"25FinalRoundPerformance",2009
41,41,"Nick OHern",27,71.4,10,"25FinalRoundPerformance",2009
41,41,"Scott Piercy",28,71.4,5,"25FinalRoundPerformance",2009
41,41,"Scott Sterling",16,71.4,5,"25FinalRoundPerformance",2009
48,48,"Troy Matteson",30,70,7,"25FinalRoundPerformance",2009
48,48,"Carl Pettersson",29,70,7,"25FinalRoundPerformance",2009
50,50,"Eric Axley",30,66.7,4,"25FinalRoundPerformance",2009
50,50,"Briny Baird",28,66.7,4,"25FinalRoundPerformance",2009
50,50,"Kris Blanks",20,66.7,4,"25FinalRoundPerformance",2009
50,50,"Angel Cabrera",17,66.7,4,"25FinalRoundPerformance",2009
50,50,"Glen Day",26,66.7,6,"25FinalRoundPerformance",2009
50,50,"Bob Estes",23,66.7,6,"25FinalRoundPerformance",2009
50,50,"Derek Fathauer",25,66.7,4,"25FinalRoundPerformance",2009
50,50,"Jim Furyk",23,66.7,6,"25FinalRoundPerformance",2009
50,50,"Brian Gay",27,66.7,10,"25FinalRoundPerformance",2009
50,50,"Bill Haas",29,66.7,4,"25FinalRoundPerformance",2009
50,50,"Greg Kraft",21,66.7,2,"25FinalRoundPerformance",2009
50,50,"Chris Riley",22,66.7,8,"25FinalRoundPerformance",2009
50,50,"Andres Romero",20,66.7,6,"25FinalRoundPerformance",2009
50,50,"Brian Vranesh",20,66.7,4,"25FinalRoundPerformance",2009
50,50,"Johnson Wagner",26,66.7,8,"25FinalRoundPerformance",2009
50,50,"Boo Weekley",22,66.7,8,"25FinalRoundPerformance",2009
66,66,"Nathan Green",30,64.3,9,"25FinalRoundPerformance",2009
66,66,"Ted Purdy",30,64.3,9,"25FinalRoundPerformance",2009
