"MoneyperEventLeaders_RANKTHISWEEK_2013","MoneyperEventLeaders_RANKLASTWEEK_2013","MoneyperEventLeaders_PLAYERNAME_2013","MoneyperEventLeaders_EVENTS_2013","MoneyperEventLeaders_MONEYPEREVENT_2013","MoneyperEventLeaders_TOTALMONEY_2013","stat_name","year"
1,1,"Tiger Woods",16,534589,8553438,"MoneyperEventLeaders",2013
2,2,"Henrik Stenson",18,354901,6388229,"MoneyperEventLeaders",2013
3,3,"Steve Stricker",13,341579,4440531,"MoneyperEventLeaders",2013
4,4,"Adam Scott",16,305788,4892610,"MoneyperEventLeaders",2013
5,5,"Phil Mickelson",21,261704,5495793,"MoneyperEventLeaders",2013
6,6,"Matt Kuchar",23,244209,5616808,"MoneyperEventLeaders",2013
7,7,"Justin Rose",17,243891,4146148,"MoneyperEventLeaders",2013
8,8,"Brandt Snedeker",23,231221,5318087,"MoneyperEventLeaders",2013
9,9,"Jason Day",21,172620,3625029,"MoneyperEventLeaders",2013
10,10,"Jordan Spieth",23,168687,3879819,"MoneyperEventLeaders",2013
11,11,"Zach Johnson",24,168521,4044508,"MoneyperEventLeaders",2013
12,12,"Jim Furyk",22,145671,3204779,"MoneyperEventLeaders",2013
13,13,"Keegan Bradley",25,145472,3636812,"MoneyperEventLeaders",2013
14,14,"Jason Dufner",22,142375,3132267,"MoneyperEventLeaders",2013
15,15,"Bill Haas",25,139022,3475562,"MoneyperEventLeaders",2013
16,16,"Graeme McDowell",16,135912,2174595,"MoneyperEventLeaders",2013
17,17,"Dustin Johnson",22,134691,2963213,"MoneyperEventLeaders",2013
18,18,"Billy Horschel",26,134680,3501703,"MoneyperEventLeaders",2013
19,19,"Sergio Garcia",17,132419,2251138,"MoneyperEventLeaders",2013
20,20,"Kevin Streelman",25,123531,3088284,"MoneyperEventLeaders",2013
21,21,"Hunter Mahan",25,121446,3036163,"MoneyperEventLeaders",2013
22,22,"Charl Schwartzel",19,118774,2256722,"MoneyperEventLeaders",2013
23,23,"Webb Simpson",25,118303,2957581,"MoneyperEventLeaders",2013
24,24,"Luke Donald",17,113567,1930646,"MoneyperEventLeaders",2013
25,25,"Rory McIlroy",16,112652,1802442,"MoneyperEventLeaders",2013
26,26,"Shane Bertsch",1,112000,112000,"MoneyperEventLeaders",2013
26,26,"Franklin Corpening",1,112000,112000,"MoneyperEventLeaders",2013
26,26,"Danny Lee",1,112000,112000,"MoneyperEventLeaders",2013
29,29,"Lee Westwood",19,109564,2081731,"MoneyperEventLeaders",2013
30,30,"Graham DeLaet",26,109034,2834900,"MoneyperEventLeaders",2013
31,31,"Ian Poulter",16,107716,1723463,"MoneyperEventLeaders",2013
32,32,"Boo Weekley",27,103209,2786661,"MoneyperEventLeaders",2013
33,33,"Hideki Matsuyama",7,98639,690473,"MoneyperEventLeaders",2013
34,34,"Nick Watney",26,95293,2477639,"MoneyperEventLeaders",2013
35,35,"Eduardo De La Riva",1,95043,95043,"MoneyperEventLeaders",2013
36,36,"DA Points",28,94960,2658886,"MoneyperEventLeaders",2013
37,37,"Jimmy Walker",24,88232,2117570,"MoneyperEventLeaders",2013
38,38,"Mathew Goggin",1,86579,86579,"MoneyperEventLeaders",2013
39,39,"John Merrick",23,85629,1969478,"MoneyperEventLeaders",2013
40,40,"Angel Cabrera",21,85294,1791182,"MoneyperEventLeaders",2013
41,41,"Harris English",26,84660,2201166,"MoneyperEventLeaders",2013
42,42,"Jonas Blixt",24,84479,2027517,"MoneyperEventLeaders",2013
43,43,"Bubba Watson",21,83775,1759275,"MoneyperEventLeaders",2013
44,44,"Russell Henley",24,83667,2008025,"MoneyperEventLeaders",2013
45,45,"Martin Laird",21,83590,1755393,"MoneyperEventLeaders",2013
46,46,"Rickie Fowler",22,82579,1816741,"MoneyperEventLeaders",2013
47,47,"Michael Thompson",22,77619,1707637,"MoneyperEventLeaders",2013
48,48,"Scott Piercy",24,76253,1830084,"MoneyperEventLeaders",2013
49,49,"David Lingmerth",23,76004,1748109,"MoneyperEventLeaders",2013
50,50,"Patrick Reed",26,75443,1961519,"MoneyperEventLeaders",2013
51,51,"Roberto Castro",29,74306,2154897,"MoneyperEventLeaders",2013
52,52,"David Lynn",22,74238,1633253,"MoneyperEventLeaders",2013
53,53,"Gary Woodland",26,73681,1915731,"MoneyperEventLeaders",2013
54,54,"Charles Howell III",26,72207,1877389,"MoneyperEventLeaders",2013
55,55,"Chris Kirk",24,72025,1728616,"MoneyperEventLeaders",2013
56,56,"Matt Jones",24,71862,1724706,"MoneyperEventLeaders",2013
57,57,"Woody Austin",8,71100,568800,"MoneyperEventLeaders",2013
58,58,"Ryan Palmer",22,69163,1521592,"MoneyperEventLeaders",2013
59,59,"Charley Hoffman",23,68801,1582423,"MoneyperEventLeaders",2013
60,60,"Tim Clark",20,67797,1355952,"MoneyperEventLeaders",2013
61,61,"Ryan Moore",22,67739,1490265,"MoneyperEventLeaders",2013
62,62,"Marc Warren",2,66392,132785,"MoneyperEventLeaders",2013
63,63,"Kevin Chappell",24,66243,1589838,"MoneyperEventLeaders",2013
64,64,"Sangmoon Bae",26,65947,1714640,"MoneyperEventLeaders",2013
65,65,"Freddie Jacobson",19,65090,1236721,"MoneyperEventLeaders",2013
66,66,"Marc Leishman",23,64841,1491358,"MoneyperEventLeaders",2013
67,67,"Derek Ernst",21,63374,1330856,"MoneyperEventLeaders",2013
68,68,"Ernie Els",19,61776,1173761,"MoneyperEventLeaders",2013
69,69,"Chris Stroud",26,61620,1602121,"MoneyperEventLeaders",2013
70,70,"Danny Willett",2,61521,123043,"MoneyperEventLeaders",2013
71,71,"Ken Duke",28,61520,1722582,"MoneyperEventLeaders",2013
72,72,"Kyle Stanley",24,60955,1462943,"MoneyperEventLeaders",2013
73,73,"Morten Orum Madsen",1,60183,60183,"MoneyperEventLeaders",2013
73,73,"John Parry",1,60183,60183,"MoneyperEventLeaders",2013
75,75,"Scott Stallings",27,60097,1622627,"MoneyperEventLeaders",2013
76,76,"Brendon de Jonge",30,59841,1795244,"MoneyperEventLeaders",2013
77,77,"Steve Wheatcroft",1,59520,59520,"MoneyperEventLeaders",2013
78,78,"Brian Gay",24,59417,1426017,"MoneyperEventLeaders",2013
79,79,"Steven Tiley",1,56873,56873,"MoneyperEventLeaders",2013
80,80,"Miguel Angel Jimenez",3,56626,169880,"MoneyperEventLeaders",2013
81,81,"Bernhard Langer",1,56040,56040,"MoneyperEventLeaders",2013
82,82,"Josh Teater",24,55527,1332652,"MoneyperEventLeaders",2013
83,83,"John Huh",28,54624,1529482,"MoneyperEventLeaders",2013
84,84,"Fred Couples",4,54599,218398,"MoneyperEventLeaders",2013
85,85,"Jonathan Randolph",1,54000,54000,"MoneyperEventLeaders",2013
86,86,"Martin Kaymer",17,51937,882936,"MoneyperEventLeaders",2013
87,87,"Robert Garrigus",22,51470,1132355,"MoneyperEventLeaders",2013
88,88,"Kevin Stadler",25,51247,1281176,"MoneyperEventLeaders",2013
89,89,"Jason Kokrak",25,50700,1267524,"MoneyperEventLeaders",2013
90,90,"Rory Sabbatini",27,49178,1327822,"MoneyperEventLeaders",2013
91,91,"Daniel Summerhays",26,49149,1277886,"MoneyperEventLeaders",2013
92,92,"Gonzalo Fdez Castano",12,49137,589653,"MoneyperEventLeaders",2013
93,93,"Jeff Maggert",21,48682,1022330,"MoneyperEventLeaders",2013
94,94,"John Rollins",24,48502,1164049,"MoneyperEventLeaders",2013
95,95,"Scott Brown",21,48197,1012142,"MoneyperEventLeaders",2013
96,96,"Mark Wilson",19,48091,913729,"MoneyperEventLeaders",2013
97,97,"Stewart Cink",22,47850,1052711,"MoneyperEventLeaders",2013
98,98,"Brendon Todd",10,47321,473219,"MoneyperEventLeaders",2013
99,99,"Geoff Ogilvy",19,46995,892920,"MoneyperEventLeaders",2013
100,100,"Thorbjorn Olesen",11,46700,513700,"MoneyperEventLeaders",2013
101,101,"David Hearn",26,45058,1171514,"MoneyperEventLeaders",2013
102,102,"Pat Perez",22,44309,974800,"MoneyperEventLeaders",2013
103,103,"Brian Davis",28,43625,1221523,"MoneyperEventLeaders",2013
104,104,"Morgan Hoffmann",20,43550,871003,"MoneyperEventLeaders",2013
105,105,"Bo Van Pelt",22,43483,956629,"MoneyperEventLeaders",2013
106,106,"John Peterson",6,43279,259679,"MoneyperEventLeaders",2013
107,107,"Bob Estes",18,42762,769717,"MoneyperEventLeaders",2013
108,108,"Matt Every",28,42459,1188867,"MoneyperEventLeaders",2013
