"BogeyAvoidance_RANKTHISWEEK_2015","BogeyAvoidance_RANKLASTWEEK_2015","BogeyAvoidance_PLAYERNAME_2015","BogeyAvoidance_ROUNDS_2015","BogeyAvoidance_PctMAKESBOGEY_2015","BogeyAvoidance_BOGEYS_2015","BogeyAvoidance_HOLESPLAYED_2015","stat_name","year"
1,1,"Jason Day",75,12.11,157,1296,"BogeyAvoidance",2015
2,2,"Will Wilcox",58,12.76,124,972,"BogeyAvoidance",2015
3,3,"Jordan Spieth",91,13.13,208,1584,"BogeyAvoidance",2015
4,4,"John Peterson",84,13.29,201,1512,"BogeyAvoidance",2015
5,5,"Jason Bohn",95,13.51,231,1710,"BogeyAvoidance",2015
6,6,"Chad Collins",79,13.57,193,1422,"BogeyAvoidance",2015
7,7,"Henrik Stenson",63,13.61,147,1080,"BogeyAvoidance",2015
8,8,"Jim Furyk",71,13.72,158,1152,"BogeyAvoidance",2015
9,9,"Zach Johnson",90,13.86,217,1566,"BogeyAvoidance",2015
10,10,"Russell Knox",96,13.89,240,1728,"BogeyAvoidance",2015
11,11,"William McGirt",103,13.92,258,1854,"BogeyAvoidance",2015
12,12,"Billy Hurley III",83,13.99,199,1422,"BogeyAvoidance",2015
13,13,"Hideki Matsuyama",95,14.1,231,1638,"BogeyAvoidance",2015
14,14,"Matt Kuchar",97,14.13,239,1692,"BogeyAvoidance",2015
15,15,"Jim Herman",88,14.2,225,1584,"BogeyAvoidance",2015
16,16,"Zac Blair",108,14.21,266,1872,"BogeyAvoidance",2015
17,17,"Kevin Kisner",104,14.26,267,1872,"BogeyAvoidance",2015
17,17,"Francesco Molinari",56,14.26,136,954,"BogeyAvoidance",2015
17,17,"Justin Thomas",106,14.26,272,1908,"BogeyAvoidance",2015
20,20,"Harris English",105,14.27,262,1836,"BogeyAvoidance",2015
21,21,"Jonathan Byrd",69,14.44,169,1170,"BogeyAvoidance",2015
22,22,"David Toms",62,14.46,151,1044,"BogeyAvoidance",2015
23,23,"Bill Haas",89,14.53,225,1548,"BogeyAvoidance",2015
24,24,"Bubba Watson",71,14.54,178,1224,"BogeyAvoidance",2015
