"Par5GoingfortheGreen_RANKTHISWEEK_2016","Par5GoingfortheGreen_RANKLASTWEEK_2016","Par5GoingfortheGreen_PLAYERNAME_2016","Par5GoingfortheGreen_ROUNDS_2016","Par5GoingfortheGreen_Pct_2016","Par5GoingfortheGreen_ATTEMPTS_2016","Par5GoingfortheGreen_NONATTEMPTS_2016","stat_name","year"
1,1,"Rory McIlroy",37,80,64,16,"Par5GoingfortheGreen",2016
2,6,"Justin Rose",35,77.08,74,22,"Par5GoingfortheGreen",2016
3,5,"Rickie Fowler",42,75,84,28,"Par5GoingfortheGreen",2016
4,3,"Sergio Garcia",28,73.81,31,11,"Par5GoingfortheGreen",2016
5,4,"Bubba Watson",30,73.33,44,16,"Par5GoingfortheGreen",2016
6,2,"Adam Scott",39,72.37,55,21,"Par5GoingfortheGreen",2016
7,7,"Tony Finau",49,71.77,89,35,"Par5GoingfortheGreen",2016
8,11,"Gary Woodland",45,69.83,81,35,"Par5GoingfortheGreen",2016
9,8,"Luke List",51,69.7,92,40,"Par5GoingfortheGreen",2016
10,9,"Ollie Schniederjans",23,69.12,47,21,"Par5GoingfortheGreen",2016
11,10,"Andrew Loupe",50,68.24,101,47,"Par5GoingfortheGreen",2016
12,13,"Jhonattan Vegas",49,67.91,91,43,"Par5GoingfortheGreen",2016
13,12,"Jason Day",36,67.86,57,27,"Par5GoingfortheGreen",2016
14,18,"Phil Mickelson",37,67.71,65,31,"Par5GoingfortheGreen",2016
15,14,"Scott Piercy",45,67.39,62,30,"Par5GoingfortheGreen",2016
16,15,"Jimmy Walker",43,66.98,71,35,"Par5GoingfortheGreen",2016
17,19,"Jason Kokrak",52,66.67,96,48,"Par5GoingfortheGreen",2016
18,16,"Ryan Palmer",46,66.43,93,47,"Par5GoingfortheGreen",2016
19,17,"Kevin Kisner",49,66,66,34,"Par5GoingfortheGreen",2016
20,20,"Dustin Johnson",37,65.79,50,26,"Par5GoingfortheGreen",2016
21,21,"Smylie Kaufman",57,65.49,93,49,"Par5GoingfortheGreen",2016
22,24,"JB Holmes",39,65.38,68,36,"Par5GoingfortheGreen",2016
23,24,"Henrik Stenson",30,65.28,47,25,"Par5GoingfortheGreen",2016
24,42,"Hideki Matsuyama",40,63.83,60,34,"Par5GoingfortheGreen",2016
25,23,"Patrick Rodgers",49,63.24,86,50,"Par5GoingfortheGreen",2016
26,26,"Brooks Koepka",39,62.24,61,37,"Par5GoingfortheGreen",2016
27,37,"Harold Varner III",58,62.05,103,63,"Par5GoingfortheGreen",2016
28,22,"Greg Owen",56,61.7,87,54,"Par5GoingfortheGreen",2016
29,55,"Byeong Hun An",23,61.54,32,20,"Par5GoingfortheGreen",2016
30,31,"Si Woo Kim",63,61.05,105,67,"Par5GoingfortheGreen",2016
31,28,"Emiliano Grillo",47,61.02,72,46,"Par5GoingfortheGreen",2016
32,27,"Anirban Lahiri",44,60.87,56,36,"Par5GoingfortheGreen",2016
33,29,"Scott Pinckney",53,60.77,79,51,"Par5GoingfortheGreen",2016
34,33,"Rory Sabbatini",40,60.47,52,34,"Par5GoingfortheGreen",2016
35,39,"Fabian Gomez",49,60.29,82,54,"Par5GoingfortheGreen",2016
36,30,"Paul Casey",39,60.26,47,31,"Par5GoingfortheGreen",2016
37,35,"Jamie Lovemark",57,60,102,68,"Par5GoingfortheGreen",2016
38,49,"Sean OHair",45,59.85,79,53,"Par5GoingfortheGreen",2016
39,40,"Robert Garrigus",34,59.76,49,33,"Par5GoingfortheGreen",2016
40,46,"Daniel Berger",52,59.52,75,51,"Par5GoingfortheGreen",2016
41,41,"Angel Cabrera",42,59.48,69,47,"Par5GoingfortheGreen",2016
42,38,"Charl Schwartzel",29,59.21,45,31,"Par5GoingfortheGreen",2016
43,32,"Matt Jones",45,59,59,41,"Par5GoingfortheGreen",2016
44,51,"Patrick Reed",53,58.87,73,51,"Par5GoingfortheGreen",2016
45,43,"Keegan Bradley",40,58.7,54,38,"Par5GoingfortheGreen",2016
45,36,"Webb Simpson",34,58.7,54,38,"Par5GoingfortheGreen",2016
47,44,"Marc Leishman",41,58.33,49,35,"Par5GoingfortheGreen",2016
47,47,"Justin Thomas",53,58.33,70,50,"Par5GoingfortheGreen",2016
49,48,"Cameron Percy",22,58,29,21,"Par5GoingfortheGreen",2016
50,34,"Danny Lee",53,57.81,74,54,"Par5GoingfortheGreen",2016
51,57,"Graham DeLaet",50,57.75,82,60,"Par5GoingfortheGreen",2016
52,50,"Andy Sullivan",25,57.69,30,22,"Par5GoingfortheGreen",2016
53,62,"Lucas Glover",53,57.41,93,69,"Par5GoingfortheGreen",2016
54,52,"Matthew Fitzpatrick",23,57.14,24,18,"Par5GoingfortheGreen",2016
55,61,"Daniel Summerhays",55,57.04,81,61,"Par5GoingfortheGreen",2016
56,54,"Hudson Swafford",52,56.92,74,56,"Par5GoingfortheGreen",2016
57,53,"Vijay Singh",42,56.9,66,50,"Par5GoingfortheGreen",2016
58,45,"Adam Hadwin",53,56.79,92,70,"Par5GoingfortheGreen",2016
59,56,"Brandt Snedeker",47,56.78,67,51,"Par5GoingfortheGreen",2016
60,59,"Padraig Harrington",38,56.6,60,46,"Par5GoingfortheGreen",2016
61,65,"Charles Howell III",63,56.02,93,73,"Par5GoingfortheGreen",2016
62,69,"Carlos Ortiz",47,55.93,66,52,"Par5GoingfortheGreen",2016
63,58,"Ernie Els",34,55.21,53,43,"Par5GoingfortheGreen",2016
64,63,"Jordan Spieth",34,55.13,43,35,"Par5GoingfortheGreen",2016
65,60,"Harris English",51,54.87,62,51,"Par5GoingfortheGreen",2016
66,82,"Scott Stallings",46,54.62,71,59,"Par5GoingfortheGreen",2016
67,83,"Brendan Steele",48,54.55,72,60,"Par5GoingfortheGreen",2016
68,66,"Rhein Gibson",36,54.35,50,42,"Par5GoingfortheGreen",2016
69,68,"Stewart Cink",45,54,54,46,"Par5GoingfortheGreen",2016
70,67,"Bronson Burgoon",53,53.91,69,59,"Par5GoingfortheGreen",2016
71,70,"Pat Perez",28,53.85,28,24,"Par5GoingfortheGreen",2016
72,71,"Jason Dufner",53,53.77,57,49,"Par5GoingfortheGreen",2016
73,72,"Sam Saunders",40,53.49,46,40,"Par5GoingfortheGreen",2016
74,64,"David Lingmerth",54,53.45,62,54,"Par5GoingfortheGreen",2016
75,73,"Jim Herman",55,53.13,68,60,"Par5GoingfortheGreen",2016
76,74,"Ben Martin",48,53.08,69,61,"Par5GoingfortheGreen",2016
77,75,"Will Wilcox",47,53.03,70,62,"Par5GoingfortheGreen",2016
78,85,"Martin Laird",46,52.94,72,64,"Par5GoingfortheGreen",2016
79,78,"Chad Campbell",54,52.86,74,66,"Par5GoingfortheGreen",2016
79,86,"Kevin Chappell",49,52.86,74,66,"Par5GoingfortheGreen",2016
81,80,"Morgan Hoffmann",43,52.78,57,51,"Par5GoingfortheGreen",2016
82,93,"Brett Stegmaier",57,52.53,83,75,"Par5GoingfortheGreen",2016
83,76,"Jonas Blixt",46,52.24,70,64,"Par5GoingfortheGreen",2016
84,92,"Sung Kang",51,52.11,74,68,"Par5GoingfortheGreen",2016
85,76,"Alex Cejka",47,52,52,48,"Par5GoingfortheGreen",2016
85,79,"Bill Haas",42,52,52,48,"Par5GoingfortheGreen",2016
85,80,"Andres Romero",22,52,26,24,"Par5GoingfortheGreen",2016
88,83,"Billy Horschel",45,51.72,60,56,"Par5GoingfortheGreen",2016
89,86,"Boo Weekley",53,51.43,72,68,"Par5GoingfortheGreen",2016
90,95,"Whee Kim",54,51.06,72,69,"Par5GoingfortheGreen",2016
91,90,"Troy Merritt",41,50.96,53,51,"Par5GoingfortheGreen",2016
92,91,"Hiroshi Iwata",51,50.88,58,56,"Par5GoingfortheGreen",2016
