"ProximitytoHoleARG_RANKTHISWEEK_2009","ProximitytoHoleARG_RANKLASTWEEK_2009","ProximitytoHoleARG_PLAYERNAME_2009","ProximitytoHoleARG_ROUNDS_2009","ProximitytoHoleARG_AVGDTP_2009","ProximitytoHoleARG_TOTALDISTANCEFEET_2009","ProximitytoHoleARG_OFSHOTS_2009","ProximitytoHoleARG_SCRAMBLINGRANK_2009","stat_name","year"
1,1,"Ian Poulter",59,NA,1943.5,324,4,"ProximitytoHoleARG",2009
2,2,"Bob Estes",78,NA,2867.333,471,28,"ProximitytoHoleARG",2009
2,2,"Kevin Stadler",65,NA,2075.75,339,33,"ProximitytoHoleARG",2009
4,4,"Mark Brooks",55,NA,1746.917,284,10,"ProximitytoHoleARG",2009
4,4,"Steve Stricker",81,NA,2545.167,412,2,"ProximitytoHoleARG",2009
6,6,"Chris DiMarco",97,NA,3738.917,592,15,"ProximitytoHoleARG",2009
6,6,"Jim Furyk",86,NA,2683.667,423,8,"ProximitytoHoleARG",2009
6,6,"Brian Gay",96,NA,3498.5,552,7,"ProximitytoHoleARG",2009
6,6,"Padraig Harrington",66,NA,2354,371,11,"ProximitytoHoleARG",2009
6,6,"Rod Pampling",72,NA,2778,439,74,"ProximitytoHoleARG",2009
6,6,"Mike Weir",85,NA,2923.583,461,14,"ProximitytoHoleARG",2009
12,12,"Tim Clark",81,NA,2320.667,362,19,"ProximitytoHoleARG",2009
13,13,"Chad Campbell",90,NA,2912.25,447,67,"ProximitytoHoleARG",2009
13,13,"Zach Johnson",94,NA,3179,492,31,"ProximitytoHoleARG",2009
13,13,"Jerry Kelly",90,NA,3518.417,541,45,"ProximitytoHoleARG",2009
13,13,"Phil Mickelson",66,NA,2351.333,364,109,"ProximitytoHoleARG",2009
13,13,"Tom Pernice Jr",82,NA,3507.167,538,12,"ProximitytoHoleARG",2009
13,13,"Jimmy Walker",74,NA,3044.667,469,27,"ProximitytoHoleARG",2009
13,13,"Tiger Woods",64,NA,2081.083,322,1,"ProximitytoHoleARG",2009
20,20,"Robert Allenby",71,NA,2403.25,364,56,"ProximitytoHoleARG",2009
20,20,"Briny Baird",89,NA,2827.417,428,126,"ProximitytoHoleARG",2009
20,20,"Ben Crane",93,NA,3615.583,548,32,"ProximitytoHoleARG",2009
20,20,"Justin Leonard",95,NA,3089.75,471,63,"ProximitytoHoleARG",2009
20,20,"Bryce Molder",69,NA,2080,317,37,"ProximitytoHoleARG",2009
20,20,"Corey Pavin",73,NA,2386.667,362,80,"ProximitytoHoleARG",2009
20,20,"Chris Riley",77,NA,2989,456,9,"ProximitytoHoleARG",2009
20,20,"Justin Rose",71,NA,2617.583,400,87,"ProximitytoHoleARG",2009
20,20,"Darron Stiles",52,NA,1888.917,287,133,"ProximitytoHoleARG",2009
20,20,"Jay Williamson",69,NA,2219.417,337,86,"ProximitytoHoleARG",2009
30,30,"Matt Kuchar",82,NA,3320.833,500,3,"ProximitytoHoleARG",2009
31,31,"Stuart Appleby",79,NA,3095.333,457,160,"ProximitytoHoleARG",2009
31,31,"Freddie Jacobson",83,NA,3624.333,538,51,"ProximitytoHoleARG",2009
31,31,"Matt Jones",56,NA,2000.917,297,22,"ProximitytoHoleARG",2009
34,34,"Alex Cejka",82,NA,3240.5,476,108,"ProximitytoHoleARG",2009
34,34,"Brian Davis",103,NA,4430.333,651,95,"ProximitytoHoleARG",2009
34,34,"Luke Donald",79,NA,2876.417,421,20,"ProximitytoHoleARG",2009
34,34,"Jason Dufner",90,NA,3604.667,527,52,"ProximitytoHoleARG",2009
34,34,"Ernie Els",70,NA,2657.417,390,59,"ProximitytoHoleARG",2009
34,34,"Nick OHern",90,NA,3641.833,535,70,"ProximitytoHoleARG",2009
34,34,"Vijay Singh",71,NA,2513.917,366,147,"ProximitytoHoleARG",2009
34,34,"Scott Sterling",51,NA,1645.667,242,44,"ProximitytoHoleARG",2009
34,34,"Kirk Triplett",60,NA,2603.333,380,24,"ProximitytoHoleARG",2009
34,34,"Matt Weibring",65,NA,2484.917,363,42,"ProximitytoHoleARG",2009
34,34,"Dean Wilson",81,NA,3090.417,453,119,"ProximitytoHoleARG",2009
34,34,"Mark Wilson",99,NA,4036.833,591,21,"ProximitytoHoleARG",2009
46,46,"Brad Adamonis",70,NA,2982.333,433,36,"ProximitytoHoleARG",2009
46,46,"KJ Choi",65,NA,2297.417,331,141,"ProximitytoHoleARG",2009
46,46,"Steve Flesch",77,NA,2825.833,407,50,"ProximitytoHoleARG",2009
46,46,"Jason Gore",74,NA,2971.583,428,127,"ProximitytoHoleARG",2009
46,46,"Nathan Green",104,NA,4682.917,673,40,"ProximitytoHoleARG",2009
46,46,"Charley Hoffman",97,NA,4359.333,628,79,"ProximitytoHoleARG",2009
46,46,"Lee Janzen",74,NA,2952.167,427,66,"ProximitytoHoleARG",2009
46,46,"Michael Letzig",96,NA,4336.5,630,29,"ProximitytoHoleARG",2009
46,46,"John Mallinger",90,NA,3419.5,495,104,"ProximitytoHoleARG",2009
46,46,"Parker McLachlin",71,NA,3629.5,527,98,"ProximitytoHoleARG",2009
46,46,"Kevin Na",91,NA,3885.75,561,6,"ProximitytoHoleARG",2009
46,46,"Geoff Ogilvy",78,NA,2895.417,417,62,"ProximitytoHoleARG",2009
46,46,"Jeff Overton",92,NA,4126,597,95,"ProximitytoHoleARG",2009
46,46,"Brett Quigley",92,NA,3451.917,498,76,"ProximitytoHoleARG",2009
46,46,"Patrick Sheehan",51,NA,1645.333,238,23,"ProximitytoHoleARG",2009
61,61,"Greg Chalmers",85,NA,3500.167,499,55,"ProximitytoHoleARG",2009
61,61,"Fred Couples",54,NA,1904.75,271,175,"ProximitytoHoleARG",2009
61,61,"Ken Duke",87,NA,3658.833,523,53,"ProximitytoHoleARG",2009
61,61,"Charles Howell III",99,NA,4041.083,575,118,"ProximitytoHoleARG",2009
61,61,"Anthony Kim",76,NA,3151.917,452,124,"ProximitytoHoleARG",2009
61,61,"Tom Lehman",55,NA,1341.5,191,150,"ProximitytoHoleARG",2009
61,61,"David Toms",98,NA,3505.167,499,47,"ProximitytoHoleARG",2009
61,61,"Camilo Villegas",76,NA,2658.083,379,129,"ProximitytoHoleARG",2009
69,69,"Cameron Beckman",87,NA,3498.333,496,77,"ProximitytoHoleARG",2009
69,69,"Jason Bohn",88,NA,3492.333,493,163,"ProximitytoHoleARG",2009
69,69,"Angel Cabrera",55,NA,2071.583,292,117,"ProximitytoHoleARG",2009
69,69,"Glen Day",79,NA,2873.833,407,43,"ProximitytoHoleARG",2009
69,69,"Retief Goosen",74,NA,2960.333,418,64,"ProximitytoHoleARG",2009
69,69,"Jarrod Lyle",65,NA,2454.833,345,65,"ProximitytoHoleARG",2009
69,69,"Billy Mayfair",83,NA,3274.917,463,169,"ProximitytoHoleARG",2009
69,69,"Tim Petrovic",97,NA,4351.833,614,5,"ProximitytoHoleARG",2009
69,69,"Chez Reavie",81,NA,3261.5,463,71,"ProximitytoHoleARG",2009
69,69,"Webb Simpson",94,NA,4443.417,631,17,"ProximitytoHoleARG",2009
69,69,"Brandt Snedeker",81,NA,3054.417,429,25,"ProximitytoHoleARG",2009
69,69,"Charles Warren",63,NA,2555,361,121,"ProximitytoHoleARG",2009
69,69,"Charlie Wi",92,NA,3928.75,552,83,"ProximitytoHoleARG",2009
82,82,"Aaron Baddeley",66,NA,3211.083,450,92,"ProximitytoHoleARG",2009
82,82,"Daniel Chopra",89,NA,4506.5,626,152,"ProximitytoHoleARG",2009
82,82,"David Duval",56,NA,2324.75,324,183,"ProximitytoHoleARG",2009
82,82,"Paul Goydos",79,NA,3231.583,452,145,"ProximitytoHoleARG",2009
82,82,"Bob Heintz",59,NA,2481.75,347,26,"ProximitytoHoleARG",2009
82,82,"Spencer Levin",75,NA,3090.833,432,15,"ProximitytoHoleARG",2009
82,82,"Bill Lunde",83,NA,3662.5,510,49,"ProximitytoHoleARG",2009
82,82,"Will Ma Kenzie",69,NA,2966.25,413,164,"ProximitytoHoleARG",2009
82,82,"Sean OHair",80,NA,2827.583,396,113,"ProximitytoHoleARG",2009
82,82,"Joe Ogilvie",85,NA,4121.083,576,41,"ProximitytoHoleARG",2009
82,82,"Pat Perez",74,NA,3247.333,455,78,"ProximitytoHoleARG",2009
82,82,"Jeff Quinney",78,NA,3556.667,494,58,"ProximitytoHoleARG",2009
82,82,"Rory Sabbatini",81,NA,3541.667,497,129,"ProximitytoHoleARG",2009
82,82,"Adam Scott",53,NA,2166.75,301,171,"ProximitytoHoleARG",2009
82,82,"John Senden",100,NA,4067.917,569,128,"ProximitytoHoleARG",2009
82,82,"Heath Slocum",95,NA,3858,539,91,"ProximitytoHoleARG",2009
82,82,"Bo Van Pelt",100,NA,4186.083,582,57,"ProximitytoHoleARG",2009
82,82,"Scott Verplank",88,NA,3790.833,532,75,"ProximitytoHoleARG",2009
100,100,"Steve Elkington",70,NA,2965.75,407,99,"ProximitytoHoleARG",2009
100,100,"Sergio Garcia",59,NA,2146.75,297,101,"ProximitytoHoleARG",2009
100,100,"Ryuji Imada",85,NA,3769.583,521,54,"ProximitytoHoleARG",2009
100,100,"Cliff Kresge",78,NA,3419.5,470,72,"ProximitytoHoleARG",2009
100,100,"Peter Lonard",86,NA,3767.75,521,144,"ProximitytoHoleARG",2009
100,100,"Steve Marino",98,NA,3935.083,544,60,"ProximitytoHoleARG",2009
100,100,"George McNeill",82,NA,4087.917,562,29,"ProximitytoHoleARG",2009
100,100,"James Nitties",86,NA,4080.333,561,106,"ProximitytoHoleARG",2009
100,100,"Kevin Sutherland",96,NA,3547.667,492,81,"ProximitytoHoleARG",2009
100,100,"DJ Trahan",96,NA,3701.583,512,149,"ProximitytoHoleARG",2009
100,100,"Nick Watney",86,NA,3599.25,499,84,"ProximitytoHoleARG",2009
111,111,"Michael Allen",73,NA,2755.167,375,123,"ProximitytoHoleARG",2009
111,111,"Rich Beem",77,NA,2758.583,378,132,"ProximitytoHoleARG",2009
111,111,"Lucas Glover",93,NA,4207.917,576,97,"ProximitytoHoleARG",2009
111,111,"Jeff Klauk",97,NA,4313.667,587,34,"ProximitytoHoleARG",2009
111,111,"Scott McCarron",91,NA,4334.833,593,18,"ProximitytoHoleARG",2009
111,111,"Ryan Moore",89,NA,3931.917,536,46,"ProximitytoHoleARG",2009
111,111,"Kenny Perry",92,NA,3576.417,490,13,"ProximitytoHoleARG",2009
111,111,"Ted Purdy",101,NA,4538.583,617,151,"ProximitytoHoleARG",2009
111,111,"Brendon Todd",53,NA,2306.667,315,180,"ProximitytoHoleARG",2009
120,120,"Tommy Armour III",58,NA,2530.583,340,137,"ProximitytoHoleARG",2009
120,120,"Ricky Barnes",67,NA,2455.917,333,178,"ProximitytoHoleARG",2009
120,120,"Harrison Frazar",93,NA,4381.833,589,134,"ProximitytoHoleARG",2009
120,120,"Tim Herron",87,NA,4452.417,600,69,"ProximitytoHoleARG",2009
120,120,"Davis Love III",89,NA,3975.25,539,109,"ProximitytoHoleARG",2009
120,120,"Greg Owen",97,NA,3734.417,504,136,"ProximitytoHoleARG",2009
120,120,"DA Points",99,NA,4307.75,584,111,"ProximitytoHoleARG",2009
127,127,"Woody Austin",84,NA,3981.417,530,39,"ProximitytoHoleARG",2009
127,127,"Stewart Cink",79,NA,3135.667,420,113,"ProximitytoHoleARG",2009
127,127,"Jason Day",61,NA,2769.667,370,35,"ProximitytoHoleARG",2009
127,127,"Mathew Goggin",76,NA,3375.5,448,134,"ProximitytoHoleARG",2009
127,127,"Bill Haas",91,NA,4394.417,583,72,"ProximitytoHoleARG",2009
127,127,"Kent Jones",73,NA,3060.417,409,139,"ProximitytoHoleARG",2009
127,127,"Rocco Mediate",79,NA,3256.667,436,145,"ProximitytoHoleARG",2009
127,127,"Rick Price",54,NA,2160.583,287,161,"ProximitytoHoleARG",2009
127,127,"Vaughn Taylor",88,NA,4106.833,549,156,"ProximitytoHoleARG",2009
127,127,"YE Yang",83,NA,3593.583,479,90,"ProximitytoHoleARG",2009
137,137,"Stephen Ames",77,NA,2814.417,372,142,"ProximitytoHoleARG",2009
137,137,"Kris Blanks",60,NA,2439.917,320,131,"ProximitytoHoleARG",2009
137,137,"Bart Bryant",58,NA,2660.917,349,153,"ProximitytoHoleARG",2009
137,137,"Jonathan Byrd",89,NA,4095.917,543,148,"ProximitytoHoleARG",2009
137,137,"Mark Calcavecchia",72,NA,3358.75,442,101,"ProximitytoHoleARG",2009
137,137,"Ben Curtis",63,NA,2667.583,350,85,"ProximitytoHoleARG",2009
137,137,"Todd Hamilton",83,NA,3370.167,445,105,"ProximitytoHoleARG",2009
137,137,"David Mathis",82,NA,3790.583,500,47,"ProximitytoHoleARG",2009
137,137,"Troy Matteson",95,NA,4390.083,580,103,"ProximitytoHoleARG",2009
137,137,"Carl Pettersson",86,NA,4092.833,537,164,"ProximitytoHoleARG",2009
137,137,"Chris Stroud",88,NA,3671.5,484,168,"ProximitytoHoleARG",2009
137,137,"Bubba Watson",73,NA,3193.5,419,166,"ProximitytoHoleARG",2009
137,137,"Casey Wittenberg",71,NA,2776.583,368,61,"ProximitytoHoleARG",2009
150,150,"Richard Johnson",85,NA,3649.5,478,87,"ProximitytoHoleARG",2009
150,150,"Ryan Palmer",78,NA,3985.083,518,138,"ProximitytoHoleARG",2009
150,150,"Tag Ridings",50,NA,2229.583,292,140,"ProximitytoHoleARG",2009
153,153,"JJ Henry",97,NA,4051.5,524,89,"ProximitytoHoleARG",2009
153,153,"Dustin Johnson",85,NA,3572.583,459,143,"ProximitytoHoleARG",2009
153,153,"Colt Knost",71,NA,2849.833,367,157,"ProximitytoHoleARG",2009
153,153,"Kevin Streelman",97,NA,4462.833,575,167,"ProximitytoHoleARG",2009
153,153,"Peter Tomasulo",61,NA,2508.583,322,172,"ProximitytoHoleARG",2009
153,153,"Johnson Wagner",81,NA,4069,527,115,"ProximitytoHoleARG",2009
159,159,"Matt Bettencourt",98,NA,5064.583,650,125,"ProximitytoHoleARG",2009
159,159,"Robert Garrigus",83,NA,3764,482,111,"ProximitytoHoleARG",2009
159,159,"Jeff Maggert",79,NA,3740.833,476,68,"ProximitytoHoleARG",2009
159,159,"Brian Vranesh",51,NA,2502.083,321,38,"ProximitytoHoleARG",2009
159,159,"Boo Weekley",79,NA,3479.833,444,154,"ProximitytoHoleARG",2009
164,164,"Brendon de Jonge",90,NA,4415.333,560,155,"ProximitytoHoleARG",2009
164,164,"Brad Faxon",59,NA,3539.833,445,120,"ProximitytoHoleARG",2009
164,164,"Steve Lowery",83,NA,4612,582,82,"ProximitytoHoleARG",2009
167,167,"Marc Leishman",91,NA,4561.167,570,116,"ProximitytoHoleARG",2009
167,167,"Leif Olson",51,NA,2630.417,330,173,"ProximitytoHoleARG",2009
167,167,"Scott Piercy",85,NA,4446.667,554,107,"ProximitytoHoleARG",2009
167,167,"Aron Price",89,NA,4144.417,516,93,"ProximitytoHoleARG",2009
167,167,"John Rollins",92,NA,4830.833,606,93,"ProximitytoHoleARG",2009
172,172,"Brian Bateman",55,NA,2688.917,332,158,"ProximitytoHoleARG",2009
172,172,"Derek Fathauer",63,NA,3130,387,161,"ProximitytoHoleARG",2009
172,172,"JB Holmes",74,NA,3816.333,470,174,"ProximitytoHoleARG",2009
172,172,"Martin Laird",72,NA,3743.75,462,179,"ProximitytoHoleARG",2009
172,172,"Hunter Mahan",94,NA,4220.5,520,100,"ProximitytoHoleARG",2009
172,172,"John Merrick",91,NA,3747.833,464,159,"ProximitytoHoleARG",2009
172,172,"Nicholas Thompson",96,NA,4969.833,614,122,"ProximitytoHoleARG",2009
179,179,"Eric Axley",71,NA,3837,470,182,"ProximitytoHoleARG",2009
179,179,"Andres Romero",58,NA,2633.833,323,181,"ProximitytoHoleARG",2009
181,181,"Joe Durant",62,NA,2310.417,281,176,"ProximitytoHoleARG",2009
181,181,"Greg Kraft",51,NA,2405.333,291,177,"ProximitytoHoleARG",2009
181,181,"Gary Woodland",53,NA,2210,267,184,"ProximitytoHoleARG",2009
184,184,"Marc Turnesa",77,NA,4619.333,507,170,"ProximitytoHoleARG",2009
