"Total1PuttsInside5_RANKTHISWEEK_2010","Total1PuttsInside5_RANKLASTWEEK_2010","Total1PuttsInside5_PLAYERNAME_2010","Total1PuttsInside5_ROUNDS_2010","Total1PuttsInside5_TOTAL_2010","Total1PuttsInside5_TOTALFORALLDISTANCES_2010","Total1PuttsInside5_PCTOFALL1PUTTS_2010","stat_name","year"
1,1,"Spencer Levin",110,347,676,51.3,"Total1PuttsInside5",2010
2,2,"Brian Davis",101,339,656,51.7,"Total1PuttsInside5",2010
3,3,"Ryuji Imada",90,338,647,52.2,"Total1PuttsInside5",2010
4,4,"JB Holmes",100,337,648,52,"Total1PuttsInside5",2010
4,4,"Webb Simpson",98,337,662,50.9,"Total1PuttsInside5",2010
6,6,"Aaron Baddeley",94,332,645,51.5,"Total1PuttsInside5",2010
6,6,"Brian Gay",101,332,655,50.7,"Total1PuttsInside5",2010
8,8,"Greg Chalmers",93,331,661,50.1,"Total1PuttsInside5",2010
9,9,"Charles Howell III",103,328,626,52.4,"Total1PuttsInside5",2010
10,10,"Tom Gillis",97,324,659,49.2,"Total1PuttsInside5",2010
10,10,"Charlie Wi",95,324,687,47.2,"Total1PuttsInside5",2010
12,12,"Tim Petrovic",105,323,636,50.8,"Total1PuttsInside5",2010
13,13,"Stuart Appleby",101,321,627,51.2,"Total1PuttsInside5",2010
14,14,"Josh Teater",101,310,604,51.3,"Total1PuttsInside5",2010
15,15,"Joe Ogilvie",99,307,599,51.3,"Total1PuttsInside5",2010
15,15,"Bo Van Pelt",104,307,618,49.7,"Total1PuttsInside5",2010
17,17,"Pat Perez",90,306,614,49.8,"Total1PuttsInside5",2010
17,17,"Carl Pettersson",99,306,628,48.7,"Total1PuttsInside5",2010
19,19,"John Merrick",109,305,588,51.9,"Total1PuttsInside5",2010
20,20,"Nathan Green",86,304,597,50.9,"Total1PuttsInside5",2010
21,21,"Scott McCarron",90,301,584,51.5,"Total1PuttsInside5",2010
22,22,"Jeff Quinney",91,300,598,50.2,"Total1PuttsInside5",2010
23,23,"Matt Jones",89,299,593,50.4,"Total1PuttsInside5",2010
24,24,"Rickie Fowler",98,298,586,50.9,"Total1PuttsInside5",2010
25,25,"Brendon de Jonge",114,296,602,49.2,"Total1PuttsInside5",2010
26,26,"Brandt Snedeker",89,292,590,49.5,"Total1PuttsInside5",2010
27,27,"Woody Austin",93,288,573,50.3,"Total1PuttsInside5",2010
27,27,"Charley Hoffman",85,288,565,51,"Total1PuttsInside5",2010
29,29,"Kevin Na",94,287,571,50.3,"Total1PuttsInside5",2010
30,30,"Matt Bettencourt",91,286,545,52.5,"Total1PuttsInside5",2010
31,31,"Chad Collins",87,285,565,50.4,"Total1PuttsInside5",2010
32,32,"Ricky Barnes",103,281,577,48.7,"Total1PuttsInside5",2010
32,32,"Kevin Streelman",90,281,562,50,"Total1PuttsInside5",2010
34,34,"Chris DiMarco",88,280,549,51,"Total1PuttsInside5",2010
34,34,"Freddie Jacobson",83,280,557,50.3,"Total1PuttsInside5",2010
36,36,"Brett Quigley",96,279,563,49.6,"Total1PuttsInside5",2010
36,36,"Heath Slocum",97,279,513,54.4,"Total1PuttsInside5",2010
38,38,"Jerry Kelly",99,276,532,51.9,"Total1PuttsInside5",2010
39,39,"Jonathan Byrd",85,275,547,50.3,"Total1PuttsInside5",2010
39,39,"Matt Kuchar",97,275,560,49.1,"Total1PuttsInside5",2010
39,39,"Marc Leishman",87,275,518,53.1,"Total1PuttsInside5",2010
39,39,"Michael Letzig",84,275,554,49.6,"Total1PuttsInside5",2010
39,39,"James Nitties",92,275,578,47.6,"Total1PuttsInside5",2010
44,44,"Blake Adams",84,274,506,54.2,"Total1PuttsInside5",2010
