"DrivingPct240260AllDrives_RANKTHISWEEK_2011","DrivingPct240260AllDrives_RANKLASTWEEK_2011","DrivingPct240260AllDrives_PLAYERNAME_2011","DrivingPct240260AllDrives_ROUNDS_2011","DrivingPct240260AllDrives_Pct_2011","DrivingPct240260AllDrives_TOTALDRIVESFOR240260_2011","DrivingPct240260AllDrives_TOTALDRIVESOVERALL_2011","DrivingPct240260AllDrives_RELATIVETOPAR_2011","stat_name","year"
1,1,"Brian Gay",90,25.63,264,1030,0.034,"DrivingPct240260AllDrives",2011
2,2,"Jerry Kelly",85,23.1,219,948,-0.032,"DrivingPct240260AllDrives",2011
3,3,"Richard Johnson",64,22.52,170,755,0.159,"DrivingPct240260AllDrives",2011
4,4,"Dean Wilson",62,22.47,178,792,0.073,"DrivingPct240260AllDrives",2011
5,5,"Shane Bertsch",62,20.88,152,728,0.112,"DrivingPct240260AllDrives",2011
6,6,"Paul Goydos",81,20.54,212,1032,0.179,"DrivingPct240260AllDrives",2011
7,7,"Rocco Mediate",53,19.29,130,674,0.054,"DrivingPct240260AllDrives",2011
8,8,"Daniel Summerhays",75,19.13,176,920,0.153,"DrivingPct240260AllDrives",2011
9,9,"Nate Smith",66,18.62,138,741,0.261,"DrivingPct240260AllDrives",2011
10,10,"Justin Hicks",60,18.34,113,616,0.159,"DrivingPct240260AllDrives",2011
11,11,"Zach Johnson",79,18.19,163,896,0.006,"DrivingPct240260AllDrives",2011
11,11,"Nick OHern",89,18.19,193,1061,-0.005,"DrivingPct240260AllDrives",2011
13,13,"Greg Chalmers",88,18.15,200,1102,-0.02,"DrivingPct240260AllDrives",2011
14,14,"Bryce Molder",82,18.08,179,990,0.061,"DrivingPct240260AllDrives",2011
15,15,"Justin Leonard",82,17.77,183,1030,0.153,"DrivingPct240260AllDrives",2011
16,16,"Colt Knost",80,17.63,165,936,0.115,"DrivingPct240260AllDrives",2011
17,17,"Matt McQuillan",59,17.44,117,671,0.128,"DrivingPct240260AllDrives",2011
18,18,"Michael Connell",76,17.2,173,1006,0.058,"DrivingPct240260AllDrives",2011
18,18,"Nathan Green",81,17.2,168,977,0.202,"DrivingPct240260AllDrives",2011
20,20,"Ben Curtis",66,17.09,148,866,0.068,"DrivingPct240260AllDrives",2011
21,21,"David Toms",78,17.07,140,820,-0.043,"DrivingPct240260AllDrives",2011
22,22,"Kevin Na",84,17.02,161,946,0.075,"DrivingPct240260AllDrives",2011
23,23,"Garrett Willis",71,16.72,149,891,0.255,"DrivingPct240260AllDrives",2011
24,24,"Luke Donald",73,16.62,121,728,-0.124,"DrivingPct240260AllDrives",2011
25,25,"Alex Cejka",59,16.56,108,652,0,"DrivingPct240260AllDrives",2011
26,26,"Tim Petrovic",88,16.48,177,1074,0.13,"DrivingPct240260AllDrives",2011
27,27,"David Mathis",83,16.45,161,979,0.05,"DrivingPct240260AllDrives",2011
28,28,"Marc Turnesa",54,15.96,102,639,0.196,"DrivingPct240260AllDrives",2011
29,29,"Jason Bohn",74,15.92,150,942,0.067,"DrivingPct240260AllDrives",2011
30,30,"Stephen Ames",69,15.91,133,836,0.09,"DrivingPct240260AllDrives",2011
31,31,"Chris DiMarco",93,15.9,182,1145,0.137,"DrivingPct240260AllDrives",2011
32,32,"Chris Riley",76,15.61,148,948,0.149,"DrivingPct240260AllDrives",2011
33,33,"DJ Brigman",67,15.45,119,770,0.176,"DrivingPct240260AllDrives",2011
33,33,"Ian Poulter",52,15.45,85,550,0.094,"DrivingPct240260AllDrives",2011
35,35,"Ryuji Imada",83,15.28,162,1060,0.111,"DrivingPct240260AllDrives",2011
36,36,"Shaun Micheel",77,15.27,138,904,0.188,"DrivingPct240260AllDrives",2011
37,37,"Trevor Immelman",84,15.2,142,934,0.106,"DrivingPct240260AllDrives",2011
38,38,"Aron Price",58,15.16,104,686,0.058,"DrivingPct240260AllDrives",2011
39,39,"Michael Bradley",74,15.09,124,822,-0.008,"DrivingPct240260AllDrives",2011
