"3PuttAvoidance_RANKTHISWEEK_2016","3PuttAvoidance_RANKLASTWEEK_2016","3PuttAvoidance_PLAYERNAME_2016","3PuttAvoidance_ROUNDS_2016","3PuttAvoidance_Pct_2016","3PuttAvoidance_TOTAL3PUTTS_2016","3PuttAvoidance_TOTALHOLESOVERALL_2016","stat_name","year"
1,1,"Troy Merritt",41,1.22,9,738,"3PuttAvoidance",2016
2,3,"Marc Leishman",41,1.32,9,684,"3PuttAvoidance",2016
3,5,"Russell Henley",42,1.46,11,756,"3PuttAvoidance",2016
4,4,"Adam Hadwin",53,1.47,14,954,"3PuttAvoidance",2016
5,2,"Jason Bohn",37,1.5,10,666,"3PuttAvoidance",2016
5,7,"Retief Goosen",37,1.5,10,666,"3PuttAvoidance",2016
7,6,"Justin Leonard",28,1.59,8,504,"3PuttAvoidance",2016
8,8,"Ricky Barnes",57,1.66,17,1026,"3PuttAvoidance",2016
9,10,"Luke Donald",49,1.7,15,882,"3PuttAvoidance",2016
10,8,"Jon Curran",55,1.72,17,990,"3PuttAvoidance",2016
11,19,"Erik Compton",45,1.73,14,810,"3PuttAvoidance",2016
12,12,"Brian Gay",22,1.77,7,396,"3PuttAvoidance",2016
13,14,"Steve Stricker",25,1.78,8,450,"3PuttAvoidance",2016
14,15,"Spencer Levin",62,1.79,20,1116,"3PuttAvoidance",2016
15,12,"Jonas Blixt",46,1.81,15,828,"3PuttAvoidance",2016
16,11,"Daniel Summerhays",55,1.82,18,990,"3PuttAvoidance",2016
17,15,"Jordan Spieth",34,1.85,10,540,"3PuttAvoidance",2016
18,18,"KJ Choi",47,1.89,16,846,"3PuttAvoidance",2016
19,22,"Brendon de Jonge",55,1.92,19,990,"3PuttAvoidance",2016
20,15,"Daniel Berger",52,1.93,17,882,"3PuttAvoidance",2016
21,29,"Rickie Fowler",42,1.99,14,702,"3PuttAvoidance",2016
22,23,"Billy Hurley III",22,2.02,8,396,"3PuttAvoidance",2016
23,26,"Shane Bertsch",30,2.04,11,540,"3PuttAvoidance",2016
23,26,"Graeme McDowell",33,2.04,11,540,"3PuttAvoidance",2016
25,23,"Kevin Kisner",49,2.05,17,828,"3PuttAvoidance",2016
26,23,"Ryan Moore",40,2.06,13,630,"3PuttAvoidance",2016
27,30,"Aaron Baddeley",51,2.07,19,918,"3PuttAvoidance",2016
27,20,"Hiroshi Iwata",51,2.07,19,918,"3PuttAvoidance",2016
29,32,"Dustin Johnson",37,2.08,12,576,"3PuttAvoidance",2016
30,37,"Bryce Molder",50,2.11,19,900,"3PuttAvoidance",2016
30,28,"Camilo Villegas",50,2.11,19,900,"3PuttAvoidance",2016
32,34,"Charles Howell III",63,2.12,24,1134,"3PuttAvoidance",2016
33,36,"Stuart Appleby",39,2.14,15,702,"3PuttAvoidance",2016
34,39,"Luke Guthrie",31,2.15,12,558,"3PuttAvoidance",2016
34,39,"Carl Pettersson",31,2.15,12,558,"3PuttAvoidance",2016
36,41,"Freddie Jacobson",54,2.16,21,972,"3PuttAvoidance",2016
37,43,"Sung Kang",51,2.18,20,918,"3PuttAvoidance",2016
38,34,"Si Woo Kim",63,2.2,25,1134,"3PuttAvoidance",2016
38,46,"Peter Malnati",53,2.2,21,954,"3PuttAvoidance",2016
38,48,"Brendon Todd",43,2.2,17,774,"3PuttAvoidance",2016
38,43,"Steve Wheatcroft",53,2.2,21,954,"3PuttAvoidance",2016
42,61,"Roberto Castro",55,2.22,22,990,"3PuttAvoidance",2016
43,53,"Nick Taylor",57,2.24,23,1026,"3PuttAvoidance",2016
44,21,"Tony Finau",49,2.27,20,882,"3PuttAvoidance",2016
44,43,"Jerry Kelly",44,2.27,18,792,"3PuttAvoidance",2016
46,38,"Colt Knost",56,2.28,23,1008,"3PuttAvoidance",2016
47,64,"Phil Mickelson",37,2.29,14,612,"3PuttAvoidance",2016
48,83,"Francesco Molinari",36,2.31,15,648,"3PuttAvoidance",2016
49,54,"Brandt Snedeker",47,2.33,18,774,"3PuttAvoidance",2016
50,30,"Chad Collins",45,2.35,19,810,"3PuttAvoidance",2016
50,48,"Gary Woodland",45,2.35,19,810,"3PuttAvoidance",2016
52,54,"George McNeill",33,2.36,14,594,"3PuttAvoidance",2016
52,52,"Tim Wilkinson",40,2.36,17,720,"3PuttAvoidance",2016
54,42,"William McGirt",54,2.37,23,972,"3PuttAvoidance",2016
55,58,"Kelly Kraft",35,2.38,15,630,"3PuttAvoidance",2016
55,60,"Matt Kuchar",46,2.38,18,756,"3PuttAvoidance",2016
57,32,"Johnson Wagner",44,2.4,19,792,"3PuttAvoidance",2016
58,69,"Patton Kizzire",57,2.41,23,954,"3PuttAvoidance",2016
59,73,"David Hearn",55,2.42,24,990,"3PuttAvoidance",2016
60,54,"Jason Kokrak",52,2.46,23,936,"3PuttAvoidance",2016
61,48,"Sean OHair",45,2.47,20,810,"3PuttAvoidance",2016
62,65,"Zac Blair",56,2.48,25,1008,"3PuttAvoidance",2016
62,66,"Alex Cejka",47,2.48,21,846,"3PuttAvoidance",2016
62,66,"Carlos Ortiz",47,2.48,21,846,"3PuttAvoidance",2016
65,69,"Jason Day",36,2.49,13,522,"3PuttAvoidance",2016
65,69,"Kevin Na",52,2.49,22,882,"3PuttAvoidance",2016
67,81,"Brian Harman",60,2.5,27,1080,"3PuttAvoidance",2016
68,48,"Michael Kim",62,2.51,28,1116,"3PuttAvoidance",2016
69,74,"Wes Roach",33,2.53,15,594,"3PuttAvoidance",2016
70,72,"Martin Laird",46,2.54,21,828,"3PuttAvoidance",2016
70,74,"DH Lee",35,2.54,16,630,"3PuttAvoidance",2016
72,91,"Martin Piller",37,2.55,17,666,"3PuttAvoidance",2016
72,61,"Brendan Steele",48,2.55,22,864,"3PuttAvoidance",2016
74,76,"Kyle Reifers",63,2.56,29,1134,"3PuttAvoidance",2016
75,61,"Scott Langley",41,2.57,19,738,"3PuttAvoidance",2016
76,81,"Branden Grace",31,2.58,13,504,"3PuttAvoidance",2016
77,92,"James Hahn",45,2.59,21,810,"3PuttAvoidance",2016
78,94,"Will Wilcox",47,2.6,22,846,"3PuttAvoidance",2016
79,84,"John Huh",51,2.61,24,918,"3PuttAvoidance",2016
79,57,"Patrick Reed",53,2.61,23,882,"3PuttAvoidance",2016
81,95,"Brett Stegmaier",57,2.63,27,1026,"3PuttAvoidance",2016
82,79,"Tyrone Van Aswegen",67,2.65,32,1206,"3PuttAvoidance",2016
83,87,"Charley Hoffman",49,2.66,22,828,"3PuttAvoidance",2016
83,87,"Mark Hubbard",73,2.66,35,1314,"3PuttAvoidance",2016
83,86,"Ollie Schniederjans",23,2.66,11,414,"3PuttAvoidance",2016
86,89,"Smylie Kaufman",57,2.67,26,972,"3PuttAvoidance",2016
86,46,"Andrew Loupe",50,2.67,24,900,"3PuttAvoidance",2016
88,68,"Derek Fathauer",58,2.68,28,1044,"3PuttAvoidance",2016
89,58,"Ian Poulter",37,2.7,18,666,"3PuttAvoidance",2016
90,77,"Anirban Lahiri",44,2.71,20,738,"3PuttAvoidance",2016
90,77,"Henrik Norlander",41,2.71,20,738,"3PuttAvoidance",2016
92,92,"Cameron Smith",45,2.72,22,810,"3PuttAvoidance",2016
92,106,"Cameron Tringale",47,2.72,23,846,"3PuttAvoidance",2016
94,85,"Sam Saunders",40,2.78,20,720,"3PuttAvoidance",2016
94,122,"John Senden",48,2.78,24,864,"3PuttAvoidance",2016
94,110,"Kevin Streelman",46,2.78,23,828,"3PuttAvoidance",2016
94,98,"Chris Stroud",52,2.78,26,936,"3PuttAvoidance",2016
94,98,"Vaughn Taylor",30,2.78,15,540,"3PuttAvoidance",2016
99,95,"Scott Brown",59,2.82,30,1062,"3PuttAvoidance",2016
100,106,"David Lingmerth",54,2.83,26,918,"3PuttAvoidance",2016
100,95,"Kyle Stanley",57,2.83,29,1026,"3PuttAvoidance",2016
102,79,"Will Ma Kenzie",54,2.88,28,972,"3PuttAvoidance",2016
102,109,"Seung Yul Noh",54,2.88,28,972,"3PuttAvoidance",2016
104,110,"Dawie van der Walt",48,2.89,25,864,"3PuttAvoidance",2016
105,112,"Blayne Barber",44,2.9,23,792,"3PuttAvoidance",2016
105,136,"Scott Stallings",46,2.9,24,828,"3PuttAvoidance",2016
107,112,"Billy Horschel",45,2.91,22,756,"3PuttAvoidance",2016
107,98,"Matt Jones",45,2.91,22,756,"3PuttAvoidance",2016
107,112,"Scott Piercy",45,2.91,22,756,"3PuttAvoidance",2016
110,116,"Bill Haas",42,2.92,20,684,"3PuttAvoidance",2016
111,105,"Bronson Burgoon",53,2.94,28,954,"3PuttAvoidance",2016
111,127,"Harris English",51,2.94,27,918,"3PuttAvoidance",2016
113,119,"Russell Knox",48,2.96,24,810,"3PuttAvoidance",2016
114,121,"Ben Crane",48,3.01,26,864,"3PuttAvoidance",2016
114,98,"Ben Martin",48,3.01,26,864,"3PuttAvoidance",2016
116,120,"JJ Henry",44,3.03,24,792,"3PuttAvoidance",2016
116,122,"Andres Romero",22,3.03,12,396,"3PuttAvoidance",2016
118,98,"Mark Wilson",42,3.04,23,756,"3PuttAvoidance",2016
119,106,"Chesson Hadley",51,3.05,28,918,"3PuttAvoidance",2016
120,126,"Matthew Fitzpatrick",23,3.06,11,360,"3PuttAvoidance",2016
120,139,"Jhonattan Vegas",49,3.06,27,882,"3PuttAvoidance",2016
122,141,"Tom Hoge",47,3.07,26,846,"3PuttAvoidance",2016
122,127,"Zach Johnson",42,3.07,21,684,"3PuttAvoidance",2016
124,129,"Chez Reavie",56,3.08,31,1008,"3PuttAvoidance",2016
125,89,"Chad Campbell",54,3.09,30,972,"3PuttAvoidance",2016
125,130,"Louis Oosthuizen",25,3.09,10,324,"3PuttAvoidance",2016
127,156,"Lucas Glover",53,3.14,30,954,"3PuttAvoidance",2016
127,134,"Andres Gonzales",46,3.14,26,828,"3PuttAvoidance",2016
127,133,"Ryan Palmer",46,3.14,26,828,"3PuttAvoidance",2016
130,115,"Vijay Singh",42,3.17,24,756,"3PuttAvoidance",2016
131,141,"Shawn Stefani",45,3.21,26,810,"3PuttAvoidance",2016
131,139,"Hudson Swafford",52,3.21,30,936,"3PuttAvoidance",2016
133,130,"Padraig Harrington",38,3.22,22,684,"3PuttAvoidance",2016
134,98,"Paul Casey",39,3.24,21,648,"3PuttAvoidance",2016
134,143,"Andrew Landry",24,3.24,14,432,"3PuttAvoidance",2016
134,122,"Brian Stuard",24,3.24,14,432,"3PuttAvoidance",2016
137,125,"Tyler Aldridge",53,3.25,31,954,"3PuttAvoidance",2016
137,117,"Boo Weekley",53,3.25,31,954,"3PuttAvoidance",2016
139,160,"Fabian Gomez",49,3.26,27,828,"3PuttAvoidance",2016
139,146,"Chris Kirk",51,3.26,27,828,"3PuttAvoidance",2016
141,148,"Lucas Lee",22,3.28,13,396,"3PuttAvoidance",2016
142,130,"Kevin Chappell",49,3.29,29,882,"3PuttAvoidance",2016
142,149,"Whee Kim",54,3.29,32,972,"3PuttAvoidance",2016
144,136,"Geoff Ogilvy",37,3.3,22,666,"3PuttAvoidance",2016
145,153,"Angel Cabrera",42,3.31,25,756,"3PuttAvoidance",2016
146,98,"Steven Bowditch",40,3.33,24,720,"3PuttAvoidance",2016
146,151,"Stewart Cink",45,3.33,27,810,"3PuttAvoidance",2016
146,143,"Justin Thomas",53,3.33,30,900,"3PuttAvoidance",2016
149,147,"David Toms",38,3.36,23,684,"3PuttAvoidance",2016
150,156,"Rhein Gibson",36,3.4,22,648,"3PuttAvoidance",2016
151,158,"Charl Schwartzel",29,3.42,16,468,"3PuttAvoidance",2016
152,154,"Hideki Matsuyama",40,3.45,23,666,"3PuttAvoidance",2016
153,162,"Keegan Bradley",40,3.47,25,720,"3PuttAvoidance",2016
153,151,"Shane Lowry",35,3.47,20,576,"3PuttAvoidance",2016
155,145,"Morgan Hoffmann",43,3.49,27,774,"3PuttAvoidance",2016
155,179,"Hunter Mahan",43,3.49,27,774,"3PuttAvoidance",2016
157,134,"Michael Thompson",46,3.5,29,828,"3PuttAvoidance",2016
157,164,"Bubba Watson",30,3.5,17,486,"3PuttAvoidance",2016
159,191,"Byeong Hun An",23,3.51,12,342,"3PuttAvoidance",2016
160,154,"Henrik Stenson",30,3.52,19,540,"3PuttAvoidance",2016
161,167,"Cameron Percy",22,3.54,14,396,"3PuttAvoidance",2016
161,167,"Andy Sullivan",25,3.54,14,396,"3PuttAvoidance",2016
163,117,"Adam Scott",39,3.55,23,648,"3PuttAvoidance",2016
164,164,"Graham DeLaet",50,3.56,32,900,"3PuttAvoidance",2016
165,149,"Jeff Overton",51,3.59,33,918,"3PuttAvoidance",2016
165,162,"Webb Simpson",34,3.59,22,612,"3PuttAvoidance",2016
167,138,"Rob Oppenheim",37,3.6,24,666,"3PuttAvoidance",2016
168,177,"Jamie Lovemark",57,3.61,37,1026,"3PuttAvoidance",2016
168,166,"Steve Marino",40,3.61,26,720,"3PuttAvoidance",2016
168,171,"Jimmy Walker",43,3.61,26,720,"3PuttAvoidance",2016
168,171,"Bernd Wiesberger",23,3.61,13,360,"3PuttAvoidance",2016
172,174,"DJ Trahan",23,3.62,15,414,"3PuttAvoidance",2016
173,170,"Justin Rose",35,3.65,21,576,"3PuttAvoidance",2016
174,196,"Emiliano Grillo",47,3.66,29,792,"3PuttAvoidance",2016
175,177,"Jason Dufner",53,3.67,33,900,"3PuttAvoidance",2016
176,171,"Thomas Aiken",42,3.7,28,756,"3PuttAvoidance",2016
176,179,"Dicky Pride",33,3.7,22,594,"3PuttAvoidance",2016
178,179,"Robert Garrigus",34,3.76,23,612,"3PuttAvoidance",2016
179,185,"Pat Perez",28,3.77,19,504,"3PuttAvoidance",2016
179,185,"Darron Stiles",28,3.77,19,504,"3PuttAvoidance",2016
181,174,"Jamie Donaldson",28,3.78,17,450,"3PuttAvoidance",2016
182,169,"Jason Gore",51,3.81,35,918,"3PuttAvoidance",2016
183,179,"DA Points",32,3.82,22,576,"3PuttAvoidance",2016
184,187,"Brice Garnett",29,3.83,20,522,"3PuttAvoidance",2016
185,188,"Abraham Ancer",26,3.85,18,468,"3PuttAvoidance",2016
186,158,"Rory McIlroy",37,3.89,21,540,"3PuttAvoidance",2016
187,190,"Ernie Els",34,3.92,24,612,"3PuttAvoidance",2016
188,179,"Robert Allenby",35,3.97,25,630,"3PuttAvoidance",2016
188,195,"Patrick Rodgers",49,3.97,35,882,"3PuttAvoidance",2016
190,194,"Sergio Garcia",28,4,18,450,"3PuttAvoidance",2016
191,199,"JB Holmes",39,4.01,26,648,"3PuttAvoidance",2016
192,197,"Jim Herman",55,4.04,40,990,"3PuttAvoidance",2016
193,176,"Robert Streb",51,4.05,35,864,"3PuttAvoidance",2016
194,192,"Matt Every",34,4.08,25,612,"3PuttAvoidance",2016
195,188,"Luke List",51,4.14,38,918,"3PuttAvoidance",2016
196,192,"Derek Ernst",36,4.17,27,648,"3PuttAvoidance",2016
196,197,"Davis Love III",40,4.17,30,720,"3PuttAvoidance",2016
198,200,"Danny Lee",53,4.22,38,900,"3PuttAvoidance",2016
199,179,"Justin Hicks",26,4.27,20,468,"3PuttAvoidance",2016
200,201,"Brooks Koepka",39,4.41,27,612,"3PuttAvoidance",2016
201,202,"Greg Owen",56,4.46,45,1008,"3PuttAvoidance",2016
202,204,"Ken Duke",26,4.49,21,468,"3PuttAvoidance",2016
203,205,"Miguel Angel Carballo",24,4.63,20,432,"3PuttAvoidance",2016
204,202,"Harold Varner III",58,4.69,49,1044,"3PuttAvoidance",2016
205,206,"Scott Pinckney",53,4.82,46,954,"3PuttAvoidance",2016
206,207,"Rory Sabbatini",40,4.86,35,720,"3PuttAvoidance",2016
207,208,"Charlie Beljan",26,6.84,32,468,"3PuttAvoidance",2016
