"Front9Par4ScoringAverage_RANKTHISWEEK_2014","Front9Par4ScoringAverage_RANKLASTWEEK_2014","Front9Par4ScoringAverage_PLAYERNAME_2014","Front9Par4ScoringAverage_ROUNDS_2014","Front9Par4ScoringAverage_AVG_2014","Front9Par4ScoringAverage_TOTALSTROKES_2014","Front9Par4ScoringAverage_TOTALHOLES_2014","stat_name","year"
1,1,"Ryan Palmer",85,3.94,1877,476,"Front9Par4ScoringAverage",2014
2,2,"Sergio Garcia",61,3.95,1305,330,"Front9Par4ScoringAverage",2014
3,3,"Jim Furyk",84,3.96,1758,444,"Front9Par4ScoringAverage",2014
3,3,"Charles Howell III",106,3.96,2342,592,"Front9Par4ScoringAverage",2014
3,3,"Rory McIlroy",66,3.96,1408,356,"Front9Par4ScoringAverage",2014
3,3,"Robert Streb",75,3.96,1563,395,"Front9Par4ScoringAverage",2014
7,7,"Matt Kuchar",91,3.97,1951,492,"Front9Par4ScoringAverage",2014
7,7,"Justin Rose",70,3.97,1494,376,"Front9Par4ScoringAverage",2014
9,9,"Jonas Blixt",64,3.98,1362,342,"Front9Par4ScoringAverage",2014
9,9,"Keegan Bradley",89,3.98,1944,488,"Front9Par4ScoringAverage",2014
9,9,"Dustin Johnson",58,3.98,1255,315,"Front9Par4ScoringAverage",2014
9,9,"Jason Kokrak",65,3.98,1412,355,"Front9Par4ScoringAverage",2014
9,9,"Adam Scott",68,3.98,1527,384,"Front9Par4ScoringAverage",2014
9,9,"David Toms",64,3.98,1405,353,"Front9Par4ScoringAverage",2014
9,9,"Bubba Watson",76,3.98,1642,413,"Front9Par4ScoringAverage",2014
16,16,"Jason Day",54,3.99,1070,268,"Front9Par4ScoringAverage",2014
16,16,"Rickie Fowler",91,3.99,1878,471,"Front9Par4ScoringAverage",2014
16,16,"Charley Hoffman",93,3.99,2029,509,"Front9Par4ScoringAverage",2014
16,16,"George McNeill",79,3.99,1783,447,"Front9Par4ScoringAverage",2014
16,16,"Ian Poulter",57,3.99,1222,306,"Front9Par4ScoringAverage",2014
16,16,"Charl Schwartzel",64,3.99,1395,350,"Front9Par4ScoringAverage",2014
16,16,"Chris Stroud",88,3.99,1971,494,"Front9Par4ScoringAverage",2014
16,16,"Daniel Summerhays",98,3.99,2168,544,"Front9Par4ScoringAverage",2014
16,16,"Camilo Villegas",95,3.99,2115,530,"Front9Par4ScoringAverage",2014
16,16,"Jimmy Walker",98,3.99,2149,538,"Front9Par4ScoringAverage",2014
26,26,"Bud Cauley",56,4,1260,315,"Front9Par4ScoringAverage",2014
26,26,"Ben Crane",81,4,1839,460,"Front9Par4ScoringAverage",2014
26,26,"Graham DeLaet",80,4,1769,442,"Front9Par4ScoringAverage",2014
26,26,"Hideki Matsuyama",82,4,1804,451,"Front9Par4ScoringAverage",2014
26,26,"Phil Mickelson",71,4,1553,388,"Front9Par4ScoringAverage",2014
26,26,"Kevin Na",94,4,2129,532,"Front9Par4ScoringAverage",2014
26,26,"Gary Woodland",93,4,2033,508,"Front9Par4ScoringAverage",2014
33,33,"Kevin Chappell",100,4.01,2132,532,"Front9Par4ScoringAverage",2014
33,33,"Jerry Kelly",80,4.01,1793,447,"Front9Par4ScoringAverage",2014
33,33,"Kevin Kisner",85,4.01,1871,467,"Front9Par4ScoringAverage",2014
33,33,"Russell Knox",92,4.01,2035,508,"Front9Par4ScoringAverage",2014
33,33,"Ben Martin",80,4.01,1747,436,"Front9Par4ScoringAverage",2014
33,33,"William McGirt",96,4.01,2178,543,"Front9Par4ScoringAverage",2014
33,33,"Ryan Moore",86,4.01,1868,466,"Front9Par4ScoringAverage",2014
