"Scrambling1020ydsRTPScore_RANKTHISWEEK_2007","Scrambling1020ydsRTPScore_RANKLASTWEEK_2007","Scrambling1020ydsRTPScore_PLAYERNAME_2007","Scrambling1020ydsRTPScore_ROUNDS_2007","Scrambling1020ydsRTPScore_AVGRTP_2007","Scrambling1020ydsRTPScore_TOTALHOLES_2007","Scrambling1020ydsRTPScore_TOTALRTP_2007","stat_name","year"
1,1,"KJ Choi",87,0.22,177,39,"Scrambling1020ydsRTPScore",2007
2,2,"Kevin Na",84,0.242,219,53,"Scrambling1020ydsRTPScore",2007
3,3,"Craig Lile",77,0.25,168,42,"Scrambling1020ydsRTPScore",2007
4,4,"Aaron Baddeley",83,0.257,206,53,"Scrambling1020ydsRTPScore",2007
5,5,"Justin Leonard",95,0.261,203,53,"Scrambling1020ydsRTPScore",2007
6,6,"Mark Brooks",53,0.266,109,29,"Scrambling1020ydsRTPScore",2007
7,7,"Rory Sabbatini",81,0.269,175,47,"Scrambling1020ydsRTPScore",2007
8,8,"Stuart Appleby",74,0.27,163,44,"Scrambling1020ydsRTPScore",2007
8,8,"Ian Poulter",63,0.27,122,33,"Scrambling1020ydsRTPScore",2007
10,10,"Steve Elkington",87,0.277,206,57,"Scrambling1020ydsRTPScore",2007
11,11,"Steve Stricker",81,0.28,143,40,"Scrambling1020ydsRTPScore",2007
12,12,"Scott Verplank",82,0.288,163,47,"Scrambling1020ydsRTPScore",2007
13,13,"Bryce Molder",56,0.29,131,38,"Scrambling1020ydsRTPScore",2007
14,14,"Bob Heintz",85,0.293,205,60,"Scrambling1020ydsRTPScore",2007
15,15,"Tim Clark",66,0.294,153,45,"Scrambling1020ydsRTPScore",2007
15,15,"Doug LaBelle II",104,0.294,245,72,"Scrambling1020ydsRTPScore",2007
17,17,"John Rollins",102,0.295,234,69,"Scrambling1020ydsRTPScore",2007
18,18,"Jim Furyk",84,0.299,147,44,"Scrambling1020ydsRTPScore",2007
18,18,"Matt Kuchar",85,0.299,184,55,"Scrambling1020ydsRTPScore",2007
18,18,"Phil Mickelson",73,0.299,117,35,"Scrambling1020ydsRTPScore",2007
21,21,"Daniel Chopra",106,0.302,252,76,"Scrambling1020ydsRTPScore",2007
22,22,"Ryuji Imada",104,0.304,237,72,"Scrambling1020ydsRTPScore",2007
23,23,"Craig Kanada",109,0.308,247,76,"Scrambling1020ydsRTPScore",2007
24,24,"Bo Van Pelt",104,0.31,258,80,"Scrambling1020ydsRTPScore",2007
