"GIRPercentagefromOtherthanFairway_RANKTHISWEEK_2015","GIRPercentagefromOtherthanFairway_RANKLASTWEEK_2015","GIRPercentagefromOtherthanFairway_PLAYERNAME_2015","GIRPercentagefromOtherthanFairway_ROUNDS_2015","GIRPercentagefromOtherthanFairway_Pct_2015","GIRPercentagefromOtherthanFairway_GREENSHIT_2015","GIRPercentagefromOtherthanFairway_OFHOLES_2015","stat_name","year"
1,1,"Will Wilcox",58,61.64,143,232,"GIRPercentagefromOtherthanFairway",2015
2,2,"Jason Day",75,60.58,272,449,"GIRPercentagefromOtherthanFairway",2015
3,3,"Stewart Cink",77,60.3,278,461,"GIRPercentagefromOtherthanFairway",2015
4,4,"Martin Flores",95,59.23,324,547,"GIRPercentagefromOtherthanFairway",2015
5,5,"John Peterson",84,59.21,225,380,"GIRPercentagefromOtherthanFairway",2015
6,6,"Nicholas Thompson",90,58.56,219,374,"GIRPercentagefromOtherthanFairway",2015
7,7,"Derek Ernst",75,58.24,205,352,"GIRPercentagefromOtherthanFairway",2015
8,8,"Tony Finau",106,57.93,391,675,"GIRPercentagefromOtherthanFairway",2015
9,9,"Jason Kokrak",88,57.87,309,534,"GIRPercentagefromOtherthanFairway",2015
10,10,"Henrik Stenson",63,57.48,146,254,"GIRPercentagefromOtherthanFairway",2015
11,11,"Jim Herman",88,56.44,228,404,"GIRPercentagefromOtherthanFairway",2015
11,11,"Dustin Johnson",75,56.44,254,450,"GIRPercentagefromOtherthanFairway",2015
13,13,"Brendan Steele",88,56.36,257,456,"GIRPercentagefromOtherthanFairway",2015
14,14,"Charles Howell III",105,56.32,392,696,"GIRPercentagefromOtherthanFairway",2015
15,15,"Greg Owen",58,56.23,185,329,"GIRPercentagefromOtherthanFairway",2015
16,16,"Hudson Swafford",97,56.08,272,485,"GIRPercentagefromOtherthanFairway",2015
17,17,"Brooks Koepka",84,55.97,272,486,"GIRPercentagefromOtherthanFairway",2015
18,18,"Johnson Wagner",68,55.56,200,360,"GIRPercentagefromOtherthanFairway",2015
19,19,"Bubba Watson",71,55.53,236,425,"GIRPercentagefromOtherthanFairway",2015
20,20,"Boo Weekley",79,54.95,222,404,"GIRPercentagefromOtherthanFairway",2015
21,21,"Shawn Stefani",94,54.93,273,497,"GIRPercentagefromOtherthanFairway",2015
22,22,"Paul Casey",87,54.83,227,414,"GIRPercentagefromOtherthanFairway",2015
23,23,"Brendon de Jonge",106,54.74,277,506,"GIRPercentagefromOtherthanFairway",2015
24,24,"Justin Thomas",106,54.71,337,616,"GIRPercentagefromOtherthanFairway",2015
25,25,"Bill Haas",89,54.52,241,442,"GIRPercentagefromOtherthanFairway",2015
26,26,"Ryo Ishikawa",90,54.48,292,536,"GIRPercentagefromOtherthanFairway",2015
27,27,"Angel Cabrera",53,54.41,179,329,"GIRPercentagefromOtherthanFairway",2015
28,28,"William McGirt",103,54.33,251,462,"GIRPercentagefromOtherthanFairway",2015
29,29,"Michael Putnam",87,54.29,247,455,"GIRPercentagefromOtherthanFairway",2015
30,30,"Blayne Barber",76,54.28,203,374,"GIRPercentagefromOtherthanFairway",2015
31,31,"Byron Smith",59,54.21,174,321,"GIRPercentagefromOtherthanFairway",2015
32,32,"Justin Rose",69,54.17,182,336,"GIRPercentagefromOtherthanFairway",2015
33,33,"John Senden",80,54.11,191,353,"GIRPercentagefromOtherthanFairway",2015
34,34,"James Hahn",94,54.08,285,527,"GIRPercentagefromOtherthanFairway",2015
35,35,"Jonathan Byrd",69,54.02,168,311,"GIRPercentagefromOtherthanFairway",2015
35,35,"Charl Schwartzel",67,54.02,188,348,"GIRPercentagefromOtherthanFairway",2015
37,37,"Rory Sabbatini",81,53.91,241,447,"GIRPercentagefromOtherthanFairway",2015
38,38,"Charley Hoffman",97,53.89,298,553,"GIRPercentagefromOtherthanFairway",2015
39,39,"Louis Oosthuizen",68,53.7,196,365,"GIRPercentagefromOtherthanFairway",2015
40,40,"Nick Watney",91,53.66,264,492,"GIRPercentagefromOtherthanFairway",2015
41,41,"Jason Gore",76,53.43,179,335,"GIRPercentagefromOtherthanFairway",2015
42,42,"Oscar Fraustro",58,53.31,153,287,"GIRPercentagefromOtherthanFairway",2015
43,43,"Lucas Glover",79,53.27,212,398,"GIRPercentagefromOtherthanFairway",2015
44,44,"Vijay Singh",78,53.12,230,433,"GIRPercentagefromOtherthanFairway",2015
45,45,"Carlos Ortiz",100,52.89,284,537,"GIRPercentagefromOtherthanFairway",2015
46,46,"JJ Henry",94,52.81,263,498,"GIRPercentagefromOtherthanFairway",2015
47,47,"Charlie Beljan",76,52.8,198,375,"GIRPercentagefromOtherthanFairway",2015
