"GIRPercentageLess100yards_RANKTHISWEEK_2011","GIRPercentageLess100yards_RANKLASTWEEK_2011","GIRPercentageLess100yards_PLAYERNAME_2011","GIRPercentageLess100yards_ROUNDS_2011","GIRPercentageLess100yards_Pct_2011","GIRPercentageLess100yards_GREENSHIT_2011","GIRPercentageLess100yards_TOTALHOLES_2011","GIRPercentageLess100yards_RELATIVETOPAR_2011","stat_name","year"
1,1,"Steve Stricker",70,94,188,200,-0.61,"GIRPercentageLess100yards",2011
2,2,"Marc Turnesa",54,93.27,97,104,-0.43,"GIRPercentageLess100yards",2011
3,3,"Justin Rose",79,92.31,204,221,-0.6,"GIRPercentageLess100yards",2011
4,4,"Ian Poulter",52,90.98,111,122,-0.54,"GIRPercentageLess100yards",2011
5,5,"Woody Austin",59,90.97,141,155,-0.52,"GIRPercentageLess100yards",2011
6,6,"Kevin Na",84,90.83,198,218,-0.54,"GIRPercentageLess100yards",2011
7,7,"Shane Bertsch",62,90.67,136,150,-0.54,"GIRPercentageLess100yards",2011
8,8,"Luke Donald",73,90.48,133,147,-0.66,"GIRPercentageLess100yards",2011
9,9,"Jason Dufner",78,90.32,168,186,-0.52,"GIRPercentageLess100yards",2011
9,9,"Freddie Jacobson",92,90.32,196,217,-0.47,"GIRPercentageLess100yards",2011
11,11,"Heath Slocum",89,90.18,202,224,-0.51,"GIRPercentageLess100yards",2011
12,12,"Charles Howell III",108,90,270,300,-0.57,"GIRPercentageLess100yards",2011
13,13,"Davis Love III",70,89.82,150,167,-0.54,"GIRPercentageLess100yards",2011
14,14,"Billy Mayfair",94,89.81,238,265,-0.55,"GIRPercentageLess100yards",2011
15,15,"Bryce Molder",82,89.66,182,203,-0.51,"GIRPercentageLess100yards",2011
16,16,"Chad Campbell",99,89.37,227,254,-0.5,"GIRPercentageLess100yards",2011
17,17,"Ernie Els",71,89.22,182,204,-0.46,"GIRPercentageLess100yards",2011
18,18,"Kris Blanks",92,89.2,223,250,-0.52,"GIRPercentageLess100yards",2011
19,19,"Justin Leonard",82,89.05,179,201,-0.46,"GIRPercentageLess100yards",2011
20,20,"Webb Simpson",98,88.93,265,298,-0.6,"GIRPercentageLess100yards",2011
21,21,"Kevin Stadler",88,88.76,221,249,-0.43,"GIRPercentageLess100yards",2011
22,22,"John Rollins",85,88.72,236,266,-0.5,"GIRPercentageLess100yards",2011
23,23,"Hunter Mahan",92,88.52,239,270,-0.59,"GIRPercentageLess100yards",2011
24,24,"Robert Allenby",84,88.44,199,225,-0.47,"GIRPercentageLess100yards",2011
25,25,"Charl Schwartzel",58,88.37,114,129,-0.49,"GIRPercentageLess100yards",2011
26,26,"Michael Bradley",74,88.3,151,171,-0.53,"GIRPercentageLess100yards",2011
27,27,"YE Yang",63,88.29,98,111,-0.63,"GIRPercentageLess100yards",2011
28,28,"Lucas Glover",74,88.24,150,170,-0.67,"GIRPercentageLess100yards",2011
29,29,"John Merrick",71,88.2,157,178,-0.58,"GIRPercentageLess100yards",2011
30,30,"David Toms",78,88.14,156,177,-0.54,"GIRPercentageLess100yards",2011
31,31,"Chris Kirk",87,88.11,215,244,-0.56,"GIRPercentageLess100yards",2011
32,32,"Aron Price",58,88,110,125,-0.46,"GIRPercentageLess100yards",2011
33,33,"Trevor Immelman",84,87.98,183,208,-0.51,"GIRPercentageLess100yards",2011
34,34,"Dustin Johnson",72,87.97,212,241,-0.59,"GIRPercentageLess100yards",2011
34,34,"Nick Watney",80,87.97,212,241,-0.62,"GIRPercentageLess100yards",2011
36,36,"Ben Crane",76,87.96,168,191,-0.47,"GIRPercentageLess100yards",2011
37,37,"Josh Teater",104,87.94,299,340,-0.58,"GIRPercentageLess100yards",2011
38,38,"Bobby Gates",82,87.91,189,215,-0.56,"GIRPercentageLess100yards",2011
39,39,"Charlie Wi",83,87.89,196,223,-0.52,"GIRPercentageLess100yards",2011
40,40,"Mark Wilson",89,87.74,186,212,-0.53,"GIRPercentageLess100yards",2011
41,41,"Spencer Levin",113,87.71,257,293,-0.53,"GIRPercentageLess100yards",2011
42,42,"Paul Goydos",81,87.67,199,227,-0.42,"GIRPercentageLess100yards",2011
43,43,"Kent Jones",76,87.65,149,170,-0.46,"GIRPercentageLess100yards",2011
44,44,"Boo Weekley",66,87.38,187,214,-0.53,"GIRPercentageLess100yards",2011
45,45,"Richard Johnson",64,87.29,103,118,-0.41,"GIRPercentageLess100yards",2011
46,46,"Hunter Haas",96,87.27,240,275,-0.55,"GIRPercentageLess100yards",2011
47,47,"Phil Mickelson",79,87.15,217,249,-0.6,"GIRPercentageLess100yards",2011
48,48,"Nathan Green",81,87.11,169,194,-0.49,"GIRPercentageLess100yards",2011
49,49,"Geoff Ogilvy",69,87.1,135,155,-0.48,"GIRPercentageLess100yards",2011
50,50,"Marc Leishman",87,87.06,222,255,-0.55,"GIRPercentageLess100yards",2011
51,51,"Camilo Villegas",69,87.04,141,162,-0.58,"GIRPercentageLess100yards",2011
