"Back9ScoringAverage_RANKTHISWEEK_2005","Back9ScoringAverage_RANKLASTWEEK_2005","Back9ScoringAverage_PLAYERNAME_2005","Back9ScoringAverage_ROUNDS_2005","Back9ScoringAverage_AVG_2005","Back9ScoringAverage_TOTALSTROKES_2005","Back9ScoringAverage_TOTALHOLES_2005","stat_name","year"
1,1,"Tiger Woods",76,34.55,2557,74,"Back9ScoringAverage",2005
2,2,"Jim Furyk",94,34.76,3233,93,"Back9ScoringAverage",2005
3,3,"Loren Roberts",54,34.92,1851,53,"Back9ScoringAverage",2005
4,4,"Retief Goosen",71,35.05,2138,61,"Back9ScoringAverage",2005
5,5,"Vijay Singh",111,35.13,3829,109,"Back9ScoringAverage",2005
6,6,"JJ Henry",102,35.17,3517,100,"Back9ScoringAverage",2005
6,6,"Heath Slocum",103,35.17,3482,99,"Back9ScoringAverage",2005
8,8,"Phil Mickelson",81,35.18,2603,74,"Back9ScoringAverage",2005
9,9,"Justin Rose",99,35.19,3343,95,"Back9ScoringAverage",2005
10,10,"Davis Love III",80,35.2,2640,75,"Back9ScoringAverage",2005
11,11,"Olin Browne",99,35.21,3345,95,"Back9ScoringAverage",2005
12,12,"John Senden",101,35.22,3487,99,"Back9ScoringAverage",2005
13,13,"Bart Bryant",91,35.24,3207,91,"Back9ScoringAverage",2005
14,14,"Jason Bohn",91,35.25,3208,91,"Back9ScoringAverage",2005
15,15,"Scott Verplank",87,35.26,3032,86,"Back9ScoringAverage",2005
16,16,"Fred Couples",72,35.29,2400,68,"Back9ScoringAverage",2005
17,17,"Vaughn Taylor",99,35.3,3495,99,"Back9ScoringAverage",2005
18,18,"Arjun Atwal",65,35.31,2295,65,"Back9ScoringAverage",2005
18,18,"Steve Stricker",62,35.31,2189,62,"Back9ScoringAverage",2005
20,20,"Jonathan Kaye",77,35.32,2614,74,"Back9ScoringAverage",2005
21,21,"Jeff Brehaut",71,35.33,2367,67,"Back9ScoringAverage",2005
21,21,"Corey Pavin",77,35.33,2579,73,"Back9ScoringAverage",2005
21,21,"Bob Tway",87,35.33,2932,83,"Back9ScoringAverage",2005
24,24,"Bob Estes",92,35.34,3251,92,"Back9ScoringAverage",2005
24,24,"Richard Johnson",50,35.34,1767,50,"Back9ScoringAverage",2005
24,24,"John Rollins",97,35.34,3357,95,"Back9ScoringAverage",2005
24,24,"Darron Stiles",78,35.34,2686,76,"Back9ScoringAverage",2005
28,28,"Chad Campbell",95,35.35,3252,92,"Back9ScoringAverage",2005
28,28,"Ben Crane",78,35.35,2616,74,"Back9ScoringAverage",2005
28,28,"Kenny Perry",82,35.35,2828,80,"Back9ScoringAverage",2005
31,31,"Briny Baird",98,35.36,3395,96,"Back9ScoringAverage",2005
32,32,"Kevin Sutherland",89,35.37,3077,87,"Back9ScoringAverage",2005
33,33,"Sergio Garcia",73,35.38,2406,68,"Back9ScoringAverage",2005
33,33,"Bo Van Pelt",112,35.38,3963,112,"Back9ScoringAverage",2005
35,35,"Justin Leonard",78,35.4,2655,75,"Back9ScoringAverage",2005
36,36,"Dan Forsman",52,35.42,1771,50,"Back9ScoringAverage",2005
36,36,"Tag Ridings",93,35.42,3223,91,"Back9ScoringAverage",2005
38,38,"Fred Funk",102,35.43,3578,101,"Back9ScoringAverage",2005
38,38,"Jeff Maggert",79,35.43,2622,74,"Back9ScoringAverage",2005
38,38,"Joey Sindelar",104,35.43,3685,104,"Back9ScoringAverage",2005
41,41,"Harrison Frazar",105,35.44,3579,101,"Back9ScoringAverage",2005
41,41,"Charles Howell III",95,35.44,3190,90,"Back9ScoringAverage",2005
41,41,"Shigeki Maruyama",99,35.44,3473,98,"Back9ScoringAverage",2005
41,41,"Billy Mayfair",114,35.44,3898,110,"Back9ScoringAverage",2005
45,45,"Luke Donald",67,35.45,2127,60,"Back9ScoringAverage",2005
45,45,"Jose Maria Olazabal",55,35.45,1879,53,"Back9ScoringAverage",2005
45,45,"Mario Tiziani",67,35.45,2304,65,"Back9ScoringAverage",2005
45,45,"DJ Trahan",81,35.45,2730,77,"Back9ScoringAverage",2005
49,49,"Tim Clark",92,35.46,3085,87,"Back9ScoringAverage",2005
49,49,"Dudley Hart",84,35.46,2979,84,"Back9ScoringAverage",2005
49,49,"Tim Herron",100,35.46,3511,99,"Back9ScoringAverage",2005
49,49,"Kirk Triplett",55,35.46,1844,52,"Back9ScoringAverage",2005
53,53,"Robert Allenby",95,35.48,3158,89,"Back9ScoringAverage",2005
54,54,"Mathias Gronberg",60,35.5,2059,58,"Back9ScoringAverage",2005
