"VictoryLeaders_RANKTHISWEEK_2016","VictoryLeaders_RANKLASTWEEK_2016","VictoryLeaders_PLAYERNAME_2016","VictoryLeaders_EVENTS_2016","VictoryLeaders_VICTORIES_2016","stat_name","year"
1,1,"Jason Day",9,2,"VictoryLeaders",2016
1,1,"Adam Scott",10,2,"VictoryLeaders",2016
3,3,"Jason Dufner",15,1,"VictoryLeaders",2016
3,3,"Tony Finau",15,1,"VictoryLeaders",2016
3,3,"Fabian Gomez",15,1,"VictoryLeaders",2016
3,3,"Branden Grace",9,1,"VictoryLeaders",2016
3,3,"Emiliano Grillo",13,1,"VictoryLeaders",2016
3,24,"James Hahn",15,1,"VictoryLeaders",2016
3,3,"Jim Herman",17,1,"VictoryLeaders",2016
3,3,"Charley Hoffman",14,1,"VictoryLeaders",2016
3,3,"Smylie Kaufman",16,1,"VictoryLeaders",2016
3,3,"Kevin Kisner",14,1,"VictoryLeaders",2016
3,3,"Russell Knox",14,1,"VictoryLeaders",2016
3,3,"Peter Malnati",19,1,"VictoryLeaders",2016
3,3,"Hideki Matsuyama",12,1,"VictoryLeaders",2016
3,3,"Graeme McDowell",11,1,"VictoryLeaders",2016
3,3,"Charl Schwartzel",8,1,"VictoryLeaders",2016
3,3,"Brandt Snedeker",14,1,"VictoryLeaders",2016
3,3,"Jordan Spieth",9,1,"VictoryLeaders",2016
3,3,"Brian Stuard",8,1,"VictoryLeaders",2016
3,3,"Vaughn Taylor",11,1,"VictoryLeaders",2016
3,3,"Justin Thomas",15,1,"VictoryLeaders",2016
3,3,"Bubba Watson",8,1,"VictoryLeaders",2016
3,3,"Danny Willett",5,1,"VictoryLeaders",2016
25,24,"Blake Adams",4,NA,"VictoryLeaders",2016
25,24,"Joe Affrunti",2,NA,"VictoryLeaders",2016
25,24,"Thomas Aiken",13,NA,"VictoryLeaders",2016
25,24,"Tyler Aldridge",18,NA,"VictoryLeaders",2016
25,24,"Robert Allenby",16,NA,"VictoryLeaders",2016
25,24,"Max Alverio",1,NA,"VictoryLeaders",2016
25,24,"Byeong Hun An",7,NA,"VictoryLeaders",2016
25,24,"Abraham Ancer",11,NA,"VictoryLeaders",2016
25,24,"Mark Anderson",1,NA,"VictoryLeaders",2016
25,24,"Kiradech Aphibarnrat",5,NA,"VictoryLeaders",2016
25,24,"Stuart Appleby",13,NA,"VictoryLeaders",2016
25,24,"Connor Arendell",1,NA,"VictoryLeaders",2016
25,24,"Wu Ashun",1,NA,"VictoryLeaders",2016
25,24,"Matt Atkins",1,NA,"VictoryLeaders",2016
25,24,"Arjun Atwal",1,NA,"VictoryLeaders",2016
25,24,"Eric Axley",3,NA,"VictoryLeaders",2016
25,24,"Aaron Baddeley",15,NA,"VictoryLeaders",2016
25,24,"Chris Baker",1,NA,"VictoryLeaders",2016
25,24,"Blayne Barber",16,NA,"VictoryLeaders",2016
25,24,"Derek Bard",1,NA,"VictoryLeaders",2016
25,24,"Craig Barlow",1,NA,"VictoryLeaders",2016
25,24,"Ricky Barnes",18,NA,"VictoryLeaders",2016
25,24,"Wil Bateman",1,NA,"VictoryLeaders",2016
25,24,"Cameron Beckman",7,NA,"VictoryLeaders",2016
25,24,"Charlie Beljan",13,NA,"VictoryLeaders",2016
25,24,"Daniel Berger",15,NA,"VictoryLeaders",2016
25,24,"Shane Bertsch",9,NA,"VictoryLeaders",2016
25,24,"Matt Bettencourt",2,NA,"VictoryLeaders",2016
25,24,"Zac Blair",18,NA,"VictoryLeaders",2016
25,24,"Mark Blakefield",1,NA,"VictoryLeaders",2016
25,24,"Ryan Blaum",1,NA,"VictoryLeaders",2016
25,24,"Jonas Blixt",16,NA,"VictoryLeaders",2016
25,24,"Jason Bohn",11,NA,"VictoryLeaders",2016
25,24,"Gregory Bourdy",1,NA,"VictoryLeaders",2016
25,24,"Steven Bowditch",14,NA,"VictoryLeaders",2016
25,24,"Michael Bradley",5,NA,"VictoryLeaders",2016
25,24,"Keegan Bradley",14,NA,"VictoryLeaders",2016
25,24,"David Bradshaw",1,NA,"VictoryLeaders",2016
25,24,"Kristoffer Broberg",1,NA,"VictoryLeaders",2016
25,24,"Mark Brooks",1,NA,"VictoryLeaders",2016
