"BirdietoBogeyRatio_RANKTHISWEEK_2009","BirdietoBogeyRatio_RANKLASTWEEK_2009","BirdietoBogeyRatio_PLAYERNAME_2009","BirdietoBogeyRatio_ROUNDS_2009","BirdietoBogeyRatio_BIRDIETOBOGEYRATIO_2009","BirdietoBogeyRatio_TOTALBIRDIESANDBETTER_2009","BirdietoBogeyRatio_TOTALBOGEYSANDWORSE_2009","stat_name","year"
1,1,"Tiger Woods",64,2.05,267,130,"BirdietoBogeyRatio",2009
2,2,"Steve Stricker",81,1.74,322,185,"BirdietoBogeyRatio",2009
3,3,"Tim Clark",81,1.54,313,203,"BirdietoBogeyRatio",2009
4,4,"Jim Furyk",86,1.53,317,207,"BirdietoBogeyRatio",2009
5,5,"Justin Leonard",95,1.5,367,245,"BirdietoBogeyRatio",2009
6,6,"Zach Johnson",94,1.49,357,239,"BirdietoBogeyRatio",2009
7,7,"David Toms",98,1.48,370,250,"BirdietoBogeyRatio",2009
8,8,"Greg Chalmers",85,1.47,330,225,"BirdietoBogeyRatio",2009
8,8,"Matt Kuchar",82,1.47,313,213,"BirdietoBogeyRatio",2009
10,10,"Jonathan Byrd",89,1.46,375,257,"BirdietoBogeyRatio",2009
11,11,"Kevin Na",91,1.45,344,238,"BirdietoBogeyRatio",2009
12,12,"Jason Day",61,1.44,247,172,"BirdietoBogeyRatio",2009
13,13,"Charley Hoffman",97,1.43,385,270,"BirdietoBogeyRatio",2009
14,14,"Hunter Mahan",94,1.42,382,269,"BirdietoBogeyRatio",2009
15,15,"Matt Jones",56,1.41,215,152,"BirdietoBogeyRatio",2009
16,16,"Steve Marino",98,1.4,368,263,"BirdietoBogeyRatio",2009
16,16,"Kenny Perry",92,1.4,344,245,"BirdietoBogeyRatio",2009
16,16,"Bo Van Pelt",100,1.4,403,288,"BirdietoBogeyRatio",2009
16,16,"Scott Verplank",88,1.4,331,237,"BirdietoBogeyRatio",2009
20,20,"John Senden",100,1.39,369,266,"BirdietoBogeyRatio",2009
21,21,"Stephen Ames",77,1.38,311,226,"BirdietoBogeyRatio",2009
21,21,"Jerry Kelly",90,1.38,343,249,"BirdietoBogeyRatio",2009
23,23,"Robert Garrigus",83,1.37,317,232,"BirdietoBogeyRatio",2009
23,23,"Dustin Johnson",85,1.37,354,259,"BirdietoBogeyRatio",2009
23,23,"Ryan Moore",89,1.37,340,248,"BirdietoBogeyRatio",2009
23,23,"Chris Riley",77,1.37,288,210,"BirdietoBogeyRatio",2009
23,23,"Mark Wilson",99,1.37,358,262,"BirdietoBogeyRatio",2009
28,28,"Chad Campbell",90,1.36,333,244,"BirdietoBogeyRatio",2009
28,28,"Scott McCarron",91,1.36,326,240,"BirdietoBogeyRatio",2009
28,28,"Tim Petrovic",97,1.36,350,257,"BirdietoBogeyRatio",2009
31,31,"Brian Gay",96,1.35,338,251,"BirdietoBogeyRatio",2009
31,31,"Nick Watney",86,1.35,341,253,"BirdietoBogeyRatio",2009
33,33,"Ben Crane",93,1.33,351,264,"BirdietoBogeyRatio",2009
33,33,"Luke Donald",79,1.33,278,209,"BirdietoBogeyRatio",2009
33,33,"Harrison Frazar",93,1.33,376,282,"BirdietoBogeyRatio",2009
33,33,"Bill Haas",91,1.33,346,261,"BirdietoBogeyRatio",2009
33,33,"Bryce Molder",69,1.33,249,187,"BirdietoBogeyRatio",2009
38,38,"Lucas Glover",93,1.32,367,279,"BirdietoBogeyRatio",2009
38,38,"Geoff Ogilvy",78,1.32,279,212,"BirdietoBogeyRatio",2009
38,38,"DJ Trahan",96,1.32,372,281,"BirdietoBogeyRatio",2009
38,38,"Charlie Wi",92,1.32,348,263,"BirdietoBogeyRatio",2009
42,42,"Patrick Sheehan",51,1.31,179,137,"BirdietoBogeyRatio",2009
43,43,"Jason Dufner",90,1.3,335,257,"BirdietoBogeyRatio",2009
43,43,"Greg Owen",97,1.3,356,273,"BirdietoBogeyRatio",2009
45,45,"Anthony Kim",76,1.29,310,240,"BirdietoBogeyRatio",2009
45,45,"Spencer Levin",75,1.29,247,191,"BirdietoBogeyRatio",2009
45,45,"Scott Piercy",85,1.29,336,260,"BirdietoBogeyRatio",2009
45,45,"Matt Weibring",65,1.29,254,197,"BirdietoBogeyRatio",2009
49,49,"Bob Heintz",59,1.28,211,165,"BirdietoBogeyRatio",2009
49,49,"Jeff Klauk",97,1.28,330,258,"BirdietoBogeyRatio",2009
49,49,"Brandt Snedeker",81,1.28,289,226,"BirdietoBogeyRatio",2009
52,52,"Woody Austin",84,1.27,305,240,"BirdietoBogeyRatio",2009
52,52,"Bob Estes",78,1.27,273,215,"BirdietoBogeyRatio",2009
52,52,"Scott Sterling",51,1.27,175,138,"BirdietoBogeyRatio",2009
55,55,"Briny Baird",89,1.26,325,258,"BirdietoBogeyRatio",2009
55,55,"Jason Bohn",88,1.26,321,254,"BirdietoBogeyRatio",2009
55,55,"Michael Letzig",96,1.26,364,289,"BirdietoBogeyRatio",2009
55,55,"Troy Matteson",95,1.26,337,268,"BirdietoBogeyRatio",2009
55,55,"Phil Mickelson",66,1.26,248,197,"BirdietoBogeyRatio",2009
55,55,"Sean OHair",80,1.26,297,235,"BirdietoBogeyRatio",2009
55,55,"Kevin Stadler",65,1.26,221,175,"BirdietoBogeyRatio",2009
55,55,"Kevin Sutherland",96,1.26,345,274,"BirdietoBogeyRatio",2009
55,55,"Mike Weir",85,1.26,307,243,"BirdietoBogeyRatio",2009
64,64,"George McNeill",82,1.25,305,244,"BirdietoBogeyRatio",2009
64,64,"Tom Pernice Jr",82,1.25,282,225,"BirdietoBogeyRatio",2009
64,64,"Webb Simpson",94,1.25,348,279,"BirdietoBogeyRatio",2009
64,64,"Vaughn Taylor",88,1.25,335,269,"BirdietoBogeyRatio",2009
64,64,"Charles Warren",63,1.25,234,187,"BirdietoBogeyRatio",2009
64,64,"Dean Wilson",81,1.25,318,254,"BirdietoBogeyRatio",2009
64,64,"YE Yang",83,1.25,315,253,"BirdietoBogeyRatio",2009
71,71,"Kris Blanks",60,1.24,229,185,"BirdietoBogeyRatio",2009
71,71,"Brian Davis",103,1.24,397,319,"BirdietoBogeyRatio",2009
71,71,"Nick OHern",90,1.24,313,253,"BirdietoBogeyRatio",2009
71,71,"Joe Ogilvie",85,1.24,322,259,"BirdietoBogeyRatio",2009
71,71,"Tag Ridings",50,1.24,193,156,"BirdietoBogeyRatio",2009
76,76,"Chris DiMarco",97,1.23,326,265,"BirdietoBogeyRatio",2009
76,76,"Steve Elkington",70,1.23,241,196,"BirdietoBogeyRatio",2009
76,76,"Charles Howell III",99,1.23,354,287,"BirdietoBogeyRatio",2009
76,76,"Rod Pampling",72,1.23,264,214,"BirdietoBogeyRatio",2009
76,76,"Rory Sabbatini",81,1.23,305,248,"BirdietoBogeyRatio",2009
81,81,"Michael Allen",73,1.22,264,217,"BirdietoBogeyRatio",2009
81,81,"Fred Couples",54,1.22,220,180,"BirdietoBogeyRatio",2009
81,81,"Joe Durant",62,1.22,242,198,"BirdietoBogeyRatio",2009
81,81,"Freddie Jacobson",83,1.22,298,245,"BirdietoBogeyRatio",2009
81,81,"Bill Lunde",83,1.22,292,239,"BirdietoBogeyRatio",2009
81,81,"Ian Poulter",59,1.22,194,159,"BirdietoBogeyRatio",2009
81,81,"Ted Purdy",101,1.22,393,322,"BirdietoBogeyRatio",2009
81,81,"Chris Stroud",88,1.22,336,275,"BirdietoBogeyRatio",2009
81,81,"Camilo Villegas",76,1.22,275,226,"BirdietoBogeyRatio",2009
90,90,"Ernie Els",70,1.21,237,196,"BirdietoBogeyRatio",2009
90,90,"DA Points",99,1.21,369,304,"BirdietoBogeyRatio",2009
90,90,"Brett Quigley",92,1.21,329,271,"BirdietoBogeyRatio",2009
90,90,"Jeff Quinney",78,1.21,283,234,"BirdietoBogeyRatio",2009
90,90,"Kevin Streelman",97,1.21,376,312,"BirdietoBogeyRatio",2009
95,95,"Alex Cejka",82,1.2,299,250,"BirdietoBogeyRatio",2009
