"PuttingfromGrtr10_RANKTHISWEEK_2015","PuttingfromGrtr10_RANKLASTWEEK_2015","PuttingfromGrtr10_PLAYERNAME_2015","PuttingfromGrtr10_ROUNDS_2015","PuttingfromGrtr10_PctMADE_2015","PuttingfromGrtr10_ATTEMPTS_2015","PuttingfromGrtr10_PUTTSMADE_2015","stat_name","year"
1,1,"Jordan Spieth",91,20.73,632,131,"PuttingfromGrtr10",2015
2,2,"Lee Westwood",56,20.11,358,72,"PuttingfromGrtr10",2015
3,3,"Ian Poulter",68,20,480,96,"PuttingfromGrtr10",2015
4,4,"Aaron Baddeley",76,19.69,701,138,"PuttingfromGrtr10",2015
5,5,"Jimmy Walker",89,19.34,667,129,"PuttingfromGrtr10",2015
6,6,"Matt Jones",89,19.02,673,128,"PuttingfromGrtr10",2015
7,7,"Brian Stuard",97,18.9,799,151,"PuttingfromGrtr10",2015
8,8,"Camilo Villegas",83,18.8,782,147,"PuttingfromGrtr10",2015
9,9,"Patrick Reed",103,18.77,714,134,"PuttingfromGrtr10",2015
10,10,"Andrew Putnam",68,18.61,575,107,"PuttingfromGrtr10",2015
11,11,"Danny Lee",120,18.24,987,180,"PuttingfromGrtr10",2015
12,12,"Ben Crane",62,17.99,556,100,"PuttingfromGrtr10",2015
13,13,"Daniel Summerhays",101,17.96,952,171,"PuttingfromGrtr10",2015
14,14,"Brandt Snedeker",98,17.94,775,139,"PuttingfromGrtr10",2015
15,15,"Rickie Fowler",76,17.88,593,106,"PuttingfromGrtr10",2015
16,16,"Jerry Kelly",79,17.81,685,122,"PuttingfromGrtr10",2015
17,17,"David Hearn",97,17.78,911,162,"PuttingfromGrtr10",2015
18,18,"Phil Mickelson",70,17.73,519,92,"PuttingfromGrtr10",2015
19,19,"Carl Pettersson",106,17.61,994,175,"PuttingfromGrtr10",2015
20,20,"Pat Perez",96,17.54,878,154,"PuttingfromGrtr10",2015
21,21,"Brian Davis",86,17.52,719,126,"PuttingfromGrtr10",2015
22,22,"Russell Henley",87,17.51,748,131,"PuttingfromGrtr10",2015
23,23,"Sergio Garcia",59,17.5,360,63,"PuttingfromGrtr10",2015
24,24,"Scott Pinckney",88,17.48,864,151,"PuttingfromGrtr10",2015
25,25,"Fabian Gomez",83,17.41,735,128,"PuttingfromGrtr10",2015
26,26,"Matt Every",73,17.38,564,98,"PuttingfromGrtr10",2015
27,27,"Luke Guthrie",84,17.35,703,122,"PuttingfromGrtr10",2015
28,28,"Jason Bohn",95,17.33,929,161,"PuttingfromGrtr10",2015
29,29,"Blayne Barber",76,17.24,673,116,"PuttingfromGrtr10",2015
30,30,"Kevin Chappell",86,17.23,766,132,"PuttingfromGrtr10",2015
31,31,"Jamie Donaldson",50,17.21,337,58,"PuttingfromGrtr10",2015
32,32,"Jason Day",75,17.18,588,101,"PuttingfromGrtr10",2015
33,33,"Sangmoon Bae",98,17.15,892,153,"PuttingfromGrtr10",2015
34,34,"Zac Blair",108,17.14,957,164,"PuttingfromGrtr10",2015
35,35,"Paul Casey",87,17.11,707,121,"PuttingfromGrtr10",2015
36,36,"Matt Kuchar",97,17.1,766,131,"PuttingfromGrtr10",2015
37,37,"Cameron Tringale",96,17.07,820,140,"PuttingfromGrtr10",2015
38,38,"Whee Kim",71,17.06,592,101,"PuttingfromGrtr10",2015
39,39,"Greg Chalmers",58,17.02,382,65,"PuttingfromGrtr10",2015
40,40,"Stewart Cink",77,16.97,760,129,"PuttingfromGrtr10",2015
40,40,"Bryce Molder",91,16.97,825,140,"PuttingfromGrtr10",2015
42,42,"Ryo Ishikawa",90,16.92,780,132,"PuttingfromGrtr10",2015
42,42,"Zach Johnson",90,16.92,715,121,"PuttingfromGrtr10",2015
44,44,"John Huh",102,16.79,929,156,"PuttingfromGrtr10",2015
45,45,"Brendon Todd",96,16.77,781,131,"PuttingfromGrtr10",2015
46,46,"Henrik Stenson",63,16.67,474,79,"PuttingfromGrtr10",2015
47,47,"Sean OHair",86,16.65,817,136,"PuttingfromGrtr10",2015
48,48,"Hudson Swafford",97,16.58,929,154,"PuttingfromGrtr10",2015
49,49,"Morgan Hoffmann",85,16.57,670,111,"PuttingfromGrtr10",2015
50,50,"George McNeill",93,16.54,949,157,"PuttingfromGrtr10",2015
51,51,"Erik Compton",86,16.5,709,117,"PuttingfromGrtr10",2015
51,51,"Colt Knost",90,16.5,800,132,"PuttingfromGrtr10",2015
51,51,"Justin Rose",69,16.5,503,83,"PuttingfromGrtr10",2015
54,54,"Chris Kirk",76,16.49,570,94,"PuttingfromGrtr10",2015
55,55,"Brooks Koepka",84,16.48,698,115,"PuttingfromGrtr10",2015
56,56,"Andres Gonzales",90,16.44,821,135,"PuttingfromGrtr10",2015
57,57,"JB Holmes",89,16.43,627,103,"PuttingfromGrtr10",2015
58,58,"KJ Choi",66,16.41,585,96,"PuttingfromGrtr10",2015
58,58,"Robert Streb",110,16.41,1036,170,"PuttingfromGrtr10",2015
60,60,"Charley Hoffman",97,16.39,793,130,"PuttingfromGrtr10",2015
61,61,"Ryan Moore",81,16.37,611,100,"PuttingfromGrtr10",2015
62,62,"Jonathan Byrd",69,16.35,532,87,"PuttingfromGrtr10",2015
63,63,"Jason Gore",76,16.34,618,101,"PuttingfromGrtr10",2015
63,63,"Troy Merritt",91,16.34,875,143,"PuttingfromGrtr10",2015
65,65,"Dustin Johnson",75,16.32,533,87,"PuttingfromGrtr10",2015
66,66,"Adam Scott",51,16.29,356,58,"PuttingfromGrtr10",2015
67,67,"Chesson Hadley",101,16.27,916,149,"PuttingfromGrtr10",2015
68,68,"Ben Martin",93,16.23,869,141,"PuttingfromGrtr10",2015
68,68,"Steve Wheatcroft",87,16.23,764,124,"PuttingfromGrtr10",2015
70,70,"Jhonattan Vegas",90,16.22,783,127,"PuttingfromGrtr10",2015
71,71,"Hideki Matsuyama",95,16.19,704,114,"PuttingfromGrtr10",2015
72,72,"William McGirt",103,16.16,1027,166,"PuttingfromGrtr10",2015
73,73,"Scott Piercy",90,16.15,873,141,"PuttingfromGrtr10",2015
74,74,"Hunter Mahan",88,16.14,694,112,"PuttingfromGrtr10",2015
75,75,"Billy Horschel",99,16.08,802,129,"PuttingfromGrtr10",2015
75,75,"Billy Hurley III",83,16.08,653,105,"PuttingfromGrtr10",2015
77,77,"Jonas Blixt",78,16.03,524,84,"PuttingfromGrtr10",2015
78,78,"Bo Van Pelt",81,16.01,737,118,"PuttingfromGrtr10",2015
79,79,"Nick Taylor",91,16,844,135,"PuttingfromGrtr10",2015
80,80,"James Hahn",94,15.97,789,126,"PuttingfromGrtr10",2015
81,81,"Will Wilcox",58,15.87,460,73,"PuttingfromGrtr10",2015
82,82,"Seung Yul Noh",65,15.85,574,91,"PuttingfromGrtr10",2015
83,83,"Harris English",105,15.83,935,148,"PuttingfromGrtr10",2015
84,84,"Andrew Svoboda",80,15.82,765,121,"PuttingfromGrtr10",2015
85,85,"Kevin Na",98,15.79,684,108,"PuttingfromGrtr10",2015
86,86,"Gary Woodland",81,15.78,564,89,"PuttingfromGrtr10",2015
87,87,"Adam Hadwin",95,15.77,907,143,"PuttingfromGrtr10",2015
88,88,"Luke Donald",71,15.75,565,89,"PuttingfromGrtr10",2015
89,89,"David Toms",62,15.74,559,88,"PuttingfromGrtr10",2015
90,90,"Ken Duke",93,15.7,809,127,"PuttingfromGrtr10",2015
91,91,"Steven Bowditch",103,15.66,862,135,"PuttingfromGrtr10",2015
92,92,"Martin Flores",95,15.64,895,140,"PuttingfromGrtr10",2015
93,93,"Rory Sabbatini",81,15.61,692,108,"PuttingfromGrtr10",2015
94,94,"Kyle Reifers",96,15.6,846,132,"PuttingfromGrtr10",2015
95,95,"Tony Finau",106,15.52,973,151,"PuttingfromGrtr10",2015
