"Approachesfrom200yardsRgh_RANKTHISWEEK_2011","Approachesfrom200yardsRgh_RANKLASTWEEK_2011","Approachesfrom200yardsRgh_PLAYERNAME_2011","Approachesfrom200yardsRgh_ROUNDS_2011","Approachesfrom200yardsRgh_AVG_2011","Approachesfrom200yardsRgh_TOTALDISTANCEFEET_2011","Approachesfrom200yardsRgh_OFATTEMPTS_2011","Approachesfrom200yardsRgh_RELATIVETOPAR_2011","stat_name","year"
1,1,"Scott Piercy",78,NA,3123.25,53,-2,"Approachesfrom200yardsRgh",2011
2,2,"Geoff Ogilvy",69,NA,1710.667,29,-1,"Approachesfrom200yardsRgh",2011
3,3,"Webb Simpson",98,NA,2544.75,43,-9,"Approachesfrom200yardsRgh",2011
4,4,"Chad Campbell",99,NA,2798.417,47,5,"Approachesfrom200yardsRgh",2011
5,5,"Sean OHair",71,NA,2205.833,37,3,"Approachesfrom200yardsRgh",2011
5,5,"Brandt Snedeker",85,NA,1846.583,31,0,"Approachesfrom200yardsRgh",2011
7,7,"Charley Hoffman",93,NA,2628.5,44,-12,"Approachesfrom200yardsRgh",2011
8,8,"Davis Love III",70,NA,1321.167,22,-2,"Approachesfrom200yardsRgh",2011
9,9,"Chris DiMarco",93,NA,2115.083,35,3,"Approachesfrom200yardsRgh",2011
9,9,"Carl Pettersson",95,NA,2114.167,35,-5,"Approachesfrom200yardsRgh",2011
11,11,"Aron Price",58,NA,1543.5,25,6,"Approachesfrom200yardsRgh",2011
12,12,"Ricky Barnes",78,NA,2164.083,35,-4,"Approachesfrom200yardsRgh",2011
12,12,"Gary Woodland",93,NA,3587,58,-16,"Approachesfrom200yardsRgh",2011
14,14,"Shaun Micheel",77,NA,2042.667,33,4,"Approachesfrom200yardsRgh",2011
15,15,"Alex Cejka",59,NA,1496.833,24,-6,"Approachesfrom200yardsRgh",2011
16,16,"David Duval",67,NA,1749.5,28,2,"Approachesfrom200yardsRgh",2011
17,17,"Nate Smith",66,NA,2078.917,33,11,"Approachesfrom200yardsRgh",2011
18,18,"Jim Herman",69,NA,2087.667,33,-9,"Approachesfrom200yardsRgh",2011
19,19,"Robert Allenby",84,NA,2607.917,41,-10,"Approachesfrom200yardsRgh",2011
20,20,"Padraig Harrington",60,NA,1909.417,30,-6,"Approachesfrom200yardsRgh",2011
21,21,"Joe Durant",71,NA,1278.583,20,8,"Approachesfrom200yardsRgh",2011
22,22,"Jim Furyk",87,NA,2048.167,32,5,"Approachesfrom200yardsRgh",2011
23,23,"Vijay Singh",79,NA,2050.5,32,-8,"Approachesfrom200yardsRgh",2011
24,24,"Kevin Streelman",90,NA,2132.417,33,-3,"Approachesfrom200yardsRgh",2011
25,25,"Justin Rose",79,NA,2333.25,36,-7,"Approachesfrom200yardsRgh",2011
26,26,"Harrison Frazar",58,NA,1756,27,-8,"Approachesfrom200yardsRgh",2011
26,26,"Matt Kuchar",94,NA,2340.25,36,-4,"Approachesfrom200yardsRgh",2011
28,28,"Billy Mayfair",94,NA,2278.583,35,-6,"Approachesfrom200yardsRgh",2011
29,29,"Bobby Gates",82,NA,2743,42,-9,"Approachesfrom200yardsRgh",2011
29,29,"Zack Miller",86,NA,2612.75,40,-5,"Approachesfrom200yardsRgh",2011
31,31,"Zach Johnson",79,NA,2423.917,37,2,"Approachesfrom200yardsRgh",2011
32,32,"Graeme McDowell",50,NA,591.25,9,-1,"Approachesfrom200yardsRgh",2011
33,33,"Kris Blanks",92,NA,2825.5,43,3,"Approachesfrom200yardsRgh",2011
34,34,"Dustin Johnson",72,NA,2435.333,37,-8,"Approachesfrom200yardsRgh",2011
34,34,"Chris Stroud",88,NA,2501.667,38,-2,"Approachesfrom200yardsRgh",2011
34,34,"Nick Watney",80,NA,2831.667,43,-3,"Approachesfrom200yardsRgh",2011
37,37,"Brendan Steele",89,NA,1979.167,30,-3,"Approachesfrom200yardsRgh",2011
38,38,"Tommy Gainey",104,NA,2845.583,43,-9,"Approachesfrom200yardsRgh",2011
38,38,"Marc Turnesa",54,NA,1588.417,24,3,"Approachesfrom200yardsRgh",2011
38,38,"Camilo Villegas",69,NA,2382.917,36,-2,"Approachesfrom200yardsRgh",2011
41,41,"Retief Goosen",50,NA,1391.5,21,-1,"Approachesfrom200yardsRgh",2011
42,42,"Matt McQuillan",59,NA,1326.667,20,4,"Approachesfrom200yardsRgh",2011
