"AveragePuttingDistanceAll3Plusputts_RANKTHISWEEK_2009","AveragePuttingDistanceAll3Plusputts_RANKLASTWEEK_2009","AveragePuttingDistanceAll3Plusputts_PLAYERNAME_2009","AveragePuttingDistanceAll3Plusputts_ROUNDS_2009","AveragePuttingDistanceAll3Plusputts_AVG_2009","AveragePuttingDistanceAll3Plusputts_DISTANCEFEET_2009","AveragePuttingDistanceAll3Plusputts_TOTALPUTTS_2009","stat_name","year"
1,1,"David Duval",56,NA,86,1,"AveragePuttingDistanceAll3Plusputts",2009
2,2,"Billy Mayfair",83,NA,152.5,2,"AveragePuttingDistanceAll3Plusputts",2009
3,3,"Ryuji Imada",85,NA,70.167,1,"AveragePuttingDistanceAll3Plusputts",2009
4,4,"Nick Watney",86,NA,63.583,1,"AveragePuttingDistanceAll3Plusputts",2009
5,5,"Brad Adamonis",70,NA,62.833,1,"AveragePuttingDistanceAll3Plusputts",2009
6,6,"Aaron Baddeley",66,NA,187.75,3,"AveragePuttingDistanceAll3Plusputts",2009
7,7,"Padraig Harrington",66,NA,60.917,1,"AveragePuttingDistanceAll3Plusputts",2009
8,8,"Tom Lehman",55,NA,60.583,1,"AveragePuttingDistanceAll3Plusputts",2009
9,9,"Ricky Barnes",67,NA,59.5,1,"AveragePuttingDistanceAll3Plusputts",2009
10,10,"Chris DiMarco",97,NA,116.75,2,"AveragePuttingDistanceAll3Plusputts",2009
11,11,"Matt Bettencourt",98,NA,115.667,2,"AveragePuttingDistanceAll3Plusputts",2009
12,12,"Steve Flesch",77,NA,57.75,1,"AveragePuttingDistanceAll3Plusputts",2009
13,13,"Vaughn Taylor",88,NA,168.417,3,"AveragePuttingDistanceAll3Plusputts",2009
14,14,"Leif Olson",51,NA,54.833,1,"AveragePuttingDistanceAll3Plusputts",2009
15,15,"Rory Sabbatini",81,NA,54.083,1,"AveragePuttingDistanceAll3Plusputts",2009
16,16,"Jonathan Byrd",89,NA,51.833,1,"AveragePuttingDistanceAll3Plusputts",2009
17,17,"Jeff Quinney",78,NA,103.333,2,"AveragePuttingDistanceAll3Plusputts",2009
18,18,"George McNeill",82,NA,51.167,1,"AveragePuttingDistanceAll3Plusputts",2009
19,19,"Bart Bryant",58,NA,49.25,1,"AveragePuttingDistanceAll3Plusputts",2009
20,20,"John Merrick",91,NA,47.75,1,"AveragePuttingDistanceAll3Plusputts",2009
21,21,"Brian Davis",103,NA,47.5,1,"AveragePuttingDistanceAll3Plusputts",2009
22,22,"Eric Axley",71,NA,94.583,2,"AveragePuttingDistanceAll3Plusputts",2009
23,23,"Nathan Green",104,NA,47.167,1,"AveragePuttingDistanceAll3Plusputts",2009
24,24,"Tim Herron",87,NA,46.417,1,"AveragePuttingDistanceAll3Plusputts",2009
25,25,"Matt Kuchar",82,NA,46.167,1,"AveragePuttingDistanceAll3Plusputts",2009
26,26,"Jerry Kelly",90,NA,45,1,"AveragePuttingDistanceAll3Plusputts",2009
27,27,"Kevin Stadler",65,NA,44.917,1,"AveragePuttingDistanceAll3Plusputts",2009
28,28,"Mark Calcavecchia",72,NA,89.5,2,"AveragePuttingDistanceAll3Plusputts",2009
29,29,"Casey Wittenberg",71,NA,88.167,2,"AveragePuttingDistanceAll3Plusputts",2009
30,30,"Greg Owen",97,NA,131.667,3,"AveragePuttingDistanceAll3Plusputts",2009
31,31,"Hunter Mahan",94,NA,43.833,1,"AveragePuttingDistanceAll3Plusputts",2009
32,32,"Phil Mickelson",66,NA,87.167,2,"AveragePuttingDistanceAll3Plusputts",2009
33,33,"John Senden",100,NA,171.083,4,"AveragePuttingDistanceAll3Plusputts",2009
33,33,"Mark Wilson",99,NA,85.5,2,"AveragePuttingDistanceAll3Plusputts",2009
35,35,"Ian Poulter",59,NA,42.583,1,"AveragePuttingDistanceAll3Plusputts",2009
36,36,"Ken Duke",87,NA,41.5,1,"AveragePuttingDistanceAll3Plusputts",2009
36,36,"Troy Matteson",95,NA,41.5,1,"AveragePuttingDistanceAll3Plusputts",2009
38,38,"Daniel Chopra",89,NA,40.833,1,"AveragePuttingDistanceAll3Plusputts",2009
39,39,"Pat Perez",74,NA,40.75,1,"AveragePuttingDistanceAll3Plusputts",2009
40,40,"Kevin Na",91,NA,40.417,1,"AveragePuttingDistanceAll3Plusputts",2009
41,41,"Briny Baird",89,NA,79.917,2,"AveragePuttingDistanceAll3Plusputts",2009
42,42,"Kent Jones",73,NA,39,1,"AveragePuttingDistanceAll3Plusputts",2009
43,43,"Brendon Todd",53,NA,77.333,2,"AveragePuttingDistanceAll3Plusputts",2009
44,44,"Glen Day",79,NA,76.75,2,"AveragePuttingDistanceAll3Plusputts",2009
45,45,"Tim Clark",81,NA,38.167,1,"AveragePuttingDistanceAll3Plusputts",2009
46,46,"YE Yang",83,NA,37.333,1,"AveragePuttingDistanceAll3Plusputts",2009
47,47,"Paul Goydos",79,NA,107.167,3,"AveragePuttingDistanceAll3Plusputts",2009
48,48,"Nicholas Thompson",96,NA,70.833,2,"AveragePuttingDistanceAll3Plusputts",2009
49,49,"Kirk Triplett",60,NA,174.833,5,"AveragePuttingDistanceAll3Plusputts",2009
50,50,"Scott Piercy",85,NA,34.667,1,"AveragePuttingDistanceAll3Plusputts",2009
51,51,"Dustin Johnson",85,NA,67.167,2,"AveragePuttingDistanceAll3Plusputts",2009
52,52,"Kris Blanks",60,NA,33,1,"AveragePuttingDistanceAll3Plusputts",2009
53,53,"Michael Letzig",96,NA,32.417,1,"AveragePuttingDistanceAll3Plusputts",2009
54,54,"Webb Simpson",94,NA,63.75,2,"AveragePuttingDistanceAll3Plusputts",2009
55,55,"Martin Laird",72,NA,63.667,2,"AveragePuttingDistanceAll3Plusputts",2009
56,56,"Nick OHern",90,NA,126,4,"AveragePuttingDistanceAll3Plusputts",2009
57,57,"Aron Price",89,NA,31,1,"AveragePuttingDistanceAll3Plusputts",2009
58,58,"Marc Leishman",91,NA,30.917,1,"AveragePuttingDistanceAll3Plusputts",2009
59,59,"Michael Allen",73,NA,30.417,1,"AveragePuttingDistanceAll3Plusputts",2009
60,60,"Ben Curtis",63,NA,30.083,1,"AveragePuttingDistanceAll3Plusputts",2009
61,61,"Todd Hamilton",83,NA,29,1,"AveragePuttingDistanceAll3Plusputts",2009
62,62,"Lucas Glover",93,NA,56.917,2,"AveragePuttingDistanceAll3Plusputts",2009
63,63,"Gary Woodland",53,NA,27.5,1,"AveragePuttingDistanceAll3Plusputts",2009
64,64,"Scott Verplank",88,NA,25.083,1,"AveragePuttingDistanceAll3Plusputts",2009
65,65,"Rick Price",54,NA,49.917,2,"AveragePuttingDistanceAll3Plusputts",2009
66,66,"Richard Johnson",85,NA,24.917,1,"AveragePuttingDistanceAll3Plusputts",2009
67,67,"Brandt Snedeker",81,NA,49.583,2,"AveragePuttingDistanceAll3Plusputts",2009
68,68,"Zach Johnson",94,NA,24.333,1,"AveragePuttingDistanceAll3Plusputts",2009
69,69,"Will Ma Kenzie",69,NA,48.417,2,"AveragePuttingDistanceAll3Plusputts",2009
70,70,"Scott McCarron",91,NA,24.167,1,"AveragePuttingDistanceAll3Plusputts",2009
71,71,"Matt Weibring",65,NA,23.167,1,"AveragePuttingDistanceAll3Plusputts",2009
72,72,"JB Holmes",74,NA,22.25,1,"AveragePuttingDistanceAll3Plusputts",2009
73,73,"Steve Lowery",83,NA,42.5,2,"AveragePuttingDistanceAll3Plusputts",2009
74,74,"Boo Weekley",79,NA,58.667,3,"AveragePuttingDistanceAll3Plusputts",2009
75,75,"Carl Pettersson",86,NA,58.417,3,"AveragePuttingDistanceAll3Plusputts",2009
76,76,"Greg Kraft",51,NA,35.667,2,"AveragePuttingDistanceAll3Plusputts",2009
77,77,"Jason Day",61,NA,14.833,1,"AveragePuttingDistanceAll3Plusputts",2009
78,78,"Fred Couples",54,NA,12.833,1,"AveragePuttingDistanceAll3Plusputts",2009
79,79,"Johnson Wagner",81,NA,12.417,1,"AveragePuttingDistanceAll3Plusputts",2009
80,80,"Ted Purdy",101,NA,10.5,1,"AveragePuttingDistanceAll3Plusputts",2009
81,81,"Jason Gore",74,NA,9.167,1,"AveragePuttingDistanceAll3Plusputts",2009
