"3PlusPuttsperRound_RANKTHISWEEK_2010","3PlusPuttsperRound_RANKLASTWEEK_2010","3PlusPuttsperRound_PLAYERNAME_2010","3PlusPuttsperRound_ROUNDS_2010","3PlusPuttsperRound_AVG_2010","3PlusPuttsperRound_TOTAL3PUTTS_2010","3PlusPuttsperRound_TOTALROUNDS_2010","stat_name","year"
1,1,"Joe Ogilvie",99,0.07,7,99,"3PlusPuttsperRound",2010
2,2,"John Daly",63,0.05,3,63,"3PlusPuttsperRound",2010
2,2,"Jason Dufner",87,0.05,4,87,"3PlusPuttsperRound",2010
4,4,"David Duval",71,0.04,3,71,"3PlusPuttsperRound",2010
4,4,"Will Ma Kenzie",72,0.04,3,72,"3PlusPuttsperRound",2010
4,4,"Garth Mulroy",53,0.04,2,53,"3PlusPuttsperRound",2010
4,4,"Tim Petrovic",105,0.04,4,105,"3PlusPuttsperRound",2010
4,4,"Roger Tambellini",77,0.04,3,77,"3PlusPuttsperRound",2010
9,9,"Cameron Beckman",68,0.03,2,68,"3PlusPuttsperRound",2010
9,9,"Stewart Cink",84,0.03,2,80,"3PlusPuttsperRound",2010
9,9,"James Driscoll",78,0.03,2,78,"3PlusPuttsperRound",2010
9,9,"Bob Estes",79,0.03,2,79,"3PlusPuttsperRound",2010
9,9,"Matt Every",60,0.03,2,60,"3PlusPuttsperRound",2010
9,9,"Martin Flores",75,0.03,2,75,"3PlusPuttsperRound",2010
9,9,"Nathan Green",86,0.03,3,86,"3PlusPuttsperRound",2010
9,9,"Mathias Gronberg",61,0.03,2,61,"3PlusPuttsperRound",2010
9,9,"Tim Herron",79,0.03,2,79,"3PlusPuttsperRound",2010
9,9,"Bill Lunde",79,0.03,2,79,"3PlusPuttsperRound",2010
9,9,"David Lutterus",69,0.03,2,69,"3PlusPuttsperRound",2010
9,9,"Jeff Maggert",76,0.03,2,76,"3PlusPuttsperRound",2010
9,9,"John Mallinger",78,0.03,2,78,"3PlusPuttsperRound",2010
9,9,"Ryan Moore",80,0.03,2,79,"3PlusPuttsperRound",2010
9,9,"James Nitties",92,0.03,3,92,"3PlusPuttsperRound",2010
9,9,"Greg Owen",69,0.03,2,69,"3PlusPuttsperRound",2010
9,9,"Adam Scott",70,0.03,2,68,"3PlusPuttsperRound",2010
9,9,"Bo Van Pelt",104,0.03,3,104,"3PlusPuttsperRound",2010
9,9,"Nick Watney",91,0.03,3,88,"3PlusPuttsperRound",2010
9,9,"YE Yang",72,0.03,2,70,"3PlusPuttsperRound",2010
29,29,"Aaron Baddeley",94,0.02,2,94,"3PlusPuttsperRound",2010
29,29,"Matt Bettencourt",91,0.02,2,91,"3PlusPuttsperRound",2010
29,29,"Mark Calcavecchia",50,0.02,1,50,"3PlusPuttsperRound",2010
29,29,"Chad Campbell",95,0.02,2,94,"3PlusPuttsperRound",2010
29,29,"Brian Davis",101,0.02,2,101,"3PlusPuttsperRound",2010
29,29,"Graham DeLaet",88,0.02,2,88,"3PlusPuttsperRound",2010
29,29,"Brent Delahoussaye",57,0.02,1,57,"3PlusPuttsperRound",2010
29,29,"Rickie Fowler",98,0.02,2,98,"3PlusPuttsperRound",2010
29,29,"Jeff Gove",57,0.02,1,57,"3PlusPuttsperRound",2010
29,29,"JB Holmes",100,0.02,2,100,"3PlusPuttsperRound",2010
29,29,"Trevor Immelman",55,0.02,1,55,"3PlusPuttsperRound",2010
29,29,"Zach Johnson",93,0.02,2,91,"3PlusPuttsperRound",2010
29,29,"Michael Letzig",84,0.02,2,84,"3PlusPuttsperRound",2010
29,29,"Jarrod Lyle",54,0.02,1,54,"3PlusPuttsperRound",2010
29,29,"Hunter Mahan",85,0.02,2,84,"3PlusPuttsperRound",2010
29,29,"Rory McIlroy",54,0.02,1,52,"3PlusPuttsperRound",2010
29,29,"Sean OHair",84,0.02,2,82,"3PlusPuttsperRound",2010
29,29,"Geoff Ogilvy",62,0.02,1,60,"3PlusPuttsperRound",2010
29,29,"Brenden Pappas",66,0.02,1,66,"3PlusPuttsperRound",2010
29,29,"Brett Quigley",96,0.02,2,96,"3PlusPuttsperRound",2010
29,29,"Heath Slocum",97,0.02,2,97,"3PlusPuttsperRound",2010
29,29,"Josh Teater",101,0.02,2,101,"3PlusPuttsperRound",2010
29,29,"DJ Trahan",92,0.02,2,92,"3PlusPuttsperRound",2010
29,29,"Vance Veazey",58,0.02,1,58,"3PlusPuttsperRound",2010
29,29,"Mike Weir",59,0.02,1,57,"3PlusPuttsperRound",2010
54,54,"Stephen Ames",75,0.01,1,74,"3PlusPuttsperRound",2010
54,54,"Stuart Appleby",101,0.01,1,101,"3PlusPuttsperRound",2010
54,54,"Woody Austin",93,0.01,1,93,"3PlusPuttsperRound",2010
54,54,"Ricky Barnes",103,0.01,1,103,"3PlusPuttsperRound",2010
54,54,"Michael Connell",89,0.01,1,89,"3PlusPuttsperRound",2010
54,54,"Jim Furyk",76,0.01,1,74,"3PlusPuttsperRound",2010
54,54,"Tom Gillis",97,0.01,1,97,"3PlusPuttsperRound",2010
54,54,"Paul Goydos",78,0.01,1,78,"3PlusPuttsperRound",2010
54,54,"JP Hayes",79,0.01,1,79,"3PlusPuttsperRound",2010
54,54,"Ryuji Imada",90,0.01,1,90,"3PlusPuttsperRound",2010
54,54,"Freddie Jacobson",83,0.01,1,83,"3PlusPuttsperRound",2010
54,54,"Richard Johnson",90,0.01,1,90,"3PlusPuttsperRound",2010
54,54,"Dustin Johnson",83,0.01,1,82,"3PlusPuttsperRound",2010
54,54,"Davis Love III",79,0.01,1,79,"3PlusPuttsperRound",2010
54,54,"Billy Mayfair",78,0.01,1,78,"3PlusPuttsperRound",2010
54,54,"Phil Mickelson",76,0.01,1,76,"3PlusPuttsperRound",2010
54,54,"Kevin Na",94,0.01,1,93,"3PlusPuttsperRound",2010
54,54,"Justin Rose",78,0.01,1,78,"3PlusPuttsperRound",2010
54,54,"Rory Sabbatini",79,0.01,1,78,"3PlusPuttsperRound",2010
54,54,"Webb Simpson",98,0.01,1,98,"3PlusPuttsperRound",2010
54,54,"Kevin Streelman",90,0.01,1,90,"3PlusPuttsperRound",2010
54,54,"Chris Stroud",90,0.01,1,90,"3PlusPuttsperRound",2010
54,54,"Kevin Sutherland",86,0.01,1,86,"3PlusPuttsperRound",2010
54,54,"Vaughn Taylor",87,0.01,1,87,"3PlusPuttsperRound",2010
54,54,"Roland Thatcher",72,0.01,1,72,"3PlusPuttsperRound",2010
54,54,"Nicholas Thompson",88,0.01,1,88,"3PlusPuttsperRound",2010
54,54,"Chris Tidland",77,0.01,1,77,"3PlusPuttsperRound",2010
54,54,"Camilo Villegas",78,0.01,1,72,"3PlusPuttsperRound",2010
54,54,"Johnson Wagner",85,0.01,1,85,"3PlusPuttsperRound",2010
54,54,"Boo Weekley",88,0.01,1,88,"3PlusPuttsperRound",2010
54,54,"Steve Wheatcroft",74,0.01,1,74,"3PlusPuttsperRound",2010
54,54,"Charlie Wi",95,0.01,1,95,"3PlusPuttsperRound",2010
54,54,"Jay Williamson",76,0.01,1,76,"3PlusPuttsperRound",2010
54,54,"Garrett Willis",82,0.01,1,82,"3PlusPuttsperRound",2010
