"BirdieorBetterPercentageFairway_RANKTHISWEEK_2013","BirdieorBetterPercentageFairway_RANKLASTWEEK_2013","BirdieorBetterPercentageFairway_PLAYERNAME_2013","BirdieorBetterPercentageFairway_ROUNDS_2013","BirdieorBetterPercentageFairway_Pct_2013","BirdieorBetterPercentageFairway_TOTALBIRDIES_2013","BirdieorBetterPercentageFairway_TOTALHOLES_2013","stat_name","year"
1,1,"Phil Mickelson",78,27.79,192,691,"BirdieorBetterPercentageFairway",2013
2,2,"Tiger Woods",61,27.5,162,589,"BirdieorBetterPercentageFairway",2013
3,3,"Steve Stricker",51,26.76,133,497,"BirdieorBetterPercentageFairway",2013
4,4,"Charl Schwartzel",69,26.29,183,696,"BirdieorBetterPercentageFairway",2013
5,5,"Rory Sabbatini",86,26.01,238,915,"BirdieorBetterPercentageFairway",2013
6,6,"Ryan Palmer",79,25.63,225,878,"BirdieorBetterPercentageFairway",2013
7,7,"Brandt Snedeker",79,25.58,198,774,"BirdieorBetterPercentageFairway",2013
8,8,"Morgan Hoffmann",64,25.57,168,657,"BirdieorBetterPercentageFairway",2013
9,9,"Rory McIlroy",56,25.49,130,510,"BirdieorBetterPercentageFairway",2013
10,10,"Chris Kirk",89,24.93,269,1079,"BirdieorBetterPercentageFairway",2013
11,11,"Justin Rose",62,24.88,154,619,"BirdieorBetterPercentageFairway",2013
12,12,"Jordan Spieth",82,24.81,228,919,"BirdieorBetterPercentageFairway",2013
13,13,"David Hearn",88,24.74,242,978,"BirdieorBetterPercentageFairway",2013
14,14,"Billy Horschel",96,24.73,276,1116,"BirdieorBetterPercentageFairway",2013
15,15,"Luke Donald",60,24.56,152,619,"BirdieorBetterPercentageFairway",2013
16,16,"Keegan Bradley",88,24.45,233,953,"BirdieorBetterPercentageFairway",2013
17,17,"Bubba Watson",76,24.3,182,749,"BirdieorBetterPercentageFairway",2013
18,18,"Nick Watney",88,24.18,237,980,"BirdieorBetterPercentageFairway",2013
19,19,"Gary Woodland",94,23.98,253,1055,"BirdieorBetterPercentageFairway",2013
20,20,"Sangmoon Bae",83,23.93,218,911,"BirdieorBetterPercentageFairway",2013
21,21,"Charley Hoffman",84,23.91,230,962,"BirdieorBetterPercentageFairway",2013
22,22,"Matt Every",89,23.82,238,999,"BirdieorBetterPercentageFairway",2013
23,23,"Matt Kuchar",93,23.8,209,878,"BirdieorBetterPercentageFairway",2013
24,24,"Henrik Stenson",65,23.79,147,618,"BirdieorBetterPercentageFairway",2013
25,25,"Brian Davis",91,23.77,276,1161,"BirdieorBetterPercentageFairway",2013
26,26,"Josh Teater",86,23.67,192,811,"BirdieorBetterPercentageFairway",2013
27,27,"Rickie Fowler",75,23.66,181,765,"BirdieorBetterPercentageFairway",2013
28,28,"Steven Bowditch",67,23.6,164,695,"BirdieorBetterPercentageFairway",2013
29,29,"Sergio Garcia",65,23.52,143,608,"BirdieorBetterPercentageFairway",2013
30,30,"Jeff Overton",78,23.36,217,929,"BirdieorBetterPercentageFairway",2013
31,31,"Harris English",95,23.3,250,1073,"BirdieorBetterPercentageFairway",2013
31,31,"Charles Howell III",87,23.3,226,970,"BirdieorBetterPercentageFairway",2013
31,31,"Adam Scott",61,23.3,137,588,"BirdieorBetterPercentageFairway",2013
34,34,"Webb Simpson",92,23.22,218,939,"BirdieorBetterPercentageFairway",2013
35,35,"Vaughn Taylor",50,22.96,124,540,"BirdieorBetterPercentageFairway",2013
36,36,"Hunter Mahan",91,22.94,214,933,"BirdieorBetterPercentageFairway",2013
37,37,"James Driscoll",76,22.88,181,791,"BirdieorBetterPercentageFairway",2013
37,37,"Brad Fritsch",81,22.88,200,874,"BirdieorBetterPercentageFairway",2013
39,39,"Kevin Stadler",83,22.78,208,913,"BirdieorBetterPercentageFairway",2013
40,40,"Daniel Summerhays",83,22.76,234,1028,"BirdieorBetterPercentageFairway",2013
41,41,"Jason Bohn",70,22.71,208,916,"BirdieorBetterPercentageFairway",2013
41,41,"Jim Furyk",80,22.71,211,929,"BirdieorBetterPercentageFairway",2013
41,41,"Bryce Molder",82,22.71,223,982,"BirdieorBetterPercentageFairway",2013
44,44,"Zach Johnson",84,22.68,215,948,"BirdieorBetterPercentageFairway",2013
45,45,"Robert Garrigus",69,22.65,135,596,"BirdieorBetterPercentageFairway",2013
46,46,"Dustin Johnson",71,22.61,135,597,"BirdieorBetterPercentageFairway",2013
47,47,"Charlie Wi",75,22.56,201,891,"BirdieorBetterPercentageFairway",2013
48,48,"Peter Hanson",45,22.55,92,408,"BirdieorBetterPercentageFairway",2013
49,49,"Kevin Chappell",80,22.51,201,893,"BirdieorBetterPercentageFairway",2013
50,50,"Boo Weekley",100,22.5,256,1138,"BirdieorBetterPercentageFairway",2013
51,51,"Scott Stallings",79,22.47,193,859,"BirdieorBetterPercentageFairway",2013
52,52,"Jimmy Walker",84,22.43,205,914,"BirdieorBetterPercentageFairway",2013
53,53,"James Hahn",78,22.39,193,862,"BirdieorBetterPercentageFairway",2013
54,54,"Matt Jones",83,22.28,211,947,"BirdieorBetterPercentageFairway",2013
54,54,"Camilo Villegas",79,22.28,186,835,"BirdieorBetterPercentageFairway",2013
56,56,"Martin Flores",83,22.25,206,926,"BirdieorBetterPercentageFairway",2013
57,57,"Russell Henley",80,22.23,201,904,"BirdieorBetterPercentageFairway",2013
58,58,"Brendon de Jonge",110,22.2,297,1338,"BirdieorBetterPercentageFairway",2013
59,59,"Stewart Cink",71,22.19,160,721,"BirdieorBetterPercentageFairway",2013
60,60,"Graham DeLaet",94,22.18,254,1145,"BirdieorBetterPercentageFairway",2013
60,60,"Seung Yul Noh",71,22.18,163,735,"BirdieorBetterPercentageFairway",2013
62,62,"Bill Haas",85,22.15,200,903,"BirdieorBetterPercentageFairway",2013
62,62,"William McGirt",75,22.15,204,921,"BirdieorBetterPercentageFairway",2013
64,64,"Scott Piercy",78,22.11,168,760,"BirdieorBetterPercentageFairway",2013
65,65,"Patrick Reed",83,22.1,198,896,"BirdieorBetterPercentageFairway",2013
66,66,"Carl Pettersson",82,22.09,186,842,"BirdieorBetterPercentageFairway",2013
67,67,"Jason Kokrak",78,22.06,197,893,"BirdieorBetterPercentageFairway",2013
68,68,"David Lingmerth",68,22.03,169,767,"BirdieorBetterPercentageFairway",2013
69,69,"YE Yang",56,21.96,121,551,"BirdieorBetterPercentageFairway",2013
70,70,"Ted Potter Jr",65,21.9,166,758,"BirdieorBetterPercentageFairway",2013
71,71,"John Huh",88,21.86,226,1034,"BirdieorBetterPercentageFairway",2013
72,72,"Roberto Castro",97,21.79,256,1175,"BirdieorBetterPercentageFairway",2013
72,72,"Pat Perez",69,21.79,187,858,"BirdieorBetterPercentageFairway",2013
74,74,"Jason Dufner",78,21.74,180,828,"BirdieorBetterPercentageFairway",2013
74,74,"Nicholas Thompson",99,21.74,252,1159,"BirdieorBetterPercentageFairway",2013
76,76,"Fabian Gomez",65,21.73,163,750,"BirdieorBetterPercentageFairway",2013
77,77,"Jason Day",86,21.71,168,774,"BirdieorBetterPercentageFairway",2013
78,78,"Tommy Gainey",84,21.66,203,937,"BirdieorBetterPercentageFairway",2013
79,79,"Greg Owen",73,21.61,185,856,"BirdieorBetterPercentageFairway",2013
80,80,"Doug LaBelle II",72,21.56,174,807,"BirdieorBetterPercentageFairway",2013
81,81,"Ryan Moore",72,21.55,172,798,"BirdieorBetterPercentageFairway",2013
82,82,"Steve LeBrun",66,21.54,148,687,"BirdieorBetterPercentageFairway",2013
83,83,"Bud Cauley",67,21.5,158,735,"BirdieorBetterPercentageFairway",2013
84,84,"John Merrick",79,21.42,193,901,"BirdieorBetterPercentageFairway",2013
85,85,"Greg Chalmers",77,21.38,198,926,"BirdieorBetterPercentageFairway",2013
