"Approachesfrom125150yardsRgh_RANKTHISWEEK_2011","Approachesfrom125150yardsRgh_RANKLASTWEEK_2011","Approachesfrom125150yardsRgh_PLAYERNAME_2011","Approachesfrom125150yardsRgh_ROUNDS_2011","Approachesfrom125150yardsRgh_AVG_2011","Approachesfrom125150yardsRgh_TOTALDISTANCEFEET_2011","Approachesfrom125150yardsRgh_OFATTEMPTS_2011","Approachesfrom125150yardsRgh_RELATIVETOPAR_2011","stat_name","year"
1,1,"Luke Donald",73,NA,677.583,27,-5,"Approachesfrom125150yardsRgh",2011
1,1,"Paul Goydos",81,NA,702.583,28,-1,"Approachesfrom125150yardsRgh",2011
3,3,"Bubba Watson",85,NA,1259.167,47,4,"Approachesfrom125150yardsRgh",2011
4,4,"Davis Love III",70,NA,1033.917,37,2,"Approachesfrom125150yardsRgh",2011
5,5,"Kevin Na",84,NA,1008.583,36,0,"Approachesfrom125150yardsRgh",2011
6,6,"Briny Baird",60,NA,931.333,33,-1,"Approachesfrom125150yardsRgh",2011
7,7,"Chris DiMarco",93,NA,1422.167,50,-1,"Approachesfrom125150yardsRgh",2011
8,8,"David Toms",78,NA,1033.5,36,-10,"Approachesfrom125150yardsRgh",2011
9,9,"Chez Reavie",92,NA,1847.667,63,8,"Approachesfrom125150yardsRgh",2011
10,10,"David Duval",67,NA,1327.583,45,2,"Approachesfrom125150yardsRgh",2011
11,11,"DJ Trahan",91,NA,2083.917,70,8,"Approachesfrom125150yardsRgh",2011
12,12,"Shane Bertsch",62,NA,927.25,31,2,"Approachesfrom125150yardsRgh",2011
13,13,"Hunter Haas",96,NA,1959.917,65,0,"Approachesfrom125150yardsRgh",2011
14,14,"Sergio Garcia",61,NA,1087.917,36,3,"Approachesfrom125150yardsRgh",2011
15,15,"Steve Marino",76,NA,975,32,0,"Approachesfrom125150yardsRgh",2011
16,16,"Matt Kuchar",94,NA,1328.5,43,2,"Approachesfrom125150yardsRgh",2011
17,17,"Rory Sabbatini",85,NA,1209.417,39,-1,"Approachesfrom125150yardsRgh",2011
18,18,"Stuart Appleby",65,NA,1500.25,48,7,"Approachesfrom125150yardsRgh",2011
19,19,"Freddie Jacobson",92,NA,1661.5,53,-1,"Approachesfrom125150yardsRgh",2011
20,20,"Michael Connell",76,NA,1414.833,45,3,"Approachesfrom125150yardsRgh",2011
21,21,"Carl Pettersson",95,NA,2048.583,65,6,"Approachesfrom125150yardsRgh",2011
22,22,"William McGirt",103,NA,2645.75,83,-13,"Approachesfrom125150yardsRgh",2011
23,23,"Hunter Mahan",92,NA,1217,38,4,"Approachesfrom125150yardsRgh",2011
24,24,"Vaughn Taylor",89,NA,1730.583,54,8,"Approachesfrom125150yardsRgh",2011
25,25,"Stephen Ames",69,NA,1318.75,41,-1,"Approachesfrom125150yardsRgh",2011
25,25,"Michael Bradley",74,NA,1641.333,51,4,"Approachesfrom125150yardsRgh",2011
25,25,"Bill Haas",93,NA,1607.75,50,6,"Approachesfrom125150yardsRgh",2011
28,28,"Jason Dufner",78,NA,1482,46,3,"Approachesfrom125150yardsRgh",2011
29,29,"Chris Kirk",87,NA,2454.583,76,7,"Approachesfrom125150yardsRgh",2011
30,30,"Woody Austin",59,NA,1003.667,31,1,"Approachesfrom125150yardsRgh",2011
30,30,"Angel Cabrera",50,NA,971.833,30,8,"Approachesfrom125150yardsRgh",2011
30,30,"Brandt Jobe",100,NA,2042.083,63,7,"Approachesfrom125150yardsRgh",2011
33,33,"Jonathan Byrd",83,NA,1926.417,59,4,"Approachesfrom125150yardsRgh",2011
33,33,"Tommy Gainey",104,NA,2973,91,7,"Approachesfrom125150yardsRgh",2011
33,33,"Trevor Immelman",84,NA,1339.417,41,4,"Approachesfrom125150yardsRgh",2011
33,33,"Nick OHern",89,NA,1207.833,37,-2,"Approachesfrom125150yardsRgh",2011
37,37,"Jason Bohn",74,NA,1081,33,-3,"Approachesfrom125150yardsRgh",2011
37,37,"Brendon de Jonge",105,NA,1866.75,57,4,"Approachesfrom125150yardsRgh",2011
39,39,"Jim Renner",65,NA,1280.25,39,4,"Approachesfrom125150yardsRgh",2011
40,40,"Camilo Villegas",69,NA,1777.417,54,6,"Approachesfrom125150yardsRgh",2011
41,41,"Matt Bettencourt",84,NA,1683.583,51,4,"Approachesfrom125150yardsRgh",2011
42,42,"Sung Kang",63,NA,1426.167,43,8,"Approachesfrom125150yardsRgh",2011
43,43,"Josh Teater",104,NA,2596.5,78,11,"Approachesfrom125150yardsRgh",2011
44,44,"David Mathis",83,NA,1506.333,45,-4,"Approachesfrom125150yardsRgh",2011
44,44,"Vijay Singh",79,NA,2078.333,62,6,"Approachesfrom125150yardsRgh",2011
46,46,"Kris Blanks",92,NA,1951.25,58,9,"Approachesfrom125150yardsRgh",2011
46,46,"Alex Prugh",82,NA,1849.667,55,6,"Approachesfrom125150yardsRgh",2011
48,48,"Fabian Gomez",84,NA,1787.75,53,6,"Approachesfrom125150yardsRgh",2011
48,48,"Rod Pampling",72,NA,1215.583,36,3,"Approachesfrom125150yardsRgh",2011
50,50,"Cameron Beckman",71,NA,1724.417,51,8,"Approachesfrom125150yardsRgh",2011
50,50,"Marc Leishman",87,NA,2334.833,69,7,"Approachesfrom125150yardsRgh",2011
50,50,"Daniel Summerhays",75,NA,1183.917,35,2,"Approachesfrom125150yardsRgh",2011
53,53,"Jim Herman",69,NA,1761.833,52,6,"Approachesfrom125150yardsRgh",2011
54,54,"John Senden",94,NA,1834.167,54,4,"Approachesfrom125150yardsRgh",2011
55,55,"Joe Ogilvie",75,NA,2012.083,59,-2,"Approachesfrom125150yardsRgh",2011
56,56,"Troy Merritt",63,NA,1198.417,35,2,"Approachesfrom125150yardsRgh",2011
57,57,"Shaun Micheel",77,NA,1820.667,53,8,"Approachesfrom125150yardsRgh",2011
58,58,"Ricky Barnes",78,NA,1974.917,57,5,"Approachesfrom125150yardsRgh",2011
58,58,"Kevin Chappell",78,NA,1837.833,53,5,"Approachesfrom125150yardsRgh",2011
58,58,"Joe Durant",71,NA,1143.917,33,8,"Approachesfrom125150yardsRgh",2011
58,58,"Ian Poulter",52,NA,588.667,17,2,"Approachesfrom125150yardsRgh",2011
58,58,"Brandt Snedeker",85,NA,1870.333,54,2,"Approachesfrom125150yardsRgh",2011
63,63,"Brian Davis",105,NA,1529,44,1,"Approachesfrom125150yardsRgh",2011
63,63,"DA Points",89,NA,1528.833,44,0,"Approachesfrom125150yardsRgh",2011
65,65,"Lucas Glover",74,NA,1992.25,57,10,"Approachesfrom125150yardsRgh",2011
65,65,"JP Hayes",56,NA,1467.833,42,7,"Approachesfrom125150yardsRgh",2011
67,67,"Lee Janzen",62,NA,1259.333,36,4,"Approachesfrom125150yardsRgh",2011
67,67,"Webb Simpson",98,NA,2273.667,65,13,"Approachesfrom125150yardsRgh",2011
69,69,"JJ Henry",96,NA,1682.667,48,4,"Approachesfrom125150yardsRgh",2011
70,70,"Retief Goosen",50,NA,1196,34,-1,"Approachesfrom125150yardsRgh",2011
70,70,"Derek Lamely",65,NA,2004.75,57,5,"Approachesfrom125150yardsRgh",2011
72,72,"Richard Johnson",64,NA,1269.5,36,-1,"Approachesfrom125150yardsRgh",2011
72,72,"Justin Leonard",82,NA,1304,37,3,"Approachesfrom125150yardsRgh",2011
72,72,"George McNeill",69,NA,1586.75,45,5,"Approachesfrom125150yardsRgh",2011
72,72,"Ryan Moore",79,NA,1622.833,46,7,"Approachesfrom125150yardsRgh",2011
76,76,"Jeff Overton",92,NA,2157.667,61,15,"Approachesfrom125150yardsRgh",2011
77,77,"Bobby Gates",82,NA,1950.333,55,14,"Approachesfrom125150yardsRgh",2011
77,77,"Dustin Johnson",72,NA,1918.583,54,1,"Approachesfrom125150yardsRgh",2011
77,77,"Rocco Mediate",53,NA,817.333,23,-1,"Approachesfrom125150yardsRgh",2011
77,77,"Geoff Ogilvy",69,NA,1206.5,34,5,"Approachesfrom125150yardsRgh",2011
77,77,"Kevin Stadler",88,NA,2058.667,58,9,"Approachesfrom125150yardsRgh",2011
82,82,"Heath Slocum",89,NA,1321.167,37,2,"Approachesfrom125150yardsRgh",2011
83,83,"Alexandre Rocha",65,NA,1966.583,55,4,"Approachesfrom125150yardsRgh",2011
84,84,"Steve Flesch",88,NA,2112.75,59,8,"Approachesfrom125150yardsRgh",2011
84,84,"Sean OHair",71,NA,2080.417,58,3,"Approachesfrom125150yardsRgh",2011
86,86,"Aaron Baddeley",77,NA,1580.167,44,-2,"Approachesfrom125150yardsRgh",2011
86,86,"Colt Knost",80,NA,1438.167,40,7,"Approachesfrom125150yardsRgh",2011
86,86,"Cameron Tringale",110,NA,2803.083,78,6,"Approachesfrom125150yardsRgh",2011
89,89,"Tim Herron",85,NA,2303.917,64,7,"Approachesfrom125150yardsRgh",2011
90,90,"Chad Campbell",99,NA,1802.833,50,7,"Approachesfrom125150yardsRgh",2011
90,90,"Ben Crane",76,NA,1408.833,39,-2,"Approachesfrom125150yardsRgh",2011
92,92,"Troy Matteson",91,NA,2204.083,61,13,"Approachesfrom125150yardsRgh",2011
93,93,"Ben Curtis",66,NA,979,27,5,"Approachesfrom125150yardsRgh",2011
93,93,"Harrison Frazar",58,NA,1813.25,50,10,"Approachesfrom125150yardsRgh",2011
95,95,"Charl Schwartzel",58,NA,1308.667,36,6,"Approachesfrom125150yardsRgh",2011
95,95,"Scott Stallings",84,NA,1853.083,51,8,"Approachesfrom125150yardsRgh",2011
95,95,"Mark Wilson",89,NA,1560.917,43,3,"Approachesfrom125150yardsRgh",2011
98,98,"Alex Cejka",59,NA,946.833,26,3,"Approachesfrom125150yardsRgh",2011
98,98,"Kent Jones",76,NA,1494,41,8,"Approachesfrom125150yardsRgh",2011
98,98,"Nick Watney",80,NA,1856,51,-1,"Approachesfrom125150yardsRgh",2011
101,101,"Rickie Fowler",84,NA,2116.667,58,4,"Approachesfrom125150yardsRgh",2011
101,101,"Justin Hicks",60,NA,984.5,27,9,"Approachesfrom125150yardsRgh",2011
103,103,"Chris Couch",73,NA,1608.417,44,2,"Approachesfrom125150yardsRgh",2011
104,104,"Greg Chalmers",88,NA,1980.167,54,6,"Approachesfrom125150yardsRgh",2011
105,105,"Ryuji Imada",83,NA,2168.25,59,4,"Approachesfrom125150yardsRgh",2011
105,105,"Chris Riley",76,NA,1468.833,40,5,"Approachesfrom125150yardsRgh",2011
105,105,"Michael Thompson",79,NA,2610.833,71,13,"Approachesfrom125150yardsRgh",2011
108,108,"Spencer Levin",113,NA,2575.917,70,7,"Approachesfrom125150yardsRgh",2011
108,108,"Phil Mickelson",79,NA,1732,47,5,"Approachesfrom125150yardsRgh",2011
110,110,"Scott Piercy",78,NA,1956,53,7,"Approachesfrom125150yardsRgh",2011
111,111,"Bill Lunde",92,NA,2477.667,67,2,"Approachesfrom125150yardsRgh",2011
111,111,"Tim Petrovic",88,NA,1811.917,49,7,"Approachesfrom125150yardsRgh",2011
113,113,"Padraig Harrington",60,NA,1185.417,32,3,"Approachesfrom125150yardsRgh",2011
113,113,"Matt Jones",71,NA,1929.75,52,7,"Approachesfrom125150yardsRgh",2011
113,113,"Anthony Kim",72,NA,1706.083,46,2,"Approachesfrom125150yardsRgh",2011
