"ScramblingfromtheFringe_RANKTHISWEEK_2014","ScramblingfromtheFringe_RANKLASTWEEK_2014","ScramblingfromtheFringe_PLAYERNAME_2014","ScramblingfromtheFringe_ROUNDS_2014","ScramblingfromtheFringe_Pct_2014","ScramblingfromtheFringe_SUCCESSES_2014","ScramblingfromtheFringe_ATTEMPTS_2014","stat_name","year"
1,1,"Scott Brown",100,97.7,85,87,"ScramblingfromtheFringe",2014
2,2,"Graeme McDowell",66,97.5,39,40,"ScramblingfromtheFringe",2014
3,3,"Billy Horschel",92,97.3,36,37,"ScramblingfromtheFringe",2014
3,3,"DA Points",75,97.3,36,37,"ScramblingfromtheFringe",2014
5,5,"Kevin Tway",64,97.06,33,34,"ScramblingfromtheFringe",2014
6,6,"Dustin Johnson",58,96.97,32,33,"ScramblingfromtheFringe",2014
7,7,"Nick Watney",80,96.55,56,58,"ScramblingfromtheFringe",2014
8,8,"Luke Donald",57,96.43,27,28,"ScramblingfromtheFringe",2014
9,9,"Hideki Matsuyama",82,96.15,50,52,"ScramblingfromtheFringe",2014
10,10,"Greg Chalmers",85,96.1,74,77,"ScramblingfromtheFringe",2014
11,11,"William McGirt",96,95.95,71,74,"ScramblingfromtheFringe",2014
12,12,"Mike Weir",69,95.83,46,48,"ScramblingfromtheFringe",2014
13,13,"Chris Kirk",105,95.71,67,70,"ScramblingfromtheFringe",2014
14,14,"Brian Harman",111,95.6,87,91,"ScramblingfromtheFringe",2014
15,15,"Jim Furyk",84,95.08,58,61,"ScramblingfromtheFringe",2014
16,16,"Ben Curtis",77,94.83,55,58,"ScramblingfromtheFringe",2014
16,16,"Seung Yul Noh",92,94.83,55,58,"ScramblingfromtheFringe",2014
18,18,"Matt Every",85,94.74,54,57,"ScramblingfromtheFringe",2014
18,18,"Lee Westwood",57,94.74,36,38,"ScramblingfromtheFringe",2014
20,20,"Ricky Barnes",92,94.52,69,73,"ScramblingfromtheFringe",2014
21,21,"Kevin Chappell",100,94.44,68,72,"ScramblingfromtheFringe",2014
22,22,"Keegan Bradley",89,94.34,50,53,"ScramblingfromtheFringe",2014
23,23,"Brandt Snedeker",89,94,47,50,"ScramblingfromtheFringe",2014
24,24,"Camilo Villegas",95,93.42,71,76,"ScramblingfromtheFringe",2014
25,25,"Jonas Blixt",64,93.33,28,30,"ScramblingfromtheFringe",2014
25,25,"Bryce Molder",77,93.33,42,45,"ScramblingfromtheFringe",2014
25,25,"Daniel Summerhays",98,93.33,70,75,"ScramblingfromtheFringe",2014
28,28,"Charlie Wi",72,93.24,69,74,"ScramblingfromtheFringe",2014
29,29,"Ernie Els",85,93.18,41,44,"ScramblingfromtheFringe",2014
29,29,"Rickie Fowler",91,93.18,41,44,"ScramblingfromtheFringe",2014
29,29,"Patrick Reed",92,93.18,41,44,"ScramblingfromtheFringe",2014
32,32,"David Lingmerth",80,93.1,54,58,"ScramblingfromtheFringe",2014
33,33,"Brendan Steele",89,93.06,67,72,"ScramblingfromtheFringe",2014
33,33,"Chris Stroud",88,93.06,67,72,"ScramblingfromtheFringe",2014
35,35,"Erik Compton",88,92.86,65,70,"ScramblingfromtheFringe",2014
36,36,"Andres Romero",81,92.31,60,65,"ScramblingfromtheFringe",2014
36,36,"Mark Wilson",69,92.31,48,52,"ScramblingfromtheFringe",2014
38,38,"Morgan Hoffmann",103,92.21,71,77,"ScramblingfromtheFringe",2014
39,39,"David Hearn",97,92.19,59,64,"ScramblingfromtheFringe",2014
40,40,"Robert Allenby",83,92.06,58,63,"ScramblingfromtheFringe",2014
40,40,"Zach Johnson",97,92.06,58,63,"ScramblingfromtheFringe",2014
42,42,"Brian Davis",93,91.95,80,87,"ScramblingfromtheFringe",2014
43,43,"Charley Hoffman",93,91.94,57,62,"ScramblingfromtheFringe",2014
44,44,"Phil Mickelson",71,91.89,34,37,"ScramblingfromtheFringe",2014
45,45,"Jason Kokrak",65,91.84,45,49,"ScramblingfromtheFringe",2014
45,45,"Kevin Streelman",79,91.84,45,49,"ScramblingfromtheFringe",2014
45,45,"Michael Thompson",74,91.84,45,49,"ScramblingfromtheFringe",2014
48,48,"Charles Howell III",106,91.76,78,85,"ScramblingfromtheFringe",2014
49,49,"Brad Fritsch",50,91.67,33,36,"ScramblingfromtheFringe",2014
49,49,"Kevin Kisner",85,91.67,66,72,"ScramblingfromtheFringe",2014
51,51,"Justin Leonard",75,91.55,65,71,"ScramblingfromtheFringe",2014
52,52,"Ryan Palmer",85,91.53,54,59,"ScramblingfromtheFringe",2014
52,52,"Josh Teater",90,91.53,54,59,"ScramblingfromtheFringe",2014
54,54,"Bubba Watson",76,91.49,43,47,"ScramblingfromtheFringe",2014
55,55,"Gary Woodland",93,91.38,53,58,"ScramblingfromtheFringe",2014
56,56,"Brendon de Jonge",109,91.3,63,69,"ScramblingfromtheFringe",2014
57,57,"James Driscoll",71,91.23,52,57,"ScramblingfromtheFringe",2014
58,58,"Rory McIlroy",66,91.18,31,34,"ScramblingfromtheFringe",2014
59,59,"Russell Henley",92,91.11,41,45,"ScramblingfromtheFringe",2014
60,60,"Jeff Overton",80,91.07,51,56,"ScramblingfromtheFringe",2014
60,60,"Scott Stallings",77,91.07,51,56,"ScramblingfromtheFringe",2014
62,62,"Stewart Cink",91,90.91,60,66,"ScramblingfromtheFringe",2014
62,62,"Brooks Koepka",56,90.91,40,44,"ScramblingfromtheFringe",2014
62,62,"John Senden",99,90.91,50,55,"ScramblingfromtheFringe",2014
62,62,"Kevin Stadler",90,90.91,40,44,"ScramblingfromtheFringe",2014
62,62,"David Toms",64,90.91,40,44,"ScramblingfromtheFringe",2014
67,67,"Marc Leishman",81,90.74,49,54,"ScramblingfromtheFringe",2014
68,68,"JJ Henry",91,90.67,68,75,"ScramblingfromtheFringe",2014
69,69,"JB Holmes",86,90.63,58,64,"ScramblingfromtheFringe",2014
70,70,"Scott Langley",95,90.59,77,85,"ScramblingfromtheFringe",2014
71,71,"Brice Garnett",92,90.54,67,74,"ScramblingfromtheFringe",2014
72,72,"Hudson Swafford",75,90.38,47,52,"ScramblingfromtheFringe",2014
73,73,"Tim Clark",75,90.32,56,62,"ScramblingfromtheFringe",2014
73,73,"Russell Knox",92,90.32,84,93,"ScramblingfromtheFringe",2014
75,75,"Jerry Kelly",80,90.2,46,51,"ScramblingfromtheFringe",2014
76,76,"Tyrone Van Aswegen",79,90.16,55,61,"ScramblingfromtheFringe",2014
77,77,"Sangmoon Bae",76,90,54,60,"ScramblingfromtheFringe",2014
77,77,"Sergio Garcia",61,90,27,30,"ScramblingfromtheFringe",2014
77,77,"Freddie Jacobson",91,90,63,70,"ScramblingfromtheFringe",2014
77,77,"Wes Roach",67,90,54,60,"ScramblingfromtheFringe",2014
81,81,"Aaron Baddeley",74,89.74,35,39,"ScramblingfromtheFringe",2014
