"CurrentStreakwithouta3Putt_RANKTHISWEEK_2010","CurrentStreakwithouta3Putt_RANKLASTWEEK_2010","CurrentStreakwithouta3Putt_PLAYERNAME_2010","CurrentStreakwithouta3Putt_EVENTS_2010","CurrentStreakwithouta3Putt_VALUE_2010","stat_name","year"
1,1,"Padraig Harrington",18,227,"CurrentStreakwithouta3Putt",2010
2,2,"DA Points",29,167,"CurrentStreakwithouta3Putt",2010
3,3,"Michael Sim",20,140,"CurrentStreakwithouta3Putt",2010
4,4,"Spencer Levin",31,127,"CurrentStreakwithouta3Putt",2010
5,5,"Charles Howell III",28,115,"CurrentStreakwithouta3Putt",2010
6,6,"KJ Choi",22,113,"CurrentStreakwithouta3Putt",2010
7,7,"Justin Leonard",27,112,"CurrentStreakwithouta3Putt",2010
8,8,"Alex Cejka",28,106,"CurrentStreakwithouta3Putt",2010
9,9,"Troy Merritt",29,104,"CurrentStreakwithouta3Putt",2010
10,10,"Brenden Pappas",24,103,"CurrentStreakwithouta3Putt",2010
11,11,"Andres Romero",21,90,"CurrentStreakwithouta3Putt",2010
12,12,"James Driscoll",26,88,"CurrentStreakwithouta3Putt",2010
13,13,"Briny Baird",28,87,"CurrentStreakwithouta3Putt",2010
13,13,"Cliff Kresge",17,87,"CurrentStreakwithouta3Putt",2010
13,13,"Mark Wilson",28,87,"CurrentStreakwithouta3Putt",2010
16,16,"Greg Chalmers",27,85,"CurrentStreakwithouta3Putt",2010
16,16,"Chris Couch",23,85,"CurrentStreakwithouta3Putt",2010
18,18,"Brendon de Jonge",32,84,"CurrentStreakwithouta3Putt",2010
18,18,"Trevor Immelman",19,84,"CurrentStreakwithouta3Putt",2010
20,20,"Jeff Quinney",29,80,"CurrentStreakwithouta3Putt",2010
21,21,"Chris DiMarco",25,71,"CurrentStreakwithouta3Putt",2010
22,22,"Brett Wetterich",16,68,"CurrentStreakwithouta3Putt",2010
23,23,"Skip Kendall",18,66,"CurrentStreakwithouta3Putt",2010
24,24,"Chris Wilson",26,64,"CurrentStreakwithouta3Putt",2010
25,25,"Joe Durant",19,62,"CurrentStreakwithouta3Putt",2010
26,26,"Ryan Palmer",27,61,"CurrentStreakwithouta3Putt",2010
27,27,"Chad Collins",26,59,"CurrentStreakwithouta3Putt",2010
27,27,"Jerod Turner",21,59,"CurrentStreakwithouta3Putt",2010
27,27,"Johnson Wagner",28,59,"CurrentStreakwithouta3Putt",2010
30,30,"Steve Stricker",19,58,"CurrentStreakwithouta3Putt",2010
31,31,"Steve Flesch",25,57,"CurrentStreakwithouta3Putt",2010
32,32,"Scott McCarron",29,56,"CurrentStreakwithouta3Putt",2010
32,32,"Sean OHair",25,56,"CurrentStreakwithouta3Putt",2010
34,34,"Zach Johnson",25,53,"CurrentStreakwithouta3Putt",2010
35,35,"Brad Faxon",23,52,"CurrentStreakwithouta3Putt",2010
36,36,"Steve Marino",24,51,"CurrentStreakwithouta3Putt",2010
37,37,"Kevin Stadler",28,50,"CurrentStreakwithouta3Putt",2010
38,38,"Woody Austin",29,49,"CurrentStreakwithouta3Putt",2010
38,38,"Rickie Fowler",28,49,"CurrentStreakwithouta3Putt",2010
38,38,"JP Hayes",25,49,"CurrentStreakwithouta3Putt",2010
41,41,"Henrik Bjornstad",26,46,"CurrentStreakwithouta3Putt",2010
41,41,"Derek Lamely",28,46,"CurrentStreakwithouta3Putt",2010
43,43,"Rocco Mediate",25,45,"CurrentStreakwithouta3Putt",2010
44,44,"YE Yang",21,43,"CurrentStreakwithouta3Putt",2010
45,45,"Matt Every",18,42,"CurrentStreakwithouta3Putt",2010
46,46,"Ernie Els",20,41,"CurrentStreakwithouta3Putt",2010
46,46,"Paul Goydos",25,41,"CurrentStreakwithouta3Putt",2010
48,48,"Jason Bohn",25,39,"CurrentStreakwithouta3Putt",2010
49,49,"Carl Pettersson",29,37,"CurrentStreakwithouta3Putt",2010
49,49,"John Rollins",26,37,"CurrentStreakwithouta3Putt",2010
49,49,"Bubba Watson",22,37,"CurrentStreakwithouta3Putt",2010
52,52,"Stephen Ames",23,36,"CurrentStreakwithouta3Putt",2010
52,52,"Michael Connell",25,36,"CurrentStreakwithouta3Putt",2010
54,54,"Charles Warren",21,35,"CurrentStreakwithouta3Putt",2010
55,55,"Kenny Perry",20,34,"CurrentStreakwithouta3Putt",2010
56,56,"Brian Gay",30,33,"CurrentStreakwithouta3Putt",2010
56,56,"Dustin Johnson",23,33,"CurrentStreakwithouta3Putt",2010
56,56,"Jerry Kelly",29,33,"CurrentStreakwithouta3Putt",2010
56,56,"Shaun Micheel",21,33,"CurrentStreakwithouta3Putt",2010
60,60,"David Lutterus",25,32,"CurrentStreakwithouta3Putt",2010
61,61,"John Mallinger",29,31,"CurrentStreakwithouta3Putt",2010
62,62,"Boo Weekley",27,30,"CurrentStreakwithouta3Putt",2010
63,63,"Paul Casey",17,29,"CurrentStreakwithouta3Putt",2010
63,63,"Tim Herron",24,29,"CurrentStreakwithouta3Putt",2010
63,63,"Chris Riley",24,29,"CurrentStreakwithouta3Putt",2010
66,66,"Nathan Green",27,28,"CurrentStreakwithouta3Putt",2010
66,66,"Scott Piercy",28,28,"CurrentStreakwithouta3Putt",2010
68,68,"Robert Allenby",22,27,"CurrentStreakwithouta3Putt",2010
68,68,"Nick Watney",24,27,"CurrentStreakwithouta3Putt",2010
70,70,"Jonathan Byrd",26,26,"CurrentStreakwithouta3Putt",2010
70,70,"Chad Campbell",28,26,"CurrentStreakwithouta3Putt",2010
70,70,"Adam Scott",20,26,"CurrentStreakwithouta3Putt",2010
70,70,"Steve Wheatcroft",27,26,"CurrentStreakwithouta3Putt",2010
74,74,"Billy Mayfair",26,23,"CurrentStreakwithouta3Putt",2010
74,74,"Kevin Streelman",28,23,"CurrentStreakwithouta3Putt",2010
76,76,"Steve Lowery",25,22,"CurrentStreakwithouta3Putt",2010
76,76,"Chris Tidland",24,22,"CurrentStreakwithouta3Putt",2010
78,78,"Tim Clark",24,21,"CurrentStreakwithouta3Putt",2010
78,78,"Luke Donald",20,21,"CurrentStreakwithouta3Putt",2010
78,78,"Matt Kuchar",26,21,"CurrentStreakwithouta3Putt",2010
78,78,"Marc Leishman",26,21,"CurrentStreakwithouta3Putt",2010
78,78,"Rod Pampling",26,21,"CurrentStreakwithouta3Putt",2010
