"RightTendency_RANKTHISWEEK_2015","RightTendency_RANKLASTWEEK_2015","RightTendency_PLAYERNAME_2015","RightTendency_EVENTS_2015","RightTendency_Pct_2015","RightTendency_NUMBEROFTIMES_2015","RightTendency_ATTEMPTS_2015","RightTendency_AVGRTPSCORE_2015","stat_name","year"
1,1,"Robert Allenby",25,38.7,98,253,2.86,"RightTendency",2015
2,2,"Russell Henley",24,39.4,129,327,1.47,"RightTendency",2015
3,3,"Blayne Barber",26,40.5,126,311,-0.08,"RightTendency",2015
4,4,"Andres Romero",24,40.7,140,344,1,"RightTendency",2015
5,5,"Eric Axley",21,40.8,102,250,3.24,"RightTendency",2015
5,5,"Matt Kuchar",25,40.8,160,392,0.19,"RightTendency",2015
7,7,"Steven Bowditch",32,41.7,230,551,0.96,"RightTendency",2015
8,8,"Justin Leonard",22,41.9,91,217,3.08,"RightTendency",2015
9,9,"Henrik Stenson",16,42.2,81,192,0.37,"RightTendency",2015
10,10,"JJ Henry",30,42.5,175,412,1.94,"RightTendency",2015
11,11,"Davis Love III",18,42.7,85,199,1.29,"RightTendency",2015
12,12,"Billy Horschel",28,42.9,156,364,1.47,"RightTendency",2015
12,12,"Billy Hurley III",28,42.9,134,312,1.49,"RightTendency",2015
12,12,"Brandt Snedeker",27,42.9,173,403,1.27,"RightTendency",2015
15,15,"Ben Crane",22,43.8,102,233,1.57,"RightTendency",2015
16,16,"Michael Thompson",27,44,184,418,1.41,"RightTendency",2015
17,17,"Danny Lee",36,44.2,216,489,1.76,"RightTendency",2015
18,18,"Carl Pettersson",32,44.3,233,526,1.16,"RightTendency",2015
19,19,"Paul Casey",24,44.4,144,324,1.04,"RightTendency",2015
20,20,"Alex Cejka",30,44.6,179,401,1.4,"RightTendency",2015
21,21,"Erik Compton",28,44.8,172,384,1.16,"RightTendency",2015
22,22,"Carlos Ortiz",30,45,202,449,1.53,"RightTendency",2015
23,23,"Andrew Svoboda",30,45.2,178,394,3.09,"RightTendency",2015
24,24,"Chesson Hadley",30,45.3,236,521,1.57,"RightTendency",2015
24,24,"David Lingmerth",28,45.3,158,349,1.08,"RightTendency",2015
24,24,"Seung Yul Noh",21,45.3,149,329,2.08,"RightTendency",2015
27,27,"Zach Johnson",25,45.4,128,282,2.11,"RightTendency",2015
27,27,"DA Points",26,45.4,161,355,0.5,"RightTendency",2015
27,27,"Tim Wilkinson",28,45.4,133,293,2.11,"RightTendency",2015
30,30,"Jon Curran",28,45.5,132,290,1.74,"RightTendency",2015
30,30,"Geoff Ogilvy",15,45.5,90,198,2.89,"RightTendency",2015
32,32,"Jason Day",20,45.7,155,339,0.58,"RightTendency",2015
32,32,"Phil Mickelson",19,45.7,154,337,0.65,"RightTendency",2015
34,34,"Luke Donald",20,45.8,138,301,1.59,"RightTendency",2015
35,35,"Rory Sabbatini",25,45.9,164,357,0.85,"RightTendency",2015
36,36,"Spencer Levin",31,46,156,339,2.31,"RightTendency",2015
37,37,"John Senden",24,46.2,109,236,2.29,"RightTendency",2015
38,38,"Jonathan Randolph",25,46.3,162,350,1.54,"RightTendency",2015
39,39,"William McGirt",30,46.6,197,423,1.52,"RightTendency",2015
39,39,"Cameron Percy",23,46.6,142,305,0.92,"RightTendency",2015
41,41,"Luke Guthrie",27,46.7,176,377,1.88,"RightTendency",2015
42,42,"Stewart Cink",23,47,174,370,0.29,"RightTendency",2015
42,42,"Sean OHair",26,47,194,413,1.19,"RightTendency",2015
44,44,"Kevin Kisner",30,47.1,200,425,0.5,"RightTendency",2015
