"BogeyAverage_RANKTHISWEEK_2011","BogeyAverage_RANKLASTWEEK_2011","BogeyAverage_PLAYERNAME_2011","BogeyAverage_EVENTS_2011","BogeyAverage_AVERAGEBOGEYSPERROUND_2011","BogeyAverage_TOTALBOGEYS_2011","BogeyAverage_ROUNDSPLAYED_2011","stat_name","year"
1,1,"Luke Donald",19,2.01,135,67,"BogeyAverage",2011
2,2,"Webb Simpson",26,2.08,204,98,"BogeyAverage",2011
3,3,"Briny Baird",19,2.22,133,60,"BogeyAverage",2011
4,4,"Nick Watney",22,2.23,172,77,"BogeyAverage",2011
5,5,"Matt Kuchar",24,2.25,198,88,"BogeyAverage",2011
6,6,"Jason Day",21,2.26,165,73,"BogeyAverage",2011
7,7,"Charles Howell III",30,2.28,246,108,"BogeyAverage",2011
8,8,"Steve Stricker",19,2.29,158,69,"BogeyAverage",2011
9,9,"Hunter Haas",30,2.31,222,96,"BogeyAverage",2011
9,9,"Zach Johnson",23,2.31,180,78,"BogeyAverage",2011
9,9,"Jerry Kelly",26,2.31,196,85,"BogeyAverage",2011
9,9,"David Toms",23,2.31,180,78,"BogeyAverage",2011
13,13,"Greg Chalmers",28,2.32,204,88,"BogeyAverage",2011
14,14,"Michael Thompson",25,2.33,184,79,"BogeyAverage",2011
15,15,"Bryce Molder",27,2.35,193,82,"BogeyAverage",2011
16,16,"William McGirt",32,2.36,243,103,"BogeyAverage",2011
17,17,"Spencer Levin",31,2.4,271,113,"BogeyAverage",2011
17,17,"Vaughn Taylor",27,2.4,214,89,"BogeyAverage",2011
19,19,"Sergio Garcia",16,2.41,147,61,"BogeyAverage",2011
19,19,"David Hearn",26,2.41,212,88,"BogeyAverage",2011
21,21,"Chris Couch",21,2.42,177,73,"BogeyAverage",2011
21,21,"Bill Haas",26,2.42,223,92,"BogeyAverage",2011
23,23,"Phil Mickelson",21,2.43,187,77,"BogeyAverage",2011
24,24,"Brandt Jobe",28,2.44,244,100,"BogeyAverage",2011
25,25,"Trevor Immelman",25,2.45,206,84,"BogeyAverage",2011
26,26,"Woody Austin",18,2.46,145,59,"BogeyAverage",2011
27,27,"Mark Wilson",26,2.47,215,87,"BogeyAverage",2011
28,28,"Stephen Ames",22,2.48,171,69,"BogeyAverage",2011
28,28,"Brian Gay",26,2.48,223,90,"BogeyAverage",2011
28,28,"JJ Henry",28,2.48,238,96,"BogeyAverage",2011
31,31,"Brendon de Jonge",30,2.49,261,105,"BogeyAverage",2011
31,31,"Rod Pampling",21,2.49,179,72,"BogeyAverage",2011
31,31,"Gary Woodland",25,2.49,232,93,"BogeyAverage",2011
34,34,"Joe Durant",25,2.52,179,71,"BogeyAverage",2011
34,34,"Heath Slocum",29,2.52,222,88,"BogeyAverage",2011
34,34,"Kevin Streelman",26,2.52,227,90,"BogeyAverage",2011
37,37,"Jason Bohn",22,2.53,187,74,"BogeyAverage",2011
37,37,"Jim Furyk",26,2.53,218,86,"BogeyAverage",2011
37,37,"Adam Scott",18,2.53,149,59,"BogeyAverage",2011
37,37,"Dean Wilson",22,2.53,157,62,"BogeyAverage",2011
41,41,"Chris DiMarco",31,2.54,236,93,"BogeyAverage",2011
42,42,"Michael Putnam",21,2.55,171,67,"BogeyAverage",2011
42,42,"Garrett Willis",24,2.55,181,71,"BogeyAverage",2011
44,44,"Rory Sabbatini",24,2.56,218,85,"BogeyAverage",2011
45,45,"Cameron Tringale",32,2.57,283,110,"BogeyAverage",2011
45,45,"Johnson Wagner",25,2.57,208,81,"BogeyAverage",2011
47,47,"Freddie Jacobson",25,2.58,237,92,"BogeyAverage",2011
47,47,"DJ Trahan",30,2.58,235,91,"BogeyAverage",2011
49,49,"Brian Davis",30,2.59,272,105,"BogeyAverage",2011
49,49,"Tim Herron",28,2.59,220,85,"BogeyAverage",2011
