"MoneyperEventLeaders_RANKTHISWEEK_2007","MoneyperEventLeaders_RANKLASTWEEK_2007","MoneyperEventLeaders_PLAYERNAME_2007","MoneyperEventLeaders_EVENTS_2007","MoneyperEventLeaders_MONEYPEREVENT_2007","MoneyperEventLeaders_TOTALMONEY_2007","stat_name","year"
1,1,"Tiger Woods",16,679190,10867052,"MoneyperEventLeaders",2007
2,2,"Phil Mickelson",22,264544,5819988,"MoneyperEventLeaders",2007
3,3,"Simon Dyson",1,227500,227500,"MoneyperEventLeaders",2007
4,4,"Steve Stricker",23,202742,4663076,"MoneyperEventLeaders",2007
5,5,"Andres Romero",3,198804,596414,"MoneyperEventLeaders",2007
6,6,"Rory Sabbatini",23,197827,4550040,"MoneyperEventLeaders",2007
7,7,"Sergio Garcia",19,195851,3721184,"MoneyperEventLeaders",2007
8,8,"KJ Choi",25,183514,4587858,"MoneyperEventLeaders",2007
9,9,"Jim Furyk",23,180610,4154046,"MoneyperEventLeaders",2007
10,10,"Adam Scott",19,179641,3413184,"MoneyperEventLeaders",2007
11,11,"Vijay Singh",27,175125,4728376,"MoneyperEventLeaders",2007
12,12,"Zach Johnson",23,170536,3922337,"MoneyperEventLeaders",2007
13,13,"Justin Rose",16,169117,2705874,"MoneyperEventLeaders",2007
14,14,"Ernie Els",16,169107,2705715,"MoneyperEventLeaders",2007
15,15,"Aaron Baddeley",23,149613,3441118,"MoneyperEventLeaders",2007
16,16,"Padraig Harrington",18,147682,2658282,"MoneyperEventLeaders",2007
17,17,"Tim Clark",19,137639,2615151,"MoneyperEventLeaders",2007
18,18,"Scott Verplank",23,135403,3114288,"MoneyperEventLeaders",2007
19,19,"Geoff Ogilvy",22,133781,2943203,"MoneyperEventLeaders",2007
20,20,"Henrik Stenson",15,126503,1897554,"MoneyperEventLeaders",2007
21,21,"Pelle Edberg",1,120458,120458,"MoneyperEventLeaders",2007
22,22,"Angel Cabrera",14,118650,1661105,"MoneyperEventLeaders",2007
