"Approachesfrom5075yardsRgh_RANKTHISWEEK_2006","Approachesfrom5075yardsRgh_RANKLASTWEEK_2006","Approachesfrom5075yardsRgh_PLAYERNAME_2006","Approachesfrom5075yardsRgh_ROUNDS_2006","Approachesfrom5075yardsRgh_AVG_2006","Approachesfrom5075yardsRgh_TOTALDISTANCEFEET_2006","Approachesfrom5075yardsRgh_OFATTEMPTS_2006","Approachesfrom5075yardsRgh_RELATIVETOPAR_2006","stat_name","year"
1,1,"Tiger Woods",55,NA,17.5,3,-1,"Approachesfrom5075yardsRgh",2006
2,2,"Nathan Green",108,NA,124.333,10,-4,"Approachesfrom5075yardsRgh",2006
3,3,"Shaun Micheel",96,NA,122.75,9,0,"Approachesfrom5075yardsRgh",2006
4,4,"Ben Curtis",86,NA,96.5,7,1,"Approachesfrom5075yardsRgh",2006
5,5,"Ryuji Imada",105,NA,194.75,14,0,"Approachesfrom5075yardsRgh",2006
5,5,"Nick Watney",97,NA,55.667,4,0,"Approachesfrom5075yardsRgh",2006
7,7,"Marco Dawson",87,NA,259,18,-1,"Approachesfrom5075yardsRgh",2006
8,8,"Kirk Triplett",58,NA,74.417,5,6,"Approachesfrom5075yardsRgh",2006
9,9,"Padraig Harrington",54,NA,166.417,11,-2,"Approachesfrom5075yardsRgh",2006
10,10,"Richard Johnson",94,NA,229.333,15,9,"Approachesfrom5075yardsRgh",2006
11,11,"Steve Flesch",119,NA,199.75,13,0,"Approachesfrom5075yardsRgh",2006
12,12,"Woody Austin",107,NA,169.583,11,-1,"Approachesfrom5075yardsRgh",2006
12,12,"Bo Van Pelt",102,NA,293.25,19,2,"Approachesfrom5075yardsRgh",2006
14,14,"Jerry Smith",94,NA,309.583,20,-1,"Approachesfrom5075yardsRgh",2006
15,15,"David Howell",52,NA,46.667,3,-1,"Approachesfrom5075yardsRgh",2006
16,16,"Michael Connell",51,NA,126.25,8,-1,"Approachesfrom5075yardsRgh",2006
17,17,"Jesper Parnevik",84,NA,205.5,13,-4,"Approachesfrom5075yardsRgh",2006
18,18,"Bernhard Langer",77,NA,128.25,8,2,"Approachesfrom5075yardsRgh",2006
19,19,"Stuart Appleby",83,NA,177.917,11,-2,"Approachesfrom5075yardsRgh",2006
19,19,"Todd Fischer",101,NA,436.167,27,3,"Approachesfrom5075yardsRgh",2006
19,19,"Frank Lickliter II",99,NA,226.75,14,-1,"Approachesfrom5075yardsRgh",2006
22,22,"Tim Herron",82,NA,243.25,15,3,"Approachesfrom5075yardsRgh",2006
23,23,"Mark OMeara",52,NA,179.833,11,-6,"Approachesfrom5075yardsRgh",2006
23,23,"Chris Riley",86,NA,245.583,15,1,"Approachesfrom5075yardsRgh",2006
25,25,"Scott Gutschewski",53,NA,132.083,8,-1,"Approachesfrom5075yardsRgh",2006
26,26,"Heath Slocum",96,NA,252.083,15,-2,"Approachesfrom5075yardsRgh",2006
27,27,"Tom Pernice Jr",108,NA,203.917,12,-1,"Approachesfrom5075yardsRgh",2006
28,28,"Zach Johnson",98,NA,154.083,9,1,"Approachesfrom5075yardsRgh",2006
29,29,"Trevor Immelman",86,NA,206.917,12,1,"Approachesfrom5075yardsRgh",2006
30,30,"Fred Funk",106,NA,225.917,13,-5,"Approachesfrom5075yardsRgh",2006
30,30,"Mike Sposa",68,NA,243.25,14,2,"Approachesfrom5075yardsRgh",2006
32,32,"Retief Goosen",68,NA,282.833,16,3,"Approachesfrom5075yardsRgh",2006
33,33,"Jonathan Kaye",95,NA,269.417,15,1,"Approachesfrom5075yardsRgh",2006
34,34,"Will Ma Kenzie",91,NA,217.417,12,3,"Approachesfrom5075yardsRgh",2006
35,35,"Ted Purdy",103,NA,253.833,14,1,"Approachesfrom5075yardsRgh",2006
36,36,"Joey Sindelar",90,NA,201.167,11,1,"Approachesfrom5075yardsRgh",2006
37,37,"Brian Gay",107,NA,165.25,9,1,"Approachesfrom5075yardsRgh",2006
37,37,"Tjaart van der Walt",60,NA,146.833,8,3,"Approachesfrom5075yardsRgh",2006
39,39,"Skip Kendall",72,NA,147.5,8,2,"Approachesfrom5075yardsRgh",2006
40,40,"Jim Furyk",89,NA,74.75,4,3,"Approachesfrom5075yardsRgh",2006
40,40,"Jason Schultz",77,NA,149.417,8,1,"Approachesfrom5075yardsRgh",2006
40,40,"Adam Scott",70,NA,149.583,8,2,"Approachesfrom5075yardsRgh",2006
43,43,"Larry Mize",53,NA,75,4,0,"Approachesfrom5075yardsRgh",2006
44,44,"Robert Allenby",79,NA,188.25,10,-2,"Approachesfrom5075yardsRgh",2006
44,44,"Jose Maria Olazabal",62,NA,113.083,6,1,"Approachesfrom5075yardsRgh",2006
46,46,"Steve Jones",83,NA,134.5,7,3,"Approachesfrom5075yardsRgh",2006
47,47,"Paul Goydos",72,NA,271.167,14,2,"Approachesfrom5075yardsRgh",2006
47,47,"Ian Poulter",53,NA,174.083,9,5,"Approachesfrom5075yardsRgh",2006
49,49,"Chris DiMarco",83,NA,252.25,13,2,"Approachesfrom5075yardsRgh",2006
50,50,"Ryan Palmer",101,NA,233.917,12,3,"Approachesfrom5075yardsRgh",2006
51,51,"Davis Love III",85,NA,234.667,12,6,"Approachesfrom5075yardsRgh",2006
51,51,"Corey Pavin",74,NA,137.083,7,4,"Approachesfrom5075yardsRgh",2006
53,53,"Mark Brooks",90,NA,217.5,11,-2,"Approachesfrom5075yardsRgh",2006
54,54,"Paul Azinger",87,NA,360.333,18,2,"Approachesfrom5075yardsRgh",2006
54,54,"Jeff Sluman",101,NA,220,11,2,"Approachesfrom5075yardsRgh",2006
56,56,"Ron Whittaker",81,NA,160.833,8,0,"Approachesfrom5075yardsRgh",2006
57,57,"Doug Barron",74,NA,323.917,16,0,"Approachesfrom5075yardsRgh",2006
57,57,"Jonathan Byrd",66,NA,161.917,8,-1,"Approachesfrom5075yardsRgh",2006
57,57,"Tim Clark",80,NA,161.917,8,2,"Approachesfrom5075yardsRgh",2006
60,60,"Dudley Hart",83,NA,325.75,16,4,"Approachesfrom5075yardsRgh",2006
61,61,"Sergio Garcia",59,NA,183.583,9,-1,"Approachesfrom5075yardsRgh",2006
62,62,"JP Hayes",55,NA,266.167,13,-3,"Approachesfrom5075yardsRgh",2006
62,62,"Justin Rose",98,NA,164.25,8,0,"Approachesfrom5075yardsRgh",2006
64,64,"Steve Elkington",52,NA,228.333,11,1,"Approachesfrom5075yardsRgh",2006
64,64,"Vance Veazey",59,NA,145.5,7,5,"Approachesfrom5075yardsRgh",2006
66,66,"Chad Campbell",91,NA,335.417,16,0,"Approachesfrom5075yardsRgh",2006
67,67,"Craig Barlow",77,NA,421,20,5,"Approachesfrom5075yardsRgh",2006
67,67,"Bubba Dickerson",98,NA,421.75,20,8,"Approachesfrom5075yardsRgh",2006
69,69,"Alex Cejka",93,NA,339,16,2,"Approachesfrom5075yardsRgh",2006
70,70,"John Cook",67,NA,255.333,12,5,"Approachesfrom5075yardsRgh",2006
70,70,"Greg Owen",79,NA,191.083,9,1,"Approachesfrom5075yardsRgh",2006
70,70,"Steve Stricker",64,NA,127.583,6,2,"Approachesfrom5075yardsRgh",2006
73,73,"Brent Geiberger",99,NA,319.583,15,8,"Approachesfrom5075yardsRgh",2006
73,73,"Freddie Jacobson",56,NA,234.917,11,4,"Approachesfrom5075yardsRgh",2006
75,75,"Kris Cox",83,NA,258,12,2,"Approachesfrom5075yardsRgh",2006
75,75,"JB Holmes",81,NA,430,20,5,"Approachesfrom5075yardsRgh",2006
77,77,"Jimmy Walker",60,NA,326.083,15,2,"Approachesfrom5075yardsRgh",2006
78,78,"Arjun Atwal",97,NA,262.25,12,3,"Approachesfrom5075yardsRgh",2006
79,79,"Patrick Sheehan",104,NA,329.333,15,4,"Approachesfrom5075yardsRgh",2006
80,80,"Len Mattiace",59,NA,462.667,21,5,"Approachesfrom5075yardsRgh",2006
80,80,"Hidemichi Tanaka",74,NA,440.75,20,11,"Approachesfrom5075yardsRgh",2006
82,82,"Ben Crane",85,NA,110.5,5,2,"Approachesfrom5075yardsRgh",2006
83,83,"Greg Kraft",79,NA,288.083,13,-2,"Approachesfrom5075yardsRgh",2006
84,84,"Bubba Watson",83,NA,713.25,32,2,"Approachesfrom5075yardsRgh",2006
85,85,"Stephen Ames",63,NA,179.25,8,3,"Approachesfrom5075yardsRgh",2006
85,85,"Mark Calcavecchia",94,NA,269.083,12,2,"Approachesfrom5075yardsRgh",2006
87,87,"Briny Baird",81,NA,136.333,6,1,"Approachesfrom5075yardsRgh",2006
87,87,"Jeff Brehaut",100,NA,159.167,7,2,"Approachesfrom5075yardsRgh",2006
89,89,"Sean OHair",100,NA,434.167,19,-1,"Approachesfrom5075yardsRgh",2006
90,90,"Carlos Franco",86,NA,411.833,18,5,"Approachesfrom5075yardsRgh",2006
91,91,"John Senden",96,NA,253.417,11,3,"Approachesfrom5075yardsRgh",2006
92,92,"Shane Bertsch",104,NA,207.75,9,1,"Approachesfrom5075yardsRgh",2006
92,92,"John Engler Jr",69,NA,277.25,12,2,"Approachesfrom5075yardsRgh",2006
94,94,"Tommy Armour III",65,NA,186.333,8,1,"Approachesfrom5075yardsRgh",2006
95,95,"Rory Sabbatini",84,NA,375.667,16,5,"Approachesfrom5075yardsRgh",2006
96,96,"Bill Haas",99,NA,259,11,6,"Approachesfrom5075yardsRgh",2006
97,97,"Henrik Bjornstad",97,NA,615.25,26,7,"Approachesfrom5075yardsRgh",2006
98,98,"Ryan Hietala",61,NA,380.083,16,3,"Approachesfrom5075yardsRgh",2006
98,98,"JL Lewis",57,NA,261.167,11,4,"Approachesfrom5075yardsRgh",2006
98,98,"Shigeki Maruyama",94,NA,379.417,16,2,"Approachesfrom5075yardsRgh",2006
101,101,"Justin Leonard",83,NA,285.583,12,7,"Approachesfrom5075yardsRgh",2006
102,102,"Eric Axley",91,NA,262.917,11,0,"Approachesfrom5075yardsRgh",2006
103,103,"Todd Hamilton",72,NA,288.417,12,8,"Approachesfrom5075yardsRgh",2006
104,104,"Bob Estes",85,NA,242.583,10,1,"Approachesfrom5075yardsRgh",2006
105,105,"Matt Hansen",68,NA,341.833,14,0,"Approachesfrom5075yardsRgh",2006
105,105,"Paul Stankowski",70,NA,195.167,8,0,"Approachesfrom5075yardsRgh",2006
107,107,"Lucas Glover",105,NA,269.5,11,5,"Approachesfrom5075yardsRgh",2006
108,108,"Thomas Levet",53,NA,123.083,5,6,"Approachesfrom5075yardsRgh",2006
109,109,"Mark Wilson",79,NA,247,10,2,"Approachesfrom5075yardsRgh",2006
110,110,"Wes Short Jr",96,NA,372.25,15,10,"Approachesfrom5075yardsRgh",2006
110,110,"David Toms",76,NA,297.75,12,1,"Approachesfrom5075yardsRgh",2006
112,112,"Joe Ogilvie",95,NA,398.083,16,4,"Approachesfrom5075yardsRgh",2006
113,113,"Robert Garrigus",85,NA,275.333,11,4,"Approachesfrom5075yardsRgh",2006
