"LongestPutts_RANKTHISWEEK_2014","LongestPutts_RANKLASTWEEK_2014","LongestPutts_PLAYERNAME_2014","LongestPutts_ROUNDS_2014","LongestPutts_DISTANCE_2014","LongestPutts_YEARTOURN_2014","LongestPutts_ROUND_2014","LongestPutts_HOLE_2014","stat_name","year"
1,1,"Tiger Woods",21,NA,NA,2,4,"LongestPutts",2014
2,2,"Jeff Overton",80,NA,NA,1,9,"LongestPutts",2014
3,3,"Ryan Palmer",85,NA,NA,1,4,"LongestPutts",2014
4,4,"Michael Thompson",74,NA,NA,4,17,"LongestPutts",2014
5,5,"Jonathan Byrd",76,NA,NA,1,18,"LongestPutts",2014
6,6,"Graeme McDowell",66,NA,NA,1,6,"LongestPutts",2014
7,7,"Greg Chalmers",85,NA,NA,2,6,"LongestPutts",2014
8,8,"Retief Goosen",94,NA,NA,1,7,"LongestPutts",2014
9,9,"John Rollins",84,NA,NA,4,9,"LongestPutts",2014
10,10,"Jason Kokrak",65,NA,NA,3,3,"LongestPutts",2014
11,11,"Ben Crane",81,NA,NA,1,2,"LongestPutts",2014
12,12,"JJ Henry",91,NA,NA,2,15,"LongestPutts",2014
13,13,"Scott Verplank",24,NA,NA,1,18,"LongestPutts",2014
14,15,"Brian Harman",111,NA,NA,2,10,"LongestPutts",2014
14,14,"Zachary Olsen",6,NA,NA,2,1,"LongestPutts",2014
16,16,"Tim Clark",75,NA,NA,2,5,"LongestPutts",2014
17,17,"Ben Curtis",77,NA,NA,4,8,"LongestPutts",2014
18,18,"Henrik Stenson",56,NA,NA,3,13,"LongestPutts",2014
19,19,"Jim Herman",62,NA,NA,2,14,"LongestPutts",2014
20,20,"Jhonattan Vegas",77,NA,NA,2,7,"LongestPutts",2014
21,21,"Freddie Jacobson",91,NA,NA,2,13,"LongestPutts",2014
22,22,"JB Holmes",86,NA,NA,2,2,"LongestPutts",2014
23,23,"Daniel Summerhays",98,NA,NA,3,13,"LongestPutts",2014
24,25,"Billy Mayfair",12,NA,NA,1,17,"LongestPutts",2014
24,24,"Scott Brown",100,NA,NA,4,4,"LongestPutts",2014
26,27,"Cameron Beckman",33,NA,NA,3,13,"LongestPutts",2014
26,26,"Stewart Cink",91,NA,NA,4,6,"LongestPutts",2014
28,28,"Harris English",95,NA,NA,4,3,"LongestPutts",2014
29,29,"Stuart Appleby",92,NA,NA,1,1,"LongestPutts",2014
30,30,"Ricky Barnes",92,NA,NA,3,15,"LongestPutts",2014
31,31,"James Driscoll",71,NA,NA,2,14,"LongestPutts",2014
32,32,"Ian Poulter",57,NA,NA,1,8,"LongestPutts",2014
33,33,"Jim Furyk",84,NA,NA,4,7,"LongestPutts",2014
34,34,"Thorbjorn Olesen",37,NA,NA,1,18,"LongestPutts",2014
35,35,"Kevin Tway",64,NA,NA,1,5,"LongestPutts",2014
36,36,"Bud Cauley",56,NA,NA,1,16,"LongestPutts",2014
37,37,"Brice Garnett",92,NA,NA,1,8,"LongestPutts",2014
38,38,"John Daly",41,NA,NA,2,6,"LongestPutts",2014
39,39,"David Toms",64,NA,NA,4,16,"LongestPutts",2014
39,40,"Shawn Stefani",60,NA,NA,3,8,"LongestPutts",2014
41,41,"David Hearn",97,NA,NA,2,18,"LongestPutts",2014
44,44,"Robert Allenby",83,NA,NA,1,9,"LongestPutts",2014
45,46,"Spencer Levin",59,NA,NA,2,12,"LongestPutts",2014
45,47,"Chris Kirk",105,NA,NA,4,3,"LongestPutts",2014
45,45,"Patrick Reed",92,NA,NA,2,5,"LongestPutts",2014
49,49,"Kevin Na",94,NA,NA,3,16,"LongestPutts",2014
50,50,"Will Wilcox",51,NA,NA,3,5,"LongestPutts",2014
51,51,"Jamie Lovemark",64,NA,NA,2,8,"LongestPutts",2014
52,52,"Brendon de Jonge",109,NA,NA,3,4,"LongestPutts",2014
53,53,"Ernie Els",85,NA,NA,1,6,"LongestPutts",2014
53,54,"Ken Duke",80,NA,NA,1,5,"LongestPutts",2014
53,56,"Justin Rose",70,NA,NA,2,8,"LongestPutts",2014
53,55,"Fabrizio Zanotti",8,NA,NA,1,7,"LongestPutts",2014
