"AccuracyRating_RANKTHISWEEK_2014","AccuracyRating_RANKLASTWEEK_2014","AccuracyRating_PLAYERNAME_2014","AccuracyRating_EVENTS_2014","AccuracyRating_RATING_2014","stat_name","year"
205,205,"Tim Wilkinson",15,6.4,"AccuracyRating",2014
205,205,"Chris Williams",1,6.4,"AccuracyRating",2014
205,205,"Fabrizio Zanotti",2,6.4,"AccuracyRating",2014
222,222,"Sangmoon Bae",12,6.3,"AccuracyRating",2014
222,222,"Erik Compton",14,6.3,"AccuracyRating",2014
222,222,"Ben Curtis",12,6.3,"AccuracyRating",2014
222,222,"Derek Ernst",8,6.3,"AccuracyRating",2014
222,222,"Oliver Goss",2,6.3,"AccuracyRating",2014
222,222,"Luke Guthrie",14,6.3,"AccuracyRating",2014
222,222,"JB Holmes",18,6.3,"AccuracyRating",2014
222,222,"Max Homa",3,6.3,"AccuracyRating",2014
222,222,"Charles Howell III",22,6.3,"AccuracyRating",2014
222,222,"Trevor Immelman",11,6.3,"AccuracyRating",2014
222,222,"Bronson La Cassie",5,6.3,"AccuracyRating",2014
222,222,"David Lynn",4,6.3,"AccuracyRating",2014
222,222,"Jhonattan Vegas",13,6.3,"AccuracyRating",2014
222,222,"Tiger Woods",1,6.3,"AccuracyRating",2014
236,236,"Thomas Aiken",1,6.2,"AccuracyRating",2014
236,236,"Jason Allred",4,6.2,"AccuracyRating",2014
236,236,"Darren Clarke",2,6.2,"AccuracyRating",2014
236,236,"Chad Collins",8,6.2,"AccuracyRating",2014
236,236,"Morgan Hoffmann",17,6.2,"AccuracyRating",2014
236,236,"Lee Janzen",2,6.2,"AccuracyRating",2014
236,236,"Alexander Levy",2,6.2,"AccuracyRating",2014
236,236,"John Rollins",10,6.2,"AccuracyRating",2014
236,236,"Charlie Wi",10,6.2,"AccuracyRating",2014
236,236,"Bobby Wyatt",2,6.2,"AccuracyRating",2014
246,246,"John Daly",3,6.1,"AccuracyRating",2014
246,246,"Nathan Green",1,6.1,"AccuracyRating",2014
246,246,"Tim Herron",7,6.1,"AccuracyRating",2014
246,246,"Matt Jones",13,6.1,"AccuracyRating",2014
246,246,"Hyung Sung Kim",3,6.1,"AccuracyRating",2014
246,246,"Justin Leonard",13,6.1,"AccuracyRating",2014
246,246,"Greg Owen",5,6.1,"AccuracyRating",2014
246,246,"Tim Petrovic",1,6.1,"AccuracyRating",2014
246,246,"Patrick Rodgers",4,6.1,"AccuracyRating",2014
255,255,"Mark Anderson",2,6,"AccuracyRating",2014
255,255,"Eric Axley",3,6,"AccuracyRating",2014
255,255,"DH Lee",6,6,"AccuracyRating",2014
255,255,"Richard Lee",10,6,"AccuracyRating",2014
255,255,"Jamie Lovemark",7,6,"AccuracyRating",2014
255,255,"Colin Montgomerie",1,6,"AccuracyRating",2014
255,255,"Sean OHair",12,6,"AccuracyRating",2014
255,255,"Scott Piercy",5,6,"AccuracyRating",2014
255,255,"Andres Romero",14,6,"AccuracyRating",2014
255,255,"Chris Thompson",1,6,"AccuracyRating",2014
255,255,"Kevin Tway",6,6,"AccuracyRating",2014
266,266,"Cameron Beckman",2,5.9,"AccuracyRating",2014
266,266,"Jonas Blixt",7,5.9,"AccuracyRating",2014
266,266,"Miguel Angel Carballo",3,5.9,"AccuracyRating",2014
266,266,"David Duval",2,5.9,"AccuracyRating",2014
266,266,"Steve Marino",7,5.9,"AccuracyRating",2014
266,266,"Zachary Olsen",1,5.9,"AccuracyRating",2014
266,266,"Kyle Reifers",1,5.9,"AccuracyRating",2014
266,266,"Danny Willett",1,5.9,"AccuracyRating",2014
274,274,"Greg Chalmers",13,5.8,"AccuracyRating",2014
274,274,"George Coetzee",1,5.8,"AccuracyRating",2014
274,274,"Austin Cook",1,5.8,"AccuracyRating",2014
274,274,"Ryuji Imada",3,5.8,"AccuracyRating",2014
274,274,"Peter Malnati",3,5.8,"AccuracyRating",2014
274,274,"Mike Weir",6,5.8,"AccuracyRating",2014
280,280,"Kiradech Aphibarnrat",3,5.7,"AccuracyRating",2014
280,280,"Aaron Baddeley",10,5.7,"AccuracyRating",2014
280,280,"Matt Bettencourt",3,5.7,"AccuracyRating",2014
280,280,"James Driscoll",9,5.7,"AccuracyRating",2014
280,280,"Justin Thomas",2,5.7,"AccuracyRating",2014
285,285,"Rafa Cabrera Bello",1,5.6,"AccuracyRating",2014
285,285,"Jin Jeong",1,5.6,"AccuracyRating",2014
285,285,"Joe Ogilvie",3,5.6,"AccuracyRating",2014
285,285,"Dawie van der Walt",1,5.6,"AccuracyRating",2014
289,289,"Joel Dahmen",1,5.5,"AccuracyRating",2014
289,289,"Derek Fathauer",1,5.5,"AccuracyRating",2014
289,289,"Matthew Fitzpatrick",1,5.5,"AccuracyRating",2014
289,289,"David Howell",1,5.5,"AccuracyRating",2014
289,289,"Mark Hubbard",1,5.5,"AccuracyRating",2014
289,289,"Brett Rumford",1,5.5,"AccuracyRating",2014
289,289,"Derek Tolan",1,5.5,"AccuracyRating",2014
289,289,"Marc Turnesa",2,5.5,"AccuracyRating",2014
297,297,"Edoardo Molinari",1,5.4,"AccuracyRating",2014
297,297,"Taylor Pendrith",1,5.4,"AccuracyRating",2014
299,299,"Fabian Gomez",1,5.3,"AccuracyRating",2014
299,299,"Brett Quigley",1,5.3,"AccuracyRating",2014
301,301,"Alex Aragon",1,5.2,"AccuracyRating",2014
302,302,"Steve Flesch",1,5,"AccuracyRating",2014
302,302,"Dudley Hart",2,5,"AccuracyRating",2014
302,302,"Shane Lowry",1,5,"AccuracyRating",2014
302,302,"Sam Saunders",1,5,"AccuracyRating",2014
306,306,"Alex Cejka",1,4.8,"AccuracyRating",2014
306,306,"Peter Uihlein",1,4.8,"AccuracyRating",2014
308,308,"Scott McCarron",1,4.7,"AccuracyRating",2014
308,308,"Jordan Niebrugge",1,4.7,"AccuracyRating",2014
308,308,"Yoshitaka Takeya",1,4.7,"AccuracyRating",2014
311,311,"Bubba Dickerson",1,4.5,"AccuracyRating",2014
312,312,"Pablo Larrazabal",1,4.4,"AccuracyRating",2014
313,313,"Daisuke Maruyama",1,4.2,"AccuracyRating",2014
314,314,"Tano Goya",1,4.1,"AccuracyRating",2014
