"PuttsperRoundRound4_RANKTHISWEEK_2009","PuttsperRoundRound4_RANKLASTWEEK_2009","PuttsperRoundRound4_PLAYERNAME_2009","PuttsperRoundRound4__2009","PuttsperRoundRound4_AVG_2009","PuttsperRoundRound4_TOTALPUTTS_2009","PuttsperRoundRound4_TOTALROUNDS_2009","stat_name","year"
1,1,"Jeff Quinney",NA,26.85,349,13,"PuttsperRoundRound4",2009
2,2,"Brian Vranesh",NA,27,135,5,"PuttsperRoundRound4",2009
3,3,"Alex Cejka",NA,27.36,383,14,"PuttsperRoundRound4",2009
4,4,"Aaron Baddeley",NA,27.45,302,11,"PuttsperRoundRound4",2009
5,5,"Jim Furyk",NA,27.47,522,19,"PuttsperRoundRound4",2009
6,6,"Steve Stricker",NA,27.5,495,18,"PuttsperRoundRound4",2009
7,7,"Brian Davis",NA,27.53,523,19,"PuttsperRoundRound4",2009
8,8,"Matt Kuchar",NA,27.63,442,16,"PuttsperRoundRound4",2009
9,9,"Brian Gay",NA,27.75,555,20,"PuttsperRoundRound4",2009
9,9,"Rick Price",NA,27.75,111,4,"PuttsperRoundRound4",2009
11,11,"Joe Ogilvie",NA,27.77,361,13,"PuttsperRoundRound4",2009
12,12,"Steve Lowery",NA,27.85,362,13,"PuttsperRoundRound4",2009
13,13,"Pat Perez",NA,27.86,390,14,"PuttsperRoundRound4",2009
14,14,"Carl Pettersson",NA,27.87,418,15,"PuttsperRoundRound4",2009
15,15,"Lee Janzen",NA,27.92,335,12,"PuttsperRoundRound4",2009
16,16,"Chris DiMarco",NA,27.94,475,17,"PuttsperRoundRound4",2009
16,16,"Rory Sabbatini",NA,27.94,447,16,"PuttsperRoundRound4",2009
18,18,"Kevin Na",NA,27.95,531,19,"PuttsperRoundRound4",2009
19,19,"Webb Simpson",NA,28,448,16,"PuttsperRoundRound4",2009
20,20,"Mark Calcavecchia",NA,28.09,309,11,"PuttsperRoundRound4",2009
20,20,"Jason Day",NA,28.09,309,11,"PuttsperRoundRound4",2009
20,20,"Corey Pavin",NA,28.09,309,11,"PuttsperRoundRound4",2009
20,20,"Kenny Perry",NA,28.09,618,22,"PuttsperRoundRound4",2009
24,24,"Bob Heintz",NA,28.11,253,9,"PuttsperRoundRound4",2009
25,25,"Anthony Kim",NA,28.13,450,16,"PuttsperRoundRound4",2009
25,25,"Ryan Moore",NA,28.13,450,16,"PuttsperRoundRound4",2009
25,25,"Tiger Woods",NA,28.13,422,15,"PuttsperRoundRound4",2009
28,28,"Tim Clark",NA,28.18,479,17,"PuttsperRoundRound4",2009
29,29,"Ben Crane",NA,28.21,536,19,"PuttsperRoundRound4",2009
30,30,"Matt Weibring",NA,28.22,254,9,"PuttsperRoundRound4",2009
31,31,"Bubba Watson",NA,28.23,367,13,"PuttsperRoundRound4",2009
32,32,"Harrison Frazar",NA,28.24,480,17,"PuttsperRoundRound4",2009
33,33,"Ian Poulter",NA,28.25,339,12,"PuttsperRoundRound4",2009
34,34,"Bill Haas",NA,28.27,424,15,"PuttsperRoundRound4",2009
34,34,"Dean Wilson",NA,28.27,311,11,"PuttsperRoundRound4",2009
36,36,"Daniel Chopra",NA,28.29,481,17,"PuttsperRoundRound4",2009
36,36,"Justin Rose",NA,28.29,396,14,"PuttsperRoundRound4",2009
38,38,"David Mathis",NA,28.33,340,12,"PuttsperRoundRound4",2009
38,38,"Chris Riley",NA,28.33,425,15,"PuttsperRoundRound4",2009
40,40,"Ken Duke",NA,28.38,369,13,"PuttsperRoundRound4",2009
41,41,"Charles Howell III",NA,28.39,511,18,"PuttsperRoundRound4",2009
42,42,"KJ Choi",NA,28.4,284,10,"PuttsperRoundRound4",2009
43,43,"Woody Austin",NA,28.41,483,17,"PuttsperRoundRound4",2009
43,43,"Dustin Johnson",NA,28.41,483,17,"PuttsperRoundRound4",2009
45,45,"Zach Johnson",NA,28.43,597,21,"PuttsperRoundRound4",2009
46,46,"Chad Campbell",NA,28.44,512,18,"PuttsperRoundRound4",2009
46,46,"Luke Donald",NA,28.44,512,18,"PuttsperRoundRound4",2009
48,48,"Tommy Armour III",NA,28.45,313,11,"PuttsperRoundRound4",2009
49,49,"Freddie Jacobson",NA,28.5,456,16,"PuttsperRoundRound4",2009
49,49,"Justin Leonard",NA,28.5,570,20,"PuttsperRoundRound4",2009
49,49,"Scott McCarron",NA,28.5,513,18,"PuttsperRoundRound4",2009
49,49,"Casey Wittenberg",NA,28.5,228,8,"PuttsperRoundRound4",2009
53,53,"Brandt Snedeker",NA,28.54,371,13,"PuttsperRoundRound4",2009
54,54,"Tim Petrovic",NA,28.56,457,16,"PuttsperRoundRound4",2009
54,54,"Nick Watney",NA,28.56,514,18,"PuttsperRoundRound4",2009
56,56,"Greg Chalmers",NA,28.57,400,14,"PuttsperRoundRound4",2009
56,56,"Scott Sterling",NA,28.57,200,7,"PuttsperRoundRound4",2009
58,58,"Michael Allen",NA,28.58,343,12,"PuttsperRoundRound4",2009
59,59,"Eric Axley",NA,28.6,143,5,"PuttsperRoundRound4",2009
59,59,"Derek Fathauer",NA,28.6,143,5,"PuttsperRoundRound4",2009
59,59,"Charley Hoffman",NA,28.6,572,20,"PuttsperRoundRound4",2009
59,59,"George McNeill",NA,28.6,429,15,"PuttsperRoundRound4",2009
63,63,"Mike Weir",NA,28.61,515,18,"PuttsperRoundRound4",2009
64,64,"Scott Verplank",NA,28.63,544,19,"PuttsperRoundRound4",2009
65,65,"Angel Cabrera",NA,28.64,315,11,"PuttsperRoundRound4",2009
65,65,"Jimmy Walker",NA,28.64,315,11,"PuttsperRoundRound4",2009
67,67,"Geoff Ogilvy",NA,28.65,487,17,"PuttsperRoundRound4",2009
68,68,"Matt Bettencourt",NA,28.67,516,18,"PuttsperRoundRound4",2009
68,68,"Stewart Cink",NA,28.67,430,15,"PuttsperRoundRound4",2009
68,68,"Cliff Kresge",NA,28.67,258,9,"PuttsperRoundRound4",2009
