"DrivingPctMeasured_RANKTHISWEEK_2011","DrivingPctMeasured_RANKLASTWEEK_2011","DrivingPctMeasured_PLAYERNAME_2011","DrivingPctMeasured_ROUNDS_2011","DrivingPctMeasured_Pct_2011","DrivingPctMeasured_TOTALDRIVESFOR_2011","DrivingPctMeasured_TOTALDRVSOVERALL_2011","DrivingPctMeasured_RELATIVETOPAR_2011","stat_name","year"
89,89,"Heath Slocum",89,1.22,2,164,0.5,"DrivingPctMeasured",2011
91,91,"Charlie Wi",83,1.2,2,166,1,"DrivingPctMeasured",2011
92,92,"Retief Goosen",50,1.19,1,84,1,"DrivingPctMeasured",2011
93,93,"DA Points",89,1.18,2,170,1,"DrivingPctMeasured",2011
94,94,"Troy Matteson",91,1.15,2,174,0.5,"DrivingPctMeasured",2011
94,94,"Brendan Steele",89,1.15,2,174,0.5,"DrivingPctMeasured",2011
96,96,"Bill Lunde",92,1.14,2,176,0.5,"DrivingPctMeasured",2011
97,97,"Chad Campbell",99,1.1,2,182,0,"DrivingPctMeasured",2011
98,98,"Hunter Haas",96,1.09,2,184,-0.5,"DrivingPctMeasured",2011
99,99,"Justin Hicks",60,1.04,1,96,1,"DrivingPctMeasured",2011
100,100,"Harrison Frazar",58,1,1,100,0,"DrivingPctMeasured",2011
100,100,"Tommy Gainey",104,1,2,200,-0.5,"DrivingPctMeasured",2011
102,102,"Brendon de Jonge",105,0.99,2,202,0,"DrivingPctMeasured",2011
103,103,"Padraig Harrington",60,0.98,1,102,0,"DrivingPctMeasured",2011
104,104,"Woody Austin",59,0.94,1,106,-1,"DrivingPctMeasured",2011
105,105,"Sung Kang",63,0.91,1,110,0,"DrivingPctMeasured",2011
105,105,"Matt McQuillan",59,0.91,1,110,1,"DrivingPctMeasured",2011
107,107,"Shane Bertsch",62,0.89,1,112,0,"DrivingPctMeasured",2011
108,108,"Steve Stricker",70,0.88,1,114,1,"DrivingPctMeasured",2011
109,109,"Stewart Cink",72,0.86,1,116,0,"DrivingPctMeasured",2011
110,110,"Scott Gutschewski",67,0.85,1,118,1,"DrivingPctMeasured",2011
111,111,"Jason Day",76,0.82,1,122,0,"DrivingPctMeasured",2011
111,111,"Scott McCarron",65,0.82,1,122,1,"DrivingPctMeasured",2011
111,111,"Troy Merritt",63,0.82,1,122,1,"DrivingPctMeasured",2011
114,114,"Boo Weekley",66,0.81,1,124,-1,"DrivingPctMeasured",2011
115,115,"Rod Pampling",72,0.78,1,128,1,"DrivingPctMeasured",2011
116,116,"Stephen Ames",69,0.77,1,130,0,"DrivingPctMeasured",2011
116,116,"Joseph Bramlett",73,0.77,1,130,0,"DrivingPctMeasured",2011
116,116,"KJ Choi",77,0.77,1,130,-1,"DrivingPctMeasured",2011
116,116,"David Duval",67,0.77,1,130,1,"DrivingPctMeasured",2011
120,120,"Ben Crane",76,0.75,1,134,1,"DrivingPctMeasured",2011
120,120,"Joe Ogilvie",75,0.75,1,134,0,"DrivingPctMeasured",2011
120,120,"Bubba Watson",85,0.75,1,134,-1,"DrivingPctMeasured",2011
123,123,"Kevin Chappell",78,0.74,1,136,0,"DrivingPctMeasured",2011
123,123,"Ryan Palmer",82,0.74,1,136,0,"DrivingPctMeasured",2011
123,123,"David Toms",78,0.74,1,136,1,"DrivingPctMeasured",2011
126,126,"Joe Durant",71,0.72,1,138,1,"DrivingPctMeasured",2011
127,127,"Michael Bradley",74,0.71,1,140,-1,"DrivingPctMeasured",2011
127,127,"Ben Martin",74,0.71,1,140,2,"DrivingPctMeasured",2011
127,127,"Scott Piercy",78,0.71,1,140,1,"DrivingPctMeasured",2011
130,130,"Bobby Gates",82,0.68,1,148,2,"DrivingPctMeasured",2011
130,130,"Michael Thompson",79,0.68,1,146,-1,"DrivingPctMeasured",2011
132,132,"Fabian Gomez",84,0.66,1,152,0,"DrivingPctMeasured",2011
133,133,"Bo Van Pelt",92,0.64,1,156,2,"DrivingPctMeasured",2011
133,133,"Jhonattan Vegas",84,0.64,1,156,1,"DrivingPctMeasured",2011
135,135,"Kevin Stadler",88,0.63,1,160,1,"DrivingPctMeasured",2011
135,135,"Jimmy Walker",79,0.63,1,158,0,"DrivingPctMeasured",2011
135,135,"Mark Wilson",89,0.63,1,158,0,"DrivingPctMeasured",2011
138,138,"Tim Herron",85,0.62,1,162,1,"DrivingPctMeasured",2011
139,139,"Charley Hoffman",93,0.61,1,164,0,"DrivingPctMeasured",2011
139,139,"Kevin Streelman",90,0.61,1,164,0,"DrivingPctMeasured",2011
141,141,"Kyle Stanley",98,0.58,1,172,1,"DrivingPctMeasured",2011
142,142,"Keegan Bradley",91,0.57,1,174,0,"DrivingPctMeasured",2011
142,142,"Chris Kirk",87,0.57,1,174,0,"DrivingPctMeasured",2011
142,142,"Chez Reavie",92,0.57,1,176,0,"DrivingPctMeasured",2011
145,145,"John Senden",94,0.56,1,180,0,"DrivingPctMeasured",2011
145,145,"Webb Simpson",98,0.56,1,180,0,"DrivingPctMeasured",2011
147,147,"DJ Trahan",91,0.55,1,182,0,"DrivingPctMeasured",2011
148,148,"Brandt Jobe",100,0.54,1,184,-1,"DrivingPctMeasured",2011
149,149,"Josh Teater",104,0.51,1,196,1,"DrivingPctMeasured",2011
150,150,"Charles Howell III",108,0.5,1,200,1,"DrivingPctMeasured",2011
151,151,"Blake Adams",116,0.45,1,224,0,"DrivingPctMeasured",2011
152,152,"Steven Bowditch",86,0,NA,164,0,"DrivingPctMeasured",2011
152,152,"DJ Brigman",67,0,NA,118,0,"DrivingPctMeasured",2011
152,152,"Jonathan Byrd",83,0,NA,152,0,"DrivingPctMeasured",2011
152,152,"Angel Cabrera",50,0,NA,76,0,"DrivingPctMeasured",2011
152,152,"James Driscoll",71,0,NA,130,0,"DrivingPctMeasured",2011
152,152,"Sergio Garcia",61,0,NA,98,0,"DrivingPctMeasured",2011
