"Par5ScoringAverage_RANKTHISWEEK_2005","Par5ScoringAverage_RANKLASTWEEK_2005","Par5ScoringAverage_PLAYERNAME_2005","Par5ScoringAverage_ROUNDS_2005","Par5ScoringAverage_AVG_2005","Par5ScoringAverage_TOTALSTROKES_2005","Par5ScoringAverage_TOTALHOLES_2005","stat_name","year"
1,1,"Tiger Woods",76,4.52,1058,234,"Par5ScoringAverage",2005
2,2,"Vijay Singh",111,4.54,1586,349,"Par5ScoringAverage",2005
3,3,"Retief Goosen",71,4.55,855,188,"Par5ScoringAverage",2005
3,3,"Charles Howell III",95,4.55,1338,294,"Par5ScoringAverage",2005
5,5,"Tim Clark",92,4.56,1226,269,"Par5ScoringAverage",2005
5,5,"James Driscoll",73,4.56,1141,250,"Par5ScoringAverage",2005
5,5,"Sergio Garcia",73,4.56,931,204,"Par5ScoringAverage",2005
8,8,"Billy Andrade",83,4.58,1327,290,"Par5ScoringAverage",2005
8,8,"Harrison Frazar",105,4.58,1572,343,"Par5ScoringAverage",2005
8,8,"David Toms",87,4.58,1089,238,"Par5ScoringAverage",2005
8,8,"DJ Trahan",81,4.58,1192,260,"Par5ScoringAverage",2005
8,8,"Scott Verplank",87,4.58,1204,263,"Par5ScoringAverage",2005
13,13,"Frank Lickliter II",100,4.59,1520,331,"Par5ScoringAverage",2005
13,13,"Billy Mayfair",114,4.59,1667,363,"Par5ScoringAverage",2005
13,13,"Phil Mickelson",81,4.59,1075,234,"Par5ScoringAverage",2005
16,16,"Stuart Appleby",84,4.6,1127,245,"Par5ScoringAverage",2005
16,16,"Woody Austin",100,4.6,1499,326,"Par5ScoringAverage",2005
16,16,"Adam Scott",72,4.6,966,210,"Par5ScoringAverage",2005
16,16,"Bo Van Pelt",112,4.6,1735,377,"Par5ScoringAverage",2005
20,20,"Mathias Gronberg",60,4.61,863,187,"Par5ScoringAverage",2005
20,20,"Scott Gutschewski",86,4.61,1263,274,"Par5ScoringAverage",2005
20,20,"Davis Love III",80,4.61,1087,236,"Par5ScoringAverage",2005
20,20,"Geoff Ogilvy",97,4.61,1396,303,"Par5ScoringAverage",2005
20,20,"Nick Watney",91,4.61,1412,306,"Par5ScoringAverage",2005
25,25,"Arjun Atwal",65,4.62,984,213,"Par5ScoringAverage",2005
25,25,"Jason Bohn",91,4.62,1363,295,"Par5ScoringAverage",2005
25,25,"Bart Bryant",91,4.62,1279,277,"Par5ScoringAverage",2005
25,25,"Ben Crane",78,4.62,971,210,"Par5ScoringAverage",2005
25,25,"Jim Furyk",94,4.62,1331,288,"Par5ScoringAverage",2005
25,25,"Carl Pettersson",109,4.62,1686,365,"Par5ScoringAverage",2005
25,25,"John Rollins",97,4.62,1432,310,"Par5ScoringAverage",2005
25,25,"Kevin Stadler",96,4.62,1516,328,"Par5ScoringAverage",2005
25,25,"Omar Uresti",84,4.62,1265,274,"Par5ScoringAverage",2005
34,34,"Briny Baird",98,4.63,1468,317,"Par5ScoringAverage",2005
34,34,"Jonathan Byrd",103,4.63,1520,328,"Par5ScoringAverage",2005
34,34,"Fred Couples",72,4.63,1038,224,"Par5ScoringAverage",2005
34,34,"Lucas Glover",88,4.63,1360,294,"Par5ScoringAverage",2005
