"Par5Performance_RANKTHISWEEK_2016","Par5Performance_RANKLASTWEEK_2016","Par5Performance_PLAYERNAME_2016","Par5Performance_ROUNDS_2016","Par5Performance_STATUS_2016","Par5Performance_PAR5AVG_2016","Par5Performance_TOTALPAR_2016","stat_name","year"
1,2,"Harold Varner III",58,-97,4.51,990,"Par5Performance",2016
2,1,"Charles Howell III",63,-96,4.55,1070,"Par5Performance",2016
3,4,"Kyle Reifers",63,-91,4.59,1115,"Par5Performance",2016
4,5,"Mark Hubbard",73,-89,4.65,1260,"Par5Performance",2016
5,3,"Smylie Kaufman",57,-84,4.56,950,"Par5Performance",2016
5,6,"Jamie Lovemark",57,-84,4.57,980,"Par5Performance",2016
7,7,"Si Woo Kim",63,-80,4.62,1060,"Par5Performance",2016
7,12,"Andrew Loupe",50,-80,4.56,910,"Par5Performance",2016
7,12,"Gary Woodland",45,-80,4.49,780,"Par5Performance",2016
10,17,"Patrick Reed",53,-79,4.59,960,"Par5Performance",2016
10,9,"Daniel Summerhays",55,-79,4.58,950,"Par5Performance",2016
12,15,"Lucas Glover",53,-77,4.59,930,"Par5Performance",2016
13,15,"Luke List",51,-76,4.57,890,"Par5Performance",2016
13,8,"Ryan Palmer",46,-76,4.51,780,"Par5Performance",2016
13,21,"Jhonattan Vegas",49,-76,4.59,920,"Par5Performance",2016
16,10,"Jim Herman",55,-75,4.61,960,"Par5Performance",2016
16,21,"Brendan Steele",48,-75,4.56,850,"Par5Performance",2016
16,10,"Justin Thomas",53,-75,4.56,860,"Par5Performance",2016
19,21,"Boo Weekley",53,-74,4.6,920,"Par5Performance",2016
20,19,"Tony Finau",49,-73,4.58,860,"Par5Performance",2016
20,21,"Patton Kizzire",57,-73,4.59,890,"Par5Performance",2016
22,12,"Spencer Levin",62,-72,4.66,1060,"Par5Performance",2016
23,18,"Jason Kokrak",52,-70,4.62,920,"Par5Performance",2016
24,35,"Roberto Castro",55,-69,4.65,990,"Par5Performance",2016
24,31,"Rickie Fowler",42,-69,4.51,700,"Par5Performance",2016
24,38,"Colt Knost",56,-69,4.65,975,"Par5Performance",2016
27,21,"Derek Fathauer",58,-68,4.66,990,"Par5Performance",2016
27,29,"Ben Martin",48,-68,4.58,810,"Par5Performance",2016
27,19,"Hudson Swafford",52,-68,4.62,890,"Par5Performance",2016
30,21,"John Huh",51,-67,4.61,860,"Par5Performance",2016
31,28,"Chad Campbell",54,-66,4.64,910,"Par5Performance",2016
31,31,"Peter Malnati",53,-66,4.64,920,"Par5Performance",2016
31,21,"Patrick Rodgers",49,-66,4.62,860,"Par5Performance",2016
34,53,"William McGirt",54,-65,4.65,920,"Par5Performance",2016
34,35,"Brett Stegmaier",57,-65,4.66,970,"Par5Performance",2016
34,29,"Jimmy Walker",43,-65,4.53,690,"Par5Performance",2016
37,35,"Scott Brown",59,-64,4.69,1025,"Par5Performance",2016
37,53,"Kevin Chappell",49,-64,4.64,880,"Par5Performance",2016
37,77,"Rory McIlroy",37,-64,4.43,560,"Par5Performance",2016
37,31,"Chez Reavie",56,-64,4.67,960,"Par5Performance",2016
37,40,"Cameron Tringale",47,-64,4.63,870,"Par5Performance",2016
42,65,"Fabian Gomez",49,-63,4.59,760,"Par5Performance",2016
42,31,"Sung Kang",51,-63,4.65,890,"Par5Performance",2016
42,70,"Justin Rose",35,-63,4.49,620,"Par5Performance",2016
42,49,"Adam Scott",39,-63,4.49,620,"Par5Performance",2016
46,47,"Harris English",51,-62,4.65,895,"Par5Performance",2016
46,42,"Adam Hadwin",53,-62,4.66,920,"Par5Performance",2016
46,70,"Hideki Matsuyama",40,-62,4.55,690,"Par5Performance",2016
46,38,"Seung Yul Noh",54,-62,4.66,900,"Par5Performance",2016
46,60,"Chris Stroud",52,-62,4.66,915,"Par5Performance",2016
51,40,"Aaron Baddeley",51,-61,4.68,940,"Par5Performance",2016
51,49,"Kevin Kisner",49,-61,4.6,760,"Par5Performance",2016
51,74,"John Senden",48,-61,4.63,820,"Par5Performance",2016
54,60,"Bronson Burgoon",53,-60,4.67,920,"Par5Performance",2016
54,42,"Brendon de Jonge",55,-60,4.68,930,"Par5Performance",2016
54,70,"Danny Lee",53,-60,4.67,920,"Par5Performance",2016
54,42,"Michael Thompson",46,-60,4.62,790,"Par5Performance",2016
54,42,"Tyrone Van Aswegen",67,-60,4.74,1140,"Par5Performance",2016
54,65,"Johnson Wagner",44,-60,4.61,760,"Par5Performance",2016
60,53,"David Lingmerth",54,-59,4.66,880,"Par5Performance",2016
60,47,"Bryce Molder",50,-59,4.68,930,"Par5Performance",2016
60,49,"Kyle Stanley",57,-59,4.69,960,"Par5Performance",2016
63,74,"Daniel Berger",52,-58,4.67,890,"Par5Performance",2016
63,49,"Jason Dufner",53,-58,4.64,810,"Par5Performance",2016
63,77,"Brian Harman",60,-58,4.72,1040,"Par5Performance",2016
63,42,"Morgan Hoffmann",43,-58,4.59,700,"Par5Performance",2016
63,97,"Steve Wheatcroft",53,-58,4.68,900,"Par5Performance",2016
68,74,"Jonas Blixt",46,-57,4.66,840,"Par5Performance",2016
68,82,"Alex Cejka",47,-57,4.65,810,"Par5Performance",2016
68,53,"Freddie Jacobson",54,-57,4.7,960,"Par5Performance",2016
68,53,"Matt Kuchar",46,-57,4.6,710,"Par5Performance",2016
68,53,"Scott Piercy",45,-57,4.61,740,"Par5Performance",2016
68,87,"Robert Streb",51,-57,4.66,850,"Par5Performance",2016
68,53,"Nick Taylor",57,-57,4.72,1025,"Par5Performance",2016
