"FedExCupPlayoffsPoints_RANKTHISWEEK_2014","FedExCupPlayoffsPoints_RANKLASTWEEK_2014","FedExCupPlayoffsPoints_PLAYERNAME_2014","FedExCupPlayoffsPoints_EVENTS_2014","FedExCupPlayoffsPoints_POINTS_2014","FedExCupPlayoffsPoints_OFWINS_2014","FedExCupPlayoffsPoints_OFTOP10S_2014","FedExCupPlayoffsPoints_POINTSBEHINDLEAD_2014","FedExCupPlayoffsPoints_RESETPOINTS_2014","stat_name","year"
1,1,"Billy Horschel",27,4750,2,5,NA,2250,"FedExCupPlayoffsPoints",2014
2,2,"Chris Kirk",28,3100,2,5,1650,2500,"FedExCupPlayoffsPoints",2014
3,3,"Rory McIlroy",17,3050,3,12,1700,1800,"FedExCupPlayoffsPoints",2014
4,4,"Jim Furyk",21,2450,NA,11,2300,1200,"FedExCupPlayoffsPoints",2014
5,5,"Bubba Watson",21,2285,2,8,2465,2000,"FedExCupPlayoffsPoints",2014
6,6,"Hunter Mahan",25,1835,1,6,2915,1600,"FedExCupPlayoffsPoints",2014
7,7,"Jimmy Walker",27,1668,3,10,3082,1400,"FedExCupPlayoffsPoints",2014
8,8,"Matt Kuchar",24,1300,1,11,3450,1000,"FedExCupPlayoffsPoints",2014
9,9,"Rickie Fowler",26,1225,NA,10,3525,800,"FedExCupPlayoffsPoints",2014
10,10,"Jason Day",15,1200,1,6,3550,600,"FedExCupPlayoffsPoints",2014
11,11,"Justin Rose",19,850,1,8,3900,250,"FedExCupPlayoffsPoints",2014
12,12,"Adam Scott",17,835,1,10,3915,460,"FedExCupPlayoffsPoints",2014
13,13,"Sergio Garcia",16,815,NA,10,3935,440,"FedExCupPlayoffsPoints",2014
14,14,"Ryan Palmer",23,730,NA,8,4020,280,"FedExCupPlayoffsPoints",2014
15,15,"Jordan Spieth",27,698,NA,8,4052,480,"FedExCupPlayoffsPoints",2014
16,16,"Bill Haas",28,655,NA,5,4095,380,"FedExCupPlayoffsPoints",2014
