"Approaches200225yardsRghRTP_RANKTHISWEEK_2010","Approaches200225yardsRghRTP_RANKLASTWEEK_2010","Approaches200225yardsRghRTP_PLAYERNAME_2010","Approaches200225yardsRghRTP_ROUNDS_2010","Approaches200225yardsRghRTP_AVGRTP_2010","stat_name","year"
1,1,"Bubba Watson",77,-0.563,"Approaches200225yardsRghRTP",2010
2,2,"Charles Warren",64,-0.5,"Approaches200225yardsRghRTP",2010
3,3,"Troy Matteson",84,-0.357,"Approaches200225yardsRghRTP",2010
4,4,"Martin Laird",91,-0.333,"Approaches200225yardsRghRTP",2010
5,5,"Dustin Johnson",83,-0.294,"Approaches200225yardsRghRTP",2010
6,6,"Rory McIlroy",54,-0.286,"Approaches200225yardsRghRTP",2010
6,6,"Brett Wetterich",54,-0.286,"Approaches200225yardsRghRTP",2010
8,8,"Omar Uresti",74,-0.273,"Approaches200225yardsRghRTP",2010
9,9,"Bill Haas",87,-0.267,"Approaches200225yardsRghRTP",2010
10,10,"Alex Prugh",88,-0.25,"Approaches200225yardsRghRTP",2010
11,11,"Sergio Garcia",58,-0.167,"Approaches200225yardsRghRTP",2010
11,11,"Andrew McLardy",52,-0.167,"Approaches200225yardsRghRTP",2010
11,11,"Webb Simpson",98,-0.167,"Approaches200225yardsRghRTP",2010
14,14,"Phil Mickelson",76,-0.143,"Approaches200225yardsRghRTP",2010
15,15,"Paul Casey",64,-0.125,"Approaches200225yardsRghRTP",2010
16,16,"YE Yang",72,-0.118,"Approaches200225yardsRghRTP",2010
17,17,"Graham DeLaet",88,-0.077,"Approaches200225yardsRghRTP",2010
18,18,"Aaron Baddeley",94,-0.067,"Approaches200225yardsRghRTP",2010
18,18,"Robert Garrigus",71,-0.067,"Approaches200225yardsRghRTP",2010
18,18,"Cameron Tringale",55,-0.067,"Approaches200225yardsRghRTP",2010
21,21,"KJ Choi",82,-0.063,"Approaches200225yardsRghRTP",2010
22,22,"Steve Stricker",73,-0.059,"Approaches200225yardsRghRTP",2010
23,23,"Padraig Harrington",57,-0.056,"Approaches200225yardsRghRTP",2010
23,23,"JB Holmes",100,-0.056,"Approaches200225yardsRghRTP",2010
25,25,"DJ Trahan",92,-0.054,"Approaches200225yardsRghRTP",2010
26,26,"JJ Henry",92,-0.048,"Approaches200225yardsRghRTP",2010
27,27,"Robert Allenby",76,-0.043,"Approaches200225yardsRghRTP",2010
27,27,"Camilo Villegas",78,-0.043,"Approaches200225yardsRghRTP",2010
29,29,"Jason Bohn",84,-0.042,"Approaches200225yardsRghRTP",2010
29,29,"Matt Jones",89,-0.042,"Approaches200225yardsRghRTP",2010
31,31,"Marc Leishman",87,-0.04,"Approaches200225yardsRghRTP",2010
32,32,"Alex Cejka",81,0,"Approaches200225yardsRghRTP",2010
32,32,"Daniel Chopra",74,0,"Approaches200225yardsRghRTP",2010
32,32,"John Daly",63,0,"Approaches200225yardsRghRTP",2010
32,32,"James Driscoll",78,0,"Approaches200225yardsRghRTP",2010
32,32,"Steve Elkington",74,0,"Approaches200225yardsRghRTP",2010
32,32,"Martin Flores",75,0,"Approaches200225yardsRghRTP",2010
32,32,"Charley Hoffman",85,0,"Approaches200225yardsRghRTP",2010
32,32,"John Merrick",109,0,"Approaches200225yardsRghRTP",2010
32,32,"Ryan Moore",80,0,"Approaches200225yardsRghRTP",2010
32,32,"Ryan Palmer",84,0,"Approaches200225yardsRghRTP",2010
32,32,"John Rollins",81,0,"Approaches200225yardsRghRTP",2010
32,32,"Jeev Milkha Singh",59,0,"Approaches200225yardsRghRTP",2010
32,32,"Nicholas Thompson",88,0,"Approaches200225yardsRghRTP",2010
