"GoingfortheGreenHitGreenPct_RANKTHISWEEK_2010","GoingfortheGreenHitGreenPct_RANKLASTWEEK_2010","GoingfortheGreenHitGreenPct_PLAYERNAME_2010","GoingfortheGreenHitGreenPct_ROUNDS_2010","GoingfortheGreenHitGreenPct_Pct_2010","GoingfortheGreenHitGreenPct_SUCCESSES_2010","GoingfortheGreenHitGreenPct_ATTEMPTS_2010","GoingfortheGreenHitGreenPct_RTPSUCCESSES_2010","GoingfortheGreenHitGreenPct_RTPNOTGOINGFORTHEGRN_2010","stat_name","year"
1,1,"Cliff Kresge",50,33.87,21,62,-24,NA,"GoingfortheGreenHitGreenPct",2010
2,2,"Graham DeLaet",88,32.96,59,179,-53,NA,"GoingfortheGreenHitGreenPct",2010
3,3,"Bubba Watson",77,32.34,54,167,-55,NA,"GoingfortheGreenHitGreenPct",2010
4,4,"Steve Stricker",73,32.14,27,84,-29,NA,"GoingfortheGreenHitGreenPct",2010
5,5,"Davis Love III",79,31.58,42,133,-43,NA,"GoingfortheGreenHitGreenPct",2010
6,6,"Paul Casey",64,31.25,25,80,-30,NA,"GoingfortheGreenHitGreenPct",2010
7,7,"Robert Garrigus",71,30.87,46,149,-41,NA,"GoingfortheGreenHitGreenPct",2010
8,8,"Tim Clark",88,30.65,19,62,-17,NA,"GoingfortheGreenHitGreenPct",2010
9,9,"Sean OHair",84,30.53,40,131,-42,NA,"GoingfortheGreenHitGreenPct",2010
10,10,"Trevor Immelman",55,30.36,17,56,-18,NA,"GoingfortheGreenHitGreenPct",2010
11,11,"Jonathan Byrd",85,30.34,44,145,-40,NA,"GoingfortheGreenHitGreenPct",2010
12,12,"Kevin Sutherland",86,30.15,41,136,-48,NA,"GoingfortheGreenHitGreenPct",2010
13,13,"Phil Mickelson",76,30.14,44,146,-48,NA,"GoingfortheGreenHitGreenPct",2010
14,14,"Troy Matteson",84,29.65,51,172,-50,NA,"GoingfortheGreenHitGreenPct",2010
15,15,"Sergio Garcia",58,29.17,21,72,-19,NA,"GoingfortheGreenHitGreenPct",2010
16,16,"Jason Dufner",87,29.03,36,124,-39,NA,"GoingfortheGreenHitGreenPct",2010
17,17,"Brett Wetterich",54,28.69,35,122,-35,NA,"GoingfortheGreenHitGreenPct",2010
18,18,"Bob Estes",79,28.57,28,98,-29,NA,"GoingfortheGreenHitGreenPct",2010
19,19,"Dustin Johnson",83,28.25,50,177,-54,NA,"GoingfortheGreenHitGreenPct",2010
20,20,"Charles Warren",64,28.03,37,132,-42,NA,"GoingfortheGreenHitGreenPct",2010
21,21,"Henrik Bjornstad",72,27.78,35,126,-35,NA,"GoingfortheGreenHitGreenPct",2010
21,21,"Billy Mayfair",78,27.78,30,108,-27,NA,"GoingfortheGreenHitGreenPct",2010
21,21,"Nick Watney",91,27.78,45,162,-43,NA,"GoingfortheGreenHitGreenPct",2010
24,24,"Matt Every",60,27.72,28,101,-27,NA,"GoingfortheGreenHitGreenPct",2010
25,25,"Joe Durant",67,27.59,24,87,-25,NA,"GoingfortheGreenHitGreenPct",2010
26,26,"JB Holmes",100,27.4,60,219,-65,NA,"GoingfortheGreenHitGreenPct",2010
27,27,"Derek Lamely",81,27.19,31,114,-35,NA,"GoingfortheGreenHitGreenPct",2010
28,28,"Rich Barcelo",70,27.06,23,85,-28,NA,"GoingfortheGreenHitGreenPct",2010
29,29,"Bill Lunde",79,27.05,33,122,-36,NA,"GoingfortheGreenHitGreenPct",2010
30,30,"John Rollins",81,26.99,44,163,-42,NA,"GoingfortheGreenHitGreenPct",2010
31,31,"Martin Laird",91,26.98,51,189,-56,NA,"GoingfortheGreenHitGreenPct",2010
32,32,"Charley Hoffman",85,26.84,51,190,-55,NA,"GoingfortheGreenHitGreenPct",2010
33,33,"Ryan Palmer",84,26.81,37,138,-35,NA,"GoingfortheGreenHitGreenPct",2010
34,34,"Kevin Stadler",86,26.71,43,161,-46,NA,"GoingfortheGreenHitGreenPct",2010
35,35,"Marc Leishman",87,26.57,38,143,-35,NA,"GoingfortheGreenHitGreenPct",2010
36,36,"Will Ma Kenzie",72,26.52,35,132,-32,NA,"GoingfortheGreenHitGreenPct",2010
37,37,"Vaughn Taylor",87,26.47,36,136,-34,NA,"GoingfortheGreenHitGreenPct",2010
38,38,"Jarrod Lyle",54,26.44,23,87,-21,NA,"GoingfortheGreenHitGreenPct",2010
39,39,"Alex Prugh",88,26.38,43,163,-51,NA,"GoingfortheGreenHitGreenPct",2010
40,40,"Cameron Tringale",55,26.09,24,92,-19,NA,"GoingfortheGreenHitGreenPct",2010
41,41,"Adam Scott",70,25.89,29,112,-30,NA,"GoingfortheGreenHitGreenPct",2010
42,42,"Alex Cejka",81,25.77,25,97,-28,NA,"GoingfortheGreenHitGreenPct",2010
43,43,"Mathias Gronberg",61,25.74,26,101,-25,NA,"GoingfortheGreenHitGreenPct",2010
44,44,"John Senden",103,25.71,45,175,-41,NA,"GoingfortheGreenHitGreenPct",2010
45,45,"Matt Bettencourt",91,25.69,37,144,-47,NA,"GoingfortheGreenHitGreenPct",2010
46,46,"Stewart Cink",84,25.58,33,129,-31,NA,"GoingfortheGreenHitGreenPct",2010
47,47,"Tom Gillis",97,25.56,46,180,-48,NA,"GoingfortheGreenHitGreenPct",2010
48,48,"Troy Merritt",86,25.52,37,145,-37,NA,"GoingfortheGreenHitGreenPct",2010
48,48,"Boo Weekley",88,25.52,37,145,-39,NA,"GoingfortheGreenHitGreenPct",2010
50,50,"James Nitties",92,25.5,38,149,-41,NA,"GoingfortheGreenHitGreenPct",2010
51,51,"Mathew Goggin",85,25.48,40,157,-40,NA,"GoingfortheGreenHitGreenPct",2010
52,52,"Steve Marino",81,25.42,30,118,-31,NA,"GoingfortheGreenHitGreenPct",2010
52,52,"Camilo Villegas",78,25.42,30,118,-30,NA,"GoingfortheGreenHitGreenPct",2010
54,54,"Matt Jones",89,25.32,40,158,-43,NA,"GoingfortheGreenHitGreenPct",2010
55,55,"John Merrick",109,25.29,43,170,-42,NA,"GoingfortheGreenHitGreenPct",2010
56,56,"Michael Connell",89,25.27,23,91,-28,NA,"GoingfortheGreenHitGreenPct",2010
56,56,"David Duval",71,25.27,23,91,-22,NA,"GoingfortheGreenHitGreenPct",2010
