"BallStriking_RANKTHISWEEK_2009","BallStriking_RANKLASTWEEK_2009","BallStriking_PLAYERNAME_2009","BallStriking_ROUNDS_2009","BallStriking_VALUE_2009","BallStriking_TOTALDRVRANK_2009","BallStriking_GIRRANK_2009","stat_name","year"
1,1,"Jonathan Byrd",89,3,1,2,"BallStriking",2009
2,2,"Greg Owen",97,14,8,6,"BallStriking",2009
3,3,"John Senden",100,16,15,1,"BallStriking",2009
4,4,"Hunter Mahan",94,26,7,19,"BallStriking",2009
5,5,"Charles Warren",63,27,13,14,"BallStriking",2009
6,6,"Tiger Woods",64,28,12,16,"BallStriking",2009
7,7,"Robert Allenby",71,29,5,24,"BallStriking",2009
7,7,"DJ Trahan",96,29,22,7,"BallStriking",2009
9,9,"Jason Bohn",88,30,22,8,"BallStriking",2009
10,10,"Jeff Maggert",79,39,17,22,"BallStriking",2009
10,10,"Kenny Perry",92,39,3,36,"BallStriking",2009
12,12,"Heath Slocum",95,40,8,32,"BallStriking",2009
12,12,"David Toms",98,40,20,20,"BallStriking",2009
12,12,"Kirk Triplett",60,40,11,29,"BallStriking",2009
15,15,"Jay Williamson",69,45,40,5,"BallStriking",2009
16,16,"Steve Marino",98,51,30,21,"BallStriking",2009
17,17,"Michael Allen",73,53,16,37,"BallStriking",2009
18,18,"Joe Durant",62,55,52,3,"BallStriking",2009
18,18,"Troy Matteson",95,55,37,18,"BallStriking",2009
20,20,"Boo Weekley",79,57,5,52,"BallStriking",2009
21,21,"Will Ma Kenzie",69,58,32,26,"BallStriking",2009
22,22,"Bill Haas",91,61,27,34,"BallStriking",2009
23,23,"Robert Garrigus",83,62,58,4,"BallStriking",2009
24,24,"Steve Elkington",70,66,33,33,"BallStriking",2009
24,24,"Nicholas Thompson",96,66,24,42,"BallStriking",2009
26,26,"Tommy Armour III",58,68,24,44,"BallStriking",2009
27,27,"Zach Johnson",94,72,44,28,"BallStriking",2009
28,28,"Patrick Sheehan",51,73,58,15,"BallStriking",2009
29,29,"Bo Van Pelt",100,75,21,54,"BallStriking",2009
30,30,"Chris Stroud",88,82,70,12,"BallStriking",2009
