"FirstTeeLateRound2ScoringAverage_RANKTHISWEEK_2015","FirstTeeLateRound2ScoringAverage_RANKLASTWEEK_2015","FirstTeeLateRound2ScoringAverage_PLAYERNAME_2015","FirstTeeLateRound2ScoringAverage__2015","FirstTeeLateRound2ScoringAverage_AVG_2015","FirstTeeLateRound2ScoringAverage_TOTALSTROKES_2015","FirstTeeLateRound2ScoringAverage_TOTALROUNDS_2015","stat_name","year"
1,1,"Derek Ernst",NA,67,134,2,"FirstTeeLateRound2ScoringAverage",2015
2,2,"George McNeill",NA,67.2,336,5,"FirstTeeLateRound2ScoringAverage",2015
3,3,"Marc Leishman",NA,67.6,338,5,"FirstTeeLateRound2ScoringAverage",2015
4,4,"Brendan Steele",NA,68.17,409,6,"FirstTeeLateRound2ScoringAverage",2015
5,5,"Nick Watney",NA,68.2,341,5,"FirstTeeLateRound2ScoringAverage",2015
6,6,"John Huh",NA,68.25,273,4,"FirstTeeLateRound2ScoringAverage",2015
6,6,"Chris Stroud",NA,68.25,273,4,"FirstTeeLateRound2ScoringAverage",2015
8,8,"Russell Knox",NA,68.33,615,9,"FirstTeeLateRound2ScoringAverage",2015
9,9,"Steve Wheatcroft",NA,68.67,206,3,"FirstTeeLateRound2ScoringAverage",2015
10,10,"Henrik Stenson",NA,68.75,275,4,"FirstTeeLateRound2ScoringAverage",2015
11,11,"Boo Weekley",NA,68.8,344,5,"FirstTeeLateRound2ScoringAverage",2015
12,12,"Greg Chalmers",NA,68.83,413,6,"FirstTeeLateRound2ScoringAverage",2015
13,13,"Blayne Barber",NA,68.86,482,7,"FirstTeeLateRound2ScoringAverage",2015
14,14,"Daniel Berger",NA,68.89,620,9,"FirstTeeLateRound2ScoringAverage",2015
15,15,"Zac Blair",NA,69,207,3,"FirstTeeLateRound2ScoringAverage",2015
15,15,"Tom Hoge",NA,69,276,4,"FirstTeeLateRound2ScoringAverage",2015
15,15,"Andrew Putnam",NA,69,276,4,"FirstTeeLateRound2ScoringAverage",2015
15,15,"David Toms",NA,69,345,5,"FirstTeeLateRound2ScoringAverage",2015
19,19,"Ian Poulter",NA,69.17,415,6,"FirstTeeLateRound2ScoringAverage",2015
20,20,"Dustin Johnson",NA,69.18,761,11,"FirstTeeLateRound2ScoringAverage",2015
21,21,"John Merrick",NA,69.2,346,5,"FirstTeeLateRound2ScoringAverage",2015
22,22,"Jason Day",NA,69.3,693,10,"FirstTeeLateRound2ScoringAverage",2015
23,23,"Charlie Beljan",NA,69.33,208,3,"FirstTeeLateRound2ScoringAverage",2015
23,23,"Greg Owen",NA,69.33,416,6,"FirstTeeLateRound2ScoringAverage",2015
23,23,"Byron Smith",NA,69.33,416,6,"FirstTeeLateRound2ScoringAverage",2015
26,26,"Ryo Ishikawa",NA,69.4,694,10,"FirstTeeLateRound2ScoringAverage",2015
27,27,"Chad Collins",NA,69.43,486,7,"FirstTeeLateRound2ScoringAverage",2015
27,27,"Justin Thomas",NA,69.43,486,7,"FirstTeeLateRound2ScoringAverage",2015
29,29,"Cameron Tringale",NA,69.5,556,8,"FirstTeeLateRound2ScoringAverage",2015
29,29,"Johnson Wagner",NA,69.5,695,10,"FirstTeeLateRound2ScoringAverage",2015
31,31,"Bo Van Pelt",NA,69.56,626,9,"FirstTeeLateRound2ScoringAverage",2015
32,32,"Louis Oosthuizen",NA,69.57,487,7,"FirstTeeLateRound2ScoringAverage",2015
32,32,"Justin Rose",NA,69.57,487,7,"FirstTeeLateRound2ScoringAverage",2015
34,34,"Patrick Rodgers",NA,69.6,348,5,"FirstTeeLateRound2ScoringAverage",2015
35,35,"Jason Dufner",NA,69.67,418,6,"FirstTeeLateRound2ScoringAverage",2015
