"Par5Performance_RANKTHISWEEK_2009","Par5Performance_RANKLASTWEEK_2009","Par5Performance_PLAYERNAME_2009","Par5Performance_ROUNDS_2009","Par5Performance_STATUS_2009","Par5Performance_PAR5AVG_2009","Par5Performance_TOTALPAR_2009","stat_name","year"
1,1,"John Senden",100,-142,4.54,1550,"Par5Performance",2009
2,2,"Jonathan Byrd",89,-136,4.55,1510,"Par5Performance",2009
2,2,"Nick Watney",86,-136,4.52,1405,"Par5Performance",2009
4,4,"DJ Trahan",96,-125,4.59,1515,"Par5Performance",2009
5,5,"Brian Davis",103,-120,4.61,1540,"Par5Performance",2009
5,5,"Bo Van Pelt",100,-120,4.62,1565,"Par5Performance",2009
7,7,"Charles Howell III",99,-119,4.61,1535,"Par5Performance",2009
7,7,"Steve Marino",98,-119,4.58,1430,"Par5Performance",2009
9,9,"Kevin Na",91,-118,4.59,1450,"Par5Performance",2009
9,9,"Scott Piercy",85,-118,4.58,1390,"Par5Performance",2009
11,11,"Tim Petrovic",97,-117,4.62,1545,"Par5Performance",2009
12,12,"Charley Hoffman",97,-116,4.63,1565,"Par5Performance",2009
13,13,"Steve Stricker",81,-115,4.54,1240,"Par5Performance",2009
14,14,"Bill Haas",91,-112,4.61,1420,"Par5Performance",2009
15,15,"Matt Bettencourt",98,-111,4.64,1530,"Par5Performance",2009
15,15,"Jerry Kelly",90,-111,4.58,1335,"Par5Performance",2009
15,15,"Mark Wilson",99,-111,4.63,1510,"Par5Performance",2009
18,18,"Tiger Woods",64,-110,4.43,960,"Par5Performance",2009
19,19,"Chris Stroud",88,-109,4.58,1310,"Par5Performance",2009
19,19,"Kevin Sutherland",96,-109,4.65,1565,"Par5Performance",2009
21,21,"Justin Leonard",95,-108,4.61,1370,"Par5Performance",2009
22,22,"Davis Love III",89,-107,4.6,1345,"Par5Performance",2009
23,23,"Dustin Johnson",85,-106,4.61,1365,"Par5Performance",2009
23,23,"Hunter Mahan",94,-106,4.62,1385,"Par5Performance",2009
23,23,"Tom Pernice Jr",82,-106,4.61,1355,"Par5Performance",2009
26,26,"Zach Johnson",94,-105,4.62,1370,"Par5Performance",2009
26,26,"Ted Purdy",101,-105,4.66,1545,"Par5Performance",2009
