"LongestHoleOutsinyards_RANKTHISWEEK_2010","LongestHoleOutsinyards_RANKLASTWEEK_2010","LongestHoleOutsinyards_PLAYERNAME_2010","LongestHoleOutsinyards_ROUNDS_2010","LongestHoleOutsinyards_DISTANCE_2010","LongestHoleOutsinyards_TOURNAMENT_2010","LongestHoleOutsinyards_ROUNDCOURSE_2010","LongestHoleOutsinyards_HOLE_2010","stat_name","year"
1,1,"Shiv Kapur",2,297,NA,2,9,"LongestHoleOutsinyards",2010
2,2,"Johnson Wagner",85,257,NA,1,7,"LongestHoleOutsinyards",2010
3,3,"Steve Wheatcroft",74,243,NA,2,3,"LongestHoleOutsinyards",2010
4,4,"Robert Allenby",76,232,NA,2,13,"LongestHoleOutsinyards",2010
4,5,"Webb Simpson",98,232,NA,1,8,"LongestHoleOutsinyards",2010
6,6,"Vijay Singh",75,229,NA,3,2,"LongestHoleOutsinyards",2010
7,7,"Rocco Mediate",71,219,NA,3,7,"LongestHoleOutsinyards",2010
8,8,"Troy Matteson",84,213,NA,1,5,"LongestHoleOutsinyards",2010
9,9,"Sean OHair",84,212,NA,3,2,"LongestHoleOutsinyards",2010
9,10,"Glen Day",38,212,NA,4,8,"LongestHoleOutsinyards",2010
11,11,"Martin Laird",91,211,NA,2,5,"LongestHoleOutsinyards",2010
12,12,"Jason Dufner",87,210,NA,3,14,"LongestHoleOutsinyards",2010
13,13,"Andres Romero",73,208,NA,2,8,"LongestHoleOutsinyards",2010
15,15,"Chris Tidland",77,204,NA,4,17,"LongestHoleOutsinyards",2010
16,16,"Bryce Molder",84,203,NA,4,11,"LongestHoleOutsinyards",2010
17,17,"Davis Love III",79,202,NA,3,4,"LongestHoleOutsinyards",2010
19,19,"Lucas Glover",75,199,NA,2,16,"LongestHoleOutsinyards",2010
20,20,"Ted Purdy",86,198,NA,4,14,"LongestHoleOutsinyards",2010
20,21,"Chad Collins",87,198,NA,2,1,"LongestHoleOutsinyards",2010
22,22,"Paul Goydos",78,195,NA,3,13,"LongestHoleOutsinyards",2010
23,23,"Alex Cejka",81,194,NA,1,7,"LongestHoleOutsinyards",2010
24,24,"Jerry Kelly",99,193,NA,1,4,"LongestHoleOutsinyards",2010
26,26,"Ken Duke",16,190,NA,2,2,"LongestHoleOutsinyards",2010
27,27,"George McNeill",79,189,NA,3,12,"LongestHoleOutsinyards",2010
28,28,"Nick Watney",91,188,NA,1,12,"LongestHoleOutsinyards",2010
29,29,"Joe Durant",67,180,NA,1,8,"LongestHoleOutsinyards",2010
29,30,"Chez Reavie",44,180,NA,2,6,"LongestHoleOutsinyards",2010
31,32,"Grant Waite",8,178,NA,2,15,"LongestHoleOutsinyards",2010
31,33,"JB Holmes",100,178,NA,1,8,"LongestHoleOutsinyards",2010
34,34,"Kenny Perry",69,177,NA,4,6,"LongestHoleOutsinyards",2010
35,35,"Blake Adams",84,176,NA,2,3,"LongestHoleOutsinyards",2010
36,36,"Justin Leonard",89,175,NA,2,13,"LongestHoleOutsinyards",2010
37,37,"Ernie Els",72,174,NA,1,17,"LongestHoleOutsinyards",2010
38,38,"Billy Mayfair",78,170,NA,1,8,"LongestHoleOutsinyards",2010
38,39,"Will Ma Kenzie",72,170,NA,1,8,"LongestHoleOutsinyards",2010
38,40,"Henrik Stenson",45,170,NA,3,18,"LongestHoleOutsinyards",2010
41,41,"Carl Pettersson",99,168,NA,2,8,"LongestHoleOutsinyards",2010
42,43,"Steve Lowery",67,167,NA,4,18,"LongestHoleOutsinyards",2010
42,44,"Chad Campbell",95,167,NA,1,16,"LongestHoleOutsinyards",2010
45,45,"Charlie Wi",95,166,NA,2,12,"LongestHoleOutsinyards",2010
45,46,"Adam Scott",70,166,NA,4,4,"LongestHoleOutsinyards",2010
47,47,"Brendan Gielow",2,165,NA,1,3,"LongestHoleOutsinyards",2010
48,48,"Vaughn Taylor",87,164,NA,4,9,"LongestHoleOutsinyards",2010
48,49,"John Senden",103,164,NA,4,8,"LongestHoleOutsinyards",2010
51,51,"Michael Allen",49,161,NA,2,8,"LongestHoleOutsinyards",2010
51,53,"Ben Crane",85,161,NA,2,13,"LongestHoleOutsinyards",2010
55,55,"Nathan Green",86,159,NA,1,5,"LongestHoleOutsinyards",2010
56,56,"Vance Veazey",58,158,NA,1,9,"LongestHoleOutsinyards",2010
58,58,"Brian Davis",101,156,NA,4,7,"LongestHoleOutsinyards",2010
59,59,"Richard Johnson",90,155,NA,2,15,"LongestHoleOutsinyards",2010
59,60,"Chris Riley",73,155,NA,4,14,"LongestHoleOutsinyards",2010
61,61,"Dustin Johnson",83,152,NA,2,6,"LongestHoleOutsinyards",2010
62,62,"Ryuji Imada",90,151,NA,1,10,"LongestHoleOutsinyards",2010
62,63,"Josh Teater",101,151,NA,1,15,"LongestHoleOutsinyards",2010
62,64,"Brian Gay",101,151,NA,3,10,"LongestHoleOutsinyards",2010
65,65,"Steve Flesch",78,150,NA,3,6,"LongestHoleOutsinyards",2010
66,66,"Edoardo Molinari",27,149,NA,1,17,"LongestHoleOutsinyards",2010
68,68,"Woody Austin",93,145,NA,2,7,"LongestHoleOutsinyards",2010
69,69,"Tom Byrum",8,144,NA,1,11,"LongestHoleOutsinyards",2010
69,71,"Mike Weir",59,144,NA,1,1,"LongestHoleOutsinyards",2010
72,73,"Cliff Kresge",50,143,NA,1,5,"LongestHoleOutsinyards",2010
74,74,"Scott McCarron",90,142,NA,1,2,"LongestHoleOutsinyards",2010
75,75,"Trevor Immelman",55,138,NA,3,15,"LongestHoleOutsinyards",2010
77,77,"Tim Clark",88,137,NA,3,10,"LongestHoleOutsinyards",2010
