"Total3Putts510_RANKTHISWEEK_2005","Total3Putts510_RANKLASTWEEK_2005","Total3Putts510_PLAYERNAME_2005","Total3Putts510_ROUNDS_2005","Total3Putts510_TOTAL3PUTTS510_2005","Total3Putts510_TOTAL3PUTTS_2005","stat_name","year"
1,1,"Woody Austin",100,6,59,"Total3Putts510",2005
1,1,"Kevin Na",88,6,44,"Total3Putts510",2005
3,3,"David Hearn",68,5,52,"Total3Putts510",2005
3,3,"Steve Lowery",100,5,47,"Total3Putts510",2005
3,3,"Carl Pettersson",109,5,43,"Total3Putts510",2005
6,6,"Billy Andrade",83,4,37,"Total3Putts510",2005
6,6,"Mark Calcavecchia",92,4,45,"Total3Putts510",2005
6,6,"Daniel Chopra",108,4,50,"Total3Putts510",2005
6,6,"Jose Coceres",56,4,40,"Total3Putts510",2005
6,6,"Scott Hend",75,4,63,"Total3Putts510",2005
6,6,"Neal Lancaster",95,4,55,"Total3Putts510",2005
6,6,"Hunter Mahan",103,4,42,"Total3Putts510",2005
6,6,"Billy Mayfair",114,4,64,"Total3Putts510",2005
6,6,"DA Points",94,4,52,"Total3Putts510",2005
6,6,"DJ Trahan",81,4,48,"Total3Putts510",2005
16,16,"Doug Barron",70,3,26,"Total3Putts510",2005
16,16,"Brian Bateman",98,3,45,"Total3Putts510",2005
16,16,"Chad Campbell",95,3,41,"Total3Putts510",2005
16,16,"Tim Clark",92,3,32,"Total3Putts510",2005
16,16,"Gavin Coles",70,3,30,"Total3Putts510",2005
16,16,"John Elliott",58,3,30,"Total3Putts510",2005
16,16,"Sergio Garcia",73,3,39,"Total3Putts510",2005
16,16,"Brandt Jobe",96,3,43,"Total3Putts510",2005
16,16,"Skip Kendall",80,3,39,"Total3Putts510",2005
16,16,"Frank Lickliter II",100,3,52,"Total3Putts510",2005
16,16,"Joe Ogilvie",103,3,44,"Total3Putts510",2005
16,16,"Pat Perez",89,3,47,"Total3Putts510",2005
16,16,"John Rollins",97,3,49,"Total3Putts510",2005
16,16,"Adam Scott",72,3,28,"Total3Putts510",2005
16,16,"Heath Slocum",103,3,45,"Total3Putts510",2005
16,16,"Kevin Stadler",96,3,51,"Total3Putts510",2005
16,16,"Vaughn Taylor",99,3,52,"Total3Putts510",2005
33,33,"Steve Allan",102,2,79,"Total3Putts510",2005
33,33,"Michael Allen",90,2,33,"Total3Putts510",2005
33,33,"Robert Allenby",95,2,45,"Total3Putts510",2005
33,33,"Stephen Ames",82,2,29,"Total3Putts510",2005
33,33,"Tommy Armour III",103,2,51,"Total3Putts510",2005
33,33,"Aaron Baddeley",84,2,33,"Total3Putts510",2005
33,33,"Craig Barlow",81,2,41,"Total3Putts510",2005
33,33,"Jason Bohn",91,2,33,"Total3Putts510",2005
33,33,"Alex Cejka",84,2,47,"Total3Putts510",2005
33,33,"Paul Claxton",79,2,35,"Total3Putts510",2005
33,33,"Ben Crane",78,2,23,"Total3Putts510",2005
33,33,"Ben Curtis",65,2,25,"Total3Putts510",2005
33,33,"Robert Damron",89,2,46,"Total3Putts510",2005
33,33,"Marco Dawson",82,2,44,"Total3Putts510",2005
33,33,"Glen Day",80,2,39,"Total3Putts510",2005
33,33,"Joe Durant",81,2,62,"Total3Putts510",2005
33,33,"Jim Furyk",94,2,33,"Total3Putts510",2005
33,33,"Robert Gamez",91,2,39,"Total3Putts510",2005
33,33,"Lucas Glover",88,2,42,"Total3Putts510",2005
33,33,"Bob Heintz",67,2,34,"Total3Putts510",2005
33,33,"Tim Herron",100,2,41,"Total3Putts510",2005
33,33,"Glen Hnatiuk",59,2,31,"Total3Putts510",2005
33,33,"Charles Howell III",95,2,37,"Total3Putts510",2005
33,33,"Bradley Hughes",52,2,36,"Total3Putts510",2005
33,33,"Ryuji Imada",78,2,31,"Total3Putts510",2005
33,33,"Freddie Jacobson",72,2,26,"Total3Putts510",2005
33,33,"Jonathan Kaye",77,2,35,"Total3Putts510",2005
