"ScramblingRoughRTPScore_RANKTHISWEEK_2009","ScramblingRoughRTPScore_RANKLASTWEEK_2009","ScramblingRoughRTPScore_PLAYERNAME_2009","ScramblingRoughRTPScore_ROUNDS_2009","ScramblingRoughRTPScore_AVGRTP_2009","ScramblingRoughRTPScore_TOTALHOLES_2009","ScramblingRoughRTPScore_TOTALRTP_2009","stat_name","year"
1,1,"Brian Gay",96,0.284,208,59,"ScramblingRoughRTPScore",2009
2,2,"Steve Stricker",81,0.29,138,40,"ScramblingRoughRTPScore",2009
3,3,"Tim Clark",81,0.309,149,46,"ScramblingRoughRTPScore",2009
4,4,"Tiger Woods",64,0.323,124,40,"ScramblingRoughRTPScore",2009
5,5,"Zach Johnson",94,0.335,182,61,"ScramblingRoughRTPScore",2009
6,6,"Mark Brooks",55,0.357,112,40,"ScramblingRoughRTPScore",2009
7,7,"Padraig Harrington",66,0.361,147,53,"ScramblingRoughRTPScore",2009
8,8,"Woody Austin",84,0.363,190,69,"ScramblingRoughRTPScore",2009
9,9,"Brandt Snedeker",81,0.367,147,54,"ScramblingRoughRTPScore",2009
10,10,"Glen Day",79,0.373,153,57,"ScramblingRoughRTPScore",2009
11,11,"Lee Janzen",74,0.374,163,61,"ScramblingRoughRTPScore",2009
11,11,"David Toms",98,0.374,179,67,"ScramblingRoughRTPScore",2009
13,13,"Freddie Jacobson",83,0.376,189,71,"ScramblingRoughRTPScore",2009
14,14,"Jim Furyk",86,0.377,162,61,"ScramblingRoughRTPScore",2009
15,15,"Matt Kuchar",82,0.378,193,73,"ScramblingRoughRTPScore",2009
16,16,"Mike Weir",85,0.382,178,68,"ScramblingRoughRTPScore",2009
17,17,"Charles Howell III",99,0.384,203,78,"ScramblingRoughRTPScore",2009
17,17,"Patrick Sheehan",51,0.384,99,38,"ScramblingRoughRTPScore",2009
19,19,"KJ Choi",65,0.388,129,50,"ScramblingRoughRTPScore",2009
20,20,"Scott McCarron",91,0.39,200,78,"ScramblingRoughRTPScore",2009
21,21,"Retief Goosen",74,0.393,183,72,"ScramblingRoughRTPScore",2009
21,21,"Kenny Perry",92,0.393,206,81,"ScramblingRoughRTPScore",2009
23,23,"Ben Crane",93,0.398,176,70,"ScramblingRoughRTPScore",2009
23,23,"Bob Estes",78,0.398,186,74,"ScramblingRoughRTPScore",2009
23,23,"JJ Henry",97,0.398,186,74,"ScramblingRoughRTPScore",2009
26,26,"Fred Couples",54,0.4,105,42,"ScramblingRoughRTPScore",2009
27,27,"Jason Dufner",90,0.401,192,77,"ScramblingRoughRTPScore",2009
28,28,"Chris DiMarco",97,0.404,225,91,"ScramblingRoughRTPScore",2009
29,29,"Ernie Els",70,0.405,116,47,"ScramblingRoughRTPScore",2009
30,30,"Ryuji Imada",85,0.406,180,73,"ScramblingRoughRTPScore",2009
30,30,"Scott Sterling",51,0.406,96,39,"ScramblingRoughRTPScore",2009
32,32,"Kevin Na",91,0.408,213,87,"ScramblingRoughRTPScore",2009
33,33,"Pat Perez",74,0.412,177,73,"ScramblingRoughRTPScore",2009
34,34,"Dustin Johnson",85,0.414,203,84,"ScramblingRoughRTPScore",2009
35,35,"Bart Bryant",58,0.415,142,59,"ScramblingRoughRTPScore",2009
36,36,"Jerry Kelly",90,0.416,190,79,"ScramblingRoughRTPScore",2009
37,37,"Chris Riley",77,0.417,139,58,"ScramblingRoughRTPScore",2009
38,38,"Ken Duke",87,0.419,210,88,"ScramblingRoughRTPScore",2009
39,39,"Ian Poulter",59,0.42,112,47,"ScramblingRoughRTPScore",2009
40,40,"Greg Chalmers",85,0.422,185,78,"ScramblingRoughRTPScore",2009
40,40,"Matt Jones",56,0.422,109,46,"ScramblingRoughRTPScore",2009
42,42,"Jeff Klauk",97,0.423,194,82,"ScramblingRoughRTPScore",2009
