"ProximitytoHolefromSand_RANKTHISWEEK_2016","ProximitytoHolefromSand_RANKLASTWEEK_2016","ProximitytoHolefromSand_PLAYERNAME_2016","ProximitytoHolefromSand_ROUNDS_2016","ProximitytoHolefromSand_AVGDTP_2016","ProximitytoHolefromSand_TOTALDISTANCEFEET_2016","ProximitytoHolefromSand_OFSHOTS_2016","ProximitytoHolefromSand_SCRAMBLINGRANK_2016","stat_name","year"
1,1,"Padraig Harrington",38,NA,358.583,57,49,"ProximitytoHolefromSand",2016
2,2,"Charley Hoffman",49,NA,417.667,64,83,"ProximitytoHolefromSand",2016
3,3,"Matthew Fitzpatrick",23,NA,189.333,28,159,"ProximitytoHolefromSand",2016
3,4,"David Toms",38,NA,256.417,38,10,"ProximitytoHolefromSand",2016
5,5,"Justin Rose",35,NA,297.667,43,77,"ProximitytoHolefromSand",2016
6,5,"Jordan Spieth",34,NA,250.917,36,51,"ProximitytoHolefromSand",2016
7,12,"Jamie Donaldson",28,NA,281.333,38,64,"ProximitytoHolefromSand",2016
7,8,"Branden Grace",31,NA,200.5,27,34,"ProximitytoHolefromSand",2016
9,11,"Justin Leonard",28,NA,225.417,30,18,"ProximitytoHolefromSand",2016
10,8,"Zac Blair",56,NA,620.167,82,13,"ProximitytoHolefromSand",2016
10,12,"Jason Day",36,NA,233.917,31,60,"ProximitytoHolefromSand",2016
10,12,"DJ Trahan",23,NA,98.583,13,146,"ProximitytoHolefromSand",2016
13,15,"Darron Stiles",28,NA,168.75,22,203,"ProximitytoHolefromSand",2016
14,16,"John Huh",51,NA,560.083,72,65,"ProximitytoHolefromSand",2016
14,16,"Brandt Snedeker",47,NA,402.583,52,14,"ProximitytoHolefromSand",2016
16,18,"Smylie Kaufman",57,NA,539.167,69,100,"ProximitytoHolefromSand",2016
16,21,"Danny Lee",53,NA,570.667,73,57,"ProximitytoHolefromSand",2016
16,28,"Sean OHair",45,NA,550.333,70,25,"ProximitytoHolefromSand",2016
19,21,"Robert Allenby",35,NA,339,43,200,"ProximitytoHolefromSand",2016
19,21,"Luke Donald",49,NA,445.417,56,8,"ProximitytoHolefromSand",2016
19,19,"Scott Langley",41,NA,405.583,51,42,"ProximitytoHolefromSand",2016
19,19,"Bubba Watson",30,NA,198,25,141,"ProximitytoHolefromSand",2016
23,21,"Sergio Garcia",28,NA,230.833,29,126,"ProximitytoHolefromSand",2016
23,21,"Billy Hurley III",22,NA,184.417,23,60,"ProximitytoHolefromSand",2016
23,8,"Henrik Norlander",41,NA,254.833,32,73,"ProximitytoHolefromSand",2016
26,21,"Chad Campbell",54,NA,531.833,66,52,"ProximitytoHolefromSand",2016
26,28,"Miguel Angel Carballo",24,NA,227.25,28,179,"ProximitytoHolefromSand",2016
26,28,"Robert Garrigus",34,NA,242.667,30,190,"ProximitytoHolefromSand",2016
26,28,"Freddie Jacobson",54,NA,511.667,63,15,"ProximitytoHolefromSand",2016
26,28,"Shane Lowry",35,NA,315.833,39,196,"ProximitytoHolefromSand",2016
26,28,"Patrick Reed",53,NA,470.167,58,3,"ProximitytoHolefromSand",2016
32,34,"Matt Kuchar",46,NA,440,54,33,"ProximitytoHolefromSand",2016
32,34,"David Lingmerth",54,NA,373.917,46,116,"ProximitytoHolefromSand",2016
32,34,"Dicky Pride",33,NA,351.167,43,70,"ProximitytoHolefromSand",2016
35,38,"Ken Duke",26,NA,306.583,37,183,"ProximitytoHolefromSand",2016
35,38,"Andres Romero",22,NA,131.75,16,35,"ProximitytoHolefromSand",2016
35,21,"Webb Simpson",34,NA,435.25,53,66,"ProximitytoHolefromSand",2016
38,40,"KJ Choi",47,NA,610.083,73,16,"ProximitytoHolefromSand",2016
38,40,"JB Holmes",39,NA,365.167,44,56,"ProximitytoHolefromSand",2016
38,40,"Dustin Johnson",37,NA,258.833,31,105,"ProximitytoHolefromSand",2016
38,50,"Jamie Lovemark",57,NA,584,70,6,"ProximitytoHolefromSand",2016
42,7,"Paul Casey",39,NA,388.333,46,120,"ProximitytoHolefromSand",2016
42,40,"Tyrone Van Aswegen",67,NA,604.75,72,97,"ProximitytoHolefromSand",2016
44,45,"Stuart Appleby",39,NA,460.417,54,24,"ProximitytoHolefromSand",2016
44,47,"Chad Collins",45,NA,561.167,66,99,"ProximitytoHolefromSand",2016
44,59,"Rickie Fowler",42,NA,355.583,42,19,"ProximitytoHolefromSand",2016
44,56,"Patton Kizzire",57,NA,407.25,48,40,"ProximitytoHolefromSand",2016
44,34,"Will Ma Kenzie",54,NA,494,58,181,"ProximitytoHolefromSand",2016
44,50,"Vaughn Taylor",30,NA,332.5,39,178,"ProximitytoHolefromSand",2016
50,50,"Aaron Baddeley",51,NA,586.25,68,7,"ProximitytoHolefromSand",2016
50,47,"Davis Love III",40,NA,462.25,54,175,"ProximitytoHolefromSand",2016
52,78,"Alex Cejka",47,NA,304.167,35,12,"ProximitytoHolefromSand",2016
52,64,"Si Woo Kim",63,NA,814,94,30,"ProximitytoHolefromSand",2016
52,56,"Troy Merritt",41,NA,440.833,51,101,"ProximitytoHolefromSand",2016
55,59,"Jon Curran",55,NA,629.25,72,38,"ProximitytoHolefromSand",2016
55,59,"Brian Gay",22,NA,252.917,29,47,"ProximitytoHolefromSand",2016
55,59,"Retief Goosen",37,NA,482.75,55,44,"ProximitytoHolefromSand",2016
55,45,"Phil Mickelson",37,NA,427.917,49,9,"ProximitytoHolefromSand",2016
55,56,"Cameron Smith",45,NA,392.917,45,125,"ProximitytoHolefromSand",2016
55,64,"Mark Wilson",42,NA,383.917,44,59,"ProximitytoHolefromSand",2016
61,64,"Russell Henley",42,NA,566.667,64,32,"ProximitytoHolefromSand",2016
61,64,"Zach Johnson",42,NA,537.667,61,107,"ProximitytoHolefromSand",2016
61,64,"Jerry Kelly",44,NA,434.5,49,2,"ProximitytoHolefromSand",2016
61,64,"Chris Kirk",51,NA,624.833,71,27,"ProximitytoHolefromSand",2016
61,50,"DH Lee",35,NA,354.083,40,201,"ProximitytoHolefromSand",2016
61,78,"George McNeill",33,NA,548,62,184,"ProximitytoHolefromSand",2016
67,50,"Jason Bohn",37,NA,400.083,45,115,"ProximitytoHolefromSand",2016
67,73,"Brice Garnett",29,NA,115.833,13,98,"ProximitytoHolefromSand",2016
67,59,"Charles Howell III",63,NA,639.25,72,21,"ProximitytoHolefromSand",2016
67,64,"Michael Kim",62,NA,722,81,91,"ProximitytoHolefromSand",2016
67,73,"Rory Sabbatini",40,NA,525.583,59,137,"ProximitytoHolefromSand",2016
67,73,"Jimmy Walker",43,NA,464.25,52,135,"ProximitytoHolefromSand",2016
73,47,"Roberto Castro",55,NA,677.25,75,86,"ProximitytoHolefromSand",2016
73,78,"Harris English",51,NA,431.833,48,79,"ProximitytoHolefromSand",2016
73,78,"Marc Leishman",41,NA,378.667,42,22,"ProximitytoHolefromSand",2016
73,50,"Andrew Loupe",50,NA,596.417,66,193,"ProximitytoHolefromSand",2016
73,40,"Geoff Ogilvy",37,NA,388.667,43,172,"ProximitytoHolefromSand",2016
73,107,"DA Points",32,NA,278.167,31,113,"ProximitytoHolefromSand",2016
73,78,"Bernd Wiesberger",23,NA,162.5,18,164,"ProximitytoHolefromSand",2016
80,73,"Erik Compton",45,NA,469.583,51,177,"ProximitytoHolefromSand",2016
80,78,"Hiroshi Iwata",51,NA,672.083,73,111,"ProximitytoHolefromSand",2016
80,87,"Henrik Stenson",30,NA,320.833,35,162,"ProximitytoHolefromSand",2016
83,87,"Abraham Ancer",26,NA,203,22,155,"ProximitytoHolefromSand",2016
