"ParBreakers_RANKTHISWEEK_2012","ParBreakers_RANKLASTWEEK_2012","ParBreakers_PLAYERNAME_2012","ParBreakers_ROUNDS_2012","ParBreakers_Pct_2012","ParBreakers_BIRDIESEAGLES_2012","ParBreakers_HOLES_2012","stat_name","year"
1,1,"Rory McIlroy",60,24.28,236,972,"ParBreakers",2012
2,2,"Webb Simpson",77,23.25,318,1368,"ParBreakers",2012
3,3,"Robert Garrigus",89,22.91,367,1602,"ParBreakers",2012
4,4,"Brandt Snedeker",81,22.65,318,1404,"ParBreakers",2012
5,5,"Keegan Bradley",90,22.6,358,1584,"ParBreakers",2012
6,6,"Bo Van Pelt",84,22.56,337,1494,"ParBreakers",2012
7,7,"Ben Crane",73,22.53,292,1296,"ParBreakers",2012
8,8,"Jason Dufner",83,22.43,331,1476,"ParBreakers",2012
9,9,"Tiger Woods",69,22.39,270,1206,"ParBreakers",2012
10,10,"Phil Mickelson",79,22.36,318,1422,"ParBreakers",2012
11,11,"Ryan Moore",89,22.28,357,1602,"ParBreakers",2012
12,12,"Scott Piercy",95,22.22,380,1710,"ParBreakers",2012
12,12,"Bubba Watson",68,22.22,264,1188,"ParBreakers",2012
14,14,"Jonas Blixt",72,22.07,286,1296,"ParBreakers",2012
15,15,"Ryan Palmer",81,21.95,320,1458,"ParBreakers",2012
16,16,"Lee Westwood",60,21.91,213,972,"ParBreakers",2012
17,17,"Jeff Overton",101,21.78,396,1818,"ParBreakers",2012
18,18,"Zach Johnson",95,21.69,367,1692,"ParBreakers",2012
19,19,"Adam Scott",59,21.65,226,1044,"ParBreakers",2012
20,20,"Louis Oosthuizen",65,21.6,245,1134,"ParBreakers",2012
21,21,"Steve Stricker",73,21.59,272,1260,"ParBreakers",2012
22,22,"Chris Kirk",93,21.54,345,1602,"ParBreakers",2012
23,23,"Dustin Johnson",70,21.48,259,1206,"ParBreakers",2012
24,24,"Graeme McDowell",55,21.4,208,972,"ParBreakers",2012
24,24,"Jimmy Walker",101,21.4,389,1818,"ParBreakers",2012
26,26,"Matt Every",80,21.39,308,1440,"ParBreakers",2012
27,27,"Brendon de Jonge",115,21.35,442,2070,"ParBreakers",2012
28,28,"Tom Gillis",75,21.33,288,1350,"ParBreakers",2012
29,29,"Josh Teater",97,21.27,356,1674,"ParBreakers",2012
30,30,"Pat Perez",81,21.24,302,1422,"ParBreakers",2012
31,31,"John Senden",81,21.23,298,1404,"ParBreakers",2012
32,32,"Sean OHair",84,21.16,320,1512,"ParBreakers",2012
33,33,"Charlie Beljan",61,21.05,216,1026,"ParBreakers",2012
33,33,"Ken Duke",104,21.05,394,1872,"ParBreakers",2012
35,35,"Justin Rose",69,21,257,1224,"ParBreakers",2012
36,36,"Charley Hoffman",88,20.96,332,1584,"ParBreakers",2012
37,37,"Robert Karlsson",54,20.94,196,936,"ParBreakers",2012
38,38,"JB Holmes",90,20.93,324,1548,"ParBreakers",2012
39,39,"Carl Pettersson",92,20.89,346,1656,"ParBreakers",2012
40,40,"Martin Laird",77,20.85,274,1314,"ParBreakers",2012
41,41,"Sergio Garcia",57,20.83,210,1008,"ParBreakers",2012
42,42,"Greg Owen",90,20.8,337,1620,"ParBreakers",2012
42,42,"Nick Watney",97,20.8,352,1692,"ParBreakers",2012
44,44,"Blake Adams",107,20.77,400,1926,"ParBreakers",2012
45,45,"Garth Mulroy",59,20.76,213,1026,"ParBreakers",2012
46,46,"Jason Day",57,20.71,205,990,"ParBreakers",2012
46,46,"Camilo Villegas",79,20.71,287,1386,"ParBreakers",2012
48,48,"Henrik Stenson",51,20.7,190,918,"ParBreakers",2012
49,49,"John Daly",50,20.65,171,828,"ParBreakers",2012
49,49,"John Huh",99,20.65,368,1782,"ParBreakers",2012
51,51,"Danny Lee",74,20.63,260,1260,"ParBreakers",2012
52,52,"Vijay Singh",99,20.59,367,1782,"ParBreakers",2012
53,53,"Harris English",98,20.58,363,1764,"ParBreakers",2012
54,54,"Sangmoon Bae",81,20.56,285,1386,"ParBreakers",2012
54,54,"Richard Lee",71,20.56,248,1206,"ParBreakers",2012
56,56,"Davis Love III",64,20.49,236,1152,"ParBreakers",2012
57,57,"Matt Kuchar",86,20.46,302,1476,"ParBreakers",2012
58,58,"Nathan Green",73,20.45,254,1242,"ParBreakers",2012
59,59,"Will Claxton",99,20.43,364,1782,"ParBreakers",2012
60,60,"John Rollins",81,20.42,283,1386,"ParBreakers",2012
61,61,"Mark Anderson",75,20.4,268,1314,"ParBreakers",2012
62,62,"Vaughn Taylor",81,20.39,290,1422,"ParBreakers",2012
63,63,"DA Points",88,20.33,322,1584,"ParBreakers",2012
64,64,"Seung Yul Noh",105,20.3,369,1818,"ParBreakers",2012
65,65,"Charl Schwartzel",56,20.27,197,972,"ParBreakers",2012
66,66,"Luke Donald",63,20.25,226,1116,"ParBreakers",2012
67,67,"Chris Couch",61,20.24,215,1062,"ParBreakers",2012
67,67,"Kyle Stanley",86,20.24,306,1512,"ParBreakers",2012
69,69,"Bud Cauley",99,20.15,359,1782,"ParBreakers",2012
70,70,"Scott Brown",65,20.11,228,1134,"ParBreakers",2012
70,70,"John Merrick",83,20.11,286,1422,"ParBreakers",2012
72,72,"Rickie Fowler",84,20.08,300,1494,"ParBreakers",2012
73,73,"Ben Curtis",62,20.07,224,1116,"ParBreakers",2012
73,73,"Tommy Gainey",98,20.07,354,1764,"ParBreakers",2012
75,75,"Billy Horschel",63,20.06,213,1062,"ParBreakers",2012
76,76,"Padraig Harrington",67,20.02,227,1134,"ParBreakers",2012
77,77,"Roland Thatcher",55,19.92,190,954,"ParBreakers",2012
78,78,"Rory Sabbatini",84,19.91,301,1512,"ParBreakers",2012
79,79,"James Driscoll",83,19.88,297,1494,"ParBreakers",2012
80,80,"Brian Davis",91,19.84,325,1638,"ParBreakers",2012
80,80,"Jhonattan Vegas",77,19.84,275,1386,"ParBreakers",2012
82,82,"Kevin Na",80,19.83,282,1422,"ParBreakers",2012
83,83,"Michael Thompson",80,19.79,285,1440,"ParBreakers",2012
84,84,"Martin Flores",95,19.77,338,1710,"ParBreakers",2012
85,85,"Cameron Tringale",88,19.76,313,1584,"ParBreakers",2012
86,86,"Aaron Baddeley",73,19.75,256,1296,"ParBreakers",2012
86,86,"Brian Harman",101,19.75,359,1818,"ParBreakers",2012
86,86,"Geoff Ogilvy",73,19.75,256,1296,"ParBreakers",2012
86,86,"Kevin Stadler",85,19.75,288,1458,"ParBreakers",2012
90,90,"Ricky Barnes",92,19.7,312,1584,"ParBreakers",2012
91,91,"Graham DeLaet",79,19.69,280,1422,"ParBreakers",2012
92,92,"Roberto Castro",92,19.63,318,1620,"ParBreakers",2012
93,93,"Johnson Wagner",88,19.57,310,1584,"ParBreakers",2012
93,93,"Charlie Wi",86,19.57,303,1548,"ParBreakers",2012
95,95,"Bill Lunde",83,19.55,278,1422,"ParBreakers",2012
95,95,"Daniel Summerhays",81,19.55,285,1458,"ParBreakers",2012
97,97,"Gary Christian",91,19.54,306,1566,"ParBreakers",2012
98,98,"Bill Haas",79,19.52,274,1404,"ParBreakers",2012
98,98,"Scott Stallings",78,19.52,274,1404,"ParBreakers",2012
100,100,"Tommy Biershenk",74,19.44,252,1296,"ParBreakers",2012
100,100,"Dicky Pride",62,19.44,203,1044,"ParBreakers",2012
102,102,"Cameron Beckman",81,19.41,269,1386,"ParBreakers",2012
102,102,"Erik Compton",81,19.41,269,1386,"ParBreakers",2012
104,104,"Hunter Mahan",88,19.38,286,1476,"ParBreakers",2012
105,105,"Ian Poulter",57,19.35,195,1008,"ParBreakers",2012
106,106,"Charles Howell III",98,19.33,341,1764,"ParBreakers",2012
107,107,"Jonathan Byrd",69,19.28,236,1224,"ParBreakers",2012
107,107,"Greg Chalmers",88,19.28,302,1566,"ParBreakers",2012
109,109,"Andres Romero",68,19.27,222,1152,"ParBreakers",2012
110,110,"David Toms",60,19.25,201,1044,"ParBreakers",2012
111,111,"David Hearn",95,19.18,328,1710,"ParBreakers",2012
112,112,"Mathew Goggin",65,19.14,217,1134,"ParBreakers",2012
113,113,"Russell Knox",72,19.12,234,1224,"ParBreakers",2012
114,114,"Kevin Streelman",89,19.1,306,1602,"ParBreakers",2012
115,115,"Kevin Chappell",91,19.09,299,1566,"ParBreakers",2012
116,116,"Gary Woodland",70,19.08,237,1242,"ParBreakers",2012
117,117,"Spencer Levin",81,19.06,271,1422,"ParBreakers",2012
118,118,"John Mallinger",74,19.05,240,1260,"ParBreakers",2012
119,119,"William McGirt",96,19.04,329,1728,"ParBreakers",2012
120,120,"Miguel Angel Carballo",73,19,236,1242,"ParBreakers",2012
121,121,"Jerry Kelly",84,18.98,287,1512,"ParBreakers",2012
122,122,"Daniel Chopra",55,18.97,181,954,"ParBreakers",2012
123,123,"Jason Kokrak",79,18.96,256,1350,"ParBreakers",2012
124,124,"George McNeill",85,18.95,290,1530,"ParBreakers",2012
125,125,"Jeff Maggert",83,18.94,283,1494,"ParBreakers",2012
126,126,"Chad Campbell",84,18.92,286,1512,"ParBreakers",2012
127,127,"Marco Dawson",60,18.87,197,1044,"ParBreakers",2012
128,128,"Harrison Frazar",56,18.83,183,972,"ParBreakers",2012
129,129,"Bobby Gates",87,18.82,288,1530,"ParBreakers",2012
130,130,"Matt Bettencourt",80,18.79,257,1368,"ParBreakers",2012
131,131,"Brian Gay",91,18.77,294,1566,"ParBreakers",2012
132,132,"Troy Matteson",100,18.76,331,1764,"ParBreakers",2012
133,133,"KJ Choi",71,18.73,236,1260,"ParBreakers",2012
133,133,"Gavin Coles",72,18.73,236,1260,"ParBreakers",2012
135,135,"Marc Leishman",84,18.72,283,1512,"ParBreakers",2012
136,136,"Edward Loar",59,18.62,191,1026,"ParBreakers",2012
137,137,"Bryce Molder",83,18.57,264,1422,"ParBreakers",2012
137,137,"Boo Weekley",74,18.57,234,1260,"ParBreakers",2012
139,139,"Chris Stroud",86,18.54,287,1548,"ParBreakers",2012
140,140,"Chris DiMarco",83,18.52,270,1458,"ParBreakers",2012
140,140,"Brandt Jobe",57,18.52,190,1026,"ParBreakers",2012
142,142,"Kris Blanks",65,18.46,216,1170,"ParBreakers",2012
142,142,"Hunter Haas",69,18.46,216,1170,"ParBreakers",2012
142,142,"Rocco Mediate",70,18.46,226,1224,"ParBreakers",2012
145,145,"Jim Furyk",85,18.45,279,1512,"ParBreakers",2012
146,146,"Ernie Els",80,18.38,258,1404,"ParBreakers",2012
147,147,"DJ Trahan",73,18.36,228,1242,"ParBreakers",2012
148,148,"Jason Bohn",81,18.33,254,1386,"ParBreakers",2012
149,149,"Derek Lamely",64,18.32,211,1152,"ParBreakers",2012
150,150,"Bob Estes",78,18.3,257,1404,"ParBreakers",2012
151,151,"Kevin Kisner",69,18.29,214,1170,"ParBreakers",2012
152,152,"YE Yang",64,18.28,204,1116,"ParBreakers",2012
153,153,"Tim Herron",88,18.24,289,1584,"ParBreakers",2012
153,153,"Matt Jones",53,18.24,174,954,"ParBreakers",2012
155,155,"Stuart Appleby",75,18.23,233,1278,"ParBreakers",2012
156,156,"Rod Pampling",88,18.19,275,1512,"ParBreakers",2012
157,157,"Ted Potter Jr",77,18.18,252,1386,"ParBreakers",2012
158,158,"Kyle Reifers",86,18.15,281,1548,"ParBreakers",2012
159,159,"Angel Cabrera",54,18.11,176,972,"ParBreakers",2012
160,160,"Michael Bradley",63,18.08,205,1134,"ParBreakers",2012
161,161,"Robert Allenby",76,18.06,247,1368,"ParBreakers",2012
161,161,"Ryuji Imada",78,18.06,247,1368,"ParBreakers",2012
163,163,"Brendon Todd",78,18.02,240,1332,"ParBreakers",2012
164,164,"David Mathis",83,17.9,261,1458,"ParBreakers",2012
165,165,"Freddie Jacobson",61,17.87,193,1080,"ParBreakers",2012
166,166,"Heath Slocum",93,17.85,286,1602,"ParBreakers",2012
167,167,"Troy Kelly",68,17.8,205,1152,"ParBreakers",2012
167,167,"Chez Reavie",83,17.8,266,1494,"ParBreakers",2012
169,169,"Billy Mayfair",90,17.76,275,1548,"ParBreakers",2012
170,170,"Scott Dunlap",57,17.71,169,954,"ParBreakers",2012
171,171,"Steve Wheatcroft",56,17.63,165,936,"ParBreakers",2012
172,172,"Colt Knost",79,17.6,244,1386,"ParBreakers",2012
173,173,"Stewart Cink",71,17.58,212,1206,"ParBreakers",2012
174,174,"Arjun Atwal",79,17.56,237,1350,"ParBreakers",2012
175,175,"JJ Henry",93,17.54,281,1602,"ParBreakers",2012
175,175,"Trevor Immelman",76,17.54,240,1368,"ParBreakers",2012
177,177,"Tim Clark",60,17.41,188,1080,"ParBreakers",2012
177,177,"Justin Leonard",79,17.41,235,1350,"ParBreakers",2012
179,179,"Mark Wilson",84,17.38,244,1404,"ParBreakers",2012
180,180,"Brendan Steele",77,17.35,228,1314,"ParBreakers",2012
181,181,"Kyle Thompson",51,17.23,152,882,"ParBreakers",2012
182,182,"Nick OHern",78,17.19,229,1332,"ParBreakers",2012
183,183,"JJ Killeen",101,17.18,300,1746,"ParBreakers",2012
184,184,"Tom Pernice Jr",62,17.15,179,1044,"ParBreakers",2012
185,185,"Ryo Ishikawa",54,17.09,160,936,"ParBreakers",2012
186,186,"Patrick Sheehan",58,17.06,172,1008,"ParBreakers",2012
187,187,"Stephen Gangluff",57,16.77,166,990,"ParBreakers",2012
188,188,"Alexandre Rocha",62,16.76,175,1044,"ParBreakers",2012
189,189,"Stephen Ames",54,16.56,161,972,"ParBreakers",2012
190,190,"Sung Kang",75,16.36,215,1314,"ParBreakers",2012
191,191,"Billy Hurley III",70,16.26,199,1224,"ParBreakers",2012
