"Total3Putts25_RANKTHISWEEK_2005","Total3Putts25_RANKLASTWEEK_2005","Total3Putts25_PLAYERNAME_2005","Total3Putts25_ROUNDS_2005","Total3Putts25_TOTAL3PUTTS25_2005","Total3Putts25_TOTAL3PUTTS_2005","stat_name","year"
1,1,"Steve Allan",102,66,79,"Total3Putts25",2005
2,2,"Ted Purdy",122,58,67,"Total3Putts25",2005
3,3,"Chris Smith",93,57,65,"Total3Putts25",2005
4,4,"Bo Van Pelt",112,55,62,"Total3Putts25",2005
5,5,"Joey Sindelar",104,52,57,"Total3Putts25",2005
6,6,"Roland Thatcher",75,50,64,"Total3Putts25",2005
7,7,"Jonathan Byrd",103,49,61,"Total3Putts25",2005
7,7,"Joe Durant",81,49,62,"Total3Putts25",2005
9,9,"JJ Henry",102,47,55,"Total3Putts25",2005
10,10,"Billy Mayfair",114,45,64,"Total3Putts25",2005
11,11,"Neal Lancaster",95,44,55,"Total3Putts25",2005
12,12,"Briny Baird",98,43,52,"Total3Putts25",2005
12,12,"Will Ma Kenzie",75,43,58,"Total3Putts25",2005
14,14,"Hidemichi Tanaka",106,42,53,"Total3Putts25",2005
15,15,"Tommy Armour III",103,41,51,"Total3Putts25",2005
15,15,"John Rollins",97,41,49,"Total3Putts25",2005
15,15,"Kevin Sutherland",89,41,46,"Total3Putts25",2005
18,18,"Harrison Frazar",105,40,49,"Total3Putts25",2005
18,18,"Mathias Gronberg",60,40,49,"Total3Putts25",2005
18,18,"Stephen Leaney",89,40,46,"Total3Putts25",2005
18,18,"Rocco Mediate",73,40,49,"Total3Putts25",2005
18,18,"Sean OHair",103,40,56,"Total3Putts25",2005
18,18,"Kenny Perry",82,40,45,"Total3Putts25",2005
24,24,"Carlos Franco",78,39,48,"Total3Putts25",2005
24,24,"Frank Lickliter II",100,39,52,"Total3Putts25",2005
24,24,"Greg Owen",84,39,46,"Total3Putts25",2005
24,24,"Joey Snyder III",102,39,47,"Total3Putts25",2005
24,24,"Vaughn Taylor",99,39,52,"Total3Putts25",2005
29,29,"DJ Brigman",76,38,55,"Total3Putts25",2005
29,29,"Scott Hend",75,38,63,"Total3Putts25",2005
29,29,"Tim Petrovic",97,38,43,"Total3Putts25",2005
29,29,"John Senden",101,38,41,"Total3Putts25",2005
29,29,"Charles Warren",89,38,54,"Total3Putts25",2005
34,34,"Cameron Beckman",96,37,51,"Total3Putts25",2005
34,34,"Matt Davidson",53,37,43,"Total3Putts25",2005
34,34,"Marco Dawson",82,37,44,"Total3Putts25",2005
34,34,"David Hearn",68,37,52,"Total3Putts25",2005
34,34,"Brendan Jones",81,37,52,"Total3Putts25",2005
34,34,"Justin Rose",99,37,54,"Total3Putts25",2005
40,40,"Brian Davis",75,36,54,"Total3Putts25",2005
40,40,"Heath Slocum",103,36,45,"Total3Putts25",2005
40,40,"Jeff Sluman",94,36,41,"Total3Putts25",2005
40,40,"Kevin Stadler",96,36,51,"Total3Putts25",2005
40,40,"Omar Uresti",84,36,46,"Total3Putts25",2005
40,40,"Duffy Waldorf",86,36,42,"Total3Putts25",2005
46,46,"Robert Damron",89,35,46,"Total3Putts25",2005
46,46,"Tim Herron",100,35,41,"Total3Putts25",2005
46,46,"Patrick Sheehan",114,35,45,"Total3Putts25",2005
46,46,"Brett Wetterich",76,35,50,"Total3Putts25",2005
50,50,"Woody Austin",100,34,59,"Total3Putts25",2005
50,50,"Craig Barlow",81,34,41,"Total3Putts25",2005
50,50,"Danny Briggs",70,34,43,"Total3Putts25",2005
50,50,"Steve Flesch",90,34,43,"Total3Putts25",2005
50,50,"JL Lewis",98,34,46,"Total3Putts25",2005
50,50,"Kevin Na",88,34,44,"Total3Putts25",2005
50,50,"DA Points",94,34,52,"Total3Putts25",2005
