"Scramblingfrom1020yards_RANKTHISWEEK_2005","Scramblingfrom1020yards_RANKLASTWEEK_2005","Scramblingfrom1020yards_PLAYERNAME_2005","Scramblingfrom1020yards_ROUNDS_2005","Scramblingfrom1020yards_Pct_2005","Scramblingfrom1020yards_SUCCESSES_2005","Scramblingfrom1020yards_ATTEMPTS_2005","stat_name","year"
1,1,"Luke Donald",67,76.92,70,91,"Scramblingfrom1020yards",2005
2,2,"Richard Johnson",50,72.82,75,103,"Scramblingfrom1020yards",2005
3,3,"Mike Weir",71,72.27,86,119,"Scramblingfrom1020yards",2005
4,4,"Jose Maria Olazabal",55,71.93,82,114,"Scramblingfrom1020yards",2005
5,5,"Steve Stricker",62,71.83,102,142,"Scramblingfrom1020yards",2005
6,6,"Brad Faxon",75,70.86,107,151,"Scramblingfrom1020yards",2005
7,7,"Shigeki Maruyama",99,70.33,147,209,"Scramblingfrom1020yards",2005
8,8,"Jim Furyk",94,70.25,111,158,"Scramblingfrom1020yards",2005
9,9,"JP Hayes",63,70.21,99,141,"Scramblingfrom1020yards",2005
10,10,"Corey Pavin",77,69.82,118,169,"Scramblingfrom1020yards",2005
11,11,"Kevin Na",88,69.8,171,245,"Scramblingfrom1020yards",2005
12,12,"Tim Herron",100,69.77,150,215,"Scramblingfrom1020yards",2005
13,13,"Chris DiMarco",83,69.72,99,142,"Scramblingfrom1020yards",2005
14,14,"Doug Barron",70,69.7,115,165,"Scramblingfrom1020yards",2005
15,15,"Tiger Woods",76,69.67,85,122,"Scramblingfrom1020yards",2005
16,16,"Pat Perez",89,69.54,137,197,"Scramblingfrom1020yards",2005
17,17,"Justin Leonard",78,69.47,91,131,"Scramblingfrom1020yards",2005
17,17,"Tjaart van der Walt",56,69.47,91,131,"Scramblingfrom1020yards",2005
19,19,"Brett Quigley",96,69.26,160,231,"Scramblingfrom1020yards",2005
20,20,"Loren Roberts",54,69.23,81,117,"Scramblingfrom1020yards",2005
21,21,"Jose Coceres",56,69.18,101,146,"Scramblingfrom1020yards",2005
22,22,"Tom Lehman",69,69.17,83,120,"Scramblingfrom1020yards",2005
23,23,"Kevin Sutherland",89,69.02,127,184,"Scramblingfrom1020yards",2005
24,24,"Phil Mickelson",81,68.85,84,122,"Scramblingfrom1020yards",2005
25,25,"Chris Riley",67,68.8,86,125,"Scramblingfrom1020yards",2005
26,26,"Andrew Magee",82,68.69,136,198,"Scramblingfrom1020yards",2005
27,27,"Bob Estes",92,68.65,127,185,"Scramblingfrom1020yards",2005
28,28,"Brian Gay",101,68.6,166,242,"Scramblingfrom1020yards",2005
29,29,"Matt Kuchar",60,68.42,91,133,"Scramblingfrom1020yards",2005
30,30,"Dan Forsman",52,68.32,69,101,"Scramblingfrom1020yards",2005
31,31,"Carl Pettersson",109,68.15,169,248,"Scramblingfrom1020yards",2005
32,32,"Fred Funk",102,68.02,151,222,"Scramblingfrom1020yards",2005
33,33,"Darron Stiles",78,68,119,175,"Scramblingfrom1020yards",2005
34,34,"Brent Geiberger",61,67.86,76,112,"Scramblingfrom1020yards",2005
35,35,"Len Mattiace",86,67.82,137,202,"Scramblingfrom1020yards",2005
36,36,"Aaron Baddeley",84,67.65,138,204,"Scramblingfrom1020yards",2005
37,37,"Tim Clark",92,67.46,114,169,"Scramblingfrom1020yards",2005
38,38,"Ben Crane",78,67.18,131,195,"Scramblingfrom1020yards",2005
39,39,"Kirk Triplett",55,66.96,77,115,"Scramblingfrom1020yards",2005
40,40,"Hidemichi Tanaka",106,66.91,184,275,"Scramblingfrom1020yards",2005
41,41,"Bob Tway",87,66.89,101,151,"Scramblingfrom1020yards",2005
42,42,"Ryuji Imada",78,66.84,125,187,"Scramblingfrom1020yards",2005
43,43,"Mark Brooks",72,66.67,138,207,"Scramblingfrom1020yards",2005
43,43,"Carlos Franco",78,66.67,96,144,"Scramblingfrom1020yards",2005
