"TotalBirdies_RANKTHISWEEK_2013","TotalBirdies_RANKLASTWEEK_2013","TotalBirdies_PLAYERNAME_2013","TotalBirdies_ROUNDS_2013","TotalBirdies_TOTAL_2013","stat_name","year"
1,1,"Brendon de Jonge",110,399,"TotalBirdies",2013
2,2,"Billy Horschel",96,380,"TotalBirdies",2013
3,3,"Harris English",95,368,"TotalBirdies",2013
4,4,"Graham DeLaet",94,362,"TotalBirdies",2013
5,5,"Nicholas Thompson",99,354,"TotalBirdies",2013
6,6,"Boo Weekley",100,350,"TotalBirdies",2013
7,7,"Roberto Castro",97,349,"TotalBirdies",2013
8,8,"Chris Kirk",89,343,"TotalBirdies",2013
9,9,"Brian Davis",91,339,"TotalBirdies",2013
10,10,"Matt Every",89,337,"TotalBirdies",2013
11,11,"Webb Simpson",92,336,"TotalBirdies",2013
12,12,"David Hearn",88,334,"TotalBirdies",2013
12,12,"Rory Sabbatini",86,334,"TotalBirdies",2013
12,12,"Gary Woodland",94,334,"TotalBirdies",2013
15,15,"Charley Hoffman",84,329,"TotalBirdies",2013
15,15,"Phil Mickelson",78,329,"TotalBirdies",2013
17,17,"Keegan Bradley",88,327,"TotalBirdies",2013
18,18,"Sangmoon Bae",83,325,"TotalBirdies",2013
19,19,"Jordan Spieth",82,319,"TotalBirdies",2013
20,20,"Matt Kuchar",93,318,"TotalBirdies",2013
21,21,"Jimmy Walker",84,316,"TotalBirdies",2013
22,22,"Chris Stroud",88,315,"TotalBirdies",2013
23,23,"Ryan Palmer",79,314,"TotalBirdies",2013
23,23,"Brandt Snedeker",79,314,"TotalBirdies",2013
25,25,"Charles Howell III",87,312,"TotalBirdies",2013
25,25,"Hunter Mahan",91,312,"TotalBirdies",2013
27,27,"DA Points",87,310,"TotalBirdies",2013
28,28,"Daniel Summerhays",83,307,"TotalBirdies",2013
29,29,"Justin Leonard",86,306,"TotalBirdies",2013
29,29,"Nick Watney",88,306,"TotalBirdies",2013
31,31,"Kevin Stadler",83,304,"TotalBirdies",2013
32,32,"Matt Jones",83,302,"TotalBirdies",2013
33,33,"Patrick Reed",83,301,"TotalBirdies",2013
34,34,"Bryce Molder",82,297,"TotalBirdies",2013
35,35,"Zach Johnson",84,296,"TotalBirdies",2013
36,36,"Kevin Streelman",86,295,"TotalBirdies",2013
37,37,"John Huh",88,293,"TotalBirdies",2013
37,37,"Josh Teater",86,293,"TotalBirdies",2013
39,39,"Luke Guthrie",82,292,"TotalBirdies",2013
40,40,"Martin Flores",83,291,"TotalBirdies",2013
41,41,"Russell Henley",80,289,"TotalBirdies",2013
42,42,"Jason Day",86,287,"TotalBirdies",2013
42,42,"Bill Haas",85,287,"TotalBirdies",2013
44,44,"Ken Duke",87,286,"TotalBirdies",2013
45,45,"Brian Harman",89,285,"TotalBirdies",2013
46,46,"Tommy Gainey",84,283,"TotalBirdies",2013
47,47,"Jeff Overton",78,282,"TotalBirdies",2013
48,48,"Jason Kokrak",78,281,"TotalBirdies",2013
48,48,"Brendan Steele",86,281,"TotalBirdies",2013
