"LatePar5ScoringAverage_RANKTHISWEEK_2012","LatePar5ScoringAverage_RANKLASTWEEK_2012","LatePar5ScoringAverage_PLAYERNAME_2012","LatePar5ScoringAverage_ROUNDS_2012","LatePar5ScoringAverage_AVG_2012","LatePar5ScoringAverage_TOTALSTROKES_2012","LatePar5ScoringAverage_TOTALHOLES_2012","stat_name","year"
1,1,"Rory McIlroy",60,4.49,480,107,"LatePar5ScoringAverage",2012
2,2,"Zach Johnson",95,4.5,689,153,"LatePar5ScoringAverage",2012
3,3,"Brandt Snedeker",81,4.52,628,139,"LatePar5ScoringAverage",2012
4,4,"Bobby Gates",87,4.53,589,130,"LatePar5ScoringAverage",2012
4,4,"Louis Oosthuizen",65,4.53,430,95,"LatePar5ScoringAverage",2012
4,4,"Scott Stallings",78,4.53,557,123,"LatePar5ScoringAverage",2012
7,7,"Adam Scott",59,4.54,459,101,"LatePar5ScoringAverage",2012
8,8,"Dustin Johnson",70,4.55,523,115,"LatePar5ScoringAverage",2012
9,9,"Kevin Chappell",91,4.56,533,117,"LatePar5ScoringAverage",2012
9,9,"Davis Love III",64,4.56,388,85,"LatePar5ScoringAverage",2012
11,11,"Charles Howell III",98,4.57,727,159,"LatePar5ScoringAverage",2012
11,11,"Phil Mickelson",79,4.57,677,148,"LatePar5ScoringAverage",2012
13,13,"Cameron Beckman",81,4.58,472,103,"LatePar5ScoringAverage",2012
13,13,"Roberto Castro",92,4.58,513,112,"LatePar5ScoringAverage",2012
13,13,"Ken Duke",104,4.58,728,159,"LatePar5ScoringAverage",2012
13,13,"Rickie Fowler",84,4.58,541,118,"LatePar5ScoringAverage",2012
13,13,"Charl Schwartzel",56,4.58,380,83,"LatePar5ScoringAverage",2012
13,13,"Webb Simpson",77,4.58,678,148,"LatePar5ScoringAverage",2012
19,19,"Jonas Blixt",72,4.59,519,113,"LatePar5ScoringAverage",2012
19,19,"Chad Campbell",84,4.59,588,128,"LatePar5ScoringAverage",2012
19,19,"Bud Cauley",99,4.59,689,150,"LatePar5ScoringAverage",2012
19,19,"Will Claxton",99,4.59,707,154,"LatePar5ScoringAverage",2012
19,19,"Ben Crane",73,4.59,542,118,"LatePar5ScoringAverage",2012
19,19,"John Daly",50,4.59,280,61,"LatePar5ScoringAverage",2012
19,19,"Luke Donald",63,4.59,500,109,"LatePar5ScoringAverage",2012
19,19,"Bubba Watson",68,4.59,564,123,"LatePar5ScoringAverage",2012
19,19,"Tiger Woods",69,4.59,606,132,"LatePar5ScoringAverage",2012
28,28,"Charlie Beljan",61,4.6,414,90,"LatePar5ScoringAverage",2012
28,28,"Padraig Harrington",67,4.6,534,116,"LatePar5ScoringAverage",2012
28,28,"John Merrick",83,4.6,575,125,"LatePar5ScoringAverage",2012
28,28,"Kyle Stanley",86,4.6,584,127,"LatePar5ScoringAverage",2012
28,28,"Cameron Tringale",88,4.6,635,138,"LatePar5ScoringAverage",2012
28,28,"Jhonattan Vegas",77,4.6,478,104,"LatePar5ScoringAverage",2012
34,34,"Keegan Bradley",90,4.61,641,139,"LatePar5ScoringAverage",2012
34,34,"Jonathan Byrd",69,4.61,595,129,"LatePar5ScoringAverage",2012
34,34,"Brendon de Jonge",115,4.61,849,184,"LatePar5ScoringAverage",2012
34,34,"Jason Dufner",83,4.61,696,151,"LatePar5ScoringAverage",2012
34,34,"Harrison Frazar",56,4.61,415,90,"LatePar5ScoringAverage",2012
34,34,"Robert Garrigus",89,4.61,696,151,"LatePar5ScoringAverage",2012
34,34,"Mathew Goggin",65,4.61,443,96,"LatePar5ScoringAverage",2012
34,34,"Robert Karlsson",54,4.61,263,57,"LatePar5ScoringAverage",2012
34,34,"Sean OHair",84,4.61,535,116,"LatePar5ScoringAverage",2012
34,34,"John Rollins",81,4.61,608,132,"LatePar5ScoringAverage",2012
34,34,"Steve Stricker",73,4.61,632,137,"LatePar5ScoringAverage",2012
45,45,"Stewart Cink",71,4.62,457,99,"LatePar5ScoringAverage",2012
45,45,"George McNeill",85,4.62,531,115,"LatePar5ScoringAverage",2012
45,45,"Justin Rose",69,4.62,559,121,"LatePar5ScoringAverage",2012
48,48,"Harris English",98,4.63,639,138,"LatePar5ScoringAverage",2012
48,48,"Sergio Garcia",57,4.63,458,99,"LatePar5ScoringAverage",2012
48,48,"Nathan Green",73,4.63,477,103,"LatePar5ScoringAverage",2012
48,48,"Rocco Mediate",70,4.63,477,103,"LatePar5ScoringAverage",2012
48,48,"Bryce Molder",83,4.63,574,124,"LatePar5ScoringAverage",2012
48,48,"Pat Perez",81,4.63,616,133,"LatePar5ScoringAverage",2012
48,48,"Carl Pettersson",92,4.63,662,143,"LatePar5ScoringAverage",2012
48,48,"John Senden",81,4.63,630,136,"LatePar5ScoringAverage",2012
48,48,"Brendon Todd",78,4.63,551,119,"LatePar5ScoringAverage",2012
48,48,"Bo Van Pelt",84,4.63,717,155,"LatePar5ScoringAverage",2012
48,48,"Boo Weekley",74,4.63,449,97,"LatePar5ScoringAverage",2012
59,59,"Mark Anderson",75,4.64,506,109,"LatePar5ScoringAverage",2012
59,59,"Jim Furyk",85,4.64,668,144,"LatePar5ScoringAverage",2012
59,59,"Tom Gillis",75,4.64,506,109,"LatePar5ScoringAverage",2012
