"3PuttAvoidanceRound4_RANKTHISWEEK_2016","3PuttAvoidanceRound4_RANKLASTWEEK_2016","3PuttAvoidanceRound4_PLAYERNAME_2016","3PuttAvoidanceRound4__2016","3PuttAvoidanceRound4_Pct_2016","3PuttAvoidanceRound4_TOTAL3PUTTS_2016","3PuttAvoidanceRound4_TOTALHOLES_2016","stat_name","year"
1,1,"Daniel Summerhays",NA,0.46,1,216,"3PuttAvoidanceRound4",2016
2,2,"Martin Laird",NA,0.56,1,180,"3PuttAvoidanceRound4",2016
3,2,"Billy Horschel",NA,0.62,1,162,"3PuttAvoidanceRound4",2016
4,4,"Tyler Aldridge",NA,0.69,1,144,"3PuttAvoidanceRound4",2016
4,6,"Rickie Fowler",NA,0.69,1,144,"3PuttAvoidanceRound4",2016
6,6,"Matt Jones",NA,0.79,1,126,"3PuttAvoidanceRound4",2016
6,NA,"Vijay Singh",NA,0.79,1,126,"3PuttAvoidanceRound4",2016
6,6,"Jordan Spieth",NA,0.79,1,126,"3PuttAvoidanceRound4",2016
9,11,"Stuart Appleby",NA,0.93,1,108,"3PuttAvoidanceRound4",2016
9,11,"Russell Henley",NA,0.93,1,108,"3PuttAvoidanceRound4",2016
9,11,"Steve Marino",NA,0.93,1,108,"3PuttAvoidanceRound4",2016
9,NA,"Rob Oppenheim",NA,0.93,1,108,"3PuttAvoidanceRound4",2016
9,11,"Bubba Watson",NA,0.93,1,108,"3PuttAvoidanceRound4",2016
14,16,"Ricky Barnes",NA,1.01,2,198,"3PuttAvoidanceRound4",2016
14,18,"William McGirt",NA,1.01,2,198,"3PuttAvoidanceRound4",2016
14,18,"Patrick Reed",NA,1.01,2,198,"3PuttAvoidanceRound4",2016
17,18,"Blayne Barber",NA,1.11,1,90,"3PuttAvoidanceRound4",2016
17,18,"Shane Bertsch",NA,1.11,1,90,"3PuttAvoidanceRound4",2016
17,18,"Jerry Kelly",NA,1.11,2,180,"3PuttAvoidanceRound4",2016
17,18,"Rory Sabbatini",NA,1.11,1,90,"3PuttAvoidanceRound4",2016
21,4,"Tony Finau",NA,1.23,2,162,"3PuttAvoidanceRound4",2016
21,24,"Seung Yul Noh",NA,1.23,2,162,"3PuttAvoidanceRound4",2016
21,25,"Brett Stegmaier",NA,1.23,2,162,"3PuttAvoidanceRound4",2016
24,25,"Matt Every",NA,1.39,1,72,"3PuttAvoidanceRound4",2016
24,25,"Matthew Fitzpatrick",NA,1.39,1,72,"3PuttAvoidanceRound4",2016
24,25,"Andres Gonzales",NA,1.39,1,72,"3PuttAvoidanceRound4",2016
