"PresidentsCupUnitedes_RANKTHISWEEK_2005","PresidentsCupUnitedes_RANKLASTWEEK_2005","PresidentsCupUnitedes_PLAYERNAME_2005","PresidentsCupUnitedes__2005","PresidentsCupUnitedes_POINTS_2005","stat_name","year"
1,1,"Tiger Woods",NA,3335350,"PresidentsCupUnitedes",2005
2,2,"Olin Browne",NA,1716128,"PresidentsCupUnitedes",2005
3,3,"Bart Bryant",NA,1559915,"PresidentsCupUnitedes",2005
4,4,"Mark Calcavecchia",NA,1288302,"PresidentsCupUnitedes",2005
5,5,"Vaughn Taylor",NA,1163345,"PresidentsCupUnitedes",2005
6,6,"Chris DiMarco",NA,1101836,"PresidentsCupUnitedes",2005
7,7,"Ben Crane",NA,1100647,"PresidentsCupUnitedes",2005
8,8,"Lucas Glover",NA,1031121,"PresidentsCupUnitedes",2005
9,9,"Jason Bohn",NA,960111,"PresidentsCupUnitedes",2005
10,10,"Tom Pernice Jr",NA,913939,"PresidentsCupUnitedes",2005
11,11,"Chad Campbell",NA,910653,"PresidentsCupUnitedes",2005
12,12,"John Daly",NA,867533,"PresidentsCupUnitedes",2005
13,13,"Jason Gore",NA,850860,"PresidentsCupUnitedes",2005
14,14,"Wes Short Jr",NA,844688,"PresidentsCupUnitedes",2005
15,15,"Brad Faxon",NA,844125,"PresidentsCupUnitedes",2005
16,16,"Tim Herron",NA,837519,"PresidentsCupUnitedes",2005
17,17,"Brandt Jobe",NA,778898,"PresidentsCupUnitedes",2005
18,18,"Robert Gamez",NA,749892,"PresidentsCupUnitedes",2005
19,19,"Jim Furyk",NA,746933,"PresidentsCupUnitedes",2005
20,20,"Heath Slocum",NA,734705,"PresidentsCupUnitedes",2005
21,21,"Charles Howell III",NA,674977,"PresidentsCupUnitedes",2005
22,22,"Ryan Moore",NA,665270,"PresidentsCupUnitedes",2005
23,23,"Harrison Frazar",NA,661152,"PresidentsCupUnitedes",2005
24,24,"Davis Love III",NA,656383,"PresidentsCupUnitedes",2005
25,25,"Ryan Palmer",NA,633107,"PresidentsCupUnitedes",2005
26,26,"Scott Verplank",NA,607600,"PresidentsCupUnitedes",2005
27,27,"Tag Ridings",NA,574674,"PresidentsCupUnitedes",2005
28,28,"Jerry Kelly",NA,569381,"PresidentsCupUnitedes",2005
29,29,"Steve Lowery",NA,557881,"PresidentsCupUnitedes",2005
30,30,"Bo Van Pelt",NA,549416,"PresidentsCupUnitedes",2005
31,31,"Joey Sindelar",NA,546745,"PresidentsCupUnitedes",2005
32,32,"Kenny Perry",NA,524550,"PresidentsCupUnitedes",2005
33,33,"Ted Purdy",NA,510545,"PresidentsCupUnitedes",2005
34,34,"Woody Austin",NA,499603,"PresidentsCupUnitedes",2005
35,35,"Sean OHair",NA,475470,"PresidentsCupUnitedes",2005
36,36,"Mark Wilson",NA,473396,"PresidentsCupUnitedes",2005
37,37,"Jeff Brehaut",NA,461640,"PresidentsCupUnitedes",2005
38,38,"David Toms",NA,440800,"PresidentsCupUnitedes",2005
39,39,"John Huston",NA,427814,"PresidentsCupUnitedes",2005
40,40,"Justin Leonard",NA,419415,"PresidentsCupUnitedes",2005
41,41,"JJ Henry",NA,370957,"PresidentsCupUnitedes",2005
42,42,"Stewart Cink",NA,349045,"PresidentsCupUnitedes",2005
43,43,"Jonathan Kaye",NA,348476,"PresidentsCupUnitedes",2005
44,44,"Darron Stiles",NA,336247,"PresidentsCupUnitedes",2005
45,45,"Dean Wilson",NA,333843,"PresidentsCupUnitedes",2005
46,46,"Kent Jones",NA,333668,"PresidentsCupUnitedes",2005
47,47,"Fred Couples",NA,332683,"PresidentsCupUnitedes",2005
48,48,"Bob Heintz",NA,322796,"PresidentsCupUnitedes",2005
49,49,"Billy Mayfair",NA,314840,"PresidentsCupUnitedes",2005
50,50,"Scott Gutschewski",NA,314478,"PresidentsCupUnitedes",2005
51,51,"Marco Dawson",NA,306769,"PresidentsCupUnitedes",2005
52,52,"Charles Warren",NA,298840,"PresidentsCupUnitedes",2005
53,53,"Cameron Beckman",NA,295420,"PresidentsCupUnitedes",2005
54,54,"Todd Fischer",NA,286431,"PresidentsCupUnitedes",2005
55,55,"Loren Roberts",NA,282000,"PresidentsCupUnitedes",2005
56,56,"Fred Funk",NA,278522,"PresidentsCupUnitedes",2005
57,57,"Jonathan Byrd",NA,278452,"PresidentsCupUnitedes",2005
58,58,"Rocco Mediate",NA,277978,"PresidentsCupUnitedes",2005
59,59,"Nick Watney",NA,277070,"PresidentsCupUnitedes",2005
60,60,"Craig Barlow",NA,251700,"PresidentsCupUnitedes",2005
61,61,"Joey Snyder III",NA,247968,"PresidentsCupUnitedes",2005
62,62,"Briny Baird",NA,246839,"PresidentsCupUnitedes",2005
63,63,"Rich Beem",NA,246464,"PresidentsCupUnitedes",2005
64,64,"Zach Johnson",NA,246422,"PresidentsCupUnitedes",2005
65,65,"Tom Lehman",NA,235048,"PresidentsCupUnitedes",2005
66,66,"JL Lewis",NA,228309,"PresidentsCupUnitedes",2005
67,67,"Tommy Armour III",NA,203105,"PresidentsCupUnitedes",2005
68,68,"Will Ma Kenzie",NA,201277,"PresidentsCupUnitedes",2005
69,69,"Ben Curtis",NA,200328,"PresidentsCupUnitedes",2005
70,70,"Brett Wetterich",NA,195695,"PresidentsCupUnitedes",2005
71,71,"John Rollins",NA,194598,"PresidentsCupUnitedes",2005
72,72,"Jeff Maggert",NA,188686,"PresidentsCupUnitedes",2005
73,73,"DJ Trahan",NA,185373,"PresidentsCupUnitedes",2005
74,74,"Dudley Hart",NA,182436,"PresidentsCupUnitedes",2005
75,75,"Tim Petrovic",NA,174874,"PresidentsCupUnitedes",2005
76,76,"Chris Smith",NA,173363,"PresidentsCupUnitedes",2005
77,77,"Glen Day",NA,169691,"PresidentsCupUnitedes",2005
78,78,"Corey Pavin",NA,163040,"PresidentsCupUnitedes",2005
79,79,"Frank Lickliter II",NA,160330,"PresidentsCupUnitedes",2005
80,80,"Matt Kuchar",NA,152996,"PresidentsCupUnitedes",2005
81,81,"Bob Tway",NA,152666,"PresidentsCupUnitedes",2005
82,82,"Billy Andrade",NA,149500,"PresidentsCupUnitedes",2005
83,83,"Joe Ogilvie",NA,145974,"PresidentsCupUnitedes",2005
84,84,"JP Hayes",NA,142324,"PresidentsCupUnitedes",2005
85,85,"Patrick Sheehan",NA,141955,"PresidentsCupUnitedes",2005
86,86,"Bob Estes",NA,136331,"PresidentsCupUnitedes",2005
87,87,"Pat Perez",NA,135858,"PresidentsCupUnitedes",2005
88,88,"Shaun Micheel",NA,134069,"PresidentsCupUnitedes",2005
89,89,"Phil Mickelson",NA,130830,"PresidentsCupUnitedes",2005
90,90,"Duffy Waldorf",NA,130300,"PresidentsCupUnitedes",2005
91,91,"Jay Delsing",NA,128620,"PresidentsCupUnitedes",2005
92,92,"DA Points",NA,126322,"PresidentsCupUnitedes",2005
93,93,"Kevin Sutherland",NA,126150,"PresidentsCupUnitedes",2005
94,94,"Kevin Na",NA,116807,"PresidentsCupUnitedes",2005
95,95,"Dan Forsman",NA,110761,"PresidentsCupUnitedes",2005
96,96,"Jeff Sluman",NA,109319,"PresidentsCupUnitedes",2005
97,97,"Paul Claxton",NA,107530,"PresidentsCupUnitedes",2005
98,98,"Brian Gay",NA,106523,"PresidentsCupUnitedes",2005
99,99,"John Cook",NA,105144,"PresidentsCupUnitedes",2005
100,100,"Spike McRoy",NA,103499,"PresidentsCupUnitedes",2005
101,101,"Doug Barron",NA,102652,"PresidentsCupUnitedes",2005
102,102,"Tom Gillis",NA,96425,"PresidentsCupUnitedes",2005
103,103,"Mario Tiziani",NA,96346,"PresidentsCupUnitedes",2005
104,104,"Michael Allen",NA,95700,"PresidentsCupUnitedes",2005
105,105,"Brian Bateman",NA,95693,"PresidentsCupUnitedes",2005
106,106,"Neal Lancaster",NA,93467,"PresidentsCupUnitedes",2005
107,107,"Steve Flesch",NA,92730,"PresidentsCupUnitedes",2005
108,108,"Robert Damron",NA,90380,"PresidentsCupUnitedes",2005
109,109,"Tom Byrum",NA,86355,"PresidentsCupUnitedes",2005
110,110,"Joe Durant",NA,84963,"PresidentsCupUnitedes",2005
111,111,"Brent Geiberger",NA,81199,"PresidentsCupUnitedes",2005
112,112,"Jay Haas",NA,77000,"PresidentsCupUnitedes",2005
113,113,"Franklin Langham",NA,76534,"PresidentsCupUnitedes",2005
114,114,"Hunter Haas",NA,76410,"PresidentsCupUnitedes",2005
115,115,"DJ Brigman",NA,76311,"PresidentsCupUnitedes",2005
116,116,"Hunter Mahan",NA,73332,"PresidentsCupUnitedes",2005
117,117,"Omar Uresti",NA,71118,"PresidentsCupUnitedes",2005
118,118,"David Peoples",NA,66650,"PresidentsCupUnitedes",2005
119,119,"Lee Janzen",NA,63478,"PresidentsCupUnitedes",2005
120,120,"Jeff Hart",NA,63323,"PresidentsCupUnitedes",2005
121,121,"Craig Bowden",NA,59790,"PresidentsCupUnitedes",2005
122,122,"Paul Azinger",NA,59730,"PresidentsCupUnitedes",2005
123,123,"Bill Glasson",NA,56225,"PresidentsCupUnitedes",2005
124,124,"Chris Riley",NA,55634,"PresidentsCupUnitedes",2005
125,125,"Jim Carter",NA,48850,"PresidentsCupUnitedes",2005
126,126,"Hank Kuehne",NA,47726,"PresidentsCupUnitedes",2005
127,127,"Justin Bolli",NA,43340,"PresidentsCupUnitedes",2005
128,128,"Kevin Stadler",NA,37819,"PresidentsCupUnitedes",2005
129,129,"Mark OMeara",NA,33931,"PresidentsCupUnitedes",2005
130,130,"Larry Mize",NA,32700,"PresidentsCupUnitedes",2005
131,131,"Scott McCarron",NA,31528,"PresidentsCupUnitedes",2005
132,132,"Steve Stricker",NA,31500,"PresidentsCupUnitedes",2005
133,133,"Len Mattiace",NA,30150,"PresidentsCupUnitedes",2005
134,134,"Matt Gogel",NA,30104,"PresidentsCupUnitedes",2005
135,135,"Dennis Paulson",NA,28688,"PresidentsCupUnitedes",2005
136,136,"Notah Begay III",NA,28245,"PresidentsCupUnitedes",2005
137,137,"Roland Thatcher",NA,26701,"PresidentsCupUnitedes",2005
138,138,"Brad Lardon",NA,25332,"PresidentsCupUnitedes",2005
139,139,"Danny Ellis",NA,25021,"PresidentsCupUnitedes",2005
140,140,"James Driscoll",NA,24169,"PresidentsCupUnitedes",2005
141,141,"Chris Anderson",NA,22710,"PresidentsCupUnitedes",2005
142,142,"Paul Goydos",NA,20594,"PresidentsCupUnitedes",2005
143,143,"Donnie Hammond",NA,20150,"PresidentsCupUnitedes",2005
144,144,"Andrew Magee",NA,19688,"PresidentsCupUnitedes",2005
145,145,"Kirk Triplett",NA,18188,"PresidentsCupUnitedes",2005
146,146,"Todd Hamilton",NA,16938,"PresidentsCupUnitedes",2005
147,147,"Mark Brooks",NA,16459,"PresidentsCupUnitedes",2005
148,148,"Bob Burns",NA,15636,"PresidentsCupUnitedes",2005
149,149,"Craig Stadler",NA,12720,"PresidentsCupUnitedes",2005
150,150,"Jason Allred",NA,12360,"PresidentsCupUnitedes",2005
151,151,"Brett Quigley",NA,9070,"PresidentsCupUnitedes",2005
151,151,"Rob Rashell",NA,9070,"PresidentsCupUnitedes",2005
153,153,"Mike Standly",NA,8904,"PresidentsCupUnitedes",2005
154,154,"Skip Kendall",NA,8756,"PresidentsCupUnitedes",2005
155,155,"Brian Watts",NA,8170,"PresidentsCupUnitedes",2005
156,156,"Matt Davidson",NA,7630,"PresidentsCupUnitedes",2005
156,156,"David Duval",NA,7630,"PresidentsCupUnitedes",2005
158,158,"Guy Boros",NA,7485,"PresidentsCupUnitedes",2005
159,159,"John Elliott",NA,7315,"PresidentsCupUnitedes",2005
160,160,"Brian Henninger",NA,7236,"PresidentsCupUnitedes",2005
161,161,"Gary Hallberg",NA,7160,"PresidentsCupUnitedes",2005
162,162,"Tripp Isenhour",NA,7000,"PresidentsCupUnitedes",2005
163,163,"Garrett Willis",NA,6945,"PresidentsCupUnitedes",2005
164,164,"Danny Briggs",NA,6750,"PresidentsCupUnitedes",2005
165,165,"Hal Sutton",NA,6720,"PresidentsCupUnitedes",2005
166,166,"Blaine McCallister",NA,6270,"PresidentsCupUnitedes",2005
