"OnePuttPercentage_RANKTHISWEEK_2013","OnePuttPercentage_RANKLASTWEEK_2013","OnePuttPercentage_PLAYERNAME_2013","OnePuttPercentage_ROUNDS_2013","OnePuttPercentage_Pct_2013","OnePuttPercentage_OF1PUTTS_2013","OnePuttPercentage_OFHOLES_2013","stat_name","year"
1,1,"Brian Gay",79,45.71,650,1422,"OnePuttPercentage",2013
2,2,"Aaron Baddeley",68,45.37,539,1188,"OnePuttPercentage",2013
3,3,"Mike Weir",60,43.97,459,1044,"OnePuttPercentage",2013
4,4,"Greg Chalmers",77,43.61,573,1314,"OnePuttPercentage",2013
5,5,"Chris Kirk",89,43.51,697,1602,"OnePuttPercentage",2013
6,6,"Brandt Snedeker",79,42.76,608,1422,"OnePuttPercentage",2013
7,7,"Vaughn Taylor",50,42.75,354,828,"OnePuttPercentage",2013
8,8,"Charlie Wi",75,42.72,546,1278,"OnePuttPercentage",2013
9,9,"Steven Bowditch",67,42.48,497,1170,"OnePuttPercentage",2013
10,10,"Jonas Blixt",76,42.32,579,1368,"OnePuttPercentage",2013
11,11,"Phil Mickelson",78,42.31,594,1404,"OnePuttPercentage",2013
12,12,"Bryce Molder",82,42.08,606,1440,"OnePuttPercentage",2013
13,13,"Stephen Ames",49,42.06,371,882,"OnePuttPercentage",2013
14,14,"Patrick Reed",83,41.97,627,1494,"OnePuttPercentage",2013
15,15,"Luke Donald",60,41.86,437,1044,"OnePuttPercentage",2013
15,15,"Chris Stroud",88,41.86,663,1584,"OnePuttPercentage",2013
17,17,"Freddie Jacobson",63,41.85,452,1080,"OnePuttPercentage",2013
18,18,"Jason Day",86,41.74,601,1440,"OnePuttPercentage",2013
19,19,"David Hearn",88,41.73,661,1584,"OnePuttPercentage",2013
19,19,"Justin Leonard",86,41.73,646,1548,"OnePuttPercentage",2013
21,21,"Sangmoon Bae",83,41.63,622,1494,"OnePuttPercentage",2013
22,22,"Peter Hanson",45,41.6,322,774,"OnePuttPercentage",2013
23,23,"Andres Romero",63,41.53,441,1062,"OnePuttPercentage",2013
24,24,"Bob Estes",66,41.5,493,1188,"OnePuttPercentage",2013
25,25,"Brian Davis",91,41.45,679,1638,"OnePuttPercentage",2013
26,26,"Charles Howell III",87,41.44,634,1530,"OnePuttPercentage",2013
27,27,"Rory McIlroy",56,41.41,410,990,"OnePuttPercentage",2013
28,28,"James Driscoll",76,41.28,535,1296,"OnePuttPercentage",2013
29,29,"Jordan Spieth",82,41.19,608,1476,"OnePuttPercentage",2013
30,30,"Steve Stricker",51,41.13,348,846,"OnePuttPercentage",2013
31,31,"Matt Kuchar",93,41.06,643,1566,"OnePuttPercentage",2013
32,32,"Ben Crane",62,41,428,1044,"OnePuttPercentage",2013
33,33,"Rickie Fowler",75,40.99,546,1332,"OnePuttPercentage",2013
34,34,"Jeff Overton",78,40.95,575,1404,"OnePuttPercentage",2013
35,35,"David Lingmerth",68,40.93,501,1224,"OnePuttPercentage",2013
36,36,"Morgan Hoffmann",64,40.89,471,1152,"OnePuttPercentage",2013
37,37,"Luke Guthrie",82,40.79,602,1476,"OnePuttPercentage",2013
38,38,"Matt Every",89,40.76,653,1602,"OnePuttPercentage",2013
39,39,"Tiger Woods",61,40.74,440,1080,"OnePuttPercentage",2013
40,40,"Ryan Palmer",79,40.72,579,1422,"OnePuttPercentage",2013
41,41,"Scott Stallings",79,40.65,578,1422,"OnePuttPercentage",2013
42,42,"Doug LaBelle II",72,40.56,511,1260,"OnePuttPercentage",2013
43,43,"Erik Compton",74,40.54,540,1332,"OnePuttPercentage",2013
44,44,"Martin Flores",83,40.5,605,1494,"OnePuttPercentage",2013
44,44,"Matt Jones",83,40.5,605,1494,"OnePuttPercentage",2013
46,46,"Harris English",95,40.35,690,1710,"OnePuttPercentage",2013
47,47,"Jimmy Walker",84,40.34,610,1512,"OnePuttPercentage",2013
48,48,"Brian Harman",89,40.33,617,1530,"OnePuttPercentage",2013
49,49,"Aaron Watkins",46,40.28,319,792,"OnePuttPercentage",2013
50,50,"David Lynn",70,40.26,500,1242,"OnePuttPercentage",2013
51,51,"Tom Gillis",69,40.17,470,1170,"OnePuttPercentage",2013
52,52,"Jason Kokrak",78,40.1,563,1404,"OnePuttPercentage",2013
53,53,"Russell Henley",80,40.03,562,1404,"OnePuttPercentage",2013
54,54,"Tim Herron",45,40,324,810,"OnePuttPercentage",2013
54,54,"Jin Park",52,40,360,900,"OnePuttPercentage",2013
56,56,"Stuart Appleby",88,39.95,604,1512,"OnePuttPercentage",2013
57,57,"Jason Bohn",70,39.92,503,1260,"OnePuttPercentage",2013
58,58,"Lee Williams",62,39.91,431,1080,"OnePuttPercentage",2013
