"GoodDrivePercentage_RANKTHISWEEK_2009","GoodDrivePercentage_RANKLASTWEEK_2009","GoodDrivePercentage_PLAYERNAME_2009","GoodDrivePercentage_ROUNDS_2009","GoodDrivePercentage_Pct_2009","GoodDrivePercentage_HIT_2009","GoodDrivePercentage_TOTALATTEMPTS_2009","stat_name","year"
1,1,"Kirk Triplett",60,88.54,734,829,"GoodDrivePercentage",2009
2,2,"Tim Clark",81,87.03,946,1087,"GoodDrivePercentage",2009
3,3,"DJ Trahan",96,86.88,1165,1341,"GoodDrivePercentage",2009
4,4,"Jeff Maggert",79,86.7,952,1098,"GoodDrivePercentage",2009
5,5,"Tommy Armour III",58,86.6,698,806,"GoodDrivePercentage",2009
6,6,"Scott McCarron",91,86.58,1097,1267,"GoodDrivePercentage",2009
7,7,"Jason Bohn",88,86.29,1057,1225,"GoodDrivePercentage",2009
8,8,"Robert Allenby",71,85.92,842,980,"GoodDrivePercentage",2009
9,9,"Zach Johnson",94,85.58,1104,1290,"GoodDrivePercentage",2009
10,10,"Hunter Mahan",94,85.31,1098,1287,"GoodDrivePercentage",2009
11,11,"Steve Stricker",81,84.91,934,1100,"GoodDrivePercentage",2009
12,12,"Boo Weekley",79,84.88,915,1078,"GoodDrivePercentage",2009
13,13,"Kenny Perry",92,84.76,1079,1273,"GoodDrivePercentage",2009
14,14,"Billy Mayfair",83,84.7,980,1157,"GoodDrivePercentage",2009
15,15,"Ben Crane",93,84.65,1097,1296,"GoodDrivePercentage",2009
16,16,"Lucas Glover",93,84.36,1095,1298,"GoodDrivePercentage",2009
17,17,"Steve Elkington",70,84.33,818,970,"GoodDrivePercentage",2009
18,18,"Sean OHair",80,84.23,897,1065,"GoodDrivePercentage",2009
19,19,"Justin Rose",71,84.08,824,980,"GoodDrivePercentage",2009
20,20,"Will Ma Kenzie",69,84.02,810,964,"GoodDrivePercentage",2009
21,21,"Justin Leonard",95,84.01,1072,1276,"GoodDrivePercentage",2009
22,22,"Woody Austin",84,83.93,982,1170,"GoodDrivePercentage",2009
23,23,"Charlie Wi",92,83.92,1075,1281,"GoodDrivePercentage",2009
24,24,"Jeff Klauk",97,83.89,1130,1347,"GoodDrivePercentage",2009
25,25,"John Senden",100,83.88,1171,1396,"GoodDrivePercentage",2009
25,25,"David Toms",98,83.88,1145,1365,"GoodDrivePercentage",2009
27,27,"Steve Flesch",77,83.8,895,1068,"GoodDrivePercentage",2009
28,28,"Marc Turnesa",77,83.72,900,1075,"GoodDrivePercentage",2009
29,29,"Tom Pernice Jr",82,83.55,950,1137,"GoodDrivePercentage",2009
30,30,"Stephen Ames",77,83.52,872,1044,"GoodDrivePercentage",2009
31,31,"Jim Furyk",86,83.49,966,1157,"GoodDrivePercentage",2009
32,32,"Ian Poulter",59,83.42,654,784,"GoodDrivePercentage",2009
33,33,"Jonathan Byrd",89,83.39,1034,1240,"GoodDrivePercentage",2009
34,34,"Ernie Els",70,83.19,772,928,"GoodDrivePercentage",2009
35,35,"Tiger Woods",64,83.06,721,868,"GoodDrivePercentage",2009
36,36,"Rod Pampling",72,82.96,823,992,"GoodDrivePercentage",2009
37,37,"Ben Curtis",63,82.95,720,868,"GoodDrivePercentage",2009
38,38,"Matt Kuchar",82,82.91,946,1141,"GoodDrivePercentage",2009
39,39,"Bob Estes",78,82.89,901,1087,"GoodDrivePercentage",2009
40,40,"Nicholas Thompson",96,82.85,1106,1335,"GoodDrivePercentage",2009
41,41,"Davis Love III",89,82.72,1010,1221,"GoodDrivePercentage",2009
42,42,"Mathew Goggin",76,82.7,851,1029,"GoodDrivePercentage",2009
43,43,"Steve Lowery",83,82.6,954,1155,"GoodDrivePercentage",2009
44,44,"Johnson Wagner",81,82.57,933,1130,"GoodDrivePercentage",2009
45,45,"Richard Johnson",85,82.56,980,1187,"GoodDrivePercentage",2009
45,45,"Vijay Singh",71,82.56,800,969,"GoodDrivePercentage",2009
47,47,"Camilo Villegas",76,82.46,846,1026,"GoodDrivePercentage",2009
48,48,"Scott Verplank",88,82.29,1013,1231,"GoodDrivePercentage",2009
49,49,"Tim Petrovic",97,82.28,1110,1349,"GoodDrivePercentage",2009
50,50,"Heath Slocum",95,82.2,1085,1320,"GoodDrivePercentage",2009
51,51,"KJ Choi",65,82.16,737,897,"GoodDrivePercentage",2009
52,52,"Briny Baird",89,82.02,1017,1240,"GoodDrivePercentage",2009
53,53,"Paul Goydos",79,81.96,904,1103,"GoodDrivePercentage",2009
54,54,"Kevin Sutherland",96,81.93,1084,1323,"GoodDrivePercentage",2009
55,55,"Charley Hoffman",97,81.87,1106,1351,"GoodDrivePercentage",2009
56,56,"Jeff Quinney",78,81.68,887,1086,"GoodDrivePercentage",2009
57,57,"Mark Calcavecchia",72,81.57,819,1004,"GoodDrivePercentage",2009
58,58,"Nick OHern",90,81.47,1020,1252,"GoodDrivePercentage",2009
59,59,"Chez Reavie",81,81.43,925,1136,"GoodDrivePercentage",2009
60,60,"Mark Wilson",99,81.4,1120,1376,"GoodDrivePercentage",2009
61,61,"Troy Matteson",95,81.32,1075,1322,"GoodDrivePercentage",2009
62,62,"Sergio Garcia",59,81.28,660,812,"GoodDrivePercentage",2009
63,63,"Nick Watney",86,81.2,972,1197,"GoodDrivePercentage",2009
64,64,"John Mallinger",90,81.1,1013,1249,"GoodDrivePercentage",2009
65,65,"Pat Perez",74,81.09,815,1005,"GoodDrivePercentage",2009
66,66,"Michael Allen",73,80.96,825,1019,"GoodDrivePercentage",2009
67,67,"Martin Laird",72,80.91,814,1006,"GoodDrivePercentage",2009
68,68,"Bill Haas",91,80.88,1024,1266,"GoodDrivePercentage",2009
69,69,"Stewart Cink",79,80.8,829,1026,"GoodDrivePercentage",2009
70,70,"Jason Dufner",90,80.74,1010,1251,"GoodDrivePercentage",2009
71,71,"Brian Davis",103,80.68,1157,1434,"GoodDrivePercentage",2009
71,71,"Ken Duke",87,80.68,977,1211,"GoodDrivePercentage",2009
73,73,"Bill Lunde",83,80.66,930,1153,"GoodDrivePercentage",2009
74,74,"Mike Weir",85,80.65,946,1173,"GoodDrivePercentage",2009
75,75,"Dustin Johnson",85,80.63,949,1177,"GoodDrivePercentage",2009
76,76,"Steve Marino",98,80.56,1102,1368,"GoodDrivePercentage",2009
77,77,"Daniel Chopra",89,80.53,1005,1248,"GoodDrivePercentage",2009
78,78,"John Rollins",92,80.51,1033,1283,"GoodDrivePercentage",2009
79,79,"Brandt Snedeker",81,80.46,910,1131,"GoodDrivePercentage",2009
80,80,"Webb Simpson",94,80.4,1054,1311,"GoodDrivePercentage",2009
81,81,"Ryan Palmer",78,80.38,877,1091,"GoodDrivePercentage",2009
82,82,"Geoff Ogilvy",78,80.34,813,1012,"GoodDrivePercentage",2009
83,83,"Chris Stroud",88,80.33,984,1225,"GoodDrivePercentage",2009
84,84,"Alex Cejka",82,80.31,918,1143,"GoodDrivePercentage",2009
85,85,"Brian Gay",96,80.25,1077,1342,"GoodDrivePercentage",2009
86,86,"Chris Riley",77,80.24,861,1073,"GoodDrivePercentage",2009
87,87,"Chad Campbell",90,80.02,1005,1256,"GoodDrivePercentage",2009
88,88,"DA Points",99,80,1104,1380,"GoodDrivePercentage",2009
89,89,"Andres Romero",58,79.93,641,802,"GoodDrivePercentage",2009
90,90,"Greg Owen",97,79.91,1082,1354,"GoodDrivePercentage",2009
91,91,"Brian Bateman",55,79.9,612,766,"GoodDrivePercentage",2009
92,92,"Stuart Appleby",79,79.87,869,1088,"GoodDrivePercentage",2009
92,92,"Chris DiMarco",97,79.87,1079,1351,"GoodDrivePercentage",2009
94,94,"Luke Donald",79,79.79,849,1064,"GoodDrivePercentage",2009
95,95,"Matt Bettencourt",98,79.69,1087,1364,"GoodDrivePercentage",2009
96,96,"Ryan Moore",89,79.52,986,1240,"GoodDrivePercentage",2009
97,97,"Tom Lehman",55,79.48,608,765,"GoodDrivePercentage",2009
98,98,"Retief Goosen",74,79.45,808,1017,"GoodDrivePercentage",2009
99,99,"Robert Garrigus",83,79.43,919,1157,"GoodDrivePercentage",2009
100,100,"Rory Sabbatini",81,79.39,886,1116,"GoodDrivePercentage",2009
101,101,"Kevin Streelman",97,79.35,1072,1351,"GoodDrivePercentage",2009
102,102,"George McNeill",82,79.33,906,1142,"GoodDrivePercentage",2009
103,103,"Todd Hamilton",83,79.27,918,1158,"GoodDrivePercentage",2009
104,104,"Vaughn Taylor",88,79.22,972,1227,"GoodDrivePercentage",2009
105,105,"Fred Couples",54,79.15,596,753,"GoodDrivePercentage",2009
106,106,"Kevin Na",91,79.11,1000,1264,"GoodDrivePercentage",2009
107,107,"Peter Lonard",86,79.03,946,1197,"GoodDrivePercentage",2009
108,108,"Carl Pettersson",86,79.02,953,1206,"GoodDrivePercentage",2009
109,109,"Tim Herron",87,78.97,954,1208,"GoodDrivePercentage",2009
110,110,"Ryuji Imada",85,78.96,938,1188,"GoodDrivePercentage",2009
111,111,"Adam Scott",53,78.9,576,730,"GoodDrivePercentage",2009
112,112,"Rocco Mediate",79,78.73,866,1100,"GoodDrivePercentage",2009
113,113,"Brendon de Jonge",90,78.38,979,1249,"GoodDrivePercentage",2009
114,114,"Darron Stiles",52,78.34,568,725,"GoodDrivePercentage",2009
115,115,"Cameron Beckman",87,78.3,949,1212,"GoodDrivePercentage",2009
116,116,"Freddie Jacobson",83,78.29,909,1161,"GoodDrivePercentage",2009
117,117,"YE Yang",83,78.26,907,1159,"GoodDrivePercentage",2009
118,118,"Bubba Watson",73,78.19,796,1018,"GoodDrivePercentage",2009
119,119,"Ted Purdy",101,78.17,1103,1411,"GoodDrivePercentage",2009
120,120,"Jason Gore",74,78.06,804,1030,"GoodDrivePercentage",2009
121,121,"Marc Leishman",91,77.94,989,1269,"GoodDrivePercentage",2009
122,122,"Spencer Levin",75,77.91,811,1041,"GoodDrivePercentage",2009
123,123,"Joe Ogilvie",85,77.69,916,1179,"GoodDrivePercentage",2009
124,124,"JJ Henry",97,77.68,1051,1353,"GoodDrivePercentage",2009
125,125,"Angel Cabrera",55,77.65,587,756,"GoodDrivePercentage",2009
126,126,"Michael Letzig",96,77.64,1035,1333,"GoodDrivePercentage",2009
127,127,"Bo Van Pelt",100,77.61,1078,1389,"GoodDrivePercentage",2009
128,128,"Brad Adamonis",70,77.6,755,973,"GoodDrivePercentage",2009
128,128,"Anthony Kim",76,77.6,807,1040,"GoodDrivePercentage",2009
130,130,"Glen Day",79,77.58,851,1097,"GoodDrivePercentage",2009
131,131,"Nathan Green",104,77.57,1124,1449,"GoodDrivePercentage",2009
132,132,"Aaron Baddeley",66,77.47,705,910,"GoodDrivePercentage",2009
133,133,"Bart Bryant",58,77.45,625,807,"GoodDrivePercentage",2009
134,134,"Bob Heintz",59,77.22,634,821,"GoodDrivePercentage",2009
135,135,"Scott Piercy",85,77.03,912,1184,"GoodDrivePercentage",2009
136,136,"Brian Vranesh",51,76.65,545,711,"GoodDrivePercentage",2009
137,137,"Charles Warren",63,76.56,673,879,"GoodDrivePercentage",2009
138,138,"James Nitties",86,76.44,918,1201,"GoodDrivePercentage",2009
139,139,"Parker McLachlin",71,76.39,757,991,"GoodDrivePercentage",2009
140,140,"Jay Williamson",69,76.38,734,961,"GoodDrivePercentage",2009
141,141,"Phil Mickelson",66,76.28,672,881,"GoodDrivePercentage",2009
142,142,"Dean Wilson",81,76.22,859,1127,"GoodDrivePercentage",2009
143,143,"Kent Jones",73,76.2,775,1017,"GoodDrivePercentage",2009
144,144,"Greg Chalmers",85,76.14,900,1182,"GoodDrivePercentage",2009
145,145,"David Mathis",82,76.03,866,1139,"GoodDrivePercentage",2009
146,146,"Joe Durant",62,75.96,651,857,"GoodDrivePercentage",2009
147,147,"Padraig Harrington",66,75.8,689,909,"GoodDrivePercentage",2009
148,148,"Kris Blanks",60,75.78,632,834,"GoodDrivePercentage",2009
149,149,"Rich Beem",77,75.68,809,1069,"GoodDrivePercentage",2009
150,150,"Jerry Kelly",90,75.6,948,1254,"GoodDrivePercentage",2009
151,151,"Brendon Todd",53,75.51,558,739,"GoodDrivePercentage",2009
152,152,"Cliff Kresge",78,75.39,818,1085,"GoodDrivePercentage",2009
153,153,"Charles Howell III",99,75.38,1041,1381,"GoodDrivePercentage",2009
154,154,"JB Holmes",74,75.31,781,1037,"GoodDrivePercentage",2009
155,155,"Greg Kraft",51,75.24,538,715,"GoodDrivePercentage",2009
156,156,"Rick Price",54,75.1,564,751,"GoodDrivePercentage",2009
157,157,"Harrison Frazar",93,74.83,969,1295,"GoodDrivePercentage",2009
158,158,"Colt Knost",71,74.77,738,987,"GoodDrivePercentage",2009
159,159,"David Duval",56,74.74,583,780,"GoodDrivePercentage",2009
160,160,"Corey Pavin",73,74.65,757,1014,"GoodDrivePercentage",2009
161,161,"Matt Weibring",65,74.64,677,907,"GoodDrivePercentage",2009
162,162,"Aron Price",89,74.45,921,1237,"GoodDrivePercentage",2009
163,163,"Casey Wittenberg",71,74.37,734,987,"GoodDrivePercentage",2009
164,164,"Brad Faxon",59,74.33,608,818,"GoodDrivePercentage",2009
