"ofPotentialPtswonFedExCupRegularSeason_RANKTHISWEEK_2007","ofPotentialPtswonFedExCupRegularSeason_RANKLASTWEEK_2007","ofPotentialPtswonFedExCupRegularSeason_PLAYERNAME_2007","ofPotentialPtswonFedExCupRegularSeason_EVENTS_2007","ofPotentialPtswonFedExCupRegularSeason_Pct_2007","ofPotentialPtswonFedExCupRegularSeason_POINTSWON_2007","ofPotentialPtswonFedExCupRegularSeason_POTENTIALPTS_2007","ofPotentialPtswonFedExCupRegularSeason_OFWINS_2007","ofPotentialPtswonFedExCupRegularSeason_OFTOP10S_2007","stat_name","year"
1,1,"Tiger Woods",16,49.77,30574,61425,5,9,"ofPotentialPtswonFedExCupRegularSeason",2007
2,2,"Phil Mickelson",22,19.11,16037,83925,2,5,"ofPotentialPtswonFedExCupRegularSeason",2007
3,3,"Jim Furyk",23,18.92,16691,88200,1,8,"ofPotentialPtswonFedExCupRegularSeason",2007
4,4,"Vijay Singh",27,17.97,19129,106425,2,6,"ofPotentialPtswonFedExCupRegularSeason",2007
5,5,"Adam Scott",19,15.9,11196,70425,1,5,"ofPotentialPtswonFedExCupRegularSeason",2007
6,6,"KJ Choi",25,15.89,15485,97425,2,6,"ofPotentialPtswonFedExCupRegularSeason",2007
7,7,"Justin Rose",16,15.46,8698,56250,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2007
8,8,"Rory Sabbatini",23,15.32,13548,88425,1,6,"ofPotentialPtswonFedExCupRegularSeason",2007
9,9,"Zach Johnson",23,15.09,13341,88425,2,4,"ofPotentialPtswonFedExCupRegularSeason",2007
10,10,"Sergio Garcia",19,14.98,10547,70425,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2007
11,11,"Ernie Els",16,14.62,8980,61425,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2007
12,12,"Henrik Stenson",15,12.81,6718,52425,1,2,"ofPotentialPtswonFedExCupRegularSeason",2007
13,13,"Scott Verplank",23,12.77,10691,83700,1,8,"ofPotentialPtswonFedExCupRegularSeason",2007
14,14,"Padraig Harrington",18,12.47,8783,70425,1,3,"ofPotentialPtswonFedExCupRegularSeason",2007
15,15,"Charles Howell III",26,12.45,12126,97425,1,5,"ofPotentialPtswonFedExCupRegularSeason",2007
16,16,"Steve Stricker",23,12.01,10621,88425,NA,6,"ofPotentialPtswonFedExCupRegularSeason",2007
17,17,"Angel Cabrera",14,11.54,5997,51975,1,1,"ofPotentialPtswonFedExCupRegularSeason",2007
18,18,"Aaron Baddeley",23,11.2,9402,83925,1,5,"ofPotentialPtswonFedExCupRegularSeason",2007
19,19,"Luke Donald",20,10.92,8676,79425,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2007
20,20,"Tim Clark",19,10.8,6342,58725,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2007
21,21,"Brandt Snedeker",29,10.64,11870,111600,1,6,"ofPotentialPtswonFedExCupRegularSeason",2007
22,22,"Woody Austin",27,10.42,10483,100575,1,3,"ofPotentialPtswonFedExCupRegularSeason",2007
23,23,"Geoff Ogilvy",22,10.27,8623,83925,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2007
24,24,"Mark Calcavecchia",28,9.96,8966,90000,1,4,"ofPotentialPtswonFedExCupRegularSeason",2007
25,25,"Jose Coceres",17,9.66,4870,50400,NA,3,"ofPotentialPtswonFedExCupRegularSeason",2007
26,26,"Hunter Mahan",27,9.65,10185,105525,1,5,"ofPotentialPtswonFedExCupRegularSeason",2007
27,27,"David Toms",22,9.33,8251,88425,NA,7,"ofPotentialPtswonFedExCupRegularSeason",2007
28,28,"Boo Weekley",29,9.29,9591,103275,1,4,"ofPotentialPtswonFedExCupRegularSeason",2007
29,29,"John Rollins",29,9.12,9708,106425,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2007
30,30,"Jonathan Byrd",23,8.93,7757,86850,1,3,"ofPotentialPtswonFedExCupRegularSeason",2007
31,31,"Brian Bateman",18,8.51,4843,56925,1,1,"ofPotentialPtswonFedExCupRegularSeason",2007
32,32,"Greg Kraft",10,8.48,1335,15750,NA,1,"ofPotentialPtswonFedExCupRegularSeason",2007
33,33,"Robert Allenby",28,8.11,7536,92925,NA,7,"ofPotentialPtswonFedExCupRegularSeason",2007
34,34,"Stewart Cink",25,8.01,7080,88425,NA,5,"ofPotentialPtswonFedExCupRegularSeason",2007
35,35,"Bernhard Langer",14,7.98,4917,61650,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2007
36,36,"Heath Slocum",28,7.67,6801,88650,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2007
37,37,"Trevor Immelman",21,7.52,6309,83925,NA,4,"ofPotentialPtswonFedExCupRegularSeason",2007
38,38,"Nick Watney",26,7.34,6420,87525,1,2,"ofPotentialPtswonFedExCupRegularSeason",2007
