"Approach_RANKTHISWEEK_2016","Approach_RANKLASTWEEK_2016","Approach_PLAYERNAME_2016","Approach_ROUNDS_2016","Approach_AVGRTP_2016","stat_name","year"
1,6,"Rickie Fowler",42,-0.307,"Approach",2016
2,3,"Patrick Reed",53,-0.303,"Approach",2016
3,4,"Scott Piercy",45,-0.3,"Approach",2016
4,1,"Hideki Matsuyama",40,-0.291,"Approach",2016
5,2,"Byeong Hun An",23,-0.286,"Approach",2016
6,5,"JB Holmes",39,-0.282,"Approach",2016
7,7,"Zach Johnson",42,-0.276,"Approach",2016
8,8,"Steve Stricker",25,-0.274,"Approach",2016
9,9,"Dawie van der Walt",48,-0.265,"Approach",2016
10,10,"Tim Wilkinson",40,-0.256,"Approach",2016
11,12,"Bryce Molder",50,-0.254,"Approach",2016
11,12,"Jimmy Walker",43,-0.254,"Approach",2016
13,14,"Andy Sullivan",25,-0.25,"Approach",2016
14,19,"Marc Leishman",41,-0.244,"Approach",2016
14,11,"Peter Malnati",53,-0.244,"Approach",2016
16,14,"Henrik Stenson",30,-0.242,"Approach",2016
17,22,"Chris Kirk",51,-0.238,"Approach",2016
17,14,"Justin Rose",35,-0.238,"Approach",2016
19,23,"Ryan Moore",40,-0.237,"Approach",2016
20,21,"Jonas Blixt",46,-0.231,"Approach",2016
21,25,"Stewart Cink",45,-0.229,"Approach",2016
22,46,"Ernie Els",34,-0.228,"Approach",2016
23,32,"John Senden",48,-0.227,"Approach",2016
24,26,"Smylie Kaufman",57,-0.225,"Approach",2016
24,14,"Hunter Mahan",43,-0.225,"Approach",2016
26,27,"Jason Day",36,-0.224,"Approach",2016
26,32,"Harris English",51,-0.224,"Approach",2016
28,28,"Shane Bertsch",30,-0.221,"Approach",2016
28,31,"Patrick Rodgers",49,-0.221,"Approach",2016
28,24,"David Toms",38,-0.221,"Approach",2016
31,32,"Justin Hicks",26,-0.22,"Approach",2016
31,20,"Will Ma Kenzie",54,-0.22,"Approach",2016
33,29,"Rhein Gibson",36,-0.219,"Approach",2016
34,36,"Aaron Baddeley",51,-0.212,"Approach",2016
34,65,"Adam Scott",39,-0.212,"Approach",2016
36,32,"Charles Howell III",63,-0.21,"Approach",2016
37,39,"Jason Bohn",37,-0.207,"Approach",2016
38,38,"Seung Yul Noh",54,-0.206,"Approach",2016
39,39,"Kevin Kisner",49,-0.205,"Approach",2016
40,42,"Roberto Castro",55,-0.204,"Approach",2016
41,42,"Stuart Appleby",39,-0.202,"Approach",2016
42,42,"Abraham Ancer",26,-0.2,"Approach",2016
42,41,"Jim Herman",55,-0.2,"Approach",2016
42,42,"Charl Schwartzel",29,-0.2,"Approach",2016
45,37,"David Hearn",55,-0.188,"Approach",2016
46,29,"Luke Donald",49,-0.184,"Approach",2016
47,60,"Cameron Tringale",47,-0.183,"Approach",2016
48,48,"Ben Crane",48,-0.182,"Approach",2016
48,52,"Si Woo Kim",63,-0.182,"Approach",2016
50,54,"Jon Curran",55,-0.18,"Approach",2016
50,54,"Jason Dufner",53,-0.18,"Approach",2016
50,50,"Justin Thomas",53,-0.18,"Approach",2016
53,54,"Johnson Wagner",44,-0.177,"Approach",2016
54,71,"Lucas Glover",53,-0.176,"Approach",2016
55,18,"Ollie Schniederjans",23,-0.175,"Approach",2016
56,65,"Vaughn Taylor",30,-0.173,"Approach",2016
56,60,"Brendon Todd",43,-0.173,"Approach",2016
58,52,"Bill Haas",42,-0.171,"Approach",2016
58,59,"Matt Kuchar",46,-0.171,"Approach",2016
60,60,"Dustin Johnson",37,-0.17,"Approach",2016
60,49,"Jamie Lovemark",57,-0.17,"Approach",2016
62,63,"Troy Merritt",41,-0.169,"Approach",2016
63,51,"Tyler Aldridge",53,-0.168,"Approach",2016
63,64,"Zac Blair",56,-0.168,"Approach",2016
65,65,"Brice Garnett",29,-0.167,"Approach",2016
65,58,"Adam Hadwin",53,-0.167,"Approach",2016
65,65,"Jordan Spieth",34,-0.167,"Approach",2016
68,71,"KJ Choi",47,-0.164,"Approach",2016
69,73,"Justin Leonard",28,-0.163,"Approach",2016
69,46,"Phil Mickelson",37,-0.163,"Approach",2016
71,85,"Colt Knost",56,-0.162,"Approach",2016
71,79,"William McGirt",54,-0.162,"Approach",2016
73,69,"Chad Campbell",54,-0.16,"Approach",2016
74,77,"Charley Hoffman",49,-0.159,"Approach",2016
75,78,"Billy Horschel",45,-0.158,"Approach",2016
