"GIRPercentageLess100yards_RANKTHISWEEK_2013","GIRPercentageLess100yards_RANKLASTWEEK_2013","GIRPercentageLess100yards_PLAYERNAME_2013","GIRPercentageLess100yards_ROUNDS_2013","GIRPercentageLess100yards_Pct_2013","GIRPercentageLess100yards_GREENSHIT_2013","GIRPercentageLess100yards_TOTALHOLES_2013","GIRPercentageLess100yards_RELATIVETOPAR_2013","stat_name","year"
1,1,"Rod Pampling",46,93.16,109,117,-0.49,"GIRPercentageLess100yards",2013
2,2,"Henrik Stenson",65,93.04,147,158,-0.62,"GIRPercentageLess100yards",2013
3,3,"Tiger Woods",61,92.56,112,121,-0.7,"GIRPercentageLess100yards",2013
4,4,"Jin Park",52,91.96,103,112,-0.5,"GIRPercentageLess100yards",2013
5,5,"Lee Williams",62,91.3,126,138,-0.44,"GIRPercentageLess100yards",2013
6,6,"Steve Stricker",51,91.24,125,137,-0.65,"GIRPercentageLess100yards",2013
7,7,"Pat Perez",69,91.15,175,192,-0.52,"GIRPercentageLess100yards",2013
8,8,"Webb Simpson",92,90.5,219,242,-0.52,"GIRPercentageLess100yards",2013
9,9,"Ricky Barnes",74,90.37,169,187,-0.38,"GIRPercentageLess100yards",2013
10,10,"Jim Herman",59,90.34,131,145,-0.5,"GIRPercentageLess100yards",2013
11,11,"Brendon de Jonge",110,90.22,249,276,-0.56,"GIRPercentageLess100yards",2013
12,12,"Sergio Garcia",65,90.2,138,153,-0.64,"GIRPercentageLess100yards",2013
13,13,"Jim Furyk",80,90.07,136,151,-0.48,"GIRPercentageLess100yards",2013
14,14,"Michael Bradley",56,90,99,110,-0.48,"GIRPercentageLess100yards",2013
15,15,"Hunter Mahan",91,89.96,224,249,-0.56,"GIRPercentageLess100yards",2013
16,16,"Stewart Cink",71,89.68,139,155,-0.52,"GIRPercentageLess100yards",2013
17,17,"Justin Rose",62,89.58,129,144,-0.64,"GIRPercentageLess100yards",2013
18,18,"Tag Ridings",69,89.56,163,182,-0.47,"GIRPercentageLess100yards",2013
19,19,"Aaron Watkins",46,89.53,77,86,-0.52,"GIRPercentageLess100yards",2013
20,20,"Jason Kokrak",78,89.45,212,237,-0.61,"GIRPercentageLess100yards",2013
21,21,"George McNeill",68,89.42,169,189,-0.5,"GIRPercentageLess100yards",2013
22,22,"Kevin Chappell",80,89.38,202,226,-0.52,"GIRPercentageLess100yards",2013
23,23,"Seung Yul Noh",71,89.29,175,196,-0.51,"GIRPercentageLess100yards",2013
24,24,"Adam Scott",61,89.19,132,148,-0.69,"GIRPercentageLess100yards",2013
25,25,"Robert Allenby",58,89.15,115,129,-0.39,"GIRPercentageLess100yards",2013
26,26,"John Senden",79,89.11,180,202,-0.54,"GIRPercentageLess100yards",2013
27,27,"JJ Henry",83,89.05,179,201,-0.45,"GIRPercentageLess100yards",2013
27,27,"Mark Wilson",56,89.05,122,137,-0.48,"GIRPercentageLess100yards",2013
29,29,"Brendan Steele",86,88.99,194,218,-0.55,"GIRPercentageLess100yards",2013
30,30,"Billy Horschel",96,88.93,233,262,-0.6,"GIRPercentageLess100yards",2013
31,31,"Jimmy Walker",84,88.89,248,279,-0.55,"GIRPercentageLess100yards",2013
32,32,"Charlie Wi",75,88.74,134,151,-0.51,"GIRPercentageLess100yards",2013
33,33,"Luke List",65,88.7,157,177,-0.55,"GIRPercentageLess100yards",2013
34,34,"Keegan Bradley",88,88.69,243,274,-0.59,"GIRPercentageLess100yards",2013
34,34,"Scott Langley",79,88.69,149,168,-0.52,"GIRPercentageLess100yards",2013
36,36,"Zach Johnson",84,88.63,187,211,-0.5,"GIRPercentageLess100yards",2013
37,37,"KJ Choi",85,88.62,148,167,-0.53,"GIRPercentageLess100yards",2013
38,38,"Andrew Svoboda",46,88.54,85,96,-0.52,"GIRPercentageLess100yards",2013
39,39,"DA Points",87,88.48,169,191,-0.52,"GIRPercentageLess100yards",2013
40,40,"Graham DeLaet",94,88.37,228,258,-0.56,"GIRPercentageLess100yards",2013
40,40,"Trevor Immelman",73,88.37,152,172,-0.42,"GIRPercentageLess100yards",2013
42,42,"Gary Woodland",94,88.36,258,292,-0.55,"GIRPercentageLess100yards",2013
43,43,"Rory Sabbatini",86,88.26,218,247,-0.57,"GIRPercentageLess100yards",2013
44,44,"Kevin Streelman",86,88.24,195,221,-0.56,"GIRPercentageLess100yards",2013
45,45,"Roberto Castro",97,88.17,231,262,-0.56,"GIRPercentageLess100yards",2013
45,45,"Dustin Johnson",71,88.17,164,186,-0.61,"GIRPercentageLess100yards",2013
47,47,"Jordan Spieth",82,88.11,215,244,-0.54,"GIRPercentageLess100yards",2013
48,48,"Chez Reavie",72,88.1,148,168,-0.45,"GIRPercentageLess100yards",2013
49,49,"James Hahn",78,88.06,177,201,-0.59,"GIRPercentageLess100yards",2013
