"ApproachPuttPerformance_RANKTHISWEEK_2014","ApproachPuttPerformance_RANKLASTWEEK_2014","ApproachPuttPerformance_PLAYERNAME_2014","ApproachPuttPerformance_ROUNDS_2014","ApproachPuttPerformance_VALUE_2014","ApproachPuttPerformance_ATTEMPTS_2014","ApproachPuttPerformance_TOTALDISTANCEFEET_2014","stat_name","year"
1,1,"Ricky Barnes",92,NA,817,1652.833,"ApproachPuttPerformance",2014
1,1,"Jason Dufner",57,NA,465,912.583,"ApproachPuttPerformance",2014
1,1,"Ernie Els",85,NA,645,1303.75,"ApproachPuttPerformance",2014
1,1,"Lucas Glover",68,NA,564,1136.5,"ApproachPuttPerformance",2014
1,1,"Matt Jones",83,NA,632,1273.083,"ApproachPuttPerformance",2014
1,1,"John Merrick",87,NA,843,1714.167,"ApproachPuttPerformance",2014
1,1,"Kevin Stadler",90,NA,762,1521.667,"ApproachPuttPerformance",2014
1,1,"Daniel Summerhays",98,NA,958,1947.333,"ApproachPuttPerformance",2014
1,1,"Bubba Watson",76,NA,602,1216.083,"ApproachPuttPerformance",2014
1,1,"Mark Wilson",69,NA,642,1264.667,"ApproachPuttPerformance",2014
11,11,"KJ Choi",80,NA,694,1428.25,"ApproachPuttPerformance",2014
11,11,"Jason Day",54,NA,333,696.5,"ApproachPuttPerformance",2014
11,11,"Sergio Garcia",61,NA,415,862.583,"ApproachPuttPerformance",2014
11,11,"Retief Goosen",94,NA,827,1742.333,"ApproachPuttPerformance",2014
11,11,"Bill Haas",107,NA,893,1880.083,"ApproachPuttPerformance",2014
11,11,"Charles Howell III",106,NA,1035,2154.5,"ApproachPuttPerformance",2014
11,11,"Zach Johnson",97,NA,888,1826.667,"ApproachPuttPerformance",2014
11,11,"Dustin Johnson",58,NA,436,903.25,"ApproachPuttPerformance",2014
11,11,"Martin Kaymer",65,NA,514,1052.667,"ApproachPuttPerformance",2014
11,11,"Spencer Levin",59,NA,546,1153.167,"ApproachPuttPerformance",2014
11,11,"Rory McIlroy",66,NA,479,996.583,"ApproachPuttPerformance",2014
11,11,"Bryce Molder",77,NA,687,1432.25,"ApproachPuttPerformance",2014
11,11,"Ryan Moore",86,NA,657,1366.917,"ApproachPuttPerformance",2014
11,11,"John Rollins",84,NA,775,1623.083,"ApproachPuttPerformance",2014
11,11,"Johnson Wagner",69,NA,643,1358.917,"ApproachPuttPerformance",2014
11,11,"Tim Wilkinson",86,NA,725,1519.417,"ApproachPuttPerformance",2014
27,27,"Robert Allenby",83,NA,792,1715.167,"ApproachPuttPerformance",2014
27,27,"Aaron Baddeley",74,NA,591,1292.917,"ApproachPuttPerformance",2014
27,27,"Jason Bohn",81,NA,801,1711.917,"ApproachPuttPerformance",2014
27,27,"Keegan Bradley",89,NA,706,1523.417,"ApproachPuttPerformance",2014
27,27,"Jonathan Byrd",76,NA,711,1561.667,"ApproachPuttPerformance",2014
27,27,"Chad Campbell",57,NA,542,1177.667,"ApproachPuttPerformance",2014
27,27,"Roberto Castro",76,NA,642,1393.917,"ApproachPuttPerformance",2014
27,27,"Bud Cauley",56,NA,505,1090.833,"ApproachPuttPerformance",2014
27,27,"Chad Collins",78,NA,630,1383.833,"ApproachPuttPerformance",2014
27,27,"Ben Curtis",77,NA,690,1516.167,"ApproachPuttPerformance",2014
27,27,"Brendon de Jonge",109,NA,1004,2150.917,"ApproachPuttPerformance",2014
27,27,"Rickie Fowler",91,NA,627,1349.583,"ApproachPuttPerformance",2014
27,27,"Brian Gay",81,NA,623,1374,"ApproachPuttPerformance",2014
27,27,"Brian Harman",111,NA,1067,2272.667,"ApproachPuttPerformance",2014
27,27,"JJ Henry",91,NA,935,2037.083,"ApproachPuttPerformance",2014
27,27,"Trevor Immelman",84,NA,760,1625,"ApproachPuttPerformance",2014
27,27,"Ryo Ishikawa",75,NA,642,1398.667,"ApproachPuttPerformance",2014
27,27,"Jason Kokrak",65,NA,650,1403.083,"ApproachPuttPerformance",2014
27,27,"Scott Langley",95,NA,827,1781,"ApproachPuttPerformance",2014
27,27,"Justin Leonard",75,NA,613,1334.583,"ApproachPuttPerformance",2014
27,27,"William McGirt",96,NA,886,1932.333,"ApproachPuttPerformance",2014
27,27,"Carl Pettersson",91,NA,946,2012.083,"ApproachPuttPerformance",2014
27,27,"Charl Schwartzel",64,NA,545,1177.75,"ApproachPuttPerformance",2014
27,27,"Adam Scott",68,NA,581,1265.583,"ApproachPuttPerformance",2014
27,27,"Vijay Singh",83,NA,838,1802.583,"ApproachPuttPerformance",2014
27,27,"Robert Streb",75,NA,674,1454.917,"ApproachPuttPerformance",2014
27,27,"Kevin Streelman",79,NA,627,1354.25,"ApproachPuttPerformance",2014
27,27,"David Toms",64,NA,590,1265.083,"ApproachPuttPerformance",2014
27,27,"Kevin Tway",64,NA,547,1188.833,"ApproachPuttPerformance",2014
27,27,"Charlie Wi",72,NA,675,1451,"ApproachPuttPerformance",2014
27,27,"Will Wilcox",51,NA,454,989.667,"ApproachPuttPerformance",2014
58,58,"Briny Baird",50,NA,496,1117.917,"ApproachPuttPerformance",2014
58,58,"Jonas Blixt",64,NA,451,999.417,"ApproachPuttPerformance",2014
58,58,"Angel Cabrera",69,NA,664,1468.833,"ApproachPuttPerformance",2014
58,58,"Paul Casey",56,NA,448,999,"ApproachPuttPerformance",2014
58,58,"Kevin Chappell",100,NA,943,2113.917,"ApproachPuttPerformance",2014
58,58,"Stewart Cink",91,NA,791,1765.75,"ApproachPuttPerformance",2014
58,58,"Tim Clark",75,NA,647,1454.5,"ApproachPuttPerformance",2014
58,58,"Graham DeLaet",80,NA,716,1609.167,"ApproachPuttPerformance",2014
58,58,"Brad Fritsch",50,NA,418,934.833,"ApproachPuttPerformance",2014
58,58,"Jim Furyk",84,NA,708,1600.5,"ApproachPuttPerformance",2014
58,58,"James Hahn",82,NA,818,1870.25,"ApproachPuttPerformance",2014
58,58,"Charley Hoffman",93,NA,795,1769.667,"ApproachPuttPerformance",2014
58,58,"JB Holmes",86,NA,772,1727,"ApproachPuttPerformance",2014
58,58,"Freddie Jacobson",91,NA,831,1871.917,"ApproachPuttPerformance",2014
58,58,"Jerry Kelly",80,NA,688,1552.583,"ApproachPuttPerformance",2014
58,58,"Kevin Kisner",85,NA,746,1672.25,"ApproachPuttPerformance",2014
58,58,"Russell Knox",92,NA,905,2017.5,"ApproachPuttPerformance",2014
58,58,"Matt Kuchar",91,NA,795,1817.583,"ApproachPuttPerformance",2014
58,58,"Bronson La Cassie",51,NA,381,855.5,"ApproachPuttPerformance",2014
58,58,"Davis Love III",74,NA,701,1563.25,"ApproachPuttPerformance",2014
58,58,"Seung Yul Noh",92,NA,802,1823,"ApproachPuttPerformance",2014
58,58,"Geoff Ogilvy",84,NA,786,1775.417,"ApproachPuttPerformance",2014
58,58,"John Peterson",62,NA,622,1392.5,"ApproachPuttPerformance",2014
58,58,"Michael Putnam",106,NA,1018,2306.167,"ApproachPuttPerformance",2014
58,58,"Patrick Reed",92,NA,768,1749.5,"ApproachPuttPerformance",2014
58,58,"Justin Rose",70,NA,543,1239.667,"ApproachPuttPerformance",2014
58,58,"Jordan Spieth",102,NA,749,1686.333,"ApproachPuttPerformance",2014
58,58,"Shawn Stefani",60,NA,618,1367.167,"ApproachPuttPerformance",2014
58,58,"Chris Stroud",88,NA,740,1684,"ApproachPuttPerformance",2014
58,58,"Brian Stuard",91,NA,770,1720.167,"ApproachPuttPerformance",2014
58,58,"Josh Teater",90,NA,843,1889.667,"ApproachPuttPerformance",2014
58,58,"Cameron Tringale",111,NA,1069,2441.333,"ApproachPuttPerformance",2014
58,58,"Boo Weekley",73,NA,667,1494.583,"ApproachPuttPerformance",2014
58,58,"Mike Weir",69,NA,525,1185.667,"ApproachPuttPerformance",2014
58,58,"Lee Westwood",57,NA,435,991.75,"ApproachPuttPerformance",2014
93,93,"Greg Chalmers",85,NA,722,1688.5,"ApproachPuttPerformance",2014
93,93,"Erik Compton",88,NA,791,1852.5,"ApproachPuttPerformance",2014
93,93,"Ben Crane",81,NA,830,1928,"ApproachPuttPerformance",2014
93,93,"Luke Donald",57,NA,450,1049.917,"ApproachPuttPerformance",2014
93,93,"Ken Duke",80,NA,720,1654.25,"ApproachPuttPerformance",2014
93,93,"Matt Every",85,NA,651,1528.167,"ApproachPuttPerformance",2014
93,93,"Gonzalo Fdez Castano",83,NA,700,1633.667,"ApproachPuttPerformance",2014
93,93,"Martin Flores",85,NA,747,1773.25,"ApproachPuttPerformance",2014
93,93,"Robert Garrigus",80,NA,775,1789,"ApproachPuttPerformance",2014
93,93,"Jim Herman",62,NA,542,1265.25,"ApproachPuttPerformance",2014
93,93,"Morgan Hoffmann",103,NA,927,2177.167,"ApproachPuttPerformance",2014
93,93,"Chris Kirk",105,NA,867,2042.5,"ApproachPuttPerformance",2014
93,93,"Brooks Koepka",56,NA,447,1050.333,"ApproachPuttPerformance",2014
93,93,"Marc Leishman",81,NA,745,1709.25,"ApproachPuttPerformance",2014
